geo,time,age,education,sex,zaf_population
zaf,1996,18,Some primary,Female,40845.72043
zaf,1996,18,Complete primary,Male,37239.18139
zaf,1996,18,Complete primary,Female,32569.18798
zaf,1996,18,Some secondary,Male,231139.5965
zaf,1996,18,Some secondary,Female,259623.7126
zaf,1996,18,Grade 12/Std 10,Male,38772.28482
zaf,1996,18,Grade 12/Std 10,Female,53112.31616
zaf,1996,18,Higher,Male,1946.67438
zaf,1996,18,Higher,Female,2289.85055
zaf,1996,18,Unspecified,Male,8935.32893
zaf,1996,18,Unspecified,Female,8565.17824
zaf,1996,18,Not applicable,Male,0
zaf,1996,18,Not applicable,Female,0
zaf,1996,18,Total,Male,394508.5715
zaf,1996,18,Total,Female,414464.1644
zaf,1996,19,No schooling,Male,19989.51983
zaf,1996,19,No schooling,Female,18174.56367
zaf,1996,19,Some primary,Male,50558.00064
zaf,1996,19,Some primary,Female,37439.73807
zaf,1996,19,Complete primary,Male,31331.03631
zaf,1996,19,Complete primary,Female,27820.92438
zaf,1996,19,Some secondary,Male,209097.5255
zaf,1996,19,Some secondary,Female,228918.4072
zaf,1996,19,Grade 12/Std 10,Male,68297.57142
zaf,1996,19,Grade 12/Std 10,Female,85058.24134
zaf,1996,19,Higher,Male,4360.99072
zaf,1996,19,Higher,Female,5616.42077
zaf,1996,19,Unspecified,Male,9402.10678
zaf,1996,19,Unspecified,Female,8772.64273
zaf,1996,19,Not applicable,Male,0
zaf,1996,19,Not applicable,Female,0
zaf,1996,19,Total,Male,393036.7512
zaf,1996,19,Total,Female,411800.9381
zaf,1996,20,No schooling,Male,23124.07355
zaf,1996,20,No schooling,Female,22866.21445
zaf,1996,20,Some primary,Male,47679.66944
zaf,1996,20,Some primary,Female,38317.402
zaf,1996,20,Complete primary,Male,26921.81327
zaf,1996,20,Complete primary,Female,25852.35982
zaf,1996,20,Some secondary,Male,195650.8087
zaf,1996,20,Some secondary,Female,214758.3297
zaf,1996,20,Grade 12/Std 10,Male,90862.11288
zaf,1996,20,Grade 12/Std 10,Female,106814.3588
zaf,1996,20,Higher,Male,7726.05698
zaf,1996,20,Higher,Female,9613.21568
zaf,1996,20,Unspecified,Male,11037.54175
zaf,1996,20,Unspecified,Female,10416.81379
zaf,1996,20,Not applicable,Male,0
zaf,1996,20,Not applicable,Female,0
zaf,1996,20,Total,Male,403002.0766
zaf,1996,20,Total,Female,428638.6943
zaf,1996,21,No schooling,Male,23242.9333
zaf,1996,21,No schooling,Female,23373.595
zaf,1996,21,Some primary,Male,46512.18195
