time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2012,atg,13722.98,75.78,90510,Antigua and Barbuda,country,ame
2013,atg,13949.80,75.95,91404,Antigua and Barbuda,country,ame
2014,atg,14395.22,76.12,92290,Antigua and Barbuda,country,ame
1990,arg,7846.61,71.56,32642442,Argentina,country,ame
1991,arg,8575.87,71.79,33093579,Argentina,country,ame
1992,arg,9308.41,72.02,33540023,Argentina,country,ame
1993,arg,9742.07,72.25,33982035,Argentina,country,ame
1994,arg,10206.90,72.48,34420352,Argentina,country,ame
1995,arg,9807.78,72.71,34855160,Argentina,country,ame
1996,arg,10245.38,72.94,35287113,Argentina,country,ame
1997,arg,10967.28,73.16,35714929,Argentina,country,ame
1998,arg,11272.74,73.39,36134642,Argentina,country,ame
1999,arg,10771.07,73.60,36541029,Argentina,country,ame
2000,arg,10571.36,73.82,36930709,Argentina,country,ame
2001,arg,9992.71,74.03,37302116,Argentina,country,ame
2002,arg,8797.64,74.24,37657340,Argentina,country,ame
2003,arg,9481.37,74.44,38001251,Argentina,country,ame
2004,arg,10232.09,74.64,38340778,Argentina,country,ame
2005,arg,11063,74.84,38681174,Argentina,country,ame
2006,arg,11865.58,75.03,39023850,Argentina,country,ame
2007,arg,12748.36,75.22,39368066,Argentina,country,ame
2008,arg,13457.94,75.41,39714298,Argentina,country,ame
2009,arg,13420.78,75.59,40062470,Argentina,country,ame
2010,arg,14486.63,75.77,40412376,Argentina,country,ame
2011,arg,15595.38,75.95,40764561,Argentina,country,ame
2012,arg,15714.10,76.12,41118986,Argentina,country,ame
2013,arg,15969.42,76.30,41473982,Argentina,country,ame
2014,arg,16337.87,76.48,41827217,Argentina,country,ame
1990,arm,2809.07,67.87,3544695,Armenia,country,eur
1991,arm,2436.61,67.86,3512051,Armenia,country,eur
1992,arm,1442.93,67.97,3449940,Armenia,country,eur
1993,arm,1375.72,68.19,3370373,Armenia,country,eur
1994,arm,1498.93,68.51,3290540,Armenia,country,eur
1995,arm,1632.30,68.91,3223173,Armenia,country,eur
1996,arm,1731.63,69.37,3172185,Armenia,country,eur
1997,arm,1791.34,69.89,3134836,Armenia,country,eur
1998,arm,1928.32,70.43,3109101,Armenia,country,eur
1999,arm,1992.95,70.97,3090624,Armenia,country,eur
2000,arm,2114.05,71.49,3076098,Armenia,country,eur
2001,arm,2328.45,71.98,3065810,Armenia,country,eur
