geo,under_five_mortality_from_ihme_per_1000_born,time
kwt,27.9,1981
kwt,26.1,1982
kwt,25.4,1983
kwt,24.8,1984
kwt,24.1,1985
kwt,23.3,1986
kwt,22.4,1987
kwt,21.5,1988
kwt,20.6,1989
kwt,19.7,1990
kwt,18.9,1991
kwt,18.1,1992
kwt,17.3,1993
kwt,16.5,1994
kwt,15.7,1995
kwt,15.0,1996
kwt,14.3,1997
kwt,13.6,1998
kwt,13.0,1999
kwt,12.4,2000
kwt,11.8,2001
kwt,11.3,2002
kwt,10.8,2003
kwt,10.3,2004
kwt,9.8,2005
kwt,9.3,2006
kwt,8.9,2007
kwt,8.4,2008
kwt,8.0,2009
kwt,7.6,2010
kwt,7.3,2011
kwt,6.9,2012
kwt,6.6,2013
kwt,6.3,2014
kwt,6.0,2015
kgz,151.1,1970
kgz,146.2,1971
kgz,141.5,1972
kgz,137.0,1973
kgz,132.5,1974
kgz,127.8,1975
kgz,123.8,1976
kgz,119.9,1977
kgz,116.1,1978
kgz,112.3,1979
kgz,108.7,1980
kgz,105.4,1981
kgz,102.2,1982
kgz,99.0,1983
kgz,95.8,1984
kgz,92.6,1985
kgz,89.8,1986
kgz,87.2,1987
kgz,84.2,1988
kgz,81.6,1989
kgz,78.8,1990
kgz,76.2,1991
kgz,73.5,1992
kgz,71.4,1993
kgz,69.3,1994
kgz,67.0,1995
kgz,64.8,1996
kgz,62.7,1997
kgz,60.7,1998
kgz,58.8,1999
kgz,57.0,2000
kgz,55.2,2001
kgz,53.5,2002
kgz,51.8,2003
kgz,50.1,2004
kgz,48.3,2005
kgz,46.6,2006
kgz,44.9,2007
kgz,43.3,2008
kgz,41.6,2009
kgz,40.0,2010
kgz,38.5,2011
kgz,37.2,2012
kgz,35.9,2013
kgz,34.7,2014
kgz,33.5,2015
lao,248.4,1970
lao,242.3,1971
lao,236.2,1972
lao,230.3,1973
lao,224.6,1974
lao,219.0,1975
lao,213.6,1976
lao,208.3,1977
lao,203.0,1978
lao,197.3,1979
lao,192.9,1980
lao,188.4,1981
lao,184.1,1982
lao,179.7,1983
lao,175.5,1984
lao,171.3,1985
lao,166.1,1986
lao,161.1,1987
lao,156.2,1988
lao,151.5,1989
lao,146.9,1990
lao,141.4,1991
lao,136.1,1992
lao,131.0,1993
lao,126.2,1994
lao,121.6,1995
lao,117.0,1996
lao,112.7,1997
lao,108.7,1998
lao,105.0,1999
lao,101.2,2000
lao,97.6,2001
lao,94.1,2002
lao,90.6,2003
lao,87.4,2004
lao,84.3,2005
lao,81.3,2006
lao,78.4,2007
lao,75.5,2008
lao,72.8,2009
lao,70.2,2010
lao,67.7,2011
lao,65.3,2012
lao,63.0,2013
lao,60.7,2014
lao,58.5,2015
lva,21.4,1970
lva,21.2,1971
lva,21.0,1972
lva,20.8,1973
lva,20.6,1974
lva,20.4,1975
lva,20.2,1976
lva,20.0,1977
lva,19.8,1978
lva,19.6,1979
lva,19.4,1980
lva,19.2,1981
lva,19.0,1982
lva,18.8,1983
lva,18.6,1984
lva,18.5,1985
lva,18.3,1986
lva,18.2,1987
lva,18.0,1988
lva,17.8,1989
lva,17.6,1990
lva,17.4,1991
lva,17.3,1992
lva,16.9,1993
lva,16.6,1994
lva,16.3,1995
lva,16.0,1996
lva,15.7,1997
lva,15.4,1998
lva,15.1,1999
lva,14.8,2000
lva,14.5,2001
lva,14.3,2002
lva,14.0,2003
lva,13.7,2004
lva,13.4,2005
lva,13.1,2006
lva,12.8,2007
lva,12.6,2008
lva,12.3,2009
lva,12.0,2010
lva,11.8,2011
lva,11.6,2012
lva,11.3,2013
lva,11.1,2014
lva,10.9,2015
lbn,56.8,1970
lbn,55.4,1971
lbn,54.1,1972
lbn,52.7,1973
lbn,51.4,1974
lbn,50.1,1975
lbn,48.8,1976
lbn,47.5,1977
lbn,46.6,1978
lbn,46.0,1979
lbn,45.4,1980
lbn,44.8,1981
lbn,44.2,1982
lbn,43.6,1983
lbn,43.1,1984
lbn,42.6,1985
lbn,42.0,1986
lbn,41.5,1987
lbn,40.9,1988
lbn,40.4,1989
lbn,39.9,1990
lbn,39.4,1991
lbn,38.9,1992
lbn,38.4,1993
lbn,37.8,1994
lbn,37.3,1995
lbn,36.8,1996
lbn,36.3,1997
lbn,35.8,1998
lbn,35.3,1999
lbn,34.8,2000
lbn,34.3,2001
lbn,33.9,2002
lbn,33.4,2003
lbn,33.0,2004
lbn,32.5,2005
lbn,32.1,2006
lbn,31.6,2007
lbn,31.2,2008
lbn,30.8,2009
lbn,30.4,2010
lbn,29.9,2011
lbn,29.5,2012
lbn,29.1,2013
lbn,28.7,2014
lbn,28.4,2015
lso,160.0,1970
lso,156.2,1971
lso,152.5,1972
lso,148.9,1973
lso,145.5,1974
lso,142.2,1975
lso,138.9,1976
lso,135.8,1977
lso,132.6,1978
lso,129.0,1979
lso,125.9,1980
lso,122.9,1981
lso,120.2,1982
lso,117.7,1983
lso,115.3,1984
lso,113.0,1985
lso,110.7,1986
lso,108.6,1987
lso,106.5,1988
lso,104.5,1989
lso,102.6,1990
lso,100.7,1991
lso,98.9,1992
lso,97.1,1993
lso,95.1,1994
lso,93.8,1995
lso,92.2,1996
lso,90.6,1997
lso,89.2,1998
lso,87.7,1999
lso,86.3,2000
lso,85.0,2001
lso,83.7,2002
lso,82.5,2003
lso,80.8,2004
lso,79.2,2005
lso,77.6,2006
lso,76.2,2007
lso,75.0,2008
lso,73.8,2009
lso,72.6,2010
lso,71.4,2011
lso,70.2,2012
lso,69.0,2013
lso,67.8,2014
lso,66.5,2015
lbr,254.8,1970
lbr,252.3,1971
lbr,249.8,1972
lbr,248.0,1973
lbr,245.0,1974
lbr,242.1,1975
lbr,239.3,1976
lbr,236.8,1977
lbr,234.4,1978
lbr,232.0,1979
lbr,229.5,1980
lbr,226.7,1981
lbr,224.0,1982
lbr,221.4,1983
lbr,218.9,1984
lbr,216.9,1985
lbr,214.6,1986
lbr,212.2,1987
lbr,209.8,1988
lbr,207.4,1989
lbr,205.1,1990
lbr,202.8,1991
lbr,200.5,1992
lbr,198.2,1993
lbr,196.0,1994
lbr,193.8,1995
lbr,191.6,1996
lbr,189.3,1997
lbr,187.2,1998
lbr,185.1,1999
lbr,182.9,2000
lbr,180.8,2001
lbr,178.8,2002
lbr,176.8,2003
lbr,174.8,2004
lbr,172.7,2005
lbr,170.8,2006
lbr,168.8,2007
lbr,166.9,2008
lbr,165.0,2009
lbr,163.1,2010
lbr,161.2,2011
lbr,159.4,2012
lbr,157.6,2013
lbr,155.8,2014
lbr,154.0,2015
lby,136.0,1970
lby,126.4,1971
lby,117.5,1972
lby,109.2,1973
lby,101.4,1974
lby,94.1,1975
lby,88.1,1976
lby,82.4,1977
lby,77.0,1978
lby,71.8,1979
lby,67.0,1980
lby,62.5,1981
lby,58.2,1982
lby,54.3,1983
lby,50.6,1984
lby,47.2,1985
lby,44.0,1986
lby,41.0,1987
lby,38.2,1988
lby,35.6,1989
lby,33.2,1990
lby,31.0,1991
lby,28.9,1992
lby,27.0,1993
lby,25.2,1994
lby,23.5,1995
lby,21.9,1996
lby,20.4,1997
lby,19.1,1998
lby,17.8,1999
lby,16.6,2000
lby,15.5,2001
lby,14.4,2002
lby,13.4,2003
lby,12.5,2004
lby,11.7,2005
lby,10.9,2006
lby,10.2,2007
lby,9.5,2008
lby,8.8,2009
lby,8.2,2010
lby,7.7,2011
lby,7.2,2012
lby,6.7,2013
lby,6.2,2014
lby,5.8,2015
ltu,25.8,1970
ltu,25.1,1971
ltu,24.5,1972
ltu,23.9,1973
ltu,23.3,1974
ltu,22.7,1975
ltu,22.2,1976
ltu,21.6,1977
ltu,21.0,1978
ltu,20.5,1979
ltu,20.0,1980
ltu,19.5,1981
ltu,19.0,1982
ltu,18.5,1983
ltu,18.0,1984
ltu,17.6,1985
ltu,17.2,1986
ltu,16.8,1987
ltu,16.4,1988
ltu,16.0,1989
ltu,15.6,1990
ltu,15.2,1991
ltu,14.9,1992
ltu,14.4,1993
ltu,13.8,1994
ltu,13.3,1995
ltu,12.8,1996
ltu,12.3,1997
ltu,11.8,1998
ltu,11.3,1999
ltu,10.8,2000
ltu,10.4,2001
ltu,9.9,2002
ltu,9.5,2003
ltu,9.1,2004
ltu,8.7,2005
ltu,8.3,2006
ltu,8.0,2007
ltu,7.6,2008
ltu,7.3,2009
ltu,7.0,2010
ltu,6.7,2011
ltu,6.4,2012
ltu,6.2,2013
ltu,5.9,2014
ltu,5.6,2015
lux,21.6,1970
lux,20.5,1971
lux,19.6,1972
lux,18.7,1973
lux,17.9,1974
lux,17.1,1975
lux,16.3,1976
lux,15.5,1977
lux,14.8,1978
lux,14.1,1979
lux,13.4,1980
lux,12.8,1981
lux,12.3,1982
lux,11.7,1983
lux,11.1,1984
lux,10.6,1985
lux,10.1,1986
lux,9.6,1987
lux,9.1,1988
lux,8.7,1989
lux,8.3,1990
lux,7.9,1991
lux,7.5,1992
lux,7.2,1993
lux,6.8,1994
lux,6.5,1995
lux,6.2,1996
lux,5.9,1997
lux,5.6,1998
lux,5.4,1999
lux,5.1,2000
lux,4.9,2001
lux,4.6,2002
lux,4.4,2003
lux,4.2,2004
lux,4.0,2005
lux,3.8,2006
lux,3.6,2007
lux,3.4,2008
lux,3.3,2009
lux,3.1,2010
lux,3.0,2011
lux,2.8,2012
lux,2.7,2013
lux,2.6,2014
lux,2.4,2015
mkd,136.7,1970
mkd,127.9,1971
mkd,119.6,1972
mkd,111.8,1973
mkd,104.5,1974
mkd,97.7,1975
mkd,91.4,1976
mkd,85.5,1977
mkd,80.0,1978
mkd,74.8,1979
mkd,70.0,1980
mkd,65.4,1981
mkd,60.9,1982
mkd,57.1,1983
mkd,53.4,1984
mkd,50.0,1985
mkd,46.7,1986
mkd,43.7,1987
mkd,40.8,1988
mkd,38.2,1989
mkd,35.7,1990
mkd,33.3,1991
mkd,31.1,1992
mkd,28.6,1993
mkd,26.3,1994
mkd,24.2,1995
mkd,22.3,1996
mkd,20.5,1997
mkd,18.9,1998
mkd,17.3,1999
mkd,15.9,2000
mkd,14.7,2001
mkd,13.5,2002
mkd,12.4,2003
mkd,11.4,2004
mkd,10.5,2005
mkd,9.7,2006
mkd,8.9,2007
mkd,8.2,2008
mkd,7.6,2009
mkd,7.0,2010
mkd,6.4,2011
mkd,5.9,2012
mkd,5.5,2013
mkd,5.0,2014
mkd,4.6,2015
mdg,171.6,1970
mdg,171.5,1971
mdg,171.4,1972
mdg,171.2,1973
mdg,171.0,1974
mdg,170.7,1975
mdg,170.4,1976
mdg,170.1,1977
mdg,169.7,1978
mdg,170.1,1979
mdg,169.8,1980
mdg,168.5,1981
mdg,168.0,1982
mdg,167.4,1983
mdg,166.6,1984
mdg,165.4,1985
mdg,163.5,1986
mdg,161.4,1987
mdg,158.6,1988
mdg,155.6,1989
mdg,151.5,1990
mdg,147.3,1991
mdg,143.0,1992
mdg,139.3,1993
mdg,136.1,1994
mdg,132.3,1995
mdg,127.1,1996
mdg,122.3,1997
mdg,118.4,1998
mdg,114.6,1999
mdg,110.9,2000
mdg,107.2,2001
mdg,103.6,2002
mdg,100.9,2003
mdg,98.2,2004
mdg,95.6,2005
mdg,93.1,2006
mdg,90.6,2007
mdg,88.2,2008
mdg,85.9,2009
mdg,83.4,2010
mdg,81.1,2011
mdg,79.0,2012
mdg,76.8,2013
mdg,74.5,2014
mdg,72.3,2015
mwi,321.4,1970
mwi,315.0,1971
mwi,309.6,1972
mwi,304.4,1973
mwi,299.2,1974
mwi,294.0,1975
mwi,288.5,1976
mwi,282.9,1977
mwi,274.7,1978
mwi,268.5,1979
mwi,262.6,1980
mwi,256.5,1981
mwi,250.6,1982
mwi,244.9,1983
mwi,239.8,1984
mwi,235.2,1985
mwi,230.0,1986
mwi,225.0,1987
mwi,219.6,1988
mwi,214.0,1989
mwi,208.1,1990
mwi,202.4,1991
