agricultural_land_percent_of_land_area,geo,time
20.55,khm,1966
20.56,khm,1967
20.26,khm,1968
19.7,khm,1969
19.37,khm,1970
13.88,khm,1971
13.88,khm,1972
13.88,khm,1973
14.16,khm,1974
14.16,khm,1975
14.45,khm,1976
14.45,khm,1977
14.73,khm,1978
14.73,khm,1979
15.01,khm,1980
15.01,khm,1981
15.18,khm,1982
15.24,khm,1983
15.24,khm,1984
16.94,khm,1985
18.64,khm,1986
20.96,khm,1987
23.51,khm,1988
25.12,khm,1989
25.24,khm,1990
25.55,khm,1991
25.58,khm,1992
25.67,khm,1993
25.89,khm,1994
25.89,khm,1995
25.95,khm,1996
25.95,khm,1997
26.23,khm,1998
26.29,khm,1999
27.02,khm,2000
27.7,khm,2001
28.33,khm,2002
28.89,khm,2003
29.63,khm,2004
30.34,khm,2005
30.9,khm,2006
30.9,khm,2007
31.47,khm,2008
31.47,khm,2009
15.89,cmr,1961
16.01,cmr,1962
16.12,cmr,1963
16.25,cmr,1964
16.37,cmr,1965
16.5,cmr,1966
16.65,cmr,1967
16.75,cmr,1968
16.86,cmr,1969
16.88,cmr,1970
16.98,cmr,1971
17.12,cmr,1972
17.26,cmr,1973
17.52,cmr,1974
17.76,cmr,1975
18.0,cmr,1976
18.29,cmr,1977
18.34,cmr,1978
18.85,cmr,1979
18.89,cmr,1980
18.95,cmr,1981
19.06,cmr,1982
19.17,cmr,1983
19.27,cmr,1984
19.38,cmr,1985
19.53,cmr,1986
19.48,cmr,1987
19.48,cmr,1988
19.44,cmr,1989
19.4,cmr,1990
19.36,cmr,1991
19.38,cmr,1992
19.38,cmr,1993
19.38,cmr,1994
19.38,cmr,1995
19.38,cmr,1996
19.38,cmr,1997
19.38,cmr,1998
19.38,cmr,1999
19.38,cmr,2000
19.38,cmr,2001
19.38,cmr,2002
19.38,cmr,2003
19.38,cmr,2004
19.38,cmr,2005
19.38,cmr,2006
19.38,cmr,2007
19.49,cmr,2008
19.81,cmr,2009
7.679,can,1961
7.693,can,1962
7.707,can,1963
7.721,can,1964
7.735,can,1965
7.749,can,1966
7.709,can,1967
7.67,can,1968
7.63,can,1969
7.59,can,1970
7.551,can,1971
7.545,can,1972
7.54,can,1973
7.535,can,1974
7.53,can,1975
7.525,can,1976
7.469,can,1977
7.413,can,1978
7.357,can,1979
7.301,can,1980
7.246,can,1981
7.288,can,1982
7.331,can,1983
7.374,can,1984
7.416,can,1985
7.459,can,1986
7.457,can,1987
7.456,can,1988
7.454,can,1989
7.452,can,1990
7.451,can,1991
7.457,can,1992
7.464,can,1993
7.471,can,1994
7.477,can,1995
7.484,can,1996
7.472,can,1997
7.46,can,1998
7.447,can,1999
7.435,can,2000
7.423,can,2001
7.425,can,2002
7.427,can,2003
7.429,can,2004
7.43,can,2005
7.432,can,2006
7.434,can,2007
7.434,can,2008
7.434,can,2009
16.13,cpv,1961
16.13,cpv,1962
16.13,cpv,1963
16.13,cpv,1964
16.13,cpv,1965
16.13,cpv,1966
16.13,cpv,1967
16.13,cpv,1968
16.13,cpv,1969
16.13,cpv,1970
16.13,cpv,1971
16.13,cpv,1972
16.13,cpv,1973
16.13,cpv,1974
16.13,cpv,1975
16.13,cpv,1976
16.13,cpv,1977
16.13,cpv,1978
16.13,cpv,1979
16.13,cpv,1980
16.13,cpv,1981
16.13,cpv,1982
16.13,cpv,1983
16.13,cpv,1984
16.13,cpv,1985
16.13,cpv,1986
16.13,cpv,1987
16.63,cpv,1988
16.63,cpv,1989
16.87,cpv,1990
16.87,cpv,1991
17.12,cpv,1992
17.12,cpv,1993
17.12,cpv,1994
17.37,cpv,1995
17.37,cpv,1996
17.87,cpv,1997
17.87,cpv,1998
17.62,cpv,1999
17.62,cpv,2000
19.11,cpv,2001
19.11,cpv,2002
19.11,cpv,2003
19.11,cpv,2004
19.11,cpv,2005
20.6,cpv,2006
20.6,cpv,2007
23.08,cpv,2008
21.84,cpv,2009
8.333,cym,1961
8.333,cym,1962
8.333,cym,1963
8.333,cym,1964
8.333,cym,1965
8.333,cym,1966
8.333,cym,1967
8.333,cym,1968
8.333,cym,1969
8.333,cym,1970
8.333,cym,1971
8.333,cym,1972
8.333,cym,1973
8.333,cym,1974
8.333,cym,1975
8.333,cym,1976
8.333,cym,1977
8.333,cym,1978
8.333,cym,1979
8.333,cym,1980
8.333,cym,1981
8.333,cym,1982
8.333,cym,1983
8.333,cym,1984
8.333,cym,1985
8.333,cym,1986
8.333,cym,1987
8.333,cym,1988
8.333,cym,1989
8.333,cym,1990
8.333,cym,1991
8.333,cym,1992
8.333,cym,1993
8.333,cym,1994
8.333,cym,1995
8.333,cym,1996
8.333,cym,1997
8.333,cym,1998
8.333,cym,1999
8.333,cym,2000
8.333,cym,2001
8.333,cym,2002
8.333,cym,2003
8.333,cym,2004
8.333,cym,2005
8.333,cym,2006
8.333,cym,2007
8.333,cym,2008
8.333,cym,2009
7.605,caf,1961
7.621,caf,1962
7.634,caf,1963
7.657,caf,1964
7.673,caf,1965
7.689,caf,1966
7.705,caf,1967
7.721,caf,1968
7.737,caf,1969
7.753,caf,1970
7.769,caf,1971
7.785,caf,1972
7.801,caf,1973
7.817,caf,1974
7.849,caf,1975
7.865,caf,1976
7.881,caf,1977
7.898,caf,1978
7.914,caf,1979
7.938,caf,1980
7.938,caf,1981
7.962,caf,1982
7.978,caf,1983
7.997,caf,1984
7.999,caf,1985
8.032,caf,1986
8.034,caf,1987
8.036,caf,1988
8.036,caf,1989
8.036,caf,1990
8.039,caf,1991
8.058,caf,1992
8.058,caf,1993
8.058,caf,1994
8.042,caf,1995
8.061,caf,1996
8.223,caf,1997
8.265,caf,1998
8.265,caf,1999
8.265,caf,2000
8.265,caf,2001
8.265,caf,2002
8.339,caf,2003
8.371,caf,2004
8.371,caf,2005
8.363,caf,2006
8.363,caf,2007
8.363,caf,2008
8.403,caf,2009
38.02,tcd,1961
38.02,tcd,1962
38.02,tcd,1963
38.02,tcd,1964
38.02,tcd,1965
38.02,tcd,1966
38.02,tcd,1967
38.02,tcd,1968
38.02,tcd,1969
38.02,tcd,1970
38.02,tcd,1971
38.02,tcd,1972
38.02,tcd,1973
38.04,tcd,1974
38.12,tcd,1975
38.2,tcd,1976
38.2,tcd,1977
38.24,tcd,1978
38.24,tcd,1979
38.24,tcd,1980
38.24,tcd,1981
38.24,tcd,1982
38.24,tcd,1983
38.24,tcd,1984
38.24,tcd,1985
38.28,tcd,1986
38.28,tcd,1987
38.3,tcd,1988
38.32,tcd,1989
38.36,tcd,1990
38.4,tcd,1991
38.41,tcd,1992
38.44,tcd,1993
38.45,tcd,1994
38.48,tcd,1995
38.52,tcd,1996
38.54,tcd,1997
38.56,tcd,1998
38.56,tcd,1999
38.56,tcd,2000
38.62,tcd,2001
38.62,tcd,2002
38.78,tcd,2003
38.78,tcd,2004
39.1,tcd,2005
39.18,tcd,2006
39.02,tcd,2007
39.1,tcd,2008
39.18,tcd,2009
47.37,chanisl,1961
47.37,chanisl,1962
47.37,chanisl,1963
47.37,chanisl,1964
47.37,chanisl,1965
47.37,chanisl,1966
47.37,chanisl,1967
47.37,chanisl,1968
42.11,chanisl,1969
42.11,chanisl,1970
42.11,chanisl,1971
42.11,chanisl,1972
42.11,chanisl,1973
42.11,chanisl,1974
42.11,chanisl,1975
42.11,chanisl,1976
42.11,chanisl,1977
42.11,chanisl,1978
42.11,chanisl,1979
42.11,chanisl,1980
42.11,chanisl,1981
42.11,chanisl,1982
42.11,chanisl,1983
42.11,chanisl,1984
42.11,chanisl,1985
42.11,chanisl,1986
42.11,chanisl,1987
42.11,chanisl,1988
42.11,chanisl,1989
42.11,chanisl,1990
42.11,chanisl,1991
42.11,chanisl,1992
42.11,chanisl,1993
42.11,chanisl,1994
42.11,chanisl,1995
42.11,chanisl,1996
42.11,chanisl,1997
42.11,chanisl,1998
36.84,chanisl,1999
36.84,chanisl,2000
36.84,chanisl,2001
36.84,chanisl,2002
36.84,chanisl,2003
36.84,chanisl,2004
36.84,chanisl,2005
42.11,chanisl,2006
42.11,chanisl,2007
42.11,chanisl,2008
42.11,chanisl,2009
18.0,chl,1961
18.23,chl,1962
18.46,chl,1963
18.69,chl,1964
18.92,chl,1965
19.15,chl,1966
19.45,chl,1967
19.74,chl,1968
19.97,chl,1969
20.31,chl,1970
20.64,chl,1971
20.98,chl,1972
21.3,chl,1973
21.86,chl,1974
22.26,chl,1975
23.13,chl,1976
23.0,chl,1977
22.86,chl,1978
22.73,chl,1979
22.66,chl,1980
22.53,chl,1981
22.33,chl,1982
22.26,chl,1983
22.19,chl,1984
22.15,chl,1985
22.11,chl,1986
21.74,chl,1987
21.73,chl,1988
21.75,chl,1989
21.38,chl,1990
21.24,chl,1991
20.92,chl,1992
20.82,chl,1993
20.78,chl,1994
20.62,chl,1995
20.49,chl,1996
20.47,chl,1997
20.47,chl,1998
20.25,chl,1999
20.32,chl,2000
20.38,chl,2001
20.93,chl,2002
20.75,chl,2003
21.43,chl,2004
21.36,chl,2005
21.25,chl,2006
21.16,chl,2007
21.17,chl,2008
21.17,chl,2009
36.8,chn,1961
37.09,chn,1962
37.4,chn,1963
37.71,chn,1964
38.11,chn,1965
38.5,chn,1966
38.89,chn,1967
39.27,chn,1968
39.77,chn,1969
40.26,chn,1970
40.76,chn,1971
41.25,chn,1972
41.85,chn,1973
42.57,chn,1974
43.06,chn,1975
43.7,chn,1976
44.34,chn,1977
44.96,chn,1978
45.72,chn,1979
46.55,chn,1980
47.38,chn,1981
48.16,chn,1982
50.49,chn,1983
51.34,chn,1984
53.17,chn,1985
54.14,chn,1986
55.08,chn,1987
56.04,chn,1988
56.93,chn,1989
56.97,chn,1990
57.02,chn,1991
57.08,chn,1992
56.91,chn,1993
56.96,chn,1994
57.11,chn,1995
57.06,chn,1996
56.97,chn,1997
57.12,chn,1998
57.06,chn,1999
57.06,chn,2000
56.96,chn,2001
56.86,chn,2002
56.66,chn,2003
57.29,chn,2004
56.92,chn,2005
56.92,chn,2006
56.02,chn,2007
56.02,chn,2008
56.21,chn,2009
36.03,col,1961
36.93,col,1962
37.4,col,1963
37.85,col,1964
38.76,col,1965
38.77,col,1966
38.78,col,1967
38.78,col,1968
38.78,col,1969
38.78,col,1970
40.61,col,1971
40.62,col,1972
40.63,col,1973
40.65,col,1974
40.66,col,1975
40.68,col,1976
40.84,col,1977
40.79,col,1978
40.81,col,1979
40.82,col,1980
40.84,col,1981
40.85,col,1982
40.86,col,1983
40.88,col,1984
40.9,col,1985
40.91,col,1986
40.92,col,1987
40.81,col,1988
40.72,col,1989
40.63,col,1990
40.45,col,1991
40.54,col,1992
40.47,col,1993
40.44,col,1994
40.12,col,1995
40.49,col,1996
40.63,col,1997
41.05,col,1998
41.16,col,1999
40.43,col,2000
37.63,col,2001
37.5,col,2002
37.9,col,2003
38.21,col,2004
38.36,col,2005
38.01,col,2006
38.25,col,2007
38.41,col,2008
38.34,col,2009
51.08,com,1961
51.08,com,1962
53.76,com,1963
53.76,com,1964
56.45,com,1965
56.45,com,1966
56.45,com,1967
56.45,com,1968
56.45,com,1969
56.45,com,1970
56.45,com,1971
56.45,com,1972
56.45,com,1973
56.45,com,1974
56.45,com,1975
56.45,com,1976
56.45,com,1977
59.14,com,1978
59.14,com,1979
59.14,com,1980
59.14,com,1981
59.14,com,1982
59.14,com,1983
64.52,com,1984
65.05,com,1985
68.28,com,1986
68.28,com,1987
68.28,com,1988
68.82,com,1989
68.82,com,1990
71.51,com,1991
71.51,com,1992
71.51,com,1993
71.51,com,1994
72.58,com,1995
73.66,com,1996
74.73,com,1997
75.81,com,1998
76.88,com,1999
77.96,com,2000
79.03,com,2001
79.03,com,2002
79.03,com,2003
79.57,com,2004
79.57,com,2005
80.65,com,2006
80.65,com,2007
80.65,com,2008
83.33,com,2009
9.682,cod,1961
9.691,cod,1962
9.704,cod,1963
9.717,cod,1964
9.726,cod,1965
9.735,cod,1966
9.748,cod,1967
9.77,cod,1968
9.792,cod,1969
9.815,cod,1970
9.837,cod,1971
9.859,cod,1972
9.881,cod,1973
9.903,cod,1974
9.903,cod,1975
9.925,cod,1976
9.938,cod,1977
9.947,cod,1978
9.947,cod,1979
9.969,cod,1980
9.991,cod,1981
10.0,cod,1982
10.01,cod,1983
10.04,cod,1984
10.06,cod,1985
10.08,cod,1986
10.08,cod,1987
10.08,cod,1988
10.08,cod,1989
10.08,cod,1990
10.09,cod,1991
10.1,cod,1992
10.1,cod,1993
10.1,cod,1994
10.01,cod,1995
10.01,cod,1996
9.969,cod,1997
9.969,cod,1998
9.925,cod,1999
9.925,cod,2000
9.903,cod,2001
9.903,cod,2002
9.903,cod,2003
9.903,cod,2004
9.903,cod,2005
9.903,cod,2006
9.903,cod,2007
9.903,cod,2008
9.903,cod,2009
30.86,cog,1961
30.86,cog,1962
30.87,cog,1963
30.87,cog,1964
30.87,cog,1965
30.87,cog,1966
30.87,cog,1967
30.87,cog,1968
30.88,cog,1969
30.89,cog,1970
30.89,cog,1971
30.89,cog,1972
30.9,cog,1973
30.92,cog,1974
30.93,cog,1975
30.95,cog,1976
30.94,cog,1977
30.81,cog,1978
30.81,cog,1979
30.82,cog,1980
30.83,cog,1981
30.9,cog,1982
30.92,cog,1983
30.93,cog,1984
30.95,cog,1985
30.94,cog,1986
30.86,cog,1987
30.87,cog,1988
30.88,cog,1989
30.81,cog,1990
30.81,cog,1991
30.82,cog,1992
30.83,cog,1993
30.8,cog,1994
30.81,cog,1995
30.81,cog,1996
30.85,cog,1997
30.86,cog,1998
30.88,cog,1999
30.86,cog,2000
30.86,cog,2001
30.86,cog,2002
30.86,cog,2003
30.86,cog,2004
30.87,cog,2005
30.88,cog,2006
30.89,cog,2007
30.89,cog,2008
30.92,cog,2009
27.32,cri,1961
27.61,cri,1962
27.81,cri,1963
29.08,cri,1964
30.45,cri,1965
32.02,cri,1966
32.04,cri,1967
33.61,cri,1968
35.06,cri,1969
36.35,cri,1970
36.96,cri,1971
36.96,cri,1972
40.11,cri,1973
40.11,cri,1974
41.56,cri,1975
43.18,cri,1976
44.79,cri,1977
46.22,cri,1978
47.85,cri,1979
49.28,cri,1980
50.9,cri,1981
52.47,cri,1982
52.53,cri,1983
53.82,cri,1984
52.51,cri,1985
51.16,cri,1986
49.73,cri,1987
48.24,cri,1988
46.57,cri,1989
45.14,cri,1990
43.83,cri,1991
42.3,cri,1992
41.38,cri,1993
41.03,cri,1994
40.11,cri,1995
39.07,cri,1996
38.25,cri,1997
37.5,cri,1998
36.98,cri,1999
36.04,cri,2000
35.9,cri,2001
35.76,cri,2002
35.82,cri,2003
35.68,cri,2004
35.15,cri,2005
35.35,cri,2006
35.25,cri,2007
35.25,cri,2008
35.25,cri,2009
49.31,civ,1961
49.94,civ,1962
49.94,civ,1963
50.25,civ,1964
50.57,civ,1965
50.57,civ,1966
50.79,civ,1967
50.79,civ,1968
50.94,civ,1969
50.94,civ,1970
51.26,civ,1971
51.29,civ,1972
51.7,civ,1973
52.28,civ,1974
52.56,civ,1975
52.96,civ,1976
53.71,civ,1977
54.12,civ,1978
54.17,civ,1979
54.26,civ,1980
54.62,civ,1981
55.0,civ,1982
55.3,civ,1983
56.29,civ,1984
57.17,civ,1985
57.48,civ,1986
57.86,civ,1987
58.87,civ,1988
59.18,civ,1989
59.53,civ,1990
59.59,civ,1991
60.38,civ,1992
61.33,civ,1993
61.95,civ,1994
62.26,civ,1995
62.26,civ,1996
61.95,civ,1997
61.95,civ,1998
61.64,civ,1999
61.64,civ,2000
61.64,civ,2001
61.64,civ,2002
61.32,civ,2003
62.58,civ,2004
63.52,civ,2005
63.68,civ,2006
63.84,civ,2007
63.84,civ,2008
63.84,civ,2009
43.0,hrv,1992
40.64,hrv,1993
41.35,hrv,1994
41.71,hrv,1995
34.57,hrv,1996
34.67,hrv,1997
36.63,hrv,1998
36.34,hrv,1999
20.91,hrv,2000
21.07,hrv,2001
21.12,hrv,2002
21.39,hrv,2003
21.02,hrv,2004
21.64,hrv,2005
21.98,hrv,2006
21.48,hrv,2007
23.02,hrv,2008
23.23,hrv,2009
33.05,cub,1961
35.43,cub,1962
37.6,cub,1963
44.27,cub,1964
42.35,cub,1965
41.99,cub,1966
43.03,cub,1967
44.01,cub,1968
44.18,cub,1969
46.76,cub,1970
47.23,cub,1971
51.96,cub,1972
54.48,cub,1973
52.43,cub,1974
54.1,cub,1975
55.84,cub,1976
56.22,cub,1977
55.38,cub,1978
54.58,cub,1979
55.28,cub,1980
55.29,cub,1981
56.64,cub,1982
57.53,cub,1983
57.19,cub,1984
57.93,cub,1985
60.07,cub,1986
62.63,cub,1987
63.2,cub,1988
63.05,cub,1989
62.77,cub,1990
62.9,cub,1991
63.08,cub,1992
62.66,cub,1993
62.25,cub,1994
62.23,cub,1995
61.59,cub,1996
62.26,cub,1997
62.14,cub,1998
62.01,cub,1999
61.02,cub,2000
61.97,cub,2001
62.54,cub,2002
62.39,cub,2003
61.35,cub,2004
62.35,cub,2005
62.29,cub,2006
62.19,cub,2007
61.35,cub,2008
62.52,cub,2009
22.19,cyp,1961
22.19,cyp,1962
22.19,cyp,1963
22.19,cyp,1964
22.51,cyp,1965
22.73,cyp,1966
22.94,cyp,1967
24.13,cyp,1968
24.35,cyp,1969
25.11,cyp,1970
25.43,cyp,1971
24.89,cyp,1972
24.57,cyp,1973
22.51,cyp,1974
21.65,cyp,1975
21.65,cyp,1976
21.75,cyp,1977
19.26,cyp,1978
19.26,cyp,1979
18.72,cyp,1980
18.72,cyp,1981
18.72,cyp,1982
18.72,cyp,1983
18.72,cyp,1984
17.64,cyp,1985
17.64,cyp,1986
17.53,cyp,1987
17.53,cyp,1988
17.42,cyp,1989
17.53,cyp,1990
17.42,cyp,1991
17.32,cyp,1992
17.21,cyp,1993
16.02,cyp,1994
15.69,cyp,1995
15.91,cyp,1996
15.58,cyp,1997
15.91,cyp,1998
15.8,cyp,1999
15.37,cyp,2000
15.15,cyp,2001
15.15,cyp,2002
16.99,cyp,2003
16.88,cyp,2004
18.07,cyp,2005
16.99,cyp,2006
15.91,cyp,2007
12.45,cyp,2008
13.53,cyp,2009
55.42,cze,1993
55.44,cze,1994
55.39,cze,1995
55.39,cze,1996
55.39,cze,1997
55.44,cze,1998
55.42,cze,1999
55.39,cze,2000
55.36,cze,2001
55.29,cze,2002
55.25,cze,2003
55.2,cze,2004
55.14,cze,2005
55.07,cze,2006
55.0,cze,2007
54.94,cze,2008
54.87,cze,2009
74.58,dnk,1961
74.13,dnk,1962
72.88,dnk,1963
72.41,dnk,1964
71.58,dnk,1965
71.44,dnk,1966
71.35,dnk,1967
71.21,dnk,1968
70.59,dnk,1969
70.21,dnk,1970
69.65,dnk,1971
69.77,dnk,1972
70.47,dnk,1973
69.2,dnk,1974
69.32,dnk,1975
69.22,dnk,1976
69.08,dnk,1977
68.94,dnk,1978
68.9,dnk,1979
68.55,dnk,1980
68.36,dnk,1981
68.12,dnk,1982
67.15,dnk,1983
67.37,dnk,1984
66.87,dnk,1985
66.52,dnk,1986
66.01,dnk,1987
65.75,dnk,1988
65.44,dnk,1989
65.77,dnk,1990
65.35,dnk,1991
64.95,dnk,1992
64.55,dnk,1993
63.42,dnk,1994
64.25,dnk,1995
64.01,dnk,1996
63.35,dnk,1997
62.97,dnk,1998
62.31,dnk,1999
62.39,dnk,2000
63.07,dnk,2001
62.81,dnk,2002
62.64,dnk,2003
62.36,dnk,2004
63.8,dnk,2005
63.87,dnk,2006
62.76,dnk,2007
62.88,dnk,2008
62.08,dnk,2009
56.13,dji,1961
56.13,dji,1962
56.13,dji,1963
56.13,dji,1964
56.13,dji,1965
56.13,dji,1966
56.13,dji,1967
56.13,dji,1968
56.13,dji,1969
56.13,dji,1970
56.13,dji,1971
56.13,dji,1972
56.13,dji,1973
56.13,dji,1974
56.13,dji,1975
56.13,dji,1976
56.13,dji,1977
56.13,dji,1978
56.13,dji,1979
56.13,dji,1980
56.13,dji,1981
56.13,dji,1982
56.13,dji,1983
56.13,dji,1984
56.13,dji,1985
56.13,dji,1986
56.13,dji,1987
56.13,dji,1988
56.13,dji,1989
56.04,dji,1990
57.64,dji,1991
59.15,dji,1992
60.44,dji,1993
60.44,dji,1994
62.6,dji,1995
63.89,dji,1996
64.75,dji,1997
64.75,dji,1998
66.91,dji,1999
69.07,dji,2000
72.52,dji,2001
73.38,dji,2002
73.38,dji,2003
73.38,dji,2004
73.38,dji,2005
73.38,dji,2006
73.38,dji,2007
73.38,dji,2008
73.43,dji,2009
22.67,dma,1961
24.0,dma,1962
22.67,dma,1963
22.67,dma,1964
24.0,dma,1965
25.33,dma,1966
25.33,dma,1967
25.33,dma,1968
25.33,dma,1969
25.33,dma,1970
25.33,dma,1971
25.33,dma,1972
25.33,dma,1973
25.33,dma,1974
25.33,dma,1975
25.33,dma,1976
25.33,dma,1977
25.33,dma,1978
25.33,dma,1979
25.33,dma,1980
25.33,dma,1981
25.33,dma,1982
25.33,dma,1983
25.33,dma,1984
25.33,dma,1985
25.33,dma,1986
25.33,dma,1987
24.0,dma,1988
24.0,dma,1989
24.0,dma,1990
24.0,dma,1991
24.0,dma,1992
24.0,dma,1993
24.0,dma,1994
22.67,dma,1995
22.67,dma,1996
22.67,dma,1997
22.67,dma,1998
25.33,dma,1999
28.0,dma,2000
29.33,dma,2001
29.33,dma,2002
30.67,dma,2003
30.67,dma,2004
30.67,dma,2005
30.67,dma,2006
30.67,dma,2007
30.67,dma,2008
32.0,dma,2009
45.32,dom,1961
45.63,dom,1962
45.94,dom,1963
46.25,dom,1964
46.56,dom,1965
46.88,dom,1966
47.19,dom,1967
47.39,dom,1968
48.22,dom,1969
48.32,dom,1970
48.51,dom,1971
49.05,dom,1972
49.77,dom,1973
50.19,dom,1974
50.81,dom,1975
51.95,dom,1976
52.57,dom,1977
53.08,dom,1978
53.6,dom,1979
54.22,dom,1980
54.33,dom,1981
54.43,dom,1982
54.43,dom,1983
54.43,dom,1984
54.43,dom,1985
54.57,dom,1986
54.57,dom,1987
54.57,dom,1988
54.66,dom,1989
52.77,dom,1990
53.19,dom,1991
53.81,dom,1992
53.81,dom,1993
53.81,dom,1994
53.81,dom,1995
53.39,dom,1996
52.57,dom,1997
52.77,dom,1998
52.09,dom,1999
52.05,dom,2000
52.05,dom,2001
52.05,dom,2002
51.06,dom,2003
51.06,dom,2004
51.06,dom,2005
51.06,dom,2006
51.06,dom,2007
50.64,dom,2008
51.06,dom,2009
17.01,ecu,1961
17.01,ecu,1962
17.05,ecu,1963
17.05,ecu,1964
17.09,ecu,1965
17.09,ecu,1966
17.12,ecu,1967
17.1,ecu,1968
17.32,ecu,1969
17.54,ecu,1970
17.75,ecu,1971
17.97,ecu,1972
18.19,ecu,1973
18.67,ecu,1974
19.45,ecu,1975
20.07,ecu,1976
21.08,ecu,1977
21.69,ecu,1978
22.36,ecu,1979
23.4,ecu,1980
24.41,ecu,1981
25.14,ecu,1982
25.63,ecu,1983
26.21,ecu,1984
26.8,ecu,1985
27.38,ecu,1986
27.89,ecu,1987
27.91,ecu,1988
28.01,ecu,1989
28.34,ecu,1990
28.59,ecu,1991
28.73,ecu,1992
28.81,ecu,1993
29.36,ecu,1994
29.29,ecu,1995
28.85,ecu,1996
28.94,ecu,1997
32.32,ecu,1998
32.51,ecu,1999
32.48,ecu,2000
31.35,ecu,2001
30.16,ecu,2002
29.19,ecu,2003
30.31,ecu,2004
30.2,ecu,2005
29.97,ecu,2006
29.84,ecu,2007
29.98,ecu,2008
30.33,ecu,2009
2.58,egy,1961
2.516,egy,1962
2.501,egy,1963
2.517,egy,1964
2.684,egy,1965
2.793,egy,1966
2.814,egy,1967
2.814,egy,1968
2.848,egy,1969
2.856,egy,1970
2.865,egy,1971
2.868,egy,1972
2.868,egy,1973
2.856,egy,1974
2.838,egy,1975
2.742,egy,1976
2.647,egy,1977
2.552,egy,1978
2.458,egy,1979
2.456,egy,1980
2.479,egy,1981
2.48,egy,1982
2.489,egy,1983
2.504,egy,1984
2.508,egy,1985
2.579,egy,1986
2.559,egy,1987
2.593,egy,1988
2.583,egy,1989
2.66,egy,1990
2.655,egy,1991
2.913,egy,1992
3.261,egy,1993
3.261,egy,1994
3.298,egy,1995
3.301,egy,1996
3.315,egy,1997
3.315,egy,1998
3.499,egy,1999
3.306,egy,2000
3.353,egy,2001
3.44,egy,2002
3.425,egy,2003
3.494,egy,2004
3.539,egy,2005
3.549,egy,2006
3.554,egy,2007
3.558,egy,2008
3.706,egy,2009
60.05,slv,1961
60.05,slv,1962
60.34,slv,1963
60.34,slv,1964
60.43,slv,1965
59.95,slv,1966
59.52,slv,1967
59.42,slv,1968
59.33,slv,1969
59.23,slv,1970
61.29,slv,1971
61.44,slv,1972
61.77,slv,1973
62.25,slv,1974
62.73,slv,1975
62.74,slv,1976
63.18,slv,1977
65.15,slv,1978
67.57,slv,1979
68.05,slv,1980
66.12,slv,1981
64.72,slv,1982
64.53,slv,1983
65.01,slv,1984
65.97,slv,1985
66.94,slv,1986
66.94,slv,1987
67.91,slv,1988
67.91,slv,1989
68.05,slv,1990
68.92,slv,1991
70.03,slv,1992
70.03,slv,1993
70.17,slv,1994
70.22,slv,1995
66.99,slv,1996
67.86,slv,1997
69.98,slv,1998
71.48,slv,1999
72.39,slv,2000
74.81,slv,2001
75.05,slv,2002
74.86,slv,2003
77.7,slv,2004
75.53,slv,2005
71.14,slv,2006
72.59,slv,2007
74.95,slv,2008
74.52,slv,2009
11.19,gnq,1961
11.37,gnq,1962
11.55,gnq,1963
11.59,gnq,1964
11.59,gnq,1965
11.73,gnq,1966
11.73,gnq,1967
11.73,gnq,1968
11.73,gnq,1969
11.73,gnq,1970
11.91,gnq,1971
11.91,gnq,1972
11.91,gnq,1973
11.91,gnq,1974
11.91,gnq,1975
11.91,gnq,1976
11.91,gnq,1977
11.91,gnq,1978
11.91,gnq,1979
11.91,gnq,1980
11.91,gnq,1981
11.91,gnq,1982
11.91,gnq,1983
11.91,gnq,1984
11.91,gnq,1985
11.91,gnq,1986
11.91,gnq,1987
11.91,gnq,1988
11.91,gnq,1989
11.91,gnq,1990
11.91,gnq,1991
11.91,gnq,1992
11.91,gnq,1993
11.91,gnq,1994
11.91,gnq,1995
11.91,gnq,1996
11.91,gnq,1997
11.91,gnq,1998
11.91,gnq,1999
11.91,gnq,2000
11.91,gnq,2001
11.55,gnq,2002
11.55,gnq,2003
11.55,gnq,2004
11.55,gnq,2005
11.19,gnq,2006
11.19,gnq,2007
11.05,gnq,2008
10.91,gnq,2009
73.27,eri,1993
73.33,eri,1994
73.34,eri,1995
72.65,eri,1996
72.87,eri,1997
73.93,eri,1998
73.93,eri,1999
74.55,eri,2000
74.57,eri,2001
74.57,eri,2002
74.92,eri,2003
74.26,eri,2004
74.48,eri,2005
74.97,eri,2006
74.97,eri,2007
74.97,eri,2008
75.17,eri,2009
32.41,est,1992
31.14,est,1993
25.97,est,1994
23.38,est,1995
23.71,est,1996
24.13,est,1997
24.6,est,1998
23.61,est,1999
23.26,est,2000
21.0,est,2001
16.47,est,2002
19.56,est,2003
18.16,est,2004
20.81,est,2005
21.21,est,2006
21.56,est,2007
21.4,est,2008
21.96,est,2009
30.54,eth,1993
30.47,eth,1994
30.5,eth,1995
30.5,eth,1996
30.49,eth,1997
30.51,eth,1998
30.68,eth,1999
30.66,eth,2000
31.41,eth,2001
30.6,eth,2002
31.61,eth,2003
33.1,eth,2004
33.69,eth,2005
34.22,eth,2006
35.08,eth,2007
34.51,eth,2008
34.98,eth,2009
2.158,fro,1961
2.158,fro,1962
2.158,fro,1963
2.158,fro,1964
2.158,fro,1965
2.158,fro,1966
2.158,fro,1967
2.158,fro,1968
2.158,fro,1969
2.158,fro,1970
2.158,fro,1971
2.158,fro,1972
