geo,all_forms_of_tb_number_of_new_cases_reported,time
eri,6037,1999
eri,6652,2000
eri,2743,2001
eri,2805,2002
eri,4708,2003
eri,4239,2004
eri,3549,2005
eri,3026,2006
eri,3641,2007
est,614,1980
est,560,1981
est,563,1982
est,587,1983
est,546,1984
est,541,1985
est,522,1986
est,446,1987
est,471,1988
est,422,1989
est,423,1990
est,406,1991
est,403,1992
est,532,1993
est,623,1994
est,624,1995
est,683,1996
est,744,1997
est,820,1998
est,754,1999
est,791,2000
est,708,2001
est,620,2002
est,557,2003
est,537,2004
est,479,2005
est,422,2006
est,456,2007
eth,40100,1980
eth,42420,1981
eth,52400,1982
eth,56820,1983
eth,65040,1984
eth,71730,1985
eth,80850,1986
eth,85870,1987
eth,95520,1988
eth,80800,1989
eth,88630,1990
eth,60010,1991
eth,60010,1992
eth,99330,1994
eth,26030,1995
eth,41890,1996
eth,59100,1997
eth,69470,1998
eth,72100,1999
eth,91100,2000
eth,94960,2001
eth,110300,2002
eth,117600,2003
eth,123100,2004
eth,124300,2005
eth,122200,2006
eth,128800,2007
fji,210,1980
fji,180,1981
fji,163,1982
fji,185,1983
fji,165,1984
fji,230,1985
fji,199,1986
fji,173,1987
fji,162,1988
fji,218,1989
fji,226,1990
fji,247,1991
fji,240,1992
fji,183,1993
fji,225,1994
fji,203,1995
fji,200,1996
fji,171,1997
fji,166,1998
fji,192,1999
fji,144,2000
fji,183,2001
fji,148,2002
fji,185,2003
fji,134,2004
fji,132,2005
fji,114,2006
fji,94,2007
fin,2247,1980
fin,2204,1981
fin,2170,1982
fin,1882,1983
fin,1791,1984
fin,1819,1985
fin,1546,1986
fin,1419,1987
fin,1078,1988
fin,970,1989
fin,772,1990
fin,771,1991
fin,700,1992
fin,542,1993
fin,553,1994
fin,661,1995
fin,645,1996
fin,573,1997
fin,629,1998
fin,565,1999
fin,527,2000
fin,460,2001
fin,449,2002
fin,392,2003
fin,319,2004
fin,339,2005
fin,280,2006
fin,300,2007
fra,17200,1980
fra,16460,1981
fra,15420,1982
fra,13830,1983
fra,12300,1984
fra,11290,1985
fra,10540,1986
fra,10240,1987
fra,9191,1988
fra,9027,1989
fra,9030,1990
fra,8510,1991
fra,8605,1992
fra,9551,1993
fra,9093,1994
fra,8723,1995
fra,7656,1996
fra,6832,1997
fra,5981,1998
fra,6052,1999
fra,6122,2000
fra,5814,2001
fra,5709,2002
fra,5740,2003
fra,5004,2004
fra,4887,2005
fra,4817,2006
fra,5314,2007
pyf,76,1980
pyf,66,1981
pyf,65,1982
pyf,78,1983
pyf,80,1984
pyf,78,1985
pyf,85,1986
pyf,80,1987
pyf,63,1988
pyf,73,1989
pyf,59,1990
pyf,49,1991
pyf,83,1992
pyf,78,1993
pyf,89,1994
pyf,86,1996
pyf,91,1997
pyf,105,1998
pyf,93,1999
pyf,62,2000
pyf,62,2001
pyf,64,2002
pyf,50,2003
pyf,60,2004
pyf,63,2005
pyf,69,2006
pyf,64,2007
gab,865,1980
gab,796,1981
gab,761,1982
gab,752,1983
gab,654,1984
gab,855,1985
gab,769,1986
gab,864,1987
gab,721,1988
gab,912,1989
gab,917,1990
gab,906,1991
gab,926,1992
gab,972,1993
gab,1034,1994
gab,1115,1995
gab,951,1996
gab,1434,1997
gab,1380,1998
gab,1598,1999
gab,2504,2001
gab,2086,2002
gab,2208,2003
gab,2588,2004
gab,2512,2005
gab,3051,2006
gab,3766,2007
gmb,239,1980
gmb,58,1981
gmb,1023,1995
gmb,1242,1996
gmb,1357,1997
gmb,1558,1998
gmb,1514,1999
gmb,1859,2002
gmb,1945,2003
gmb,2142,2004
gmb,2031,2005
gmb,1795,2006
gmb,1916,2007
geo,2098,1980
geo,2124,1981
geo,2168,1982
geo,1881,1983
geo,1855,1984
geo,1822,1985
geo,1833,1986
geo,1810,1987
geo,1598,1988
geo,1609,1989
geo,1537,1990
geo,2130,1992
geo,3741,1993
geo,1625,1995
geo,3522,1996
geo,8446,1997
geo,6302,1998
geo,4793,1999
geo,4397,2000
geo,4006,2001
geo,4490,2002
geo,4212,2003
geo,4011,2004
geo,4501,2005
geo,4554,2006
geo,4310,2007
deu,29990,1980
deu,27080,1981
deu,25400,1982
deu,22980,1983
deu,20240,1984
deu,20070,1985
deu,17910,1986
deu,17100,1987
deu,16280,1988
deu,15380,1989
deu,14650,1990
deu,13470,1991
deu,14110,1992
deu,14160,1993
deu,12980,1994
deu,12200,1995
deu,11810,1996
deu,11160,1997
deu,10440,1998
deu,9974,1999
deu,9064,2000
deu,6959,2001
deu,6931,2002
deu,6526,2003
deu,6007,2004
deu,5539,2005
deu,5021,2006
deu,4609,2007
gha,5207,1980
gha,4041,1981
gha,4345,1982
gha,2651,1983
gha,1935,1984
gha,3235,1985
gha,3925,1986
gha,5877,1987
gha,5297,1988
gha,6017,1989
gha,6407,1990
gha,7136,1991
gha,7044,1992
gha,8569,1993
gha,17000,1994
gha,8636,1995
gha,10450,1996
gha,10750,1997
gha,11350,1998
gha,10390,1999
gha,10930,2000
gha,11920,2001
gha,11720,2002
gha,11890,2003
gha,11830,2004
gha,12120,2005
gha,12470,2006
gha,12740,2007
grc,5412,1980
grc,7334,1981
grc,5193,1982
grc,3880,1983
grc,1956,1984
grc,1556,1985
grc,1566,1986
grc,1193,1987
grc,907,1988
grc,1068,1989
grc,877,1990
grc,762,1991
grc,920,1992
grc,939,1995
grc,945,1996
grc,767,1997
grc,1152,1998
grc,936,1999
grc,703,2000
grc,503,2001
grc,570,2002
grc,571,2003
grc,668,2004
grc,626,2005
grc,580,2006
grc,593,2007
grd,17,1980
grd,1,1981
grd,1,1982
grd,6,1983
grd,4,1984
grd,2,1985
grd,1,1986
grd,2,1987
grd,0,1988
grd,4,1989
grd,0,1990
grd,1,1991
grd,3,1992
grd,0,1993
grd,3,1994
grd,4,1995
grd,0,1996
grd,2,1997
grd,2,1998
grd,5,1999
grd,0,2000
grd,1,2002
grd,2,2003
grd,2,2004
grd,1,2006
grd,3,2007
gum,55,1980
gum,41,1981
gum,49,1982
gum,48,1983
gum,54,1984
gum,37,1985
gum,49,1986
gum,34,1987
gum,41,1988
gum,75,1989
gum,60,1992
gum,70,1993
gum,94,1994
gum,54,2000
gum,63,2001
gum,51,2002
gum,22,2003
gum,50,2004
gum,63,2005
gum,44,2006
gum,53,2007
gtm,5624,1980
gtm,6641,1981
gtm,7277,1982
gtm,6013,1983
gtm,6586,1984
gtm,6570,1985
gtm,4806,1986
gtm,5700,1987
gtm,5739,1988
gtm,4900,1989
gtm,3813,1990
gtm,2631,1991
gtm,2517,1992
gtm,2474,1993
gtm,2508,1994
gtm,3119,1995
gtm,3232,1996
gtm,2948,1997
gtm,2755,1998
gtm,2820,1999
gtm,2913,2000
gtm,2419,2001
gtm,2909,2002
gtm,2642,2003
gtm,3313,2004
gtm,3365,2005
gtm,3626,2006
gtm,3140,2007
gin,1884,1981
gin,1469,1982
gin,832,1983
gin,1203,1984
gin,1317,1985
gin,1128,1986
gin,1214,1987
gin,1740,1988
gin,1869,1989
gin,1988,1990
gin,2267,1991
gin,2941,1992
gin,3167,1993
gin,3300,1994
gin,3523,1995
gin,4357,1996
gin,4439,1997
gin,4768,1998
gin,5171,1999
gin,5440,2000
gin,5874,2001
gin,6199,2002
gin,6570,2003
gin,7423,2004
gin,6863,2005
gin,8787,2006
gin,9411,2007
gnb,645,1980
gnb,465,1981
gnb,205,1982
gnb,376,1983
gnb,368,1984
gnb,530,1985
gnb,1310,1986
gnb,752,1987
gnb,778,1988
gnb,1362,1989
gnb,1163,1990
gnb,1246,1991
gnb,1059,1992
gnb,1558,1993
gnb,1647,1994
gnb,1613,1995
gnb,1678,1996
gnb,1445,1997
gnb,846,1998
gnb,1164,1999
gnb,1273,2000
gnb,1566,2002
gnb,1647,2003
gnb,1835,2004
gnb,1774,2005
gnb,2137,2006
guy,124,1980
guy,117,1981
guy,135,1982
guy,149,1983
guy,165,1984
guy,215,1985
guy,190,1986
guy,117,1987
guy,150,1988
guy,120,1989
guy,168,1990
guy,134,1991
guy,182,1992
guy,91,1993
guy,266,1994
guy,296,1995
guy,314,1996
guy,407,1997
guy,318,1998
guy,407,1999
guy,422,2000
guy,422,2001
guy,590,2002
guy,631,2003
guy,603,2004
guy,639,2005
guy,710,2006
guy,594,2007
hti,8306,1980
hti,6550,1981
hti,3337,1982
hti,6839,1983
hti,5803,1984
hti,4959,1985
hti,8583,1986
hti,8514,1987
hti,8054,1988
hti,8100,1989
hti,10240,1991
hti,6212,1995
hti,6632,1996
hti,10120,1997
hti,9770,1998
hti,9124,1999
hti,10420,2000
hti,10220,2001
hti,12070,2002
hti,14000,2003
hti,14530,2004
hti,14310,2005
hti,13960,2006
hti,14130,2007
hnd,1674,1980
hnd,1696,1981
hnd,1714,1982
hnd,1935,1983
hnd,2120,1984
hnd,3377,1985
hnd,4213,1986
hnd,4227,1987
hnd,3962,1988
hnd,4026,1989
hnd,3647,1990
hnd,4560,1991
hnd,4155,1992
hnd,3745,1993
hnd,4291,1994
hnd,4984,1995
hnd,4176,1996
hnd,4030,1997
hnd,4916,1998
hnd,4568,1999
hnd,6406,2000
hnd,5048,2001
hnd,4485,2002
hnd,3858,2003
hnd,3594,2004
hnd,3333,2005
hnd,3197,2006
hnd,2772,2007
hun,5412,1980
hun,5322,1981
hun,5181,1982
hun,5028,1983
hun,4472,1984
hun,4852,1985
hun,4522,1986
hun,4125,1987
hun,4016,1988
hun,3769,1989
hun,3588,1990
hun,3658,1991
hun,3960,1992
hun,4209,1993
hun,4163,1994
hun,4339,1995
hun,4403,1996
hun,4240,1997
hun,3999,1998
hun,3532,1999
hun,3073,2000
hun,2923,2001
hun,2720,2002
hun,2507,2003
hun,2251,2004
hun,1808,2005
hun,1687,2006
hun,1540,2007
isl,25,1980
isl,23,1981
isl,25,1982
isl,24,1983
isl,26,1984
isl,13,1985
isl,13,1986
isl,12,1987
isl,16,1988
isl,18,1989
isl,18,1990
isl,15,1991
isl,16,1992
isl,11,1993
isl,18,1994
isl,12,1995
isl,11,1996
isl,10,1997
isl,17,1998
isl,10,1999
isl,13,2000
isl,12,2001
isl,8,2002
isl,5,2003
isl,11,2004
isl,10,2005
isl,13,2006
isl,12,2007
ind,705600,1980
ind,769500,1981
ind,923100,1982
ind,1075000,1983
ind,1109000,1984
ind,1169000,1985
ind,1280000,1986
ind,1403000,1987
ind,1457000,1988
ind,1510000,1989
ind,1519000,1990
ind,1555000,1991
ind,1121000,1992
ind,1081000,1993
ind,1114000,1994
ind,1218000,1995
ind,1290000,1996
ind,1133000,1997
ind,1102000,1998
ind,1219000,1999
ind,1116000,2000
ind,1085000,2001
ind,1061000,2002
ind,1073000,2003
ind,1136000,2004
ind,1156000,2005
ind,1229000,2006
ind,1296000,2007
idn,25240,1980
idn,32460,1981
idn,33000,1982
idn,31810,1983
idn,32430,1984
idn,17680,1985
idn,16750,1986
idn,97500,1988
idn,105500,1989
idn,74470,1990
idn,60810,1991
idn,98460,1992
idn,62970,1993
idn,49650,1994
idn,35530,1995
idn,24650,1996
idn,22180,1997
idn,40500,1998
idn,69060,1999
idn,84590,2000
idn,92790,2001
idn,155200,2002
idn,174200,2003
idn,210200,2004
idn,254600,2005
idn,277600,2006
idn,275200,2007
irn,42720,1980
irn,11730,1981
irn,9509,1982
irn,8589,1983
irn,10490,1984
irn,8728,1985
irn,8032,1986
irn,10030,1987
irn,9967,1988
irn,12000,1989
irn,9255,1990
irn,14250,1991
irn,14120,1992
irn,20570,1993
irn,13020,1994
irn,15940,1995
irn,14190,1996
irn,12660,1997
irn,11790,1998
irn,12060,1999
irn,11850,2000
irn,11780,2001
irn,11460,2002
irn,10900,2003
irn,10170,2004
irn,9192,2005
irn,9361,2006
irn,9316,2007
irq,11810,1980
irq,10610,1981
irq,7741,1982
irq,6970,1983
irq,6807,1984
irq,6485,1985
irq,6846,1986
irq,6517,1987
irq,11380,1988
irq,14310,1989
irq,14740,1990
irq,13530,1991
irq,14900,1992
irq,18550,1993
irq,19730,1994
irq,9697,1995
irq,29200,1996
irq,26610,1997
irq,29410,1998
irq,29900,1999
irq,9697,2000
irq,10480,2001
irq,11900,2002
irq,11660,2003
irq,10500,2004
irq,9454,2005
irq,8043,2006
irq,7863,2007
irl,1152,1980
irl,1018,1981
irl,975,1982
irl,924,1983
irl,837,1984
irl,804,1985
irl,602,1986
irl,581,1987
irl,534,1988
irl,672,1989
irl,624,1990
irl,640,1991
irl,604,1992
irl,598,1993
irl,544,1994
irl,458,1995
irl,434,1996
irl,416,1997
irl,424,1998
irl,455,1999
irl,386,2000
irl,393,2001
irl,375,2002
irl,354,2003
irl,380,2004
irl,387,2005
irl,416,2006
irl,425,2007
isr,249,1980
isr,227,1981
isr,232,1982
isr,222,1983
isr,257,1984
isr,368,1985
isr,239,1986
isr,184,1987
isr,226,1988
isr,160,1989
isr,234,1990
isr,505,1991
isr,345,1992
isr,419,1993
isr,395,1994
isr,398,1995
isr,369,1996
isr,422,1997
isr,656,1998
isr,490,1999
isr,557,2000
isr,546,2001
isr,485,2002
isr,505,2003
isr,497,2004
isr,402,2005
isr,384,2006
isr,392,2007
ita,3311,1980
ita,3182,1981
ita,3850,1982
ita,4253,1983
ita,3472,1984
ita,4113,1985
ita,4077,1986
ita,3278,1987
ita,3610,1988
ita,3996,1989
ita,4246,1990
ita,3719,1991
ita,4685,1992
ita,4734,1993
ita,5816,1994
ita,5627,1995
ita,4155,1996
ita,4596,1997
ita,5727,1998
ita,4429,1999
ita,3501,2000
ita,4287,2001
ita,3925,2002
ita,4234,2003
ita,3968,2004
ita,3828,2005
ita,4145,2006
ita,2695,2007
jam,176,1980
jam,178,1981
jam,153,1982
jam,157,1983
jam,160,1984
jam,130,1985
jam,88,1986
jam,133,1987
jam,65,1988
jam,86,1989
jam,123,1990
jam,121,1991
jam,111,1992
jam,115,1993
jam,109,1994
jam,109,1995
jam,121,1996
jam,118,1997
jam,121,1998
jam,115,1999
jam,127,2000
jam,121,2001
jam,106,2002
jam,120,2003
jam,116,2004
jam,90,2005
jam,95,2006
jam,104,2007
jpn,70920,1980
jpn,65870,1981
jpn,63940,1982
jpn,62020,1983
jpn,61520,1984
jpn,58570,1985
jpn,56690,1986
jpn,56500,1987
jpn,54360,1988
jpn,53110,1989
jpn,51820,1990
jpn,50610,1991
jpn,48960,1992
jpn,48460,1993
jpn,44420,1994
jpn,43080,1995
jpn,42120,1996
jpn,42190,1997
jpn,44020,1998
jpn,40800,1999
jpn,39380,2000
jpn,35490,2001
jpn,32830,2002
jpn,31640,2003
jpn,29740,2004
jpn,27190,2005
jpn,25300,2006
jpn,24780,2007
jor,298,1980
jor,646,1981
jor,860,1982
jor,856,1983
jor,672,1984
jor,769,1985
jor,592,1986
jor,537,1987
jor,553,1988
jor,484,1989
jor,439,1990
jor,390,1991
jor,504,1992
jor,427,1993
jor,443,1994
jor,498,1995
jor,468,1996
jor,397,1997
jor,380,1998
jor,373,1999
jor,306,2000
jor,342,2001
jor,312,2002
jor,310,2003
jor,324,2004
jor,367,2005
jor,359,2006
jor,336,2007
kaz,14440,1980
kaz,13880,1981
kaz,13810,1982
kaz,13360,1983
kaz,12560,1984
kaz,12420,1985
kaz,13090,1986
kaz,13290,1987
kaz,13500,1988
kaz,13310,1989
kaz,10970,1990
kaz,10820,1991
kaz,10920,1992
kaz,10420,1993
kaz,10520,1994
kaz,11310,1995
kaz,13940,1996
kaz,16110,1997
kaz,20620,1998
kaz,24980,1999
kaz,25840,2000
kaz,26220,2001
kaz,27550,2002
kaz,26940,2003
kaz,26490,2004
kaz,25740,2005
kaz,23730,2006
kaz,24780,2007
ken,11050,1980
ken,10030,1981
ken,11970,1983
ken,10460,1985
ken,10020,1986
ken,10520,1987
ken,10960,1988
ken,12590,1989
ken,11790,1990
ken,12320,1991
ken,14600,1992
ken,20450,1993
ken,22930,1994
ken,28140,1995
ken,34980,1996
ken,39740,1997
ken,48940,1998
ken,57270,1999
ken,64160,2000
ken,73020,2001
ken,80180,2002
ken,91520,2003
ken,100600,2004
ken,102700,2005
ken,108300,2006
ken,106400,2007
kir,146,1980
kir,187,1981
kir,193,1982
kir,127,1983
kir,111,1984
kir,103,1985
kir,129,1986
kir,110,1987
kir,208,1988
kir,121,1989
kir,68,1990
kir,91,1991
kir,100,1992
kir,99,1993
kir,253,1994
kir,327,1996
kir,464,1997
kir,276,1998
kir,255,1999
kir,252,2000
kir,189,2001
kir,196,2002
kir,284,2003
kir,310,2004
kir,332,2005
kir,378,2006
kir,334,2007
kwt,847,1980
kwt,819,1981
kwt,880,1982
kwt,855,1983
kwt,812,1984
kwt,717,1985
kwt,611,1986
kwt,540,1987
kwt,480,1988
kwt,468,1989
kwt,277,1990
kwt,330,1991
kwt,282,1992
kwt,217,1993
kwt,237,1994
kwt,336,1995
kwt,400,1996
kwt,528,1997
kwt,564,1998
kwt,515,1999
kwt,513,2000
kwt,496,2001
kwt,585,2002
kwt,566,2003
kwt,557,2004
kwt,517,2005
kwt,644,2006
kwt,646,2007
kgz,1973,1980
kgz,2085,1981
kgz,2051,1982
kgz,1981,1983
kgz,2022,1984
kgz,2094,1985
kgz,2122,1986
kgz,2088,1987
kgz,2159,1988
kgz,2132,1989
kgz,2306,1990
kgz,2515,1991
kgz,2582,1992
kgz,2427,1993
kgz,2726,1994
kgz,3393,1995
kgz,4093,1996
kgz,5189,1997
kgz,5706,1998
kgz,6376,1999
kgz,6205,2000
kgz,6654,2001
kgz,6613,2002
kgz,6172,2003
kgz,6104,2004
kgz,6329,2005
kgz,6174,2006
kgz,6098,2007
lao,7630,1980
lao,4706,1982
lao,4700,1983
lao,6528,1984
lao,4258,1985
lao,1514,1986
lao,3468,1987
lao,7279,1988
lao,2952,1989
lao,1826,1990
lao,1951,1991
lao,994,1992
lao,2093,1993
lao,1135,1994
lao,830,1995
lao,1440,1996
lao,1923,1997
lao,2149,1998
lao,2420,1999
lao,2227,2000
lao,2418,2001
lao,2621,2002
lao,2748,2003
lao,3162,2004
lao,3777,2005
lao,3958,2006
lao,3905,2007
lva,1194,1980
lva,1140,1981
lva,1077,1982
lva,1072,1983
lva,1054,1984
lva,1223,1985
lva,982,1986
lva,948,1987
lva,938,1988
lva,857,1989
lva,906,1990
lva,943,1991
lva,955,1992
lva,994,1993
lva,1131,1994
lva,1541,1995
lva,1761,1996
lva,2003,1997
lva,2182,1998
lva,1891,1999
lva,1982,2000
lva,2000,2001
lva,1803,2002
lva,1686,2003
lva,1579,2004
lva,1409,2005
lva,1290,2006
lva,1227,2007
lbn,67,1981
lbn,75,1982
lbn,284,1983
lbn,410,1984
lbn,1943,1985
lbn,2257,1986
lbn,2478,1987
lbn,884,1991
lbn,884,1992
lbn,940,1994
lbn,983,1995
lbn,836,1996
lbn,701,1997
lbn,640,1998
lbn,679,1999
lbn,571,2000
lbn,516,2001
lbn,437,2002
lbn,380,2003
lbn,393,2004
lbn,391,2005
lbn,375,2006
lbn,476,2007
lso,4082,1980
lso,3830,1981
lso,4932,1982
lso,3443,1983
lso,2923,1984
lso,2927,1985
lso,21,1986
lso,225,1987
lso,2346,1988
lso,2463,1989
lso,2525,1990
lso,2994,1991
lso,3327,1992
lso,3384,1993
lso,4334,1994
lso,5181,1995
lso,5598,1996
lso,6447,1997
lso,7806,1998
lso,8552,1999
lso,9746,2000
lso,10110,2002
lso,12010,2003
lso,11400,2004
lso,10800,2005
lso,12070,2006
lso,2319,2007
lbr,774,1980
lbr,1002,1981
lbr,835,1982
lbr,885,1983
lbr,425,1985
lbr,232,1986
lbr,384,1987
lbr,894,1988
lbr,1948,1992
lbr,1766,1993
lbr,1764,1994
lbr,1393,1995
lbr,840,1996
lbr,1753,1998
lbr,1500,2000
lbr,1751,2001
lbr,3419,2002
lbr,2511,2003
lbr,4337,2004
lbr,3432,2005
lbr,4447,2006
lby,718,1980
lby,481,1981
lby,512,1982
lby,610,1983
lby,357,1984
lby,325,1985
lby,276,1986
lby,331,1987
lby,416,1988
lby,265,1989
lby,442,1990
lby,239,1991
lby,1164,1992
lby,1440,1995
lby,1282,1996
lby,1575,1998
lby,1615,1999
lby,1341,2000
lby,1824,2002
lby,1917,2003
lby,1653,2004
lby,2098,2005
lby,2022,2006
lby,2119,2007
ltu,1636,1980
ltu,1599,1981
ltu,1495,1982
ltu,1477,1983
ltu,1420,1984
ltu,1453,1985
ltu,1412,1986
ltu,1372,1987
ltu,1339,1988
ltu,1381,1989
ltu,1471,1990
ltu,1556,1991
ltu,1598,1992
ltu,1895,1993
ltu,2135,1994
ltu,2362,1995
ltu,2608,1996
ltu,2926,1997
ltu,3016,1998
ltu,2800,1999
ltu,2657,2000
ltu,2598,2001
ltu,2414,2002
ltu,2586,2003
ltu,2036,2004
ltu,2114,2005
ltu,2365,2006
ltu,2235,2007
lux,71,1980
lux,45,1981
lux,41,1982
lux,41,1983
lux,46,1984
lux,42,1985
lux,45,1986
lux,48,1987
lux,16,1988
lux,45,1989
lux,48,1990
lux,48,1991
lux,25,1992
lux,35,1993
lux,33,1994
lux,32,1995
lux,41,1996
lux,38,1997
lux,44,1998
lux,37,1999
lux,44,2000
lux,31,2001
lux,31,2002
lux,54,2003
lux,31,2004
lux,37,2005
lux,33,2006
lux,39,2007
mdg,9082,1980
mdg,7464,1981
mdg,3573,1982
mdg,3588,1983
mdg,8673,1984
mdg,3220,1985
mdg,3717,1986
mdg,4007,1987
mdg,4393,1988
mdg,5417,1989
mdg,6261,1990
mdg,6015,1991
mdg,8126,1992
mdg,9855,1993
mdg,10670,1994
mdg,21620,1995
mdg,12720,1996
mdg,14660,1998
mdg,16450,2001
mdg,16720,2002
mdg,19310,2003
mdg,20000,2004
mdg,18990,2005
mdg,21970,2006
mdg,21860,2007
mwi,4758,1980
mwi,5033,1981
mwi,4411,1982
mwi,4707,1983
mwi,4404,1984
mwi,5335,1985
mwi,6260,1986
mwi,7581,1987
mwi,8359,1988
mwi,9431,1989
mwi,12400,1990
mwi,14740,1991
mwi,14240,1992
mwi,17100,1993
mwi,19500,1994
mwi,19160,1995
mwi,20630,1996
mwi,20680,1997
mwi,22670,1998
mwi,24400,1999
mwi,23600,2000
mwi,26090,2001
mwi,24600,2002
mwi,25840,2003
mwi,27030,2004
mwi,25490,2005
mwi,25050,2006
mwi,24460,2007
mys,11220,1980
mys,10970,1981
mys,11940,1982
mys,11630,1983
mys,10580,1984
mys,10570,1985
mys,10740,1986
mys,11070,1987
mys,10940,1988
mys,10690,1989
mys,11700,1990
mys,11060,1991
mys,11420,1992
mys,12280,1993
mys,11710,1994
mys,11780,1995
mys,12690,1996
mys,13540,1997
mys,14120,1998
mys,14910,1999
mys,15060,2000
mys,14830,2001
mys,14390,2002
mys,15670,2003
mys,14990,2004
mys,15340,2005
mys,16050,2006
mys,16130,2007
mdv,73,1980
mdv,112,1981
mdv,111,1982
mdv,143,1983
mdv,123,1984
mdv,91,1985
mdv,111,1986
mdv,115,1987
mdv,85,1988
mdv,203,1989
mdv,152,1990
mdv,123,1991
mdv,92,1992
mdv,175,1993
mdv,249,1994
mdv,231,1995
mdv,212,1996
mdv,173,1997
mdv,176,1998
mdv,153,1999
mdv,132,2000
mdv,139,2001
mdv,125,2002
mdv,137,2003
mdv,119,2004
mdv,122,2005
mdv,99,2006
mdv,127,2007
mli,839,1980
mli,933,1981
mli,187,1982
mli,532,1983
mli,1872,1984
mli,1621,1985
mli,1851,1986
mli,2534,1987
mli,2578,1988
mli,1626,1989
mli,2933,1990
mli,2631,1991
mli,3113,1992
mli,3204,1993
mli,3075,1994
mli,3087,1995
mli,3655,1996
mli,5022,1997
mli,4142,1998
mli,4466,1999
mli,4216,2000
mli,4457,2002
mli,4496,2003
mli,4525,2004
mli,4697,2005
mli,4989,2006
mli,5166,2007
mlt,24,1980
mlt,26,1981
mlt,13,1982
mlt,24,1983
mlt,15,1984
mlt,11,1985
mlt,14,1986
mlt,14,1987
mlt,12,1988
mlt,16,1989
mlt,13,1990
mlt,26,1991
mlt,30,1992
mlt,26,1993
mlt,25,1994
mlt,11,1995
mlt,28,1996
mlt,11,1997
mlt,16,1998
mlt,22,1999
mlt,16,2000
mlt,16,2001
mlt,24,2002
mlt,6,2003
mlt,18,2004
mlt,21,2005
mlt,30,2006
mlt,38,2007
mrt,7576,1980
mrt,9427,1981
mrt,2327,1982
mrt,2333,1983
mrt,3977,1984
mrt,4406,1985
mrt,2257,1986
mrt,3722,1987
mrt,3928,1988
mrt,4040,1989
mrt,5284,1990
mrt,3064,1991
mrt,4316,1992
mrt,3996,1993
mrt,3849,1995
mrt,3837,1996
mrt,3788,1997
mrt,3617,1998
mrt,3649,1999
mrt,3067,2000
mrt,3326,2004
mrt,2162,2005
mrt,2694,2006
mrt,2969,2007
mus,132,1980
mus,157,1981
mus,121,1982
mus,152,1983
mus,118,1984
mus,111,1985
mus,119,1986
mus,117,1987
mus,114,1988
mus,129,1989
mus,119,1990
mus,134,1991
mus,130,1992
mus,159,1993
mus,149,1994
mus,131,1995
mus,116,1996
mus,121,1997
mus,120,1998
mus,154,1999
mus,160,2000
mus,123,2001
mus,139,2002
mus,137,2003
mus,137,2004
mus,125,2005
mus,114,2006
mus,106,2007
mex,31250,1980
mex,32570,1981
mex,24850,1982
mex,22800,1983
mex,14530,1984
mex,15020,1985
mex,13180,1986
mex,14630,1987
mex,15370,1988
mex,15490,1989
mex,14440,1990
mex,15220,1991
mex,14450,1992
mex,15140,1993
mex,16350,1994
mex,11330,1995
mex,20720,1996
mex,23580,1997
mex,21510,1998
mex,19800,1999
mex,18430,2000
mex,18880,2001
mex,17790,2002
mex,17080,2003
mex,15100,2004
mex,18520,2005
mex,17890,2006
mex,18320,2007
fsm,67,1982
fsm,73,1983
fsm,75,1984
fsm,66,1985
fsm,60,1986
fsm,98,1987
fsm,77,1988
fsm,68,1989
fsm,367,1990
fsm,350,1991
fsm,111,1992
fsm,151,1993
fsm,173,1994
fsm,172,1995
fsm,126,1996
fsm,107,1997
fsm,123,1998
fsm,91,2000
fsm,104,2001
fsm,127,2002
fsm,99,2003
fsm,118,2004
fsm,98,2005
fsm,104,2006
fsm,137,2007
mco,1,1980
mco,0,1981
mco,0,1982
mco,0,1983
mco,0,1984
mco,1,1985
mco,2,1986
mco,2,1987
mco,1,1988
mco,1,1989
mco,1,1990
mco,0,1991
mco,1,1992
mco,1,1994
mco,1,1995
mco,0,1996
mco,0,1997
mco,0,1998
mco,3,1999
mco,0,2000
mco,0,2001
mco,0,2002
mng,1160,1980
mng,1094,1981
mng,1325,1982
mng,1514,1983
mng,1652,1984
mng,2994,1985
mng,2819,1986
mng,2433,1987
mng,2538,1988
mng,2233,1989
mng,1659,1990
mng,1611,1991
mng,1516,1992
mng,1418,1993
mng,1730,1994
mng,2780,1995
mng,4062,1996
mng,3592,1997
mng,2915,1998
mng,3348,1999
mng,3109,2000
mng,3526,2001
mng,3829,2002
mng,3918,2003
mng,4542,2004
mng,4601,2005
mng,5049,2006
mng,4654,2007
msr,1,1980
msr,0,1981
msr,0,1982
msr,1,1983
msr,7,1984
msr,9,1985
msr,5,1986
msr,13,1987
msr,6,1988
msr,5,1989
msr,1,1990
msr,1,1991
msr,0,1992
msr,0,1994
msr,1,1998
msr,2,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,1,2003
msr,0,2004
msr,1,2005
msr,0,2006
msr,2,2007
mar,24880,1980
mar,28640,1981
mar,28100,1982
mar,26940,1983
mar,22280,1984
mar,26790,1985
mar,27550,1986
mar,27160,1987
mar,25720,1988
mar,26760,1989
mar,27660,1990
mar,27640,1991
mar,25400,1992
mar,27630,1993
mar,30320,1994
mar,29830,1995
mar,31770,1996
mar,30230,1997
mar,29090,1998
mar,29850,1999
mar,28850,2000
