blood_pressure_sbp_women_mmhg,geo,time
117.6,khm,2001
117.7,khm,2002
117.7,khm,2003
117.8,khm,2004
117.7,khm,2005
117.7,khm,2006
117.6,khm,2007
117.6,khm,2008
125.9,cmr,1980
126.0,cmr,1981
126.1,cmr,1982
126.3,cmr,1983
126.3,cmr,1984
126.4,cmr,1985
126.5,cmr,1986
126.4,cmr,1987
126.2,cmr,1988
126.1,cmr,1989
125.9,cmr,1990
125.7,cmr,1991
125.6,cmr,1992
125.4,cmr,1993
125.3,cmr,1994
125.3,cmr,1995
125.3,cmr,1996
125.3,cmr,1997
125.4,cmr,1998
125.5,cmr,1999
125.6,cmr,2000
125.8,cmr,2001
126.0,cmr,2002
126.2,cmr,2003
126.4,cmr,2004
126.6,cmr,2005
126.9,cmr,2006
127.1,cmr,2007
127.3,cmr,2008
124.9,can,1980
124.7,can,1981
124.6,can,1982
124.4,can,1983
124.2,can,1984
124.1,can,1985
124.0,can,1986
123.9,can,1987
123.8,can,1988
123.6,can,1989
123.5,can,1990
123.4,can,1991
123.2,can,1992
123.1,can,1993
122.9,can,1994
122.7,can,1995
122.4,can,1996
122.2,can,1997
121.9,can,1998
121.6,can,1999
121.3,can,2000
120.9,can,2001
120.5,can,2002
120.1,can,2003
119.7,can,2004
119.3,can,2005
118.9,can,2006
118.5,can,2007
118.1,can,2008
128.6,cpv,1980
128.9,cpv,1981
129.0,cpv,1982
129.3,cpv,1983
129.6,cpv,1984
129.9,cpv,1985
130.2,cpv,1986
130.7,cpv,1987
131.2,cpv,1988
131.5,cpv,1989
131.7,cpv,1990
131.8,cpv,1991
131.9,cpv,1992
131.9,cpv,1993
131.9,cpv,1994
132.0,cpv,1995
132.0,cpv,1996
132.1,cpv,1997
132.2,cpv,1998
132.2,cpv,1999
132.4,cpv,2000
132.5,cpv,2001
132.6,cpv,2002
132.8,cpv,2003
132.9,cpv,2004
133.0,cpv,2005
133.2,cpv,2006
133.3,cpv,2007
133.4,cpv,2008
129.7,caf,1980
129.7,caf,1981
129.7,caf,1982
129.6,caf,1983
129.5,caf,1984
129.4,caf,1985
129.4,caf,1986
129.3,caf,1987
129.2,caf,1988
129.2,caf,1989
129.2,caf,1990
129.2,caf,1991
129.2,caf,1992
129.2,caf,1993
129.2,caf,1994
129.2,caf,1995
129.2,caf,1996
129.3,caf,1997
129.4,caf,1998
129.4,caf,1999
129.5,caf,2000
129.7,caf,2001
129.8,caf,2002
129.9,caf,2003
130.0,caf,2004
130.1,caf,2005
130.3,caf,2006
130.4,caf,2007
130.6,caf,2008
122.6,tcd,1980
122.7,tcd,1981
122.8,tcd,1982
123.0,tcd,1983
123.3,tcd,1984
123.6,tcd,1985
123.8,tcd,1986
124.1,tcd,1987
124.4,tcd,1988
124.7,tcd,1989
124.9,tcd,1990
125.1,tcd,1991
