cell_phones_per_100_people,geo,time
44.98,brn,2002
50.85,brn,2003
56.88,brn,2004
64.14,brn,2005
81.39,brn,2006
96.99,brn,2007
103.7,brn,2008
105.4,brn,2009
109.1,brn,2010
109.2,brn,2011
0.0,bgr,1965
0.0,bgr,1970
0.0,bgr,1975
0.0,bgr,1976
0.0,bgr,1977
0.0,bgr,1978
0.0,bgr,1979
0.0,bgr,1980
0.0,bgr,1981
0.0,bgr,1982
0.0,bgr,1983
0.0,bgr,1984
0.0,bgr,1985
0.0,bgr,1986
0.0,bgr,1987
0.0,bgr,1988
0.0,bgr,1989
0.0,bgr,1990
0.0,bgr,1991
0.0,bgr,1992
0.0117,bgr,1993
0.07692,bgr,1994
0.2503,bgr,1995
0.3214,bgr,1996
0.8539,bgr,1997
1.562,bgr,1998
4.339,bgr,1999
9.218,bgr,2000
19.5,bgr,2001
32.91,bgr,2002
44.65,bgr,2003
60.72,bgr,2004
80.69,bgr,2005
107.3,bgr,2006
129.5,bgr,2007
137.4,bgr,2008
138.6,bgr,2009
136.1,bgr,2010
140.7,bgr,2011
0.0,bfa,1965
0.0,bfa,1970
0.0,bfa,1975
0.0,bfa,1976
0.0,bfa,1977
0.0,bfa,1978
0.0,bfa,1979
0.0,bfa,1980
0.0,bfa,1981
0.0,bfa,1982
0.0,bfa,1983
0.0,bfa,1984
0.0,bfa,1985
0.0,bfa,1986
0.0,bfa,1987
0.0,bfa,1988
0.0,bfa,1989
0.0,bfa,1990
0.0,bfa,1991
0.0,bfa,1992
0.0,bfa,1993
0.0,bfa,1994
0.0,bfa,1995
0.004776,bfa,1996
0.0133,bfa,1997
0.02349,bfa,1998
0.04214,bfa,1999
0.2053,bfa,2000
0.6023,bfa,2001
0.8529,bfa,2002
1.777,bfa,2003
2.871,bfa,2004
4.462,bfa,2005
6.952,bfa,2006
12.34,bfa,2007
19.49,bfa,2008
23.92,bfa,2009
34.66,bfa,2010
45.27,bfa,2011
0.0,bdi,1965
0.0,bdi,1970
0.0,bdi,1975
0.0,bdi,1976
0.0,bdi,1977
0.0,bdi,1978
0.0,bdi,1979
0.0,bdi,1980
0.0,bdi,1981
0.0,bdi,1982
0.0,bdi,1983
0.0,bdi,1984
0.0,bdi,1985
0.0,bdi,1986
0.0,bdi,1987
0.0,bdi,1988
0.0,bdi,1989
0.0,bdi,1990
0.0,bdi,1991
0.0,bdi,1992
0.005949,bdi,1993
0.006282,bdi,1994
0.009266,bdi,1995
0.009136,bdi,1996
0.01001,bdi,1997
0.009962,bdi,1998
0.01273,bdi,1999
0.256,bdi,2000
0.5141,bdi,2001
0.7812,bdi,2002
0.9358,bdi,2003
1.429,bdi,2004
2.11,bdi,2005
2.676,bdi,2006
3.503,bdi,2007
6.05,bdi,2008
10.26,bdi,2009
13.72,bdi,2010
14.46,bdi,2011
