geo,female_industry_workers_percent_of_female_labour_force,time
pri,10.3,2007
qat,1.9,1997
qat,3.1,2001
qat,3.1,2004
qat,3.9,2006
mda,10.2,2000
mda,10.2,2001
mda,10.8,2002
mda,11.9,2003
mda,11.6,2004
mda,11.5,2005
mda,12.4,2006
mda,12.4,2007
rou,33.9,1980
rou,34.4,1981
rou,35.0,1982
rou,35.3,1983
rou,35.7,1984
rou,36.4,1985
rou,36.7,1986
rou,36.7,1987
rou,37.1,1988
rou,37.7,1989
rou,36.5,1990
rou,33.7,1991
rou,29.7,1992
rou,28.6,1993
rou,26.4,1994
rou,24.3,1995
rou,25.5,1996
rou,24.1,1997
rou,23.5,1998
rou,21.9,1999
rou,21.1,2000
rou,21.6,2001
rou,24.4,2002
rou,24.9,2003
rou,26.1,2004
rou,24.8,2005
rou,25.3,2006
rou,24.7,2007
rus,23.2,1997
rus,22.6,1998
rus,21.6,1999
rus,21.7,2000
rus,22.8,2001
rus,22.6,2002
rus,22.3,2003
rus,21.7,2004
rus,21.2,2005
rus,20.7,2006
rus,20.2,2007
rwa,0.7,1989
kna,17.3,1984
lca,19.2,1993
lca,20.5,1994
lca,24.4,1995
lca,18.9,1996
lca,15.4,1997
lca,13.9,1998
lca,13.5,1999
lca,14.7,2000
lca,10.9,2002
lca,9.5,2003
lca,9.5,2004
vct,11.0,1991
vct,7.6,2001
smr,43.9,1980
smr,42.9,1981
smr,41.2,1982
smr,40.1,1983
smr,38.2,1984
smr,38.8,1985
smr,37.4,1986
smr,36.3,1987
smr,34.7,1988
smr,33.7,1989
smr,31.7,1990
smr,30.8,1991
smr,28.8,1992
smr,27.9,1993
smr,27.2,1995
smr,26.2,1996
smr,25.7,1997
smr,25.0,1998
smr,24.5,1999
smr,24.2,2001
smr,23.8,2002
smr,24.3,2003
smr,24.2,2004
smr,23.4,2005
smr,23.3,2006
smr,22.0,2007
stp,8.3,1980
stp,3.4,1981
stp,3.7,1982
stp,5.7,1983
stp,3.2,1984
stp,2.5,1991
stp,5.9,2000
sau,1.7,1999
sau,1.5,2000
sau,1.1,2001
sau,1.2,2002
sau,1.0,2006
sau,1.1,2007
sen,4.9,2006
srb,18.5,2004
srb,17.5,2005
srb,18.7,2006
srb,19.6,2007
sle,2.5,2004
sgp,40.3,1980
sgp,40.0,1981
sgp,37.7,1982
sgp,36.2,1983
sgp,36.2,1984
sgp,33.4,1985
sgp,33.3,1986
sgp,35.2,1987
sgp,35.7,1988
sgp,35.3,1989
sgp,34.3,1990
sgp,32.9,1991
sgp,32.1,1992
sgp,30.4,1993
sgp,28.5,1994
sgp,25.0,1995
sgp,26.1,1996
sgp,26.6,1997
sgp,25.2,1998
sgp,24.8,1999
sgp,20.9,2000
sgp,20.7,2001
sgp,20.4,2002
sgp,20.2,2003
sgp,19.2,2004
sgp,16.8,2006
sgp,17.6,2007
svk,29.2,1994
svk,28.6,1995
svk,28.5,1996
svk,27.4,1997
svk,27.1,1998
svk,26.1,1999
svk,25.5,2000
svk,25.6,2001
svk,26.4,2002
svk,25.7,2003
svk,26.2,2004
svk,25.2,2005
svk,24.8,2006
svk,24.3,2007
svn,35.7,1993
svn,33.8,1994
svn,33.5,1995
svn,32.4,1996
svn,30.8,1997
svn,29.8,1998
svn,27.8,1999
svn,28.3,2000
svn,28.5,2001
svn,28.6,2002
svn,25.9,2003
svn,25.3,2004
svn,25.3,2005
svn,23.4,2006
svn,23.1,2007
zaf,12.1,2000
zaf,14.0,2001
zaf,13.9,2002
zaf,13.5,2003
zaf,14.6,2004
zaf,13.7,2005
zaf,13.7,2006
zaf,13.5,2007
esp,21.3,1980
esp,20.0,1981
esp,19.2,1982
esp,18.4,1983
esp,17.4,1984
esp,16.8,1985
esp,16.8,1986
esp,17.4,1987
esp,17.2,1988
esp,17.0,1989
esp,17.4,1990
esp,16.8,1991
esp,16.2,1992
esp,15.0,1993
esp,14.5,1994
esp,14.0,1995
esp,13.9,1996
esp,13.6,1997
esp,13.7,1998
esp,13.9,1999
esp,14.5,2000
esp,14.4,2001
esp,14.3,2002
esp,13.3,2003
esp,12.9,2004
esp,12.4,2005
esp,11.6,2006
esp,11.6,2007
lka,17.5,1981
lka,19.9,1985
lka,22.4,1993
lka,25.6,1994
lka,28.7,1995
lka,24.2,1996
lka,22.2,1998
lka,55.9,2001
lka,27.5,2005
lka,0.8,2006
lka,27.1,2007
shn,2.2,1998
sur,6.1,1992
sur,6.7,1993
sur,6.9,1994
sur,4.5,1995
sur,5.7,1996
sur,5.5,1997
sur,9.8,1998
sur,0.5,1999
sur,8.4,2004
swe,16.2,1980
swe,15.3,1981
swe,14.5,1982
swe,14.3,1983
swe,14.1,1984
swe,14.2,1985
swe,14.2,1986
swe,14.4,1987
swe,14.5,1988
swe,14.6,1989
swe,14.1,1990
swe,13.2,1991
swe,12.2,1992
swe,11.7,1993
swe,11.4,1994
swe,11.7,1995
swe,12.1,1996
swe,12.1,1997
swe,12.0,1998
swe,11.7,1999
swe,11.4,2000
swe,11.0,2001
swe,10.4,2002
swe,9.8,2003
swe,9.8,2004
swe,9.3,2005
swe,9.3,2006
swe,9.1,2007
che,23.1,1980
che,22.7,1981
che,21.8,1982
che,20.8,1983
che,20.4,1984
che,20.7,1985
che,20.5,1986
che,19.8,1987
che,19.2,1988
che,18.9,1989
che,18.3,1990
che,16.8,1991
che,15.2,1992
che,14.9,1993
che,15.6,1994
che,15.9,1995
che,15.6,1996
che,14.4,1997
che,13.6,1998
che,13.2,1999
che,13.0,2000
che,13.1,2001
che,12.6,2002
che,12.1,2003
che,12.0,2004
che,11.8,2005
che,12.0,2006
che,11.0,2007
syr,10.9,1983
syr,13.7,1984
syr,12.6,1989
syr,12.7,1993
syr,17.5,1994
syr,10.6,1995
syr,16.3,1997
syr,9.7,1999
syr,7.5,2000
syr,8.0,2001
syr,7.2,2002
syr,8.1,2003
tjk,4.8,2004
tza,1.2,2001
tza,2.1,2006
tha,7.8,1980
tha,10.1,1981
tha,11.1,1982
tha,10.8,1983
tha,10.1,1984
tha,10.7,1985
tha,8.5,1986
tha,10.2,1987
tha,9.1,1988
tha,10.1,1989
tha,12.3,1990
tha,13.8,1991
tha,13.3,1992
tha,15.1,1993
tha,15.3,1994
tha,17.0,1995
tha,17.4,1996
tha,16.7,1997
tha,15.8,1998
tha,16.8,1999
tha,17.1,2000
tha,18.4,2001
tha,18.9,2002
tha,18.8,2003
tha,19.2,2004
tha,18.7,2005
tha,19.0,2006
tha,19.2,2007
mkd,29.6,2002
mkd,30.7,2003
mkd,29.9,2004
mkd,29.9,2005
mkd,29.3,2006
mkd,28.7,2007
ton,12.4,1984
ton,55.3,2003
tto,21.3,1980
tto,20.7,1981
tto,22.1,1982
tto,19.6,1983
tto,18.5,1984
tto,16.6,1985
tto,12.1,1986
tto,12.3,1987
tto,13.1,1988
tto,12.6,1989
tto,15.6,1991
tto,14.2,1992
tto,13.7,1993
tto,13.4,1994
tto,12.7,1995
tto,12.7,1996
tto,12.6,1997
tto,13.2,1998
tto,12.9,1999
tto,13.3,2000
tto,12.6,2001
tto,14.1,2002
tto,13.0,2003
tto,15.0,2004
tto,15.8,2005
tun,47.8,1980
tun,44.1,1989
tur,30.6,1982
tur,27.7,1983
tur,28.7,1984
tur,8.1,1985
tur,8.5,1988
tur,9.3,1989
tur,9.7,1990
tur,8.3,1991
tur,11.2,1992
tur,11.7,1993
tur,10.6,1994
tur,9.9,1995
tur,10.2,1996
tur,11.9,1997
tur,11.3,1998
tur,10.9,1999
tur,13.2,2000
tur,12.1,2001
tur,13.7,2002
tur,13.4,2003
tur,14.1,2004
tur,15.0,2005
tur,15.0,2006
tur,14.8,2007
uga,5.3,2003
are,13.8,1995
are,13.8,2000
are,6.2,2005
gbr,22.6,1980
gbr,20.8,1981
gbr,19.9,1982
gbr,19.0,1983
gbr,18.3,1984
gbr,18.0,1985
gbr,17.3,1986
gbr,16.8,1987
gbr,18.0,1988
gbr,17.7,1989
gbr,17.4,1990
gbr,16.6,1991
gbr,16.2,1992
gbr,15.8,1993
gbr,14.2,1994
gbr,14.0,1995
gbr,13.8,1996
gbr,13.2,1997
gbr,13.0,1998
gbr,12.5,1999
gbr,12.0,2000
gbr,11.4,2001
gbr,10.8,2002
gbr,10.2,2003
gbr,9.6,2004
gbr,9.5,2005
gbr,9.6,2006
gbr,9.4,2007
usa,18.5,1980
usa,18.2,1981
usa,17.3,1982
usa,16.8,1983
usa,17.1,1984
usa,16.5,1985
usa,16.0,1986
usa,15.8,1987
usa,15.8,1988
usa,15.4,1989
usa,14.9,1990
usa,14.5,1991
usa,14.2,1992
usa,13.5,1993
usa,13.4,1994
usa,13.2,1995
usa,13.2,1996
usa,13.1,1997
usa,12.9,1998
usa,12.4,1999
usa,12.3,2000
usa,11.7,2001
usa,10.8,2002
usa,10.1,2003
usa,9.8,2004
usa,9.6,2005
usa,9.4,2006
usa,9.4,2007
ury,21.6,1984
ury,22.4,1986
ury,24.1,1987
ury,22.6,1988
ury,23.1,1989
ury,21.8,1990
ury,23.2,1991
ury,20.5,1992
ury,19.8,1993
ury,18.0,1994
ury,16.7,1995
ury,14.1,1998
ury,13.9,1999
ury,13.4,2000
ury,13.5,2001
ury,12.2,2002
ury,12.2,2003
ury,12.6,2004
ury,12.8,2005
ury,12.5,2006
ury,12.6,2007
ven,18.3,1980
ven,17.3,1981
ven,17.2,1982
ven,15.6,1983
ven,15.5,1984
ven,16.4,1985
ven,17.2,1986
ven,18.3,1987
ven,18.3,1988
ven,16.8,1989
ven,15.5,1990
ven,15.9,1991
ven,15.9,1992
ven,15.3,1993
ven,11.4,2003
ven,11.4,2006
ven,12.0,2007
vnm,8.8,1996
vnm,10.4,1997
vnm,9.2,1998
vnm,9.9,1999
vnm,10.1,2000
vnm,11.2,2001
vnm,11.7,2002
vnm,13.0,2003
vnm,13.7,2004
pse,15.9,1996
pse,14.4,1997
pse,16.9,1998
pse,13.7,1999
pse,11.2,2000
pse,10.4,2001
pse,8.4,2002
pse,7.8,2003
pse,8.2,2004
pse,8.4,2005
pse,8.8,2006
pse,9.7,2007
yem,2.2,1991
yem,2.9,1994
yem,3.9,1998
yem,2.9,1999
zmb,3.3,1990
zmb,2.0,1998
zmb,2.0,2000
zwe,4.6,1999
