geo,all_forms_of_tb_detection_rate_percent,time
gnq,49,1996
gnq,51,1997
gnq,52,1998
gnq,40,2004
est,72,1995
est,59,1996
est,78,1997
est,75,1998
est,68,1999
est,72,2000
est,68,2001
est,70,2002
est,73,2003
est,76,2004
est,74,2005
est,69,2006
est,80,2007
eth,5,1994
eth,19,1995
eth,121,1996
eth,35,1997
eth,37,1998
eth,35,1999
eth,39,2000
eth,36,2001
eth,39,2002
eth,39,2003
eth,39,2004
eth,39,2005
eth,38,2006
eth,40,2007
fji,62,1990
fji,71,1991
fji,71,1992
fji,57,1993
fji,72,1994
fji,67,1995
fji,69,1996
fji,62,1997
fji,63,1998
fji,77,1999
fji,60,2000
fji,79,2001
fji,67,2002
fji,86,2003
fji,66,2004
fji,69,2005
fji,62,2006
fji,54,2007
fin,102,1995
fin,99,1996
fin,89,1997
fin,81,1998
fin,94,1999
fin,92,2000
fin,92,2001
fin,99,2002
fin,97,2003
fin,87,2004
fin,104,2005
fin,88,2006
fin,96,2007
fra,75,1995
fra,68,1996
fra,59,1997
fra,59,1999
fra,51,2000
fra,63,2001
fra,62,2002
fra,64,2003
fra,57,2004
fra,56,2005
fra,56,2006
fra,59,2007
pyf,89,1996
pyf,82,1997
pyf,83,1998
pyf,85,1999
pyf,84,2000
pyf,90,2001
pyf,79,2002
pyf,81,2003
pyf,77,2004
pyf,86,2005
pyf,87,2006
pyf,87,2007
gab,67,1995
gab,45,1996
gab,30,1997
gab,57,1998
gab,62,1999
gab,73,2001
gab,57,2002
gab,59,2003
gab,66,2004
gab,56,2005
gab,61,2006
gab,67,2007
gmb,43,1995
gmb,45,1996
gmb,50,1997
gmb,55,1998
gmb,51,1999
gmb,53,2002
gmb,53,2003
gmb,54,2004
gmb,49,2005
gmb,42,2006
gmb,42,2007
geo,52,1995
geo,112,1996
geo,240,1997
geo,132,1998
geo,121,1999
geo,106,2000
geo,99,2001
geo,114,2002
geo,107,2003
geo,103,2004
geo,115,2005
geo,116,2006
geo,110,2007
deu,92,1995
deu,94,1996
deu,94,1997
deu,93,1998
deu,28,1999
deu,83,2001
deu,93,2002
deu,91,2003
deu,91,2004
deu,91,2005
deu,90,2006
deu,91,2007
gha,10,1995
gha,25,1996
gha,26,1997
gha,24,1998
gha,24,1999
gha,25,2000
gha,26,2001
gha,26,2002
gha,25,2003
gha,25,2004
gha,25,2005
gha,26,2006
gha,26,2007
grc,29,1997
grc,43,1998
grc,38,1999
