child_mortality_0_5_year_olds_dying_per_1000_born,geo,time
399.4,atg,1821
396.1,atg,1822
392.9,atg,1823
389.8,atg,1824
386.6,atg,1825
383.5,atg,1826
380.4,atg,1827
377.3,atg,1828
374.2,atg,1829
371.2,atg,1830
368.2,atg,1831
365.2,atg,1832
362.3,atg,1833
359.4,atg,1834
356.4,atg,1835
353.6,atg,1836
350.7,atg,1837
347.9,atg,1838
345.1,atg,1839
342.3,atg,1840
339.5,atg,1841
336.8,atg,1842
334.0,atg,1843
331.3,atg,1844
328.6,atg,1845
326.0,atg,1846
323.4,atg,1847
320.8,atg,1848
318.1,atg,1849
315.6,atg,1850
313.0,atg,1851
310.5,atg,1852
308.0,atg,1853
305.5,atg,1854
303.0,atg,1855
300.6,atg,1856
298.1,atg,1857
295.7,atg,1858
293.3,atg,1859
291.0,atg,1860
288.6,atg,1861
286.3,atg,1862
284.0,atg,1863
281.7,atg,1864
279.4,atg,1865
277.1,atg,1866
274.9,atg,1867
272.7,atg,1868
270.5,atg,1869
268.3,atg,1870
266.1,atg,1871
264.0,atg,1872
261.8,atg,1873
259.7,atg,1874
257.6,atg,1875
255.5,atg,1876
253.5,atg,1877
251.4,atg,1878
249.4,atg,1879
247.4,atg,1880
245.4,atg,1881
243.4,atg,1882
241.4,atg,1883
239.4,atg,1884
237.5,atg,1885
235.6,atg,1886
233.7,atg,1887
231.8,atg,1888
229.9,atg,1889
228.1,atg,1890
226.2,atg,1891
224.4,atg,1892
222.6,atg,1893
220.8,atg,1894
219.0,atg,1895
217.2,atg,1896
215.5,atg,1897
213.7,atg,1898
212.0,atg,1899
210.3,atg,1900
208.6,atg,1901
206.9,atg,1902
205.2,atg,1903
203.6,atg,1904
201.9,atg,1905
200.3,atg,1906
198.7,atg,1907
197.1,atg,1908
195.5,atg,1909
193.9,atg,1910
192.3,atg,1911
190.8,atg,1912
189.2,atg,1913
187.7,atg,1914
186.2,atg,1915
184.7,atg,1916
183.2,atg,1917
181.7,atg,1918
180.2,atg,1919
178.8,atg,1920
177.3,atg,1921
175.9,atg,1922
174.5,atg,1923
173.1,atg,1924
171.7,atg,1925
170.3,atg,1926
168.9,atg,1927
167.5,atg,1928
166.2,atg,1929
164.8,atg,1930
163.5,atg,1931
162.2,atg,1932
160.9,atg,1933
159.6,atg,1934
158.3,atg,1935
157.0,atg,1936
155.7,atg,1937
154.5,atg,1938
153.2,atg,1939
152.0,atg,1940
149.7,atg,1941
147.5,atg,1942
145.2,atg,1943
143.1,atg,1944
140.9,atg,1945
138.8,atg,1946
136.7,atg,1947
134.6,atg,1948
132.5,atg,1949
130.5,atg,1950
127.2,atg,1951
122.7,atg,1952
118.2,atg,1953
113.6,atg,1954
109.0,atg,1955
105.0,atg,1956
100.3,atg,1957
95.72,atg,1958
91.26,atg,1959
87.45,atg,1960
83.25,atg,1961
79.65,atg,1962
76.18,atg,1963
72.78,atg,1964
69.91,atg,1965
66.69,atg,1966
63.53,atg,1967
60.97,atg,1968
58.16,atg,1969
55.87,atg,1970
53.73,atg,1971
51.35,atg,1972
49.44,atg,1973
47.58,atg,1974
45.77,atg,1975
43.98,atg,1976
42.22,atg,1977
40.83,atg,1978
39.16,atg,1979
37.53,atg,1980
