murdered_children_0_14_per_100000_people,geo,time
0.4338,kor,1987
0.3181,kor,1988
0.5171,kor,1989
0.5512,kor,1990
0.4004,kor,1991
0.383,kor,1992
0.7431,kor,1993
0.5212,kor,1994
0.5857,kor,1995
0.5431,kor,1996
0.7628,kor,1997
0.9798,kor,1998
0.5338,kor,1999
0.7435,kor,2000
0.7053,kor,2001
0.9336,kor,2002
0.8267,kor,2003
0.9184,kor,2004
0.9182,kor,2005
0.6532,kor,2006
1.29,kwt,1972
0.5196,kwt,1975
0.2833,kwt,1976
0.665,kwt,1977
0.1563,kwt,1978
0.0,kwt,1979
0.1625,kwt,1980
0.0,kwt,1981
0.0,kwt,1982
0.2063,kwt,1983
0.8108,kwt,1984
0.3003,kwt,1985
0.1531,kwt,1986
0.2635,kwt,1987
0.253,kwt,1993
0.182,kwt,1994
0.1751,kwt,1995
0.188,kwt,1996
0.5507,kwt,1997
0.3648,kwt,1998
0.3517,kwt,1999
0.5004,kwt,2000
0.6709,kwt,2001
0.5547,kwt,2002
0.0,kwt,2008
1.41,kgz,1981
0.9545,kgz,1982
0.4428,kgz,1985
0.7528,kgz,1986
0.7786,kgz,1987
0.9519,kgz,1988
0.4083,kgz,1989
1.346,kgz,1990
0.5936,kgz,1991
0.8661,kgz,1992
0.7038,kgz,1993
0.3761,kgz,1994
0.3588,kgz,1995
0.3633,kgz,1996
0.4847,kgz,1997
0.3608,kgz,1998
0.7193,kgz,1999
0.6917,kgz,2000
0.6028,kgz,2001
0.5957,kgz,2002
0.6591,kgz,2003
0.3898,kgz,2004
0.4886,kgz,2005
0.4205,kgz,2006
0.3302,kgz,2007
0.965,lva,1980
1.557,lva,1981
0.1894,lva,1982
1.655,lva,1983
1.103,lva,1984
1.434,lva,1985
0.5118,lva,1986
0.3535,lva,1987
1.585,lva,1988
1.006,lva,1989
0.5416,lva,1990
0.5211,lva,1991
1.17,lva,1992
1.195,lva,1993
1.997,lva,1994
1.115,lva,1995
1.908,lva,1996
