geo,population_aged_15_19_years_male_percent,time
lao,7.784,2050
lva,9.727,1950
lva,10.31,1955
lva,9.14,1960
lva,8.105,1965
lva,8.056,1970
lva,8.422,1975
lva,8.391,1980
lva,7.46,1985
lva,7.68,1990
lva,7.224,1995
lva,8.257,2000
lva,9.108,2005
lva,6.583,2010
lva,4.724,2015
lva,5.095,2020
lva,5.816,2025
lva,6.25,2030
lva,6.29,2035
lva,5.902,2040
lva,5.234,2045
lva,4.972,2050
lbn,10.04,1950
lbn,8.889,1955
lbn,7.781,1960
lbn,8.802,1965
lbn,10.33,1970
lbn,11.32,1975
lbn,11.36,1980
lbn,11.28,1985
lbn,10.99,1990
lbn,10.13,1995
lbn,9.746,2000
lbn,9.605,2005
lbn,9.506,2010
lbn,9.238,2015
lbn,7.531,2020
lbn,7.001,2025
lbn,6.984,2030
lbn,6.986,2035
lbn,6.866,2040
lbn,6.537,2045
lbn,6.156,2050
lso,10.12,1950
lso,10.27,1955
lso,10.58,1960
lso,11.37,1965
lso,11.34,1970
lso,11.53,1975
lso,11.73,1980
lso,11.65,1985
lso,11.86,1990
lso,12.52,1995
lso,13.14,2000
lso,13.16,2005
lso,12.69,2010
lso,12.45,2015
lso,11.77,2020
lso,11.4,2025
lso,11.17,2030
lso,10.96,2035
lso,10.6,2040
lso,10.12,2045
lso,9.778,2050
lbr,10.32,1950
lbr,10.15,1955
lbr,9.962,1960
lbr,9.539,1965
lbr,9.348,1970
lbr,10.92,1975
lbr,11.24,1980
lbr,10.79,1985
lbr,9.729,1990
lbr,10.62,1995
lbr,10.74,2000
lbr,10.71,2005
lbr,10.74,2010
lbr,10.89,2015
lbr,10.85,2020
lbr,10.75,2025
lbr,10.58,2030
lbr,10.24,2035
lbr,9.792,2040
lbr,9.361,2045
lbr,8.992,2050
lby,9.416,1950
lby,9.756,1955
lby,10.12,1960
lby,9.762,1965
lby,9.828,1970
lby,9.487,1975
lby,9.407,1980
lby,10.12,1985
lby,11.3,1990
lby,12.0,1995
lby,12.74,2000
lby,9.736,2005
lby,8.22,2010
lby,8.204,2015
lby,8.616,2020
lby,8.84,2025
lby,8.556,2030
lby,7.687,2035
lby,6.651,2040
lby,6.006,2045
lby,5.981,2050
ltu,10.09,1950
ltu,9.667,1955
ltu,9.326,1960
ltu,7.792,1965
ltu,8.215,1970
ltu,9.208,1975
ltu,9.334,1980
ltu,8.568,1985
ltu,8.005,1990
ltu,7.485,1995
ltu,8.105,2000
ltu,8.726,2005
ltu,7.617,2010
ltu,5.966,2015
ltu,5.003,2020
ltu,5.327,2025
ltu,5.681,2030
ltu,5.83,2035
ltu,5.86,2040
ltu,5.564,2045
ltu,5.143,2050
lux,8.844,1950
lux,6.579,1955
lux,6.452,1960
lux,6.748,1965
lux,7.784,1970
lux,7.821,1975
lux,7.91,1980
lux,7.263,1985
lux,5.882,1990
lux,6.0,1995
lux,5.66,2000
lux,6.087,2005
lux,6.557,2010
lux,6.615,2015
lux,5.861,2020
lux,5.517,2025
lux,5.537,2030
lux,5.573,2035
lux,5.882,2040
lux,5.983,2045
lux,5.738,2050
mac,11.0,1950
mac,7.527,1955
mac,7.059,1960
mac,11.43,1965
mac,16.03,1970
mac,14.73,1975
mac,11.02,1980
mac,7.947,1985
mac,6.593,1990
mac,6.03,1995
mac,8.057,2000
