geo,female_agriculture_workers_percent_of_female_labour_force,time
pri,0.4,2006
pri,0.4,2007
qat,0.0,1997
qat,0.0,2001
qat,0.1,2004
qat,0.0,2006
mda,49.8,2000
mda,50.3,2001
mda,48.6,2002
mda,41.7,2003
mda,40.1,2004
mda,40.3,2005
mda,31.9,2006
mda,30.1,2007
rou,39.3,1980
rou,38.5,1981
rou,37.9,1982
rou,37.8,1983
rou,37.5,1984
rou,36.6,1985
rou,36.2,1986
rou,36.1,1987
rou,35.5,1988
rou,34.6,1989
rou,34.3,1990
rou,33.7,1991
rou,37.7,1992
rou,40.4,1993
rou,44.0,1994
rou,46.2,1995
rou,42.4,1996
rou,43.4,1997
rou,43.7,1998
rou,45.1,1999
rou,45.6,2000
rou,45.1,2001
rou,38.5,2002
rou,37.3,2003
rou,32.3,2004
rou,33.0,2005
rou,31.4,2006
rou,31.0,2007
rus,7.9,1997
rus,7.5,1998
rus,12.3,1999
rus,11.7,2000
rus,9.3,2001
rus,8.9,2002
rus,8.2,2003
rus,7.9,2004
rus,8.0,2005
rus,7.8,2006
rus,6.9,2007
rwa,95.9,1989
kna,13.8,1984
lca,14.9,1993
lca,17.7,1994
lca,17.7,1995
lca,18.8,1996
lca,13.8,1997
lca,16.5,1998
lca,15.9,1999
lca,14.3,2000
lca,8.7,2002
lca,8.5,2003
lca,9.8,2004
vct,13.9,1991
vct,7.6,2001
smr,5.7,1980
smr,5.3,1981
smr,5.1,1982
smr,5.0,1983
smr,4.7,1984
smr,3.7,1985
smr,3.4,1986
smr,3.2,1987
smr,3.1,1988
smr,2.7,1989
smr,2.7,1990
smr,2.5,1991
smr,2.3,1992
smr,2.3,1993
smr,1.6,1995
smr,1.5,1996
smr,1.5,1997
smr,1.4,1998
smr,1.4,1999
smr,0.4,2001
smr,0.3,2002
smr,0.3,2003
smr,0.3,2004
smr,0.3,2005
smr,0.3,2006
smr,0.3,2007
stp,72.9,1980
stp,78.7,1981
stp,63.1,1982
stp,67.6,1983
stp,69.7,1984
stp,35.0,1991
stp,22.8,2000
sau,1.0,1999
sau,2.3,2000
sau,0.8,2001
sau,0.6,2002
sau,0.4,2006
sau,0.4,2007
sen,33.0,2006
srb,24.1,2004
srb,23.3,2005
srb,19.2,2006
srb,19.5,2007
sle,71.1,2004
sgp,0.9,1980
sgp,0.9,1981
sgp,0.9,1982
sgp,0.7,1983
sgp,0.5,1984
sgp,0.4,1985
sgp,0.6,1986
sgp,0.5,1987
sgp,0.2,1988
sgp,0.2,1989
sgp,0.1,1990
sgp,0.1,1991
sgp,0.1,1992
sgp,0.0,1993
sgp,0.1,1994
sgp,0.1,1995
sgp,0.1,1996
sgp,0.4,1997
sgp,0.4,1998
sgp,0.4,1999
sgp,0.0,2000
sgp,0.5,2001
sgp,0.4,2002
sgp,0.5,2003
sgp,0.4,2004
sgp,0.8,2006
sgp,0.5,2007
svk,7.2,1994
svk,6.4,1995
svk,6.4,1996
svk,6.4,1997
svk,5.6,1998
svk,4.6,1999
svk,3.9,2000
svk,3.7,2001
svk,4.0,2002
svk,3.5,2003
svk,2.9,2004
svk,2.6,2005
svk,2.4,2006
svk,2.2,2007
svn,10.1,1993
svn,11.1,1994
svn,10.8,1995
svn,9.5,1996
svn,12.5,1997
svn,12.1,1998
svn,11.0,1999
svn,9.7,2000
svn,9.6,2001
svn,9.7,2002
svn,8.3,2003
svn,9.7,2004
svn,9.0,2005
svn,9.2,2006
svn,10.4,2007
zaf,16.1,2000
zaf,7.3,2001
zaf,10.2,2002
zaf,7.6,2003
zaf,7.4,2004
zaf,6.0,2005
zaf,7.8,2006
zaf,6.5,2007
esp,18.4,1980
esp,17.7,1981
esp,16.8,1982
esp,17.2,1983
esp,16.7,1984
esp,16.5,1985
esp,13.8,1986
esp,12.8,1987
esp,12.0,1988
esp,10.8,1989
esp,9.8,1990
esp,8.5,1991
esp,8.1,1992
esp,7.8,1993
esp,7.4,1994
esp,7.0,1995
esp,6.2,1996
esp,5.9,1997
esp,5.5,1998
esp,5.0,1999
esp,4.7,2000
esp,4.5,2001
esp,4.1,2002
esp,4.0,2003
esp,3.7,2004
esp,3.6,2005
esp,3.3,2006
esp,3.0,2007
lka,51.0,1981
lka,54.2,1985
lka,42.6,1993
lka,46.5,1994
lka,41.5,1995
lka,40.2,1996
lka,48.8,1998
lka,27.1,2001
lka,35.2,2005
lka,37.9,2006
lka,36.8,2007
shn,3.9,1998
sur,3.2,1992
sur,2.3,1993
sur,2.3,1994
sur,3.3,1995
sur,1.8,1996
sur,2.9,1997
sur,3.2,1998
sur,1.8,1999
sur,4.5,2004
swe,3.1,1980
swe,3.2,1981
swe,3.1,1982
swe,3.0,1983
swe,2.9,1984
swe,2.7,1985
swe,2.6,1986
swe,2.4,1987
swe,2.1,1988
swe,1.9,1989
swe,1.8,1990
swe,1.8,1991
swe,1.9,1992
swe,1.9,1993
swe,1.8,1994
swe,1.6,1995
swe,1.4,1996
swe,1.4,1997
swe,1.4,1998
swe,1.3,1999
swe,1.3,2000
swe,1.1,2001
swe,1.0,2002
swe,0.9,2003
swe,0.9,2004
swe,0.9,2005
swe,0.9,2006
swe,0.9,2007
che,5.1,1980
che,5.3,1981
che,5.2,1982
che,5.2,1983
che,5.0,1984
che,4.8,1985
che,4.5,1986
che,4.3,1987
che,4.0,1988
che,3.7,1989
che,3.5,1990
che,3.6,1991
che,3.9,1992
che,3.9,1993
che,3.8,1994
che,3.6,1995
che,3.6,1996
che,3.6,1997
che,3.7,1998
che,3.7,1999
che,3.6,2000
che,3.2,2001
che,3.2,2002
che,3.1,2003
che,2.9,2004
che,2.8,2005
che,2.7,2006
che,2.8,2007
syr,52.2,1983
syr,47.5,1984
syr,47.3,1989
syr,52.7,1993
syr,29.4,1994
syr,60.2,1995
syr,23.1,1997
syr,50.2,1999
syr,61.7,2000
syr,56.7,2001
syr,61.2,2002
syr,49.1,2003
tjk,75.1,2004
tza,84.0,2001
tza,80.0,2006
tha,74.1,1980
tha,67.2,1981
tha,63.7,1982
tha,64.5,1983
tha,66.2,1984
tha,64.1,1985
tha,68.2,1986
tha,64.8,1987
tha,67.5,1988
tha,67.7,1989
tha,64.5,1990
tha,60.3,1991
tha,61.6,1992
tha,57.2,1993
tha,56.7,1994
tha,53.2,1995
tha,51.4,1996
tha,51.3,1997
tha,49.8,1998
tha,46.7,1999
tha,47.3,2000
tha,43.6,2001
tha,44.0,2002
tha,42.5,2003
tha,40.3,2004
tha,40.7,2005
tha,40.5,2006
tha,40.0,2007
mkd,24.7,2002
mkd,22.2,2003
mkd,15.0,2004
mkd,19.2,2005
mkd,20.3,2006
mkd,17.3,2007
ton,3.4,1984
ton,4.6,2003
tto,8.6,1980
tto,9.5,1981
tto,6.4,1982
tto,6.1,1983
tto,7.6,1984
tto,7.5,1985
tto,7.6,1986
tto,7.3,1987
tto,8.8,1988
tto,7.7,1989
tto,6.4,1991
tto,5.5,1992
tto,5.6,1993
tto,6.2,1994
tto,5.0,1995
tto,4.5,1996
tto,3.9,1997
tto,3.4,1998
tto,2.8,1999
tto,2.9,2000
tto,3.1,2001
tto,2.0,2002
tto,2.0,2003
tto,2.0,2004
tto,1.7,2005
tun,29.5,1980
tun,22.7,1989
tur,8.5,1982
tur,7.3,1983
tur,8.1,1984
tur,79.0,1985
tur,78.2,1988
tur,77.7,1989
tur,75.8,1990
tur,77.4,1991
tur,72.2,1992
tur,68.8,1993
tur,71.2,1994
tur,71.2,1995
tur,71.5,1996
tur,67.2,1997
tur,67.0,1998
tur,67.6,1999
tur,60.5,2000
tur,63.3,2001
tur,60.0,2002
tur,58.5,2003
tur,57.2,2004
tur,51.6,2005
tur,48.5,2006
tur,47.3,2007
uga,75.7,2003
are,0.1,1995
are,0.1,2000
are,0.1,2005
gbr,1.3,1980
gbr,1.2,1981
gbr,1.2,1982
gbr,1.2,1983
gbr,1.2,1984
gbr,1.2,1985
gbr,1.1,1986
gbr,1.1,1987
gbr,1.2,1988
gbr,1.0,1989
gbr,1.1,1990
gbr,1.1,1991
gbr,1.1,1992
gbr,1.1,1993
gbr,1.2,1994
gbr,1.2,1995
gbr,1.2,1996
gbr,1.1,1997
gbr,0.9,1998
gbr,0.8,1999
gbr,0.8,2000
gbr,0.7,2001
gbr,0.7,2002
gbr,0.6,2003
gbr,0.6,2004
gbr,0.8,2005
gbr,0.6,2006
gbr,0.8,2007
usa,1.6,1980
usa,1.6,1981
usa,1.6,1982
usa,1.6,1983
usa,1.5,1984
usa,1.4,1985
usa,1.4,1986
usa,1.4,1987
usa,1.4,1988
usa,1.4,1989
usa,1.3,1990
usa,1.3,1991
usa,1.3,1992
usa,1.2,1993
usa,1.6,1994
usa,1.6,1995
usa,1.5,1996
usa,1.5,1997
usa,1.4,1998
usa,1.4,1999
usa,1.4,2000
usa,1.4,2001
usa,1.4,2002
usa,0.9,2003
usa,0.8,2004
usa,0.8,2005
usa,0.8,2006
usa,0.7,2007
ury,1.0,1992
ury,0.9,1993
ury,1.5,1994
ury,1.6,1995
ury,1.5,1998
ury,1.2,1999
ury,1.1,2000
ury,1.7,2001
ury,1.3,2002
ury,1.7,2003
ury,1.8,2004
ury,1.5,2005
ury,5.2,2006
ury,4.8,2007
ven,2.4,1980
ven,2.0,1981
ven,2.3,1982
ven,1.9,1983
ven,2.2,1984
ven,2.2,1985
ven,2.4,1986
ven,2.0,1987
ven,1.8,1988
ven,2.0,1989
ven,2.2,1990
ven,2.0,1991
ven,1.8,1992
ven,1.7,1993
ven,2.3,2003
ven,1.8,2006
ven,1.8,2007
vnm,70.4,1996
vnm,66.0,1997
vnm,65.6,1998
vnm,65.5,1999
vnm,66.3,2000
vnm,65.0,2001
vnm,63.2,2002
vnm,61.7,2003
vnm,60.0,2004
pse,29.0,1996
pse,30.0,1997
pse,29.1,1998
pse,31.9,1999
pse,34.6,2000
pse,26.0,2001
pse,29.9,2002
pse,33.7,2003
pse,33.7,2004
pse,32.5,2005
pse,34.3,2006
pse,36.0,2007
yem,83.1,1991
yem,86.9,1994
yem,85.8,1998
yem,87.8,1999
zmb,56.0,1990
zmb,78.0,1998
zmb,78.6,2000
zwe,69.5,1999
