geo,imports_unit_value_index_2000100,time
col,35.89,1985
col,33.47,1986
col,37.46,1987
col,43.35,1988
col,43.37,1989
col,48.44,1990
col,42.52,1991
col,56.47,1992
col,85.2,1993
col,103.0,1994
col,120.1,1995
col,118.6,1996
col,133.3,1997
col,126.8,1998
col,92.37,1999
col,100.0,2000
col,111.2,2001
col,110.2,2002
col,120.4,2003
col,145.1,2004
col,183.8,2005
col,225.7,2006
col,287.4,2007
col,343.8,2008
com,144.8,1995
com,131.1,1996
com,127.4,1997
com,124.7,1998
com,127.6,1999
com,100.0,2000
com,116.9,2001
com,121.6,2002
com,161.0,2003
com,198.2,2004
com,228.4,2005
com,266.7,2006
com,277.8,2007
com,376.9,2008
cod,146.8,1980
cod,137.3,1981
cod,125.3,1982
cod,117.2,1983
cod,113.6,1984
cod,120.5,1985
cod,124.0,1986
cod,171.4,1987
cod,155.6,1988
cod,186.0,1989
cod,168.0,1990
cod,126.0,1991
cod,90.34,1992
cod,59.32,1993
cod,64.44,1994
cod,150.1,1995
cod,156.2,1996
cod,110.5,1997
cod,158.1,1998
cod,81.49,1999
cod,100.0,2000
cod,115.8,2001
cod,155.1,2002
cod,228.7,2003
cod,285.0,2004
cod,325.7,2005
cod,393.1,2006
cod,423.2,2007
cod,588.2,2008
cog,78.55,1980
cog,63.36,1981
cog,107.2,1982
cog,90.64,1983
cog,86.41,1984
cog,83.65,1985
cog,83.46,1986
cog,137.0,1987
cog,155.6,1988
cog,144.0,1989
cog,86.83,1990
cog,83.13,1991
cog,63.13,1992
cog,81.39,1993
cog,88.27,1994
cog,139.8,1995
cog,323.8,1996
cog,193.4,1997
cog,142.0,1998
cog,176.5,1999
cog,100.0,2000
cog,146.7,2001
cog,145.2,2002
cog,178.7,2003
cog,188.9,2004
cog,313.4,2005
cog,398.7,2006
cog,623.7,2007
cog,572.1,2008
cri,24.11,1980
cri,18.92,1981
cri,13.92,1982
cri,15.46,1983
cri,17.12,1984
cri,17.19,1985
cri,17.96,1986
cri,21.64,1987
cri,22.07,1988
cri,26.88,1989
cri,31.15,1990
cri,29.37,1991
cri,38.2,1992
cri,55.02,1993
cri,59.3,1994
cri,64.02,1995
cri,67.72,1996
cri,77.79,1997
cri,97.66,1998
cri,99.47,1999
cri,100.0,2000
cri,102.8,2001
cri,112.5,2002
cri,120.0,2003
cri,129.4,2004
cri,153.6,2005
cri,180.3,2006
cri,202.8,2007
cri,240.6,2008
civ,124.5,1980
civ,99.22,1981
civ,90.78,1982
civ,76.58,1983
civ,62.32,1984
civ,72.83,1985
civ,85.55,1986
civ,93.29,1987
civ,86.59,1988
civ,87.9,1989
civ,87.34,1990
civ,87.57,1991
civ,97.95,1992
civ,88.08,1993
civ,79.84,1994
civ,105.2,1995
civ,104.2,1996
civ,99.85,1997
civ,107.4,1998
civ,116.8,1999
civ,100.0,2000
civ,86.82,2001
civ,88.18,2002
