geo,children_per_woman_total_fertility_with_projections,time
ago,7.186,1976
ago,7.189,1977
ago,7.194,1978
ago,7.197,1979
ago,7.2,1980
ago,7.201,1981
ago,7.203,1982
ago,7.205,1983
ago,7.207,1984
ago,7.208,1985
ago,7.206,1986
ago,7.202,1987
ago,7.194,1988
ago,7.182,1989
ago,7.165,1990
ago,7.143,1991
ago,7.116,1992
ago,7.087,1993
ago,7.054,1994
ago,7.019,1995
ago,6.984,1996
ago,6.949,1997
ago,6.913,1998
ago,6.878,1999
ago,6.844,2000
ago,6.811,2001
ago,6.778,2002
ago,6.743,2003
ago,6.704,2004
ago,6.657,2005
ago,6.598,2006
ago,6.523,2007
ago,6.434,2008
ago,6.331,2009
ago,6.218,2010
ago,6.099,2011
ago,5.979,2012
ago,5.863,2013
ago,5.753,2014
ago,5.65,2015
ago,5.553,2016
ago,5.46,2017
ago,5.367,2018
ago,5.274,2019
ago,5.181,2020
ago,5.088,2021
ago,4.995,2022
ago,4.903,2023
ago,4.812,2024
ago,4.289,2030
ago,3.561,2040
ago,3.031,2050
ago,2.403,2070
ago,2.21,2080
ago,1.993,2099
atg,5.0,1800
atg,4.996,1801
atg,4.993,1802
atg,4.989,1803
atg,4.985,1804
atg,4.982,1805
atg,4.978,1806
atg,4.974,1807
atg,4.97,1808
atg,4.967,1809
atg,4.963,1810
atg,4.959,1811
atg,4.956,1812
atg,4.952,1813
atg,4.948,1814
atg,4.945,1815
atg,4.941,1816
atg,4.937,1817
atg,4.934,1818
atg,4.93,1819
atg,4.926,1820
atg,4.922,1821
atg,4.919,1822
atg,4.915,1823
atg,4.911,1824
atg,4.908,1825
atg,4.904,1826
atg,4.9,1827
atg,4.897,1828
atg,4.893,1829
atg,4.889,1830
atg,4.886,1831
atg,4.882,1832
atg,4.878,1833
atg,4.874,1834
atg,4.871,1835
atg,4.867,1836
atg,4.863,1837
atg,4.86,1838
atg,4.856,1839
atg,4.852,1840
atg,4.849,1841
atg,4.845,1842
atg,4.841,1843
atg,4.837,1844
atg,4.834,1845
atg,4.83,1846
atg,4.826,1847
atg,4.823,1848
atg,4.819,1849
atg,4.815,1850
atg,4.812,1851
atg,4.808,1852
atg,4.804,1853
atg,4.801,1854
atg,4.797,1855
atg,4.793,1856
atg,4.789,1857
atg,4.786,1858
atg,4.782,1859
atg,4.778,1860
atg,4.775,1861
atg,4.771,1862
atg,4.767,1863
atg,4.764,1864
atg,4.76,1865
atg,4.756,1866
atg,4.753,1867
atg,4.749,1868
atg,4.745,1869
atg,4.741,1870
atg,4.738,1871
atg,4.734,1872
atg,4.73,1873
atg,4.727,1874
atg,4.723,1875
atg,4.719,1876
atg,4.716,1877
atg,4.712,1878
atg,4.708,1879
atg,4.705,1880
atg,4.701,1881
atg,4.697,1882
atg,4.693,1883
atg,4.69,1884
atg,4.686,1885
atg,4.682,1886
atg,4.679,1887
atg,4.675,1888
atg,4.671,1889
atg,4.668,1890
atg,4.664,1891
atg,4.66,1892
atg,4.657,1893
atg,4.653,1894
atg,4.649,1895
atg,4.645,1896
atg,4.642,1897
atg,4.638,1898
atg,4.634,1899
atg,4.631,1900
atg,4.627,1901
atg,4.623,1902
atg,4.62,1903
atg,4.616,1904
atg,4.612,1905
atg,4.609,1906
atg,4.605,1907
atg,4.601,1908
atg,4.597,1909
atg,4.594,1910
atg,4.59,1911
atg,4.586,1912
atg,4.583,1913
atg,4.579,1914
atg,4.575,1915
atg,4.572,1916
atg,4.568,1917
atg,4.564,1918
atg,4.56,1919
atg,4.557,1920
atg,4.553,1921
atg,4.549,1922
atg,4.546,1923
atg,4.542,1924
atg,4.538,1925
atg,4.535,1926
atg,4.531,1927
atg,4.527,1928
atg,4.524,1929
atg,4.52,1930
atg,4.516,1931
atg,4.512,1932
atg,4.509,1933
atg,4.505,1934
atg,4.501,1935
atg,4.498,1936
atg,4.494,1937
atg,4.49,1938
atg,4.487,1939
atg,4.483,1940
atg,4.479,1941
atg,4.476,1942
atg,4.472,1943
atg,4.468,1944
atg,4.464,1945
atg,4.461,1946
atg,4.457,1947
atg,4.453,1948
atg,4.45,1949
atg,4.446,1950
atg,4.464,1951
atg,4.496,1952
atg,4.518,1953
atg,4.531,1954
atg,4.534,1955
atg,4.528,1956
atg,4.513,1957
atg,4.49,1958
atg,4.46,1959
atg,4.425,1960
atg,4.386,1961
atg,4.344,1962
atg,4.299,1963
atg,4.25,1964
atg,4.193,1965
atg,4.125,1966
atg,4.042,1967
atg,3.942,1968
atg,3.824,1969
atg,3.684,1970
atg,3.517,1971
atg,3.328,1972
atg,3.122,1973
atg,2.908,1974
atg,2.701,1975
atg,2.514,1976
atg,2.358,1977
atg,2.239,1978
atg,2.159,1979
atg,2.115,1980
atg,2.098,1981
atg,2.096,1982
atg,2.098,1983
atg,2.098,1984
atg,2.092,1985
atg,2.082,1986
atg,2.07,1987
atg,2.062,1988
atg,2.058,1989
atg,2.061,1990
atg,2.073,1991
atg,2.096,1992
atg,2.128,1993
atg,2.166,1994
atg,2.208,1995
atg,2.248,1996
atg,2.281,1997
atg,2.304,1998
atg,2.316,1999
atg,2.316,2000
atg,2.305,2001
atg,2.288,2002
atg,2.268,2003
atg,2.246,2004
atg,2.224,2005
atg,2.203,2006
atg,2.183,2007
atg,2.164,2008
atg,2.146,2009
atg,2.13,2010
atg,2.115,2011
atg,2.102,2012
atg,2.089,2013
atg,2.076,2014
atg,2.063,2015
atg,2.051,2016
atg,2.04,2017
atg,2.029,2018
atg,2.018,2019
atg,2.008,2020
atg,1.998,2021
atg,1.989,2022
atg,1.98,2023
atg,1.971,2024
atg,1.928,2030
atg,1.879,2040
atg,1.857,2050
atg,1.852,2070
atg,1.857,2080
atg,1.87,2099
arg,6.8,1800
arg,6.8,1801
arg,6.8,1802
arg,6.8,1803
arg,6.8,1804
arg,6.8,1805
arg,6.8,1806
arg,6.8,1807
arg,6.8,1808
arg,6.8,1809
arg,6.8,1810
arg,6.8,1811
arg,6.8,1812
arg,6.8,1813
arg,6.8,1814
arg,6.8,1815
arg,6.8,1816
arg,6.8,1817
arg,6.8,1818
arg,6.8,1819
arg,6.8,1820
arg,6.8,1821
arg,6.8,1822
arg,6.8,1823
arg,6.8,1824
arg,6.8,1825
arg,6.8,1826
arg,6.8,1827
arg,6.8,1828
arg,6.8,1829
arg,6.8,1830
arg,6.8,1831
arg,6.8,1832
arg,6.8,1833
arg,6.8,1834
arg,6.8,1835
arg,6.8,1836
arg,6.8,1837
arg,6.8,1838
arg,6.8,1839
arg,6.8,1840
arg,6.8,1841
arg,6.8,1842
arg,6.8,1843
arg,6.8,1844
arg,6.8,1845
arg,6.8,1846
arg,6.8,1847
arg,6.8,1848
arg,6.8,1849
arg,6.8,1850
arg,6.8,1851
arg,6.8,1852
arg,6.8,1853
arg,6.8,1854
arg,6.8,1855
arg,6.8,1856
arg,6.8,1857
arg,6.8,1858
arg,6.8,1859
arg,6.8,1860
arg,6.8,1861
arg,6.8,1862
arg,6.8,1863
arg,6.8,1864
arg,6.8,1865
arg,6.8,1866
arg,6.8,1867
arg,6.8,1868
arg,6.8,1869
arg,6.726,1870
arg,6.653,1871
arg,6.579,1872
arg,6.577,1873
arg,6.574,1874
arg,6.571,1875
arg,6.569,1876
arg,6.566,1877
arg,6.563,1878
arg,6.561,1879
arg,6.558,1880
arg,6.555,1881
arg,6.553,1882
arg,6.47,1883
arg,6.386,1884
arg,6.303,1885
arg,6.22,1886
arg,6.137,1887
arg,6.089,1888
arg,6.041,1889
arg,5.992,1890
arg,5.944,1891
arg,5.896,1892
arg,6.264,1893
arg,6.632,1894
arg,7.0,1895
arg,6.481,1896
arg,5.963,1897
arg,5.958,1898
arg,5.952,1899
arg,5.947,1900
arg,5.942,1901
arg,5.936,1902
arg,5.877,1903
arg,5.818,1904
arg,5.759,1905
arg,5.7,1906
arg,5.641,1907
arg,5.564,1908
arg,5.486,1909
arg,5.408,1910
arg,5.331,1911
arg,5.253,1912
arg,5.276,1913
arg,5.3,1914
arg,5.227,1915
arg,5.155,1916
arg,5.082,1917
arg,5.009,1918
arg,4.937,1919
arg,4.864,1920
arg,4.791,1921
arg,4.718,1922
arg,4.646,1923
arg,4.573,1924
arg,4.5,1925
arg,4.428,1926
arg,4.355,1927
arg,4.261,1928
arg,4.167,1929
arg,4.074,1930
arg,3.98,1931
arg,3.886,1932
arg,3.798,1933
arg,3.709,1934
arg,3.621,1935
arg,3.532,1936
arg,3.444,1937
arg,3.438,1938
arg,3.433,1939
arg,3.428,1940
arg,3.422,1941
arg,3.417,1942
arg,3.374,1943
arg,3.33,1944
arg,3.287,1945
arg,3.243,1946
arg,3.2,1947
arg,3.188,1948
arg,3.176,1949
arg,3.164,1950
arg,3.162,1951
arg,3.157,1952
arg,3.152,1953
arg,3.146,1954
arg,3.141,1955
arg,3.136,1956
arg,3.13,1957
arg,3.124,1958
arg,3.117,1959
arg,3.109,1960
arg,3.1,1961
arg,3.089,1962
arg,3.078,1963
arg,3.068,1964
arg,3.058,1965
arg,3.051,1966
arg,3.048,1967
arg,3.049,1968
arg,3.056,1969
arg,3.073,1970
arg,3.104,1971
arg,3.148,1972
arg,3.203,1973
arg,3.264,1974
arg,3.321,1975
arg,3.366,1976
arg,3.391,1977
arg,3.391,1978
arg,3.368,1979
arg,3.325,1980
arg,3.27,1981
arg,3.213,1982
arg,3.163,1983
arg,3.123,1984
arg,3.093,1985
arg,3.073,1986
arg,3.056,1987
arg,3.037,1988
arg,3.016,1989
arg,2.989,1990
arg,2.956,1991
arg,2.918,1992
arg,2.875,1993
arg,2.827,1994
arg,2.774,1995
arg,2.717,1996
arg,2.657,1997
arg,2.596,1998
arg,2.535,1999
arg,2.477,2000
arg,2.424,2001
arg,2.379,2002
arg,2.34,2003
arg,2.31,2004
arg,2.286,2005
arg,2.268,2006
arg,2.254,2007
arg,2.241,2008
arg,2.228,2009
arg,2.215,2010
arg,2.201,2011
arg,2.188,2012
arg,2.175,2013
arg,2.162,2014
arg,2.149,2015
arg,2.137,2016
arg,2.125,2017
arg,2.113,2018
arg,2.101,2019
arg,2.089,2020
arg,2.078,2021
arg,2.067,2022
arg,2.056,2023
arg,2.045,2024
arg,1.989,2030
arg,1.922,2040
arg,1.883,2050
arg,1.861,2070
arg,1.863,2080
arg,1.872,2099
arm,7.8,1800
arm,7.803,1801
arm,7.806,1802
arm,7.809,1803
