roads_paved_percent_of_total_roads,geo,time
50.2,mar,1996
52.3,mar,1997
52.3,mar,1998
56.3,mar,1999
56.42,mar,2000
56.42,mar,2001
56.42,mar,2002
56.9,mar,2003
56.9,mar,2004
61.89,mar,2005
61.89,mar,2006
61.98,mar,2007
62.04,mar,2008
70.32,mar,2009
16.8,moz,1990
17.2,moz,1991
17.5,moz,1992
17.8,moz,1993
18.2,moz,1994
18.6,moz,1995
18.7,moz,1996
18.7,moz,1997
18.7,moz,1998
18.7,moz,1999
18.7,moz,2000
18.7,moz,2001
20.78,moz,2008
20.78,moz,2009
10.9,mmr,1990
11.2,mmr,1991
11.4,mmr,1992
11.6,mmr,1993
11.9,mmr,1994
12.1,mmr,1995
12.2,mmr,1996
11.44,mmr,1999
11.44,mmr,2000
11.85,mmr,2005
10.8,nam,1990
10.9,nam,1991
10.9,nam,1992
7.3,nam,1993
7.9,nam,1994
7.9,nam,1995
11.4,nam,1996
13.2,nam,1997
13.5,nam,1998
13.6,nam,1999
12.8,nam,2002
14.72,nam,2009
37.5,npl,1990
38.2,npl,1991
39.0,npl,1992
39.7,npl,1993
40.5,npl,1994
41.4,npl,1995
41.5,npl,1996
53.9,npl,2003
55.66,npl,2004
56.07,npl,2005
55.85,npl,2006
55.13,npl,2007
53.94,npl,2008
88.0,nld,1990
88.0,nld,1991
88.0,nld,1992
88.0,nld,1993
89.0,nld,1994
90.0,nld,1995
90.0,nld,1996
90.0,nld,1997
90.0,nld,1998
90.0,nld,1999
90.0,nld,2000
57.0,nzl,1990
58.0,nzl,1991
58.0,nzl,1992
58.0,nzl,1993
58.0,nzl,1994
60.4,nzl,1995
60.8,nzl,1996
61.3,nzl,1997
61.3,nzl,1998
61.9,nzl,1999
62.8,nzl,2000
63.0,nzl,2001
64.0,nzl,2002
64.33,nzl,2003
64.5,nzl,2004
64.89,nzl,2005
64.96,nzl,2006
65.41,nzl,2007
65.89,nzl,2008
66.2,nzl,2009
10.5,nic,1990
10.5,nic,1991
10.5,nic,1992
10.6,nic,1993
10.7,nic,1994
10.0,nic,1995
11.06,nic,2000
11.36,nic,2001
11.36,nic,2002
12.0,nic,2007
11.67,nic,2008
11.62,nic,2009
29.0,ner,1990
25.66,ner,2001
25.66,ner,2002
24.95,ner,2003
20.45,ner,2004
20.61,ner,2005
20.5,ner,2006
20.65,ner,2007
20.65,ner,2008
15.0,nga,2004
69.0,nor,1990
69.8,nor,1991
70.2,nor,1992
71.0,nor,1993
72.5,nor,1994
73.5,nor,1995
72.0,nor,1996
74.0,nor,1997
74.5,nor,1998
75.5,nor,1999
76.0,nor,2000
77.0,nor,2001
77.5,nor,2002
79.59,nor,2006
80.45,nor,2007
80.7,nor,2009
21.0,omn,1990
21.6,omn,1991
21.2,omn,1992
21.5,omn,1993
19.7,omn,1994
20.4,omn,1995
30.0,omn,1996
30.0,omn,1997
30.0,omn,1998
30.0,omn,1999
30.0,omn,2000
27.66,omn,2001
33.22,omn,2003
36.71,omn,2004
39.66,omn,2005
42.11,omn,2006
41.25,omn,2007
43.46,omn,2008
46.0,omn,2009
54.0,pak,1990
53.0,pak,1991
53.0,pak,1992
54.0,pak,1993
54.0,pak,1994
45.0,pak,1995
44.0,pak,1996
44.0,pak,1997
53.0,pak,1998
55.0,pak,1999
56.0,pak,2000
59.0,pak,2001
60.0,pak,2003
64.7,pak,2004
65.36,pak,2006
32.0,pan,1990
32.2,pan,1991
32.4,pan,1992
32.7,pan,1993
33.4,pan,1994
33.5,pan,1995
33.6,pan,1996
29.4,pan,1997
28.1,pan,1998
34.6,pan,1999
34.6,pan,2000
34.6,pan,2001
34.12,pan,2006
36.65,pan,2007
38.14,pan,2008
41.96,pan,2009
3.2,png,1990
3.2,png,1991
3.3,png,1992
3.3,png,1993
3.3,png,1994
3.4,png,1995
3.5,png,1996
3.5,png,1997
3.5,png,1998
3.5,png,1999
3.5,png,2000
3.5,png,2001
50.8,pry,2000
50.8,pry,2001
9.9,per,1990
10.0,per,1991
10.3,per,1992
10.5,per,1993
10.9,per,1994
11.4,per,1995
11.6,per,1996
11.8,per,1997
12.97,per,1998
13.04,per,1999
13.35,per,2000
13.36,per,2001
14.4,per,2002
13.11,per,2003
14.4,per,2004
13.88,per,2006
16.6,phl,1994
16.7,phl,1995
17.4,phl,1996
17.7,phl,1997
19.8,phl,1998
20.0,phl,1999
9.5,phl,2002
9.9,phl,2003
61.6,pol,1990
63.4,pol,1991
64.1,pol,1992
64.5,pol,1993
64.9,pol,1994
65.3,pol,1995
65.4,pol,1996
65.7,pol,1997
65.6,pol,1998
65.6,pol,1999
68.3,pol,2000
68.3,pol,2001
69.66,pol,2003
66.53,pol,2005
66.79,pol,2006
67.59,pol,2007
68.15,pol,2008
69.87,pol,2009
86.0,prt,1994
86.0,prt,1999
86.0,prt,2000
86.0,prt,2004
94.0,pri,2000
94.0,pri,2001
95.0,pri,2004
85.6,qat,1990
86.5,qat,1991
87.3,qat,1992
88.2,qat,1993
89.1,qat,1994
90.0,qat,1995
90.0,qat,1996
90.0,qat,1997
90.0,qat,1998
90.0,qat,1999
90.0,qat,2000
51.0,rou,1991
51.0,rou,1992
51.0,rou,1993
51.0,rou,1994
51.0,rou,1995
52.3,rou,1996
52.8,rou,1997
53.1,rou,1998
53.0,rou,1999
49.5,rou,2000
50.5,rou,2001
50.4,rou,2002
30.2,rou,2003
30.2,rou,2004
74.2,rus,1990
75.8,rus,1991
67.2,rus,1998
67.4,rus,1999
84.4,rus,2005
80.92,rus,2006
80.06,rus,2007
9.0,rwa,1990
9.2,rwa,1991
9.4,rwa,1992
9.6,rwa,1993
9.7,rwa,1994
9.9,rwa,1995
19.0,rwa,2004
38.5,kna,1990
39.3,kna,1991
40.0,kna,1992
40.8,kna,1993
41.7,kna,1994
42.5,kna,1995
42.5,kna,1996
42.5,kna,1997
42.5,kna,1998
42.5,kna,1999
63.0,vct,1998
65.0,vct,1999
68.0,vct,2000
70.0,vct,2001
70.0,vct,2002
70.0,vct,2003
14.21,wsm,2001
61.6,stp,1990
62.8,stp,1991
64.1,stp,1992
65.4,stp,1993
66.7,stp,1994
68.0,stp,1995
68.1,stp,1996
68.1,stp,1997
68.1,stp,1998
68.1,stp,1999
68.1,stp,2000
68.1,stp,2001
40.6,sau,1990
39.5,sau,1991
40.0,sau,1992
40.9,sau,1993
41.8,sau,1994
30.1,sau,1995
29.8,sau,1996
30.1,sau,1997
29.9,sau,2000
21.47,sau,2005
27.2,sen,1990
27.8,sen,1991
28.3,sen,1992
28.3,sen,1993
28.4,sen,1994
28.5,sen,1995
29.3,sen,1996
29.3,sen,1997
29.3,sen,1998
29.3,sen,1999
29.3,sen,2000
29.26,sen,2003
32.0,sen,2009
62.7,srb,2000
47.74,srb,2008
63.16,srb,2009
56.9,syc,1990
58.0,syc,1991
59.1,syc,1992
60.3,syc,1993
61.5,syc,1994
62.8,syc,1995
80.3,syc,1996
84.5,syc,1997
96.0,syc,2003
95.98,syc,2005
96.02,syc,2006
96.46,syc,2007
96.46,syc,2008
96.46,syc,2009
10.6,sle,1990
10.8,sle,1991
11.0,sle,1992
11.0,sle,1993
11.0,sle,1994
8.0,sle,1995
8.0,sle,1996
8.0,sle,1997
8.0,sle,1998
7.9,sle,1999
7.9,sle,2000
8.0,sle,2002
97.1,sgp,1990
97.1,sgp,1991
97.1,sgp,1992
97.2,sgp,1993
97.2,sgp,1994
97.3,sgp,1995
97.3,sgp,1996
97.3,sgp,1997
100.0,sgp,1998
100.0,sgp,1999
100.0,sgp,2000
100.0,sgp,2001
100.0,sgp,2002
100.0,sgp,2003
100.0,sgp,2004
100.0,sgp,2005
100.0,sgp,2006
100.0,sgp,2007
100.0,sgp,2008
100.0,sgp,2009
85.8,svk,1995
85.8,svk,1996
86.6,svk,1997
86.7,svk,1998
87.0,svk,2000
87.0,svk,2001
87.3,svk,2002
87.31,svk,2003
87.31,svk,2004
87.02,svk,2005
87.03,svk,2006
87.05,svk,2008
87.06,svk,2009
72.0,svn,1990
74.0,svn,1991
75.0,svn,1992
77.0,svn,1993
79.0,svn,1994
80.2,svn,1995
81.2,svn,1996
81.7,svn,1997
100.0,svn,1998
100.0,svn,2000
100.0,svn,2001
100.0,svn,2002
100.0,svn,2003
100.0,svn,2004
100.0,svn,2005
100.0,svn,2006
100.0,svn,2007
100.0,svn,2008
100.0,svn,2009
2.1,slb,1990
2.2,slb,1991
2.2,slb,1992
2.3,slb,1993
2.3,slb,1994
2.4,slb,1995
2.5,slb,1996
2.5,slb,1997
2.5,slb,1998
2.44,slb,1999
2.44,slb,2000
2.44,slb,2001
11.1,som,1990
11.3,som,1991
11.5,som,1992
11.8,som,1993
11.8,som,1994
11.8,som,1995
11.8,som,1996
11.8,som,1997
11.8,som,1998
11.8,som,1999
11.8,som,2000
11.8,som,2001
19.7,zaf,1996
19.7,zaf,1997
19.7,zaf,1998
20.3,zaf,1999
20.3,zaf,2000
17.3,zaf,2001
99.0,esp,1991
99.0,esp,1992
99.0,esp,1993
99.0,esp,1994
99.0,esp,1995
99.0,esp,1996
99.0,esp,1997
99.0,esp,1998
99.0,esp,1999
99.0,esp,2000
99.0,esp,2001
99.0,esp,2003
85.84,lka,2002
81.0,lka,2003
33.8,sdn,1990
33.7,sdn,1991
33.7,sdn,1992
34.5,sdn,1993
35.4,sdn,1994
36.2,sdn,1995
36.3,sdn,1996
36.3,sdn,1997
36.3,sdn,1998
36.3,sdn,1999
36.3,sdn,2000
36.3,sdn,2001
24.0,sur,1990
24.5,sur,1991
26.0,sur,1992
26.0,sur,1993
26.0,sur,1994
26.0,sur,1995
26.0,sur,1996
26.0,sur,1999
26.0,sur,2000
26.0,sur,2001
26.0,sur,2002
26.25,sur,2003
28.2,swz,1994
29.99,swz,2002
31.16,swe,2003
30.51,swe,2004
31.48,swe,2005
31.65,swe,2006
31.66,swe,2007
23.58,swe,2008
24.36,swe,2009
100.0,che,2003
100.0,che,2004
100.0,che,2005
100.0,che,2006
100.0,che,2007
100.0,che,2008
100.0,che,2009
93.6,syr,2003
94.58,syr,2004
95.15,syr,2005
95.75,syr,2006
92.98,syr,2007
91.28,syr,2008
90.25,syr,2009
71.6,tjk,1990
74.1,tjk,1991
76.7,tjk,1992
78.7,tjk,1993
80.7,tjk,1994
82.7,tjk,1995
8.63,tza,2003
7.38,tza,2008
6.67,tza,2009
88.4,tha,1991
89.7,tha,1992
92.8,tha,1993
94.7,tha,1994
97.4,tha,1995
97.5,tha,1996
97.5,tha,1997
97.5,tha,1998
97.5,tha,1999
98.5,tha,2000
21.2,tgo,1990
21.6,tgo,1991
31.0,tgo,1992
31.6,tgo,1993
31.6,tgo,1994
31.6,tgo,1995
31.6,tgo,1996
31.6,tgo,1997
31.6,tgo,1998
31.6,tgo,1999
31.6,tgo,2000
31.6,tgo,2001
21.0,tgo,2007
27.0,ton,1995
27.0,ton,1996
27.0,ton,1997
27.0,ton,1998
27.0,ton,1999
27.0,ton,2000
27.0,ton,2001
46.2,tto,1990
47.1,tto,1991
48.1,tto,1992
49.0,tto,1993
50.0,tto,1994
51.0,tto,1995
51.1,tto,1996
51.1,tto,1997
51.1,tto,1998
51.1,tto,1999
51.1,tto,2000
51.1,tto,2001
76.1,tun,1990
75.5,tun,1991
74.6,tun,1992
76.0,tun,1993
77.4,tun,1994
78.8,tun,1995
78.9,tun,1996
78.9,tun,1997
63.7,tun,1998
63.8,tun,1999
68.4,tun,2000
65.4,tun,2001
65.8,tun,2004
75.18,tun,2008
75.18,tun,2009
23.0,tur,1995
25.0,tur,1996
25.0,tur,1997
28.0,tur,1998
34.0,tur,1999
88.45,tur,2008
88.74,tur,2009
73.5,tkm,1990
75.0,tkm,1991
76.5,tkm,1992
78.0,tkm,1993
81.2,tkm,1999
81.2,tkm,2000
81.2,tkm,2001
23.0,uga,2003
93.7,ukr,1990
94.2,ukr,1991
94.6,ukr,1992
94.9,ukr,1993
94.4,ukr,1994
94.8,ukr,1995
95.0,ukr,1996
95.0,ukr,1997
96.5,ukr,1998
96.6,ukr,1999
96.7,ukr,2000
96.7,ukr,2001
96.8,ukr,2002
96.4,ukr,2003
97.2,ukr,2004
97.42,ukr,2005
97.66,ukr,2006
97.75,ukr,2007
97.82,ukr,2008
97.82,ukr,2009
94.2,are,1990
96.1,are,1991
98.0,are,1992
100.0,are,1993
100.0,are,1994
100.0,are,1995
100.0,are,1996
100.0,are,1997
100.0,are,1998
100.0,are,1999
100.0,are,2000
100.0,gbr,1990
100.0,gbr,1991
100.0,gbr,1992
100.0,gbr,1993
100.0,gbr,1994
100.0,gbr,1995
100.0,gbr,1996
100.0,gbr,1997
100.0,gbr,1998
100.0,gbr,1999
100.0,gbr,2000
100.0,gbr,2001
100.0,gbr,2002
100.0,gbr,2003
100.0,gbr,2004
100.0,gbr,2005
100.0,gbr,2006
100.0,gbr,2007
100.0,gbr,2008
100.0,gbr,2009
66.2,usa,2003
64.5,usa,2004
65.34,usa,2005
65.12,usa,2007
67.37,usa,2008
9.96,ury,2004
79.0,uzb,1990
80.5,uzb,1991
83.8,uzb,1993
85.5,uzb,1994
87.2,uzb,1995
87.3,uzb,1996
87.3,uzb,1998
87.3,uzb,1999
87.3,uzb,2000
87.3,uzb,2001
21.6,vut,1990
22.0,vut,1991
22.5,vut,1992
22.9,vut,1993
23.4,vut,1994
23.8,vut,1995
23.9,vut,1996
23.9,vut,1997
23.9,vut,1998
23.9,vut,1999
23.9,vut,2000
23.9,vut,2001
35.6,ven,1990
36.3,ven,1991
37.0,ven,1992
37.8,ven,1993
35.4,ven,1994
35.4,ven,1995
35.4,ven,1996
33.6,ven,1997
33.6,ven,1998
33.6,ven,1999
33.6,ven,2000
33.6,ven,2001
23.5,vnm,1990
23.9,vnm,1991
24.4,vnm,1992
24.9,vnm,1993
25.4,vnm,1994
25.9,vnm,1995
25.1,vnm,1996
25.1,vnm,1997
25.1,vnm,1998
43.89,vnm,2004
46.96,vnm,2006
47.62,vnm,2007
100.0,pse,2002
100.0,pse,2003
100.0,pse,2004
100.0,pse,2005
100.0,pse,2006
91.73,pse,2009
9.1,yem,1990
9.1,yem,1991
9.4,yem,1992
9.5,yem,1993
8.1,yem,1994
7.9,yem,1995
8.1,yem,1996
8.7,yem,2005
16.6,zmb,1990
16.9,zmb,1991
17.3,zmb,1992
17.6,zmb,1993
18.0,zmb,1994
22.0,zmb,2001
14.0,zwe,1990
15.0,zwe,1991
16.0,zwe,1992
17.0,zwe,1993
54.9,zwe,1994
48.0,zwe,1995
47.4,zwe,1996
47.4,zwe,1997
47.4,zwe,1998
19.0,zwe,2002
