geo,infectious_tb_number_of_new_cases_estimated,time
irl,246,2000
irl,230,2001
irl,223,2002
irl,221,2003
irl,223,2004
irl,235,2005
irl,244,2006
irl,253,2007
isr,287,1990
isr,280,1991
isr,276,1992
isr,268,1993
isr,266,1994
isr,262,1995
isr,261,1996
isr,259,1997
isr,254,1998
isr,245,1999
isr,239,2000
isr,235,2001
isr,237,2002
isr,232,2003
isr,231,2004
isr,232,2005
isr,232,2006
isr,233,2007
ita,3493,1990
ita,3300,1991
ita,3144,1992
ita,2954,1993
ita,2837,1994
ita,2705,1995
ita,2620,1996
ita,2539,1997
ita,2438,1998
ita,2298,1999
ita,2202,2000
ita,2128,2001
ita,2113,2002
ita,2035,2003
ita,2000,2004
ita,1976,2005
ita,1950,2006
ita,1923,2007
jam,85,1990
jam,85,1991
jam,86,1992
jam,86,1993
jam,87,1994
jam,87,1995
jam,88,1996
jam,88,1997
jam,89,1998
jam,89,1999
jam,90,2000
jam,90,2001
jam,91,2002
jam,92,2003
jam,92,2004
jam,93,2005
jam,93,2006
jam,94,2007
jpn,26130,1990
jpn,25430,1991
jpn,24860,1992
jpn,23820,1993
jpn,22830,1994
jpn,21770,1995
jpn,21390,1996
jpn,21550,1997
jpn,21320,1998
jpn,20850,1999
jpn,19420,2000
jpn,18080,2001
jpn,16780,2002
jpn,15820,2003
jpn,14870,2004
jpn,13800,2005
jpn,12970,2006
jpn,12140,2007
jor,164,1990
jor,166,1991
jor,165,1992
jor,173,1993
jor,171,1994
jor,177,1995
jor,171,1996
jor,156,1997
jor,144,1998
jor,132,1999
jor,128,2000
jor,120,2001
jor,121,2002
jor,118,2003
jor,125,2004
jor,131,2005
jor,133,2006
jor,135,2007
kaz,4341,1990
kaz,4044,1991
kaz,3976,1992
kaz,3937,1993
kaz,3986,1994
kaz,4424,1995
kaz,5117,1996
kaz,6267,1997
kaz,7624,1998
kaz,8809,1999
kaz,9487,2000
kaz,9798,2001
kaz,9930,2002
kaz,9962,2003
kaz,9736,2004
kaz,9336,2005
kaz,9116,2006
kaz,8896,2007
ken,10780,1990
ken,11150,1991
ken,13420,1992
ken,16270,1993
ken,19950,1994
ken,23880,1995
ken,28270,1996
ken,33970,1997
ken,39740,1998
ken,45310,1999
ken,49450,2000
ken,51320,2001
ken,54300,2002
ken,58300,2003
ken,60840,2004
ken,57800,2005
ken,54310,2006
ken,53230,2007
kir,166,1990
kir,166,1991
kir,165,1992
kir,164,1993
kir,162,1994
kir,161,1995
kir,161,1996
kir,160,1997
kir,160,1998
kir,159,1999
kir,159,2000
kir,158,2001
kir,158,2002
kir,158,2003
kir,158,2004
kir,157,2005
kir,157,2006
kir,156,2007
kwt,429,1990
kwt,396,1991
kwt,358,1992
kwt,314,1993
kwt,285,1994
kwt,265,1995
kwt,260,1996
kwt,265,1997
kwt,271,1998
kwt,273,1999
kwt,277,2000
kwt,280,2001
kwt,289,2002
kwt,288,2003
kwt,291,2004
kwt,296,2005
kwt,300,2006
kwt,303,2007
kgz,1085,1990
kgz,1156,1991
kgz,1174,1992
kgz,1206,1993
kgz,1331,1994
kgz,1589,1995
kgz,1972,1996
kgz,2333,1997
kgz,2691,1998
kgz,2852,1999
kgz,2999,2000
kgz,3034,2001
kgz,3027,2002
kgz,2938,2003
kgz,2889,2004
kgz,2887,2005
kgz,2885,2006
kgz,2884,2007
lao,3275,1990
lao,3341,1991
lao,3407,1992
lao,3471,1993
lao,3532,1994
lao,3588,1995
lao,3640,1996
lao,3687,1997
lao,3729,1998
lao,3767,1999
lao,3799,2000
lao,3826,2001
lao,3849,2002
lao,3868,2003
lao,3887,2004
lao,3907,2005
lao,3930,2006
lao,3954,2007
lva,412,1990
lva,427,1991
lva,440,1992
lva,468,1993
lva,558,1994
lva,674,1995
lva,806,1996
lva,903,1997
lva,922,1998
lva,918,1999
lva,890,2000
lva,875,2001
lva,828,2002
lva,763,2003
lva,703,2004
lva,643,2005
lva,590,2006
lva,537,2007
lbn,454,1990
lbn,461,1991
lbn,470,1992
lbn,481,1993
lbn,498,1994
lbn,486,1995
lbn,444,1996
lbn,383,1997
lbn,354,1998
lbn,331,1999
lbn,310,2000
lbn,267,2001
lbn,234,2002
lbn,212,2003
lbn,204,2004
lbn,203,2005
lbn,217,2006
lbn,232,2007
lso,1305,1990
lso,1424,1991
lso,1525,1992
lso,1678,1993
lso,1893,1994
lso,2162,1995
lso,2424,1996
lso,2766,1997
lso,3165,1998
lso,3616,1999
lso,3909,2000
lso,4124,2001
lso,4433,2002
lso,4635,2003
lso,4733,2004
lso,4740,2005
lso,4765,2006
lso,4787,2007
lbr,1889,1990
lbr,1890,1991
lbr,1887,1992
lbr,1897,1993
lbr,1944,1994
lbr,2046,1995
lbr,2216,1996
lbr,2450,1997
lbr,2720,1998
lbr,2986,1999
lbr,3217,2000
lbr,3397,2001
lbr,3534,2002
lbr,3652,2003
lbr,3785,2004
lbr,3963,2005
lbr,4196,2006
lbr,4474,2007
lby,588,1990
lby,590,1991
lby,607,1992
lby,596,1993
lby,601,1994
lby,598,1995
lby,592,1996
lby,566,1997
lby,551,1998
lby,543,1999
lby,539,2000
lby,531,2001
lby,523,2002
lby,512,2003
lby,499,2004
lby,489,2005
lby,483,2006
lby,477,2007
ltu,663,1990
ltu,695,1991
ltu,759,1992
ltu,846,1993
ltu,960,1994
ltu,1067,1995
ltu,1186,1996
ltu,1283,1997
ltu,1311,1998
ltu,1269,1999
ltu,1206,2000
ltu,1147,2001
ltu,1136,2002
ltu,1052,2003
ltu,1007,2004
ltu,974,2005
ltu,1003,2006
ltu,1032,2007
lux,39,1990
lux,38,1991
lux,36,1992
lux,34,1993
lux,33,1994
lux,32,1995
lux,32,1996
lux,31,1997
lux,30,1998
lux,29,1999
lux,28,2000
lux,27,2001
lux,27,2002
lux,26,2003
lux,26,2004
lux,26,2005
lux,26,2006
lux,25,2007
mdg,9602,1990
mdg,10090,1991
mdg,10600,1992
mdg,11140,1993
mdg,11720,1994
mdg,12320,1995
mdg,12950,1996
mdg,13610,1997
mdg,14300,1998
mdg,15030,1999
mdg,15790,2000
mdg,16570,2001
mdg,17400,2002
mdg,18260,2003
mdg,19160,2004
mdg,20090,2005
mdg,21070,2006
mdg,22090,2007
mwi,10400,1990
mwi,11490,1991
mwi,12430,1992
mwi,13360,1993
mwi,14380,1994
mwi,15130,1995
mwi,15350,1996
mwi,16200,1997
mwi,17130,1998
mwi,17900,1999
mwi,18760,2000
mwi,18820,2001
mwi,19410,2002
mwi,19640,2003
mwi,19890,2004
mwi,19720,2005
mwi,19080,2006
mwi,18390,2007
mys,9635,1990
mys,9814,1991
mys,9985,1992
mys,10150,1993
mys,10310,1994
mys,10480,1995
mys,10640,1996
mys,10800,1997
mys,10950,1998
mys,11090,1999
mys,11210,2000
mys,11320,2001
mys,11430,2002
mys,11530,2003
mys,11620,2004
mys,11720,2005
mys,11820,2006
mys,11900,2007
mdv,125,1990
mdv,121,1991
mdv,118,1992
mdv,114,1993
mdv,111,1994
mdv,107,1995
mdv,103,1996
mdv,99,1997
mdv,95,1998
mdv,91,1999
mdv,87,2000
mdv,84,2001
mdv,80,2002
mdv,76,2003
mdv,73,2004
mdv,70,2005
mdv,67,2006
mdv,64,2007
mli,9439,1990
mli,9748,1991
mli,10060,1992
mli,10390,1993
mli,10720,1994
mli,11060,1995
mli,11410,1996
mli,11770,1997
mli,12160,1998
mli,12570,1999
mli,13020,2000
mli,13500,2001
mli,14010,2002
mli,14560,2003
mli,15140,2004
mli,15740,2005
mli,16370,2006
mli,17020,2007
mlt,18,1990
mlt,17,1991
mlt,17,1992
mlt,16,1993
mlt,15,1994
mlt,15,1995
mlt,14,1996
mlt,14,1997
mlt,13,1998
mlt,13,1999
mlt,12,2000
mlt,12,2001
mlt,12,2002
mlt,11,2003
mlt,11,2004
mlt,11,2005
mlt,11,2006
mlt,11,2007
mrt,1993,1990
mrt,2086,1991
mrt,2184,1992
mrt,2288,1993
mrt,2397,1994
mrt,2511,1995
mrt,2630,1996
mrt,2752,1997
mrt,2877,1998
mrt,3008,1999
mrt,3146,2000
mrt,3294,2001
mrt,3453,2002
mrt,3621,2003
mrt,3797,2004
mrt,3978,2005
mrt,4166,2006
mrt,4359,2007
mus,132,1990
mus,132,1991
mus,132,1992
mus,132,1993
mus,132,1994
mus,132,1995
mus,132,1996
mus,131,1997
mus,131,1998
mus,131,1999
mus,130,2000
mus,130,2001
mus,129,2002
mus,129,2003
mus,128,2004
mus,127,2005
mus,126,2006
mus,125,2007
mex,28210,1990
mex,26860,1991
mex,25580,1992
mex,24360,1993
mex,23210,1994
mex,22110,1995
mex,21070,1996
mex,20080,1997
mex,19120,1998
mex,18180,1999
mex,17250,2000
mex,16320,2001
mex,15420,2002
mex,14540,2003
mex,13720,2004
mex,12960,2005
mex,12260,2006
mex,11600,2007
fsm,82,1990
fsm,81,1991
fsm,79,1992
fsm,78,1993
fsm,77,1994
fsm,75,1995
fsm,72,1996
fsm,70,1997
fsm,67,1998
fsm,64,1999
fsm,61,2000
fsm,59,2001
fsm,57,2002
fsm,55,2003
fsm,54,2004
fsm,52,2005
fsm,50,2006
fsm,49,2007
mco,1,1990
mco,1,1991
mco,1,1992
mco,1,1993
mco,0,1994
mco,0,1995
mco,0,1996
mco,0,1997
mco,0,1998
mco,0,1999
mco,0,2000
mco,0,2001
mco,0,2002
mco,0,2003
mco,0,2004
mco,0,2005
mco,0,2006
mco,0,2007
mng,2049,1990
mng,2092,1991
mng,2129,1992
mng,2160,1993
mng,2186,1994
mng,2209,1995
mng,2227,1996
mng,2242,1997
mng,2255,1998
mng,2268,1999
mng,2283,2000
mng,2300,2001
mng,2320,2002
mng,2341,2003
mng,2363,2004
mng,2385,2005
mng,2407,2006
mng,2429,2007
msr,1,1990
msr,1,1991
msr,1,1992
msr,1,1993
msr,1,1994
msr,0,1995
msr,0,1996
msr,0,1997
msr,0,1998
msr,0,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,0,2003
msr,0,2004
msr,0,2005
msr,0,2006
msr,0,2007
mar,16620,1990
mar,16450,1991
mar,16260,1992
mar,16070,1993
mar,15860,1994
mar,15650,1995
mar,15430,1996
mar,15210,1997
mar,14980,1998
mar,14750,1999
mar,14510,2000
mar,14260,2001
mar,14020,2002
mar,13770,2003
mar,13530,2004
mar,13300,2005
mar,13080,2006
mar,12860,2007
moz,10850,1990
moz,12250,1991
moz,13430,1992
moz,14830,1993
moz,16270,1994
moz,17820,1995
moz,19210,1996
moz,21010,1997
moz,23050,1998
moz,25420,1999
moz,28220,2000
moz,31130,2001
moz,33960,2002
moz,36170,2003
moz,37330,2004
moz,37650,2005
moz,37430,2006
moz,37160,2007
mmr,30500,1990
mmr,30880,1991
mmr,31240,1992
mmr,31600,1993
mmr,31960,1994
mmr,32320,1995
mmr,32690,1996
mmr,33080,1997
mmr,33460,1998
mmr,33850,1999
mmr,34220,2000
mmr,34570,2001
mmr,34900,2002
mmr,35230,2003
mmr,35560,2004
mmr,35910,2005
mmr,36260,2006
mmr,36620,2007
nam,2006,1990
nam,2282,1991
nam,2485,1992
nam,2700,1993
nam,2911,1994
nam,3145,1995
nam,3363,1996
nam,3664,1997
nam,4015,1998
nam,4424,1999
nam,4895,2000
nam,5367,2001
nam,5807,2002
nam,6126,2003
nam,6260,2004
nam,6259,2005
nam,6177,2006
nam,6088,2007
nru,4,1990
nru,6,1991
nru,6,1992
nru,6,1993
nru,2,1994
nru,6,1995
nru,6,1996
nru,6,1997
nru,6,1998
nru,2,1999
nru,4,2000
nru,2,2001
nru,2,2002
nru,1,2003
nru,5,2004
nru,0,2005
nru,2,2006
nru,3,2007
npl,20890,1990
npl,20990,1991
npl,21090,1992
npl,21190,1993
npl,21300,1994
npl,21390,1995
npl,21480,1996
npl,21570,1997
npl,21640,1998
npl,21710,1999
npl,21760,2000
npl,21800,2001
npl,21820,2002
npl,21830,2003
npl,21830,2004
npl,21830,2005
npl,21830,2006
npl,21830,2007
nld,949,1990
nld,901,1991
nld,862,1992
nld,813,1993
nld,784,1994
nld,751,1995
nld,731,1996
nld,712,1997
nld,687,1998
nld,650,1999
nld,625,2000
nld,606,2001
nld,603,2002
nld,582,2003
nld,572,2004
nld,566,2005
nld,559,2006
nld,552,2007
ant,12,1990
ant,11,1991
ant,11,1992
ant,10,1993
ant,10,1994
ant,9,1995
ant,9,1996
ant,8,1997
ant,8,1998
ant,7,1999
ant,7,2000
ant,7,2001
ant,7,2002
ant,7,2003
ant,6,2004
ant,6,2005
ant,6,2006
ant,6,2007
ncl,72,1990
ncl,70,1991
ncl,70,1992
ncl,18,1993
ncl,31,1994
ncl,23,1995
ncl,29,1996
ncl,27,1997
ncl,29,1998
ncl,24,1999
ncl,22,2000
ncl,21,2001
ncl,23,2002
ncl,13,2003
ncl,17,2004
ncl,18,2005
ncl,10,2006
ncl,13,2007
nzl,155,1990
nzl,157,1991
nzl,146,1992
nzl,148,1993
nzl,160,1994
nzl,173,1995
nzl,168,1996
nzl,163,1997
nzl,178,1998
nzl,182,1999
nzl,184,2000
nzl,165,2001
nzl,172,2002
nzl,171,2003
nzl,172,2004
nzl,165,2005
nzl,150,2006
nzl,134,2007
nic,2450,1990
nic,2395,1991
nic,2342,1992
nic,2291,1993
nic,2238,1994
nic,2184,1995
nic,2127,1996
nic,2070,1997
nic,2011,1998
nic,1951,1999
nic,1891,2000
nic,1831,2001
nic,1771,2002
nic,1712,2003
nic,1654,2004
nic,1598,2005
nic,1544,2006
nic,1492,2007
ner,4389,1990
ner,4623,1991
ner,4872,1992
ner,5137,1993
ner,5418,1994
ner,5714,1995
ner,6027,1996
ner,6358,1997
ner,6709,1998
ner,7081,1999
ner,7474,2000
ner,7889,2001
ner,8327,2002
ner,8790,2003
ner,9280,2004
ner,9799,2005
ner,10350,2006
ner,10930,2007
nga,54650,1990
nga,62070,1991
nga,67890,1992
nga,74440,1993
nga,81160,1994
nga,88690,1995
nga,95790,1996
nga,105300,1997
nga,116200,1998
nga,129000,1999
nga,144100,2000
nga,159700,2001
nga,174800,2002
nga,186900,2003
nga,193400,2004
nga,195800,2005
nga,195400,2006
nga,194700,2007
niu,1,1990
niu,1,1991
niu,1,1992
niu,1,1993
niu,1,1994
niu,1,1995
niu,1,1996
niu,0,1997
niu,0,1998
niu,1,1999
niu,0,2000
niu,0,2001
niu,1,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,14,1990
mnp,21,1991
mnp,34,1992
mnp,23,1993
mnp,23,1994
mnp,16,1995
mnp,29,1996
mnp,23,1997
mnp,29,1998
mnp,17,1999
mnp,30,2000
mnp,21,2001
mnp,23,2002
mnp,18,2003
mnp,16,2004
mnp,17,2005
mnp,17,2006
mnp,16,2007
nor,199,1990
nor,189,1991
nor,180,1992
nor,170,1993
nor,164,1994
nor,157,1995
nor,152,1996
nor,148,1997
nor,143,1998
nor,135,1999
nor,130,2000
nor,126,2001
nor,126,2002
nor,122,2003
nor,120,2004
nor,119,2005
nor,118,2006
nor,117,2007
omn,217,1990
omn,200,1991
omn,169,1992
omn,148,1993
omn,133,1994
omn,136,1995
omn,135,1996
omn,137,1997
omn,129,1998
omn,132,1999
omn,133,2000
omn,140,2001
omn,129,2002
omn,129,2003
omn,125,2004
omn,137,2005
omn,143,2006
omn,149,2007
pak,92130,1990
pak,94690,1991
pak,97070,1992
pak,99350,1993
pak,101700,1994
pak,104100,1995
pak,106700,1996
pak,109500,1997
pak,112200,1998
pak,114900,1999
pak,117500,2000
pak,119800,2001
pak,122000,2002
pak,124100,2003
pak,126200,2004
pak,128400,2005
pak,130700,2006
pak,133100,2007
plw,4,1990
plw,3,1991
plw,2,1992
plw,9,1993
plw,12,1994
plw,10,1995
plw,4,1996
plw,8,1997
plw,5,1998
plw,22,1999
plw,5,2000
plw,4,2001
plw,10,2002
plw,6,2003
plw,6,2004
plw,3,2005
plw,7,2006
plw,6,2007
pan,623,1990
pan,634,1991
pan,645,1992
pan,657,1993
pan,670,1994
pan,683,1995
pan,696,1996
pan,710,1997
pan,724,1998
pan,738,1999
pan,752,2000
pan,766,2001
pan,780,2002
pan,794,2003
pan,809,2004
pan,823,2005
pan,837,2006
pan,851,2007
png,4636,1990
png,4756,1991
png,4880,1992
png,5008,1993
png,5139,1994
png,5276,1995
png,5416,1996
png,5560,1997
png,5706,1998
png,5851,1999
png,5995,2000
png,6135,2001
png,6271,2002
png,6400,2003
png,6520,2004
png,6628,2005
png,6722,2006
png,6815,2007
pry,1407,1990
pry,1440,1991
pry,1473,1992
pry,1506,1993
pry,1538,1994
pry,1570,1995
pry,1602,1996
pry,1633,1997
pry,1663,1998
pry,1694,1999
pry,1724,2000
pry,1754,2001
pry,1784,2002
pry,1814,2003
pry,1844,2004
pry,1874,2005
pry,1904,2006
pry,1934,2007
per,37890,1990
per,36580,1991
per,35300,1992
per,34020,1993
per,32770,1994
per,31540,1995
per,30330,1996
per,29140,1997
per,27980,1998
per,26850,1999
per,25750,2000
per,24690,2001
per,23670,2002
per,22680,2003
per,21720,2004
per,20810,2005
per,19930,2006
per,19080,2007
phl,108400,1990
phl,109000,1991
phl,109500,1992
phl,110100,1993
phl,110600,1994
phl,111000,1995
phl,111400,1996
phl,111800,1997
phl,112100,1998
phl,112400,1999
phl,112800,2000
phl,113100,2001
phl,113400,2002
phl,113800,2003
phl,114100,2004
phl,114300,2005
phl,114500,2006
phl,114700,2007
pol,8935,1990
pol,9002,1991
pol,9128,1992
pol,9156,1993
pol,9047,1994
pol,8776,1995
pol,8281,1996
pol,7792,1997
pol,7205,1998
pol,6647,1999
pol,6069,2000
pol,5685,2001
pol,5455,2002
pol,5188,2003
pol,4847,2004
pol,4543,2005
pol,4419,2006
pol,4295,2007
prt,2984,1990
prt,2858,1991
prt,2728,1992
prt,2662,1993
prt,2599,1994
prt,2560,1995
prt,2475,1996
prt,2421,1997
prt,2317,1998
prt,2178,1999
prt,2030,2000
prt,1994,2001
prt,1937,2002
prt,1825,2003
prt,1658,2004
prt,1558,2005
prt,1457,2006
prt,1355,2007
pri,173,1990
pri,157,1991
pri,181,1992
pri,189,1993
pri,192,1994
pri,193,1995
pri,189,1996
pri,174,1997
pri,160,1998
pri,140,1999
pri,120,2000
pri,103,2001
pri,89,2002
pri,89,2003
pri,85,2004
pri,84,2005
pri,78,2006
pri,72,2007
qat,127,1990
qat,128,1991
qat,132,1992
qat,144,1993
qat,167,1994
qat,180,1995
qat,172,1996
qat,160,1997
qat,160,1998
qat,175,1999
qat,182,2000
qat,187,2001
qat,187,2002
qat,184,2003
qat,194,2004
qat,208,2005
qat,237,2006
qat,264,2007
kor,31930,1990
kor,28280,1991
kor,25460,1992
kor,22180,1993
kor,21180,1994
kor,19890,1995
kor,19080,1996
kor,17840,1997
kor,16630,1998
kor,14740,1999
kor,15140,2000
kor,15620,2001
kor,17630,2002
kor,17150,2003
kor,17690,2004
kor,18360,2005
kor,18880,2006
kor,19410,2007
mda,1274,1990
mda,1225,1991
mda,1292,1992
mda,1413,1993
mda,1569,1994
mda,1787,1995
mda,2013,1996
mda,2181,1997
mda,2341,1998
mda,2457,1999
mda,2569,2000
mda,2584,2001
mda,2537,2002
mda,2486,2003
mda,2445,2004
mda,2429,2005
mda,2406,2006
mda,2387,2007
rou,7678,1990
rou,8239,1991
rou,8909,1992
rou,9880,1993
rou,10720,1994
rou,11350,1995
rou,11750,1996
rou,12160,1997
rou,12470,1998
rou,13050,1999
rou,13520,2000
rou,14110,2001
rou,14250,2002
rou,14250,2003
rou,13650,2004
rou,12980,2005
rou,12000,2006
rou,11030,2007
rus,30130,1990
rus,28310,1991
rus,30680,1992
rus,34430,1993
rus,40270,1994
rus,48980,1995
rus,57830,1996
rus,62550,1997
rus,66760,1998
rus,70540,1999
rus,74110,2000
rus,72590,2001
rus,69050,2002
rus,66660,2003
rus,66260,2004
rus,66250,2005
rus,67220,2006
rus,68220,2007
rwa,4738,1990
rwa,5082,1991
rwa,5098,1992
rwa,5064,1993
rwa,5085,1994
rwa,5353,1995
rwa,5894,1996
rwa,6885,1997
rwa,8215,1998
rwa,9760,1999
rwa,11400,2000
rwa,12920,2001
rwa,14240,2002
rwa,15170,2003
rwa,15640,2004
rwa,15830,2005
rwa,15880,2006
rwa,15930,2007
kna,2,1990
kna,2,1991
kna,2,1992
kna,2,1993
kna,2,1994
kna,2,1995
kna,2,1996
kna,2,1997
kna,2,1998
kna,2,1999
kna,2,2000
kna,2,2001
kna,2,2002
kna,3,2003
kna,3,2004
kna,3,2005
kna,3,2006
kna,3,2007
lca,12,1990
lca,12,1991
lca,12,1992
lca,12,1993
lca,12,1994
lca,12,1995
lca,12,1996
lca,12,1997
lca,12,1998
lca,12,1999
lca,12,2000
lca,13,2001
lca,13,2002
lca,13,2003
lca,13,2004
lca,13,2005
lca,13,2006
lca,13,2007
vct,16,1990
vct,16,1991
vct,17,1992
vct,17,1993
vct,17,1994
vct,17,1995
vct,17,1996
vct,16,1997
vct,16,1998
vct,16,1999
vct,16,2000
vct,16,2001
vct,16,2002
vct,16,2003
vct,16,2004
vct,16,2005
vct,16,2006
vct,16,2007
wsm,23,1990
wsm,23,1991
wsm,22,1992
wsm,22,1993
wsm,21,1994
wsm,21,1995
wsm,20,1996
wsm,20,1997
wsm,19,1998
wsm,19,1999
wsm,19,2000
wsm,18,2001
wsm,18,2002
wsm,17,2003
wsm,17,2004
wsm,17,2005
wsm,16,2006
wsm,16,2007
smr,1,1990
smr,1,1991
smr,1,1992
smr,1,1993
smr,1,1994
smr,1,1995
smr,1,1996
smr,1,1997
smr,1,1998
smr,1,1999
smr,1,2000
smr,1,2001
smr,1,2002
smr,1,2003
smr,1,2004
smr,1,2005
smr,1,2006
smr,1,2007
stp,71,1990
stp,71,1991
stp,71,1992
stp,71,1993
stp,71,1994
stp,71,1995
stp,72,1996
stp,72,1997
stp,72,1998
stp,72,1999
stp,72,2000
stp,72,2001
stp,72,2002
stp,72,2003
stp,72,2004
stp,72,2005
stp,72,2006
stp,72,2007
sau,3131,1990
sau,2883,1991
sau,2862,1992
sau,2984,1993
sau,3284,1994
sau,3512,1995
sau,3780,1996
sau,4008,1997
sau,4263,1998
sau,4401,1999
sau,4445,2000
sau,4386,2001
sau,4328,2002
sau,4322,2003
sau,4390,2004
sau,4585,2005
sau,4863,2006
sau,5149,2007
sen,6903,1990
sen,7240,1991
sen,7587,1992
sen,7946,1993
sen,8319,1994
sen,8707,1995
sen,9111,1996
sen,9530,1997
sen,9966,1998
sen,10420,1999
sen,10890,2000
sen,11380,2001
sen,11890,2002
sen,12420,2003
sen,12960,2004
sen,13530,2005
sen,14110,2006
sen,14710,2007
syc,14,1990
syc,14,1991
syc,14,1992
syc,14,1993
syc,14,1994
syc,14,1995
syc,13,1996
syc,13,1997
syc,13,1998
syc,13,1999
syc,13,2000
syc,13,2001
syc,13,2002
syc,13,2003
syc,13,2004
syc,13,2005
syc,13,2006
syc,13,2007
sle,3786,1990
sle,4042,1991
sle,4282,1992
sle,4518,1993
sle,4775,1994
sle,5071,1995
sle,5413,1996
sle,5801,1997
sle,6251,1998
sle,6783,1999
sle,7415,2000
sle,8172,2001
sle,9064,2002
sle,10070,2003
sle,11140,2004
sle,12250,2005
sle,13360,2006
sle,14480,2007
sgp,672,1990
sgp,693,1991
sgp,726,1992
sgp,704,1993
sgp,718,1994
sgp,733,1995
sgp,774,1996
sgp,804,1997
sgp,785,1998
sgp,753,1999
sgp,674,2000
sgp,635,2001
sgp,614,2002
sgp,598,2003
sgp,576,2004
sgp,541,2005
sgp,533,2006
sgp,525,2007
svk,938,1990
svk,986,1991
svk,1058,1992
svk,1087,1993
svk,1048,1994
svk,987,1995
svk,892,1996
svk,839,1997
svk,756,1998
svk,697,1999
svk,636,2000
svk,610,2001
svk,589,2002
svk,522,2003
svk,468,2004
svk,420,2005
svk,412,2006
svk,403,2007
svn,371,1990
svn,348,1991
svn,334,1992
svn,324,1993
svn,304,1994
svn,289,1995
svn,281,1996
svn,267,1997
svn,242,1998
svn,222,1999
svn,206,2000
svn,190,2001
svn,174,2002
svn,154,2003
svn,142,2004
svn,130,2005
svn,123,2006
svn,116,2007
slb,441,1990
slb,430,1991
slb,420,1992
slb,410,1993
slb,401,1994
slb,391,1995
slb,382,1996
slb,372,1997
slb,363,1998
slb,354,1999
slb,345,2000
slb,336,2001
slb,328,2002
slb,319,2003
slb,310,2004
slb,302,2005
slb,293,2006
slb,285,2007
som,7511,1990
som,7425,1991
som,7280,1992
som,7118,1993
som,6995,1994
som,6952,1995
som,7006,1996
som,7142,1997
som,7340,1998
som,7567,1999
som,7799,2000
som,8032,2001
som,8271,2002
som,8516,2003
som,8771,2004
som,9036,2005
som,9309,2006
som,9587,2007
zaf,48590,1990
zaf,49430,1991
zaf,50260,1992
zaf,51100,1993
zaf,52090,1994
zaf,53580,1995
zaf,56230,1996
zaf,61040,1997
zaf,69320,1998
zaf,82250,1999
zaf,99760,2000
zaf,119500,2001
zaf,137600,2002
zaf,151600,2003
zaf,161200,2004
zaf,167300,2005
zaf,171200,2006
zaf,173700,2007
esp,9616,1990
esp,9081,1991
esp,8651,1992
esp,8128,1993
esp,7810,1994
esp,7451,1995
esp,7219,1996
esp,7003,1997
esp,6736,1998
esp,6375,1999
esp,6149,2000
esp,6001,2001
esp,6034,2002
esp,5889,2003
esp,5862,2004
esp,5855,2005
esp,5831,2006
esp,5792,2007
lka,4659,1990
lka,4716,1991
lka,4772,1992
lka,4825,1993
lka,4876,1994
lka,4922,1995
lka,4964,1996
lka,5001,1997
lka,5035,1998
lka,5066,1999
lka,5094,2000
lka,5119,2001
lka,5141,2002
lka,5162,2003
lka,5183,2004
lka,5205,2005
lka,5228,2006
lka,5253,2007
sdn,20110,1990
sdn,20920,1991
sdn,21840,1992
sdn,22840,1993
sdn,23900,1994
sdn,25000,1995
sdn,26160,1996
sdn,27360,1997
sdn,28600,1998
sdn,29860,1999
sdn,31130,2000
sdn,32410,2001
sdn,33710,2002
sdn,35040,2003
sdn,36440,2004
sdn,37940,2005
sdn,39530,2006
sdn,41220,2007
sur,145,1990
sur,136,1991
sur,109,1992
sur,113,1993
sur,109,1994
sur,115,1995
sur,131,1996
sur,154,1997
sur,184,1998
sur,193,1999
sur,185,2000
sur,186,2001
sur,189,2002
sur,204,2003
sur,218,2004
sur,240,2005
sur,260,2006
sur,281,2007
swz,1019,1990
swz,1030,1991
swz,1008,1992
swz,1026,1993
swz,1111,1994
swz,1268,1995
swz,1497,1996
swz,1794,1997
swz,2135,1998
swz,2681,1999
swz,3155,2000
swz,3655,2001
swz,4013,2002
swz,4390,2003
swz,4645,2004
swz,4745,2005
swz,4902,2006
swz,5055,2007
swe,266,1990
swe,269,1991
swe,278,1992
swe,281,1993
swe,273,1994
swe,254,1995
swe,241,1996
swe,222,1997
swe,220,1998
swe,213,1999
swe,205,2000
swe,188,2001
swe,183,2002
swe,187,2003
swe,213,2004
swe,229,2005
swe,236,2006
swe,244,2007
che,557,1990
che,538,1991
che,482,1992
che,449,1993
che,424,1994
che,398,1995
che,370,1996
che,357,1997
che,355,1998
che,323,1999
che,290,2000
che,264,2001
che,265,2002
che,264,2003
che,250,2004
che,236,2005
che,219,2006
che,203,2007
syr,2357,1990
syr,2297,1991
syr,2236,1992
syr,2174,1993
syr,2113,1994
syr,2051,1995
syr,1989,1996
syr,1927,1997
syr,1867,1998
syr,1809,1999
syr,1755,2000
syr,1705,2001
syr,1656,2002
syr,1610,2003
syr,1565,2004
syr,1521,2005
syr,1478,2006
syr,1436,2007
tjk,2667,1990
tjk,2316,1991
tjk,1651,1992
tjk,1193,1993
tjk,1313,1994
tjk,1683,1995
tjk,2149,1996
tjk,2300,1997
tjk,2636,1998
