population_growth_annual_percent,geo,time
1.611,chl,1983
1.64,chl,1984
1.658,chl,1985
1.666,chl,1986
1.678,chl,1987
1.699,chl,1988
1.734,chl,1989
1.773,chl,1990
1.815,chl,1991
1.838,chl,1992
1.819,chl,1993
1.747,chl,1994
1.641,chl,1995
1.524,chl,1996
1.42,chl,1997
1.333,chl,1998
1.271,chl,1999
1.228,chl,2000
1.189,chl,2001
1.146,chl,2002
1.108,chl,2003
1.075,chl,2004
1.045,chl,2005
1.019,chl,2006
0.9944,chl,2007
0.9713,chl,2008
0.949,chl,2009
0.9272,chl,2010
0.9065,chl,2011
1.833,chn,1960
-1.016,chn,1961
0.8205,chn,1962
2.458,chn,1963
2.321,chn,1964
2.381,chn,1965
2.787,chn,1966
2.571,chn,1967
2.611,chn,1968
2.74,chn,1969
2.762,chn,1970
2.747,chn,1971
2.457,chn,1972
2.283,chn,1973
2.066,chn,1974
1.766,chn,1975
1.547,chn,1976
1.363,chn,1977
1.338,chn,1978
1.334,chn,1979
1.254,chn,1980
1.281,chn,1981
1.473,chn,1982
1.445,chn,1983
1.312,chn,1984
1.362,chn,1985
1.487,chn,1986
1.604,chn,1987
1.61,chn,1988
1.533,chn,1989
1.467,chn,1990
1.364,chn,1991
1.226,chn,1992
1.15,chn,1993
1.13,chn,1994
1.087,chn,1995
1.048,chn,1996
1.023,chn,1997
0.9596,chn,1998
0.8659,chn,1999
0.788,chn,2000
0.7264,chn,2001
0.67,chn,2002
0.6229,chn,2003
0.5939,chn,2004
0.5881,chn,2005
0.5584,chn,2006
0.5223,chn,2007
0.5124,chn,2008
0.5064,chn,2009
0.4829,chn,2010
0.4702,chn,2011
2.964,col,1960
2.971,col,1961
2.971,col,1962
2.965,col,1963
2.952,col,1964
2.93,col,1965
2.912,col,1966
2.884,col,1967
2.822,col,1968
2.72,col,1969
2.595,col,1970
2.463,col,1971
2.352,col,1972
2.28,col,1973
2.261,col,1974
2.275,col,1975
2.297,col,1976
2.307,col,1977
2.308,col,1978
2.295,col,1979
2.271,col,1980
2.247,col,1981
2.226,col,1982
2.2,col,1983
2.17,col,1984
2.136,col,1985
2.102,col,1986
2.068,col,1987
2.034,col,1988
1.999,col,1989
1.964,col,1990
1.929,col,1991
1.894,col,1992
1.864,col,1993
1.837,col,1994
1.814,col,1995
1.792,col,1996
1.769,col,1997
1.743,col,1998
1.712,col,1999
1.678,col,2000
1.642,col,2001
1.609,col,2002
1.579,col,2003
1.555,col,2004
1.533,col,2005
1.513,col,2006
1.49,col,2007
1.463,col,2008
1.43,col,2009
1.394,col,2010
1.357,col,2011
1.858,com,1960
1.824,com,1961
1.812,com,1962
1.84,com,1963
1.914,com,1964
2.02,com,1965
2.16,com,1966
2.293,com,1967
2.371,com,1968
2.373,com,1969
2.339,com,1970
2.263,com,1971
2.241,com,1972
2.38,com,1973
2.721,com,1974
3.169,com,1975
3.63,com,1976
3.968,com,1977
4.114,com,1978
4.032,com,1979
3.805,com,1980
3.56,com,1981
3.358,com,1982
3.168,com,1983
3.004,com,1984
2.863,com,1985
2.724,com,1986
2.592,com,1987
2.495,com,1988
2.443,com,1989
2.423,com,1990
2.414,com,1991
2.409,com,1992
2.419,com,1993
2.442,com,1994
2.474,com,1995
2.511,com,1996
2.549,com,1997
2.582,com,1998
2.609,com,1999
2.631,com,2000
2.649,com,2001
2.665,com,2002
2.678,com,2003
2.689,com,2004
2.695,com,2005
2.698,com,2006
2.695,com,2007
2.68,com,2008
2.653,com,2009
2.617,com,2010
2.579,com,2011
2.551,cod,1960
2.569,cod,1961
2.591,cod,1962
2.63,cod,1963
2.691,cod,1964
2.762,cod,1965
2.838,cod,1966
2.898,cod,1967
2.923,cod,1968
2.907,cod,1969
2.866,cod,1970
2.812,cod,1971
2.774,cod,1972
2.767,cod,1973
2.803,cod,1974
2.862,cod,1975
2.936,cod,1976
2.991,cod,1977
2.998,cod,1978
2.947,cod,1979
2.864,cod,1980
2.782,cod,1981
2.735,cod,1982
2.729,cod,1983
2.777,cod,1984
2.864,cod,1985
2.919,cod,1986
2.97,cod,1987
3.104,cod,1988
3.336,cod,1989
3.603,cod,1990
3.906,cod,1991
4.108,cod,1992
4.069,cod,1993
3.747,cod,1994
3.269,cod,1995
2.748,cod,1996
2.344,cod,1997
2.143,cod,1998
2.205,cod,1999
2.44,cod,2000
2.71,cod,2001
2.903,cod,2002
3.015,cod,2003
3.016,cod,2004
2.944,cod,2005
2.863,cod,2006
2.81,cod,2007
2.763,cod,2008
2.731,cod,2009
2.707,cod,2010
2.68,cod,2011
2.513,cog,1960
2.569,cog,1961
2.623,cog,1962
2.669,cog,1963
2.708,cog,1964
2.742,cog,1965
2.768,cog,1966
2.794,cog,1967
2.834,cog,1968
2.89,cog,1969
2.953,cog,1970
3.017,cog,1971
3.066,cog,1972
3.082,cog,1973
3.058,cog,1974
3.011,cog,1975
2.954,cog,1976
2.909,cog,1977
2.885,cog,1978
2.89,cog,1979
2.912,cog,1980
2.937,cog,1981
2.95,cog,1982
2.943,cog,1983
2.912,cog,1984
2.866,cog,1985
2.821,cog,1986
2.783,cog,1987
2.751,cog,1988
2.727,cog,1989
2.71,cog,1990
2.686,cog,1991
2.664,cog,1992
2.665,cog,1993
2.694,cog,1994
2.736,cog,1995
2.793,cog,1996
2.832,cog,1997
2.813,cog,1998
2.724,cog,1999
2.595,cog,2000
2.443,cog,2001
2.325,cog,2002
2.292,cog,2003
2.367,cog,2004
2.505,cog,2005
2.664,cog,2006
2.774,cog,2007
2.795,cog,2008
2.703,cog,2009
2.541,cog,2010
2.367,cog,2011
3.431,cri,1960
3.492,cri,1961
3.518,cri,1962
3.482,cri,1963
3.372,cri,1964
3.217,cri,1965
3.064,cri,1966
2.931,cri,1967
2.797,cri,1968
2.666,cri,1969
2.546,cri,1970
2.424,cri,1971
2.325,cri,1972
2.293,cri,1973
2.34,cri,1974
2.44,cri,1975
2.552,cri,1976
2.644,cri,1977
2.715,cri,1978
2.753,cri,1979
2.768,cri,1980
2.779,cri,1981
2.79,cri,1982
2.786,cri,1983
2.768,cri,1984
2.739,cri,1985
2.708,cri,1986
2.676,cri,1987
2.637,cri,1988
2.591,cri,1989
2.543,cri,1990
2.484,cri,1991
2.429,cri,1992
2.407,cri,1993
2.425,cri,1994
2.464,cri,1995
2.51,cri,1996
2.531,cri,1997
2.499,cri,1998
2.402,cri,1999
2.263,cri,2000
2.115,cri,2001
1.985,cri,2002
1.874,cri,2003
1.791,cri,2004
1.728,cri,2005
1.666,cri,2006
1.603,cri,2007
1.549,cri,2008
1.507,cri,2009
1.472,cri,2010
1.442,cri,2011
3.609,civ,1960
3.753,civ,1961
3.878,civ,1962
3.957,civ,1963
3.981,civ,1964
3.975,civ,1965
3.959,civ,1966
3.965,civ,1967
4.009,civ,1968
4.099,civ,1969
4.214,civ,1970
4.319,civ,1971
4.4,civ,1972
4.47,civ,1973
4.526,civ,1974
4.567,civ,1975
4.591,civ,1976
4.595,civ,1977
4.579,civ,1978
4.542,civ,1979
4.486,civ,1980
4.428,civ,1981
4.357,civ,1982
4.249,civ,1983
4.102,civ,1984
3.934,civ,1985
3.754,civ,1986
3.592,civ,1987
3.476,civ,1988
3.416,civ,1989
3.388,civ,1990
3.363,civ,1991
3.312,civ,1992
3.224,civ,1993
3.09,civ,1994
2.926,civ,1995
2.773,civ,1996
2.631,civ,1997
2.464,civ,1998
2.269,civ,1999
2.064,civ,2000
1.859,civ,2001
1.689,civ,2002
1.587,civ,2003
1.571,civ,2004
1.617,civ,2005
1.678,civ,2006
1.735,civ,2007
1.808,civ,2008
1.894,civ,2009
1.984,civ,2010
2.081,civ,2011
0.6231,hrv,1960
0.7621,hrv,1961
0.7268,hrv,1962
0.6949,hrv,1963
0.6659,hrv,1964
0.6393,hrv,1965
0.6047,hrv,1966
0.601,hrv,1967
0.5745,hrv,1968
0.5257,hrv,1969
0.5456,hrv,1970
0.5426,hrv,1971
0.4948,hrv,1972
0.4701,hrv,1973
0.4234,hrv,1974
0.3773,hrv,1975
0.3538,hrv,1976
0.04414,hrv,1977
0.5282,hrv,1978
0.3287,hrv,1979
0.3712,hrv,1980
0.435,hrv,1981
0.5842,hrv,1982
0.5165,hrv,1983
0.4497,hrv,1984
0.4477,hrv,1985
0.4457,hrv,1986
0.3805,hrv,1987
0.358,hrv,1988
0.21,hrv,1989
0.2723,hrv,1990
-5.814,hrv,1991
-0.8909,hrv,1992
3.733,hrv,1993
0.2153,hrv,1994
0.4078,hrv,1995
-3.82,hrv,1996
1.721,hrv,1997
-1.565,hrv,1998
1.171,hrv,1999
-2.851,hrv,2000
0.3158,hrv,2001
0.0,hrv,2002
0.0,hrv,2003
-0.02253,hrv,2004
0.06756,hrv,2005
-0.04503,hrv,2006
-0.09013,hrv,2007
-0.0451,hrv,2008
-0.1128,hrv,2009
-0.2487,hrv,2010
-0.2493,hrv,2011
1.914,cub,1960
2.057,cub,1961
2.175,cub,1962
2.225,cub,1963
2.187,cub,1964
2.09,cub,1965
1.969,cub,1966
1.866,cub,1967
1.791,cub,1968
1.76,cub,1969
1.753,cub,1970
1.755,cub,1971
1.731,cub,1972
1.65,cub,1973
1.499,cub,1974
1.303,cub,1975
1.102,cub,1976
0.9281,cub,1977
0.7798,cub,1978
0.6688,cub,1979
0.5916,cub,1980
0.5089,cub,1981
0.438,cub,1982
