geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
mex,42,2000
mex,38,2001
mex,35,2002
mex,33,2003
mex,31,2004
mex,27,2005
mex,25,2006
mex,23,2007
fsm,263,1990
fsm,253,1991
fsm,244,1992
fsm,234,1993
fsm,225,1994
fsm,217,1995
fsm,204,1996
fsm,287,1997
fsm,276,1998
fsm,265,1999
fsm,173,2000
fsm,171,2001
fsm,152,2002
fsm,142,2003
fsm,128,2004
fsm,124,2005
fsm,112,2006
fsm,100,2007
mco,3,1990
mco,3,1991
mco,3,1992
mco,3,1993
mco,3,1994
mco,3,1995
mco,3,1996
mco,3,1997
mco,2,1998
mco,2,1999
mco,2,2000
mco,2,2001
mco,2,2002
mco,2,2003
mco,2,2004
mco,2,2005
mco,2,2006
mco,2,2007
mng,477,1990
mng,477,1991
mng,477,1992
mng,477,1993
mng,477,1994
mng,477,1995
mng,333,1996
mng,342,1997
mng,307,1998
mng,281,1999
mng,297,2000
mng,273,2001
mng,258,2002
mng,258,2003
mng,233,2004
mng,232,2005
mng,217,2006
mng,234,2007
msr,14,1990
msr,14,1991
msr,14,1992
msr,14,1993
msr,14,1994
msr,13,1995
msr,13,1996
msr,13,1997
msr,13,1998
msr,13,1999
msr,13,2000
msr,13,2001
msr,13,2002
msr,10,2003
msr,13,2004
msr,10,2005
msr,12,2006
msr,8,2007
mar,134,1990
mar,130,1991
mar,127,1992
mar,123,1993
mar,119,1994
mar,116,1995
mar,107,1996
mar,106,1997
mar,105,1998
mar,99,1999
mar,98,2000
mar,95,2001
mar,87,2002
mar,91,2003
mar,89,2004
mar,85,2005
mar,82,2006
mar,80,2007
moz,287,1990
moz,313,1991
moz,328,1992
moz,343,1993
moz,356,1994
moz,369,1995
moz,386,1996
moz,408,1997
moz,432,1998
moz,461,1999
moz,499,2000
moz,535,2001
moz,556,2002
moz,569,2003
moz,567,2004
moz,551,2005
moz,528,2006
moz,504,2007
mmr,411,1990
mmr,400,1991
mmr,389,1992
mmr,379,1993
mmr,370,1994
mmr,361,1995
mmr,298,1996
mmr,309,1997
mmr,312,1998
mmr,298,1999
mmr,267,2000
mmr,238,2001
mmr,202,2002
mmr,175,2003
mmr,168,2004
mmr,161,2005
mmr,161,2006
mmr,162,2007
nam,650,1990
nam,685,1991
nam,687,1992
nam,683,1993
nam,671,1994
nam,658,1995
nam,387,1996
nam,395,1997
nam,411,1998
nam,442,1999
nam,481,2000
nam,506,2001
nam,544,2002
nam,560,2003
nam,572,2004
nam,570,2005
nam,556,2006
nam,532,2007
nru,170,1990
nru,285,1991
nru,280,1992
nru,274,1993
nru,90,1994
nru,263,1995
nru,258,1996
nru,253,1997
nru,248,1998
nru,44,1999
nru,44,2000
nru,56,2001
nru,57,2002
nru,48,2003
nru,162,2004
nru,121,2005
nru,174,2006
nru,33,2007
npl,629,1990
npl,607,1991
npl,585,1992
npl,564,1993
npl,543,1994
npl,523,1995
npl,498,1996
npl,473,1997
npl,448,1998
npl,363,1999
npl,312,2000
npl,304,2001
npl,285,2002
npl,271,2003
npl,260,2004
npl,247,2005
npl,246,2006
npl,240,2007
nld,11,1990
nld,10,1991
nld,10,1992
nld,9,1993
nld,9,1994
