geo,all_forms_of_tb_deaths_per_100000_estimated,time
tca,3,2001
tca,2,2002
tca,2,2003
tca,2,2004
tca,2,2005
tca,2,2006
tca,1,2007
tuv,62,1990
tuv,59,1991
tuv,56,1992
tuv,53,1993
tuv,50,1994
tuv,48,1995
tuv,46,1996
tuv,44,1997
tuv,43,1998
tuv,41,1999
tuv,40,2000
tuv,39,2001
tuv,37,2002
tuv,36,2003
tuv,35,2004
tuv,29,2005
tuv,30,2006
tuv,17,2007
uga,69,1990
uga,106,1991
uga,115,1992
uga,125,1993
uga,129,1994
uga,133,1995
uga,130,1996
uga,99,1997
uga,100,1998
uga,98,1999
uga,103,2000
uga,104,2001
uga,110,2002
uga,114,2003
uga,110,2004
uga,107,2005
uga,100,2006
uga,93,2007
ukr,6,1990
ukr,5,1991
ukr,6,1992
ukr,6,1993
ukr,7,1994
ukr,7,1995
ukr,8,1996
ukr,9,1997
ukr,10,1998
ukr,11,1999
ukr,12,2000
ukr,13,2001
ukr,14,2002
ukr,15,2003
ukr,15,2004
ukr,15,2005
ukr,14,2006
ukr,15,2007
are,3,1990
are,3,1991
are,3,1992
are,3,1993
are,3,1994
are,3,1995
are,2,1996
are,2,1997
are,2,1998
are,2,1999
are,2,2000
are,2,2001
are,2,2002
are,2,2003
are,2,2004
are,2,2005
are,2,2006
are,2,2007
gbr,1,1990
gbr,1,1991
gbr,1,1992
gbr,1,1993
gbr,1,1994
gbr,1,1995
gbr,1,1996
gbr,1,1997
gbr,1,1998
gbr,1,1999
gbr,1,2000
gbr,1,2001
gbr,1,2002
gbr,1,2003
gbr,1,2004
gbr,1,2005
gbr,1,2006
gbr,2,2007
tza,42,1990
tza,48,1991
tza,53,1992
tza,58,1993
tza,64,1994
tza,69,1995
tza,74,1996
tza,80,1997
tza,82,1998
tza,86,1999
tza,89,2000
tza,88,2001
tza,92,2002
tza,91,2003
tza,88,2004
tza,86,2005
tza,82,2006
tza,78,2007
vir,3,1990
vir,3,1991
vir,3,1992
vir,3,1993
vir,3,1994
vir,3,1995
vir,2,1996
vir,2,1997
vir,2,1998
vir,2,1999
vir,2,2000
vir,2,2001
vir,2,2002
vir,2,2003
vir,2,2004
vir,2,2005
vir,2,2006
vir,2,2007
usa,1,1990
usa,1,1991
usa,1,1992
usa,1,1993
usa,1,1994
usa,1,1995
usa,1,1996
usa,1,1997
usa,1,1998
usa,1,1999
usa,1,2000
usa,1,2001
usa,1,2002
usa,0,2003
usa,0,2004
usa,0,2005
usa,0,2006
usa,0,2007
ury,3,1990
ury,3,1991
ury,3,1992
ury,3,1993
ury,3,1994
ury,3,1995
ury,3,1996
ury,3,1997
ury,3,1998
ury,3,1999
ury,3,2000
ury,3,2001
ury,3,2002
ury,3,2003
ury,3,2004
ury,3,2005
ury,3,2006
ury,3,2007
uzb,10,1990
uzb,9,1991
uzb,9,1992
uzb,11,1993
uzb,11,1994
uzb,11,1995
uzb,10,1996
uzb,11,1997
uzb,11,1998
uzb,12,1999
uzb,12,2000
uzb,14,2001
uzb,15,2002
uzb,15,2003
uzb,16,2004
uzb,16,2005
uzb,16,2006
uzb,16,2007
vut,31,1990
vut,30,1991
vut,28,1992
vut,27,1993
vut,25,1994
vut,24,1995
vut,23,1996
vut,21,1997
vut,20,1998
vut,18,1999
vut,16,2000
vut,14,2001
vut,16,2002
vut,15,2003
vut,14,2004
vut,15,2005
vut,12,2006
vut,12,2007
ven,5,1990
ven,5,1991
ven,5,1992
ven,5,1993
ven,5,1994
ven,5,1995
ven,5,1996
ven,5,1997
ven,5,1998
ven,5,1999
ven,5,2000
ven,5,2001
ven,5,2002
ven,5,2003
ven,5,2004
ven,5,2005
ven,5,2006
ven,5,2007
vnm,33,1990
vnm,33,1991
vnm,32,1992
vnm,32,1993
vnm,32,1994
vnm,31,1995
vnm,29,1996
vnm,26,1997
vnm,25,1998
vnm,25,1999
vnm,25,2000
vnm,25,2001
vnm,24,2002
vnm,24,2003
vnm,24,2004
vnm,24,2005
vnm,24,2006
vnm,24,2007
wlf,15,1990
wlf,40,1991
wlf,7,1992
wlf,19,1993
wlf,19,1994
wlf,10,1995
wlf,10,1996
wlf,12,1997
wlf,10,1998
wlf,10,1999
wlf,11,2000
wlf,2,2001
wlf,28,2002
wlf,12,2003
wlf,5,2004
wlf,4,2005
wlf,7,2006
wlf,3,2007
pse,6,1990
pse,5,1991
pse,5,1992
pse,5,1993
pse,5,1994
pse,5,1995
pse,5,1996
pse,5,1997
pse,4,1998
pse,4,1999
pse,4,2000
pse,4,2001
pse,4,2002
pse,4,2003
pse,3,2004
pse,3,2005
pse,3,2006
pse,3,2007
yem,18,1990
yem,17,1991
yem,18,1992
yem,17,1993
yem,17,1994
yem,16,1995
yem,16,1996
yem,15,1997
yem,14,1998
yem,13,1999
yem,12,2000
yem,12,2001
yem,12,2002
yem,11,2003
yem,11,2004
yem,10,2005
yem,10,2006
yem,10,2007
zmb,126,1990
zmb,153,1991
zmb,182,1992
zmb,203,1993
zmb,218,1994
zmb,229,1995
zmb,238,1996
zmb,247,1997
zmb,250,1998
zmb,258,1999
zmb,255,2000
zmb,274,2001
zmb,156,2002
zmb,138,2003
zmb,137,2004
zmb,138,2005
zmb,128,2006
zmb,115,2007
zwe,140,1990
zwe,161,1991
zwe,176,1992
zwe,193,1993
zwe,208,1994
zwe,225,1995
zwe,239,1996
zwe,253,1997
zwe,141,1998
zwe,155,1999
zwe,185,2000
zwe,197,2001
zwe,216,2002
zwe,253,2003
zwe,253,2004
zwe,263,2005
zwe,268,2006
zwe,265,2007
