geo,population_aged_60plus_years_male_percent,time
deu,36.88,2050
gha,3.814,1950
gha,3.933,1955
gha,4.026,1960
gha,4.086,1965
gha,4.171,1970
gha,4.219,1975
gha,4.291,1980
gha,4.384,1985
gha,4.494,1990
gha,4.677,1995
gha,4.924,2000
gha,5.196,2005
gha,5.491,2010
gha,5.649,2015
gha,5.984,2020
gha,6.523,2025
gha,7.217,2030
gha,8.083,2035
gha,9.076,2040
gha,10.18,2045
gha,11.35,2050
grc,9.113,1950
grc,9.671,1955
grc,10.85,1960
grc,12.17,1965
grc,15.09,1970
grc,16.05,1975
grc,15.96,1980
grc,16.23,1985
grc,18.33,1990
grc,19.61,1995
grc,20.49,2000
grc,20.92,2005
grc,22.1,2010
grc,23.29,2015
grc,24.84,2020
grc,26.54,2025
grc,28.98,2030
grc,31.36,2035
grc,33.72,2040
grc,35.17,2045
grc,35.33,2050
grd,2.941,1950
grd,5.263,1955
grd,4.762,1960
grd,4.651,1965
grd,4.545,1970
grd,6.818,1975
grd,6.977,1980
grd,8.163,1985
grd,8.163,1990
grd,8.333,1995
grd,8.0,2000
grd,7.692,2005
grd,7.692,2010
grd,9.091,2015
grd,9.434,2020
grd,11.11,2025
grd,12.5,2030
grd,16.36,2035
grd,16.98,2040
grd,21.15,2045
grd,26.53,2050
glp,4.95,1950
glp,5.217,1955
glp,5.97,1960
glp,5.369,1965
glp,6.918,1970
glp,7.407,1975
glp,9.375,1980
glp,8.772,1985
glp,10.99,1990
glp,11.28,1995
glp,12.68,2000
glp,16.44,2005
glp,17.33,2010
glp,17.7,2015
glp,20.52,2020
glp,21.83,2025
glp,24.35,2030
glp,25.65,2035
glp,25.76,2040
glp,27.56,2045
glp,29.15,2050
gum,0.0,1950
gum,0.0,1955
gum,0.0,1960
gum,0.0,1965
gum,2.128,1970
gum,4.0,1975
gum,3.636,1980
gum,4.839,1985
gum,5.634,1990
gum,6.579,1995
gum,7.595,2000
gum,8.333,2005
gum,10.0,2010
gum,11.46,2015
gum,13.86,2020
gum,15.24,2025
gum,16.67,2030
gum,19.3,2035
gum,18.97,2040
gum,19.49,2045
gum,19.49,2050
gtm,4.091,1950
gtm,4.044,1955
gtm,4.24,1960
gtm,4.373,1965
gtm,4.3,1970
gtm,4.366,1975
gtm,4.54,1980
gtm,4.815,1985
gtm,5.19,1990
gtm,5.525,1995
gtm,5.801,2000
gtm,5.999,2005
gtm,6.252,2010
gtm,6.403,2015
gtm,6.452,2020
gtm,6.604,2025
gtm,6.906,2030
gtm,7.499,2035
gtm,8.445,2040
gtm,9.818,2045
gtm,11.46,2050
gin,8.429,1950
gin,7.052,1955
gin,6.041,1960
gin,5.517,1965
gin,5.208,1970
gin,5.094,1975
gin,5.08,1980
gin,4.945,1985
gin,4.743,1990
gin,4.425,1995
gin,4.326,2000
gin,4.469,2005
gin,4.602,2010
gin,4.831,2015
gin,5.141,2020
gin,5.467,2025
gin,5.853,2030
gin,6.368,2035
gin,7.048,2040
gin,7.92,2045
gin,8.979,2050
gnb,5.058,1950
gnb,4.317,1955
gnb,4.437,1960
gnb,4.422,1965
gnb,5.051,1970
gnb,4.928,1975
gnb,5.569,1980
gnb,5.298,1985
gnb,5.325,1990
gnb,5.035,1995
gnb,4.814,2000
gnb,5.062,2005
gnb,5.141,2010
gnb,5.664,2015
gnb,5.469,2020
gnb,5.443,2025
gnb,5.167,2030
gnb,5.938,2035
gnb,6.503,2040
gnb,6.903,2045
gnb,7.414,2050
guy,5.797,1950
guy,4.641,1955
guy,4.317,1960
guy,4.673,1965
guy,4.816,1970
guy,5.22,1975
guy,5.236,1980
guy,5.82,1985
guy,6.336,1990
guy,6.522,1995
guy,6.54,2000
guy,7.99,2005
guy,9.231,2010
guy,11.08,2015
guy,13.16,2020
guy,15.36,2025
guy,18.16,2030
guy,19.94,2035
guy,21.23,2040
guy,22.44,2045
guy,23.1,2050
hti,5.086,1950
hti,4.881,1955
hti,5.061,1960
hti,5.418,1965
hti,5.776,1970
hti,6.008,1975
hti,6.0,1980
hti,5.725,1985
hti,5.563,1990
hti,5.561,1995
hti,5.734,2000
hti,5.963,2005
hti,5.958,2010
hti,6.297,2015
hti,6.693,2020
hti,7.211,2025
hti,7.795,2030
hti,8.472,2035
hti,9.831,2040
hti,12.07,2045
hti,14.39,2050
hnd,5.882,1950
hnd,5.196,1955
hnd,4.861,1960
hnd,4.48,1965
hnd,4.448,1970
hnd,4.618,1975
hnd,4.438,1980
hnd,4.522,1985
hnd,4.76,1990
hnd,5.075,1995
hnd,5.398,2000
hnd,5.615,2005
hnd,5.884,2010
hnd,6.505,2015
hnd,7.193,2020
hnd,8.014,2025
hnd,8.963,2030
hnd,10.12,2035
hnd,11.73,2040
hnd,13.75,2045
hnd,16.12,2050
hkg,2.067,1950
hkg,2.424,1955
hkg,3.042,1960
hkg,3.787,1965
hkg,4.439,1970
hkg,7.111,1975
hkg,8.419,1980
hkg,9.762,1985
hkg,11.36,1990
hkg,13.18,1995
hkg,14.56,2000
hkg,15.62,2005
hkg,18.4,2010
hkg,21.69,2015
hkg,25.81,2020
hkg,29.44,2025
hkg,31.07,2030
hkg,32.15,2035
hkg,32.86,2040
hkg,33.82,2045
hkg,34.65,2050
hun,10.24,1950
hun,10.96,1955
hun,12.46,1960
hun,14.0,1965
hun,15.24,1970
hun,16.01,1975
hun,14.65,1980
hun,15.2,1985
hun,15.85,1990
hun,16.18,1995
hun,16.43,2000
hun,17.28,2005
hun,18.25,2010
hun,20.08,2015
hun,21.11,2020
hun,21.24,2025
hun,22.19,2030
hun,24.14,2035
hun,26.83,2040
hun,28.14,2045
hun,29.15,2050
isl,9.859,1950
isl,10.0,1955
isl,11.24,1960
isl,10.31,1965
isl,11.43,1970
isl,11.71,1975
isl,11.97,1980
isl,13.11,1985
isl,12.5,1990
isl,14.6,1995
isl,13.99,2000
isl,14.09,2005
isl,15.38,2010
isl,17.93,2015
isl,19.07,2020
isl,21.5,2025
isl,24.02,2030
isl,26.7,2035
isl,29.19,2040
isl,31.43,2045
isl,33.33,2050
ind,5.206,1950
ind,4.927,1955
ind,5.065,1960
ind,5.167,1965
ind,5.387,1970
ind,5.552,1975
ind,5.731,1980
ind,5.859,1985
ind,6.005,1990
ind,6.106,1995
ind,6.303,2000
ind,6.534,2005
ind,6.974,2010
ind,8.027,2015
ind,9.143,2020
ind,10.31,2025
ind,11.54,2030
ind,12.91,2035
ind,14.51,2040
ind,16.28,2045
ind,18.2,2050
idn,6.083,1950
idn,5.492,1955
idn,4.961,1960
idn,4.751,1965
idn,4.844,1970
idn,4.996,1975
idn,5.058,1980
idn,5.267,1985
idn,5.751,1990
idn,6.34,1995
idn,7.016,2000
idn,7.56,2005
idn,8.067,2010
idn,9.16,2015
idn,10.8,2020
idn,12.71,2025
idn,14.84,2030
idn,16.98,2035
idn,19.05,2040
idn,21.08,2045
idn,22.77,2050
irn,8.479,1950
irn,7.27,1955
irn,6.304,1960
irn,5.84,1965
irn,5.505,1970
irn,5.235,1975
irn,5.274,1980
irn,5.643,1985
irn,5.925,1990
irn,6.677,1995
irn,6.928,2000
irn,7.077,2005
irn,7.011,2010
irn,7.722,2015
irn,9.049,2020
irn,10.84,2025
irn,12.82,2030
irn,14.95,2035
irn,17.86,2040
irn,22.26,2045
irn,26.4,2050
irq,4.208,1950
irq,4.459,1955
irq,5.117,1960
irq,5.855,1965
irq,6.261,1970
irq,6.266,1975
irq,5.807,1980
irq,4.908,1985
irq,4.071,1990
irq,3.777,1995
irq,4.062,2000
irq,4.214,2005
irq,3.878,2010
irq,4.732,2015
irq,5.108,2020
irq,5.668,2025
irq,6.718,2030
irq,7.898,2035
irq,9.192,2040
irq,10.46,2045
irq,11.88,2050
irl,14.24,1950
irl,14.44,1955
irl,15.03,1960
irl,14.53,1965
irl,14.81,1970
irl,14.29,1975
irl,13.52,1980
irl,13.13,1985
irl,13.55,1990
irl,13.57,1995
irl,13.61,2000
irl,13.77,2005
irl,14.85,2010
irl,16.09,2015
irl,17.48,2020
irl,19.09,2025
irl,20.85,2030
irl,23.17,2035
irl,25.62,2040
irl,27.33,2045
irl,28.02,2050
isr,5.719,1950
isr,6.539,1955
isr,7.743,1960
isr,9.259,1965
isr,10.55,1970
isr,11.45,1975
isr,11.11,1980
isr,11.53,1985
isr,11.2,1990
isr,11.63,1995
isr,11.62,2000
isr,11.65,2005
isr,12.95,2010
isr,14.31,2015
isr,15.46,2020
isr,16.4,2025
isr,17.36,2030
isr,18.82,2035
isr,20.25,2040
isr,21.58,2045
isr,22.77,2050
ita,11.19,1950
ita,11.68,1955
ita,12.47,1960
ita,13.34,1965
ita,14.69,1970
ita,15.64,1975
ita,15.0,1980
ita,16.31,1985
ita,18.07,1990
ita,19.77,1995
ita,21.46,2000
ita,22.26,2005
ita,23.7,2010
ita,24.79,2015
ita,26.37,2020
ita,28.88,2025
ita,31.79,2030
ita,34.48,2035
ita,35.99,2040
ita,36.37,2045
ita,36.1,2050
jam,4.985,1950
jam,5.593,1955
jam,5.875,1960
jam,7.491,1965
jam,7.794,1970
jam,7.935,1975
jam,8.918,1980
jam,8.787,1985
jam,9.06,1990
jam,9.136,1995
jam,9.479,2000
jam,9.509,2005
jam,10.19,2010
jam,11.07,2015
jam,12.48,2020
jam,14.37,2025
jam,16.17,2030
jam,17.33,2035
jam,17.55,2040
jam,18.32,2045
jam,19.88,2050
jpn,6.937,1950
jpn,7.383,1955
jpn,8.156,1960
jpn,8.962,1965
jpn,9.712,1970
jpn,10.45,1975
jpn,11.14,1980
jpn,12.46,1985
jpn,15.13,1990
jpn,17.94,1995
jpn,20.78,2000
jpn,23.77,2005
jpn,27.61,2010
jpn,30.01,2015
jpn,31.3,2020
jpn,32.64,2025
jpn,34.4,2030
jpn,37.19,2035
jpn,38.99,2040
jpn,40.16,2045
jpn,40.67,2050
jor,7.724,1950
jor,6.936,1955
jor,5.819,1960
jor,5.429,1965
jor,4.562,1970
jor,4.036,1975
jor,4.423,1980
jor,5.233,1985
jor,4.604,1990
jor,4.043,1995
jor,4.737,2000
jor,5.381,2005
jor,5.395,2010
jor,5.591,2015
jor,6.17,2020
jor,7.323,2025
jor,9.103,2030
jor,11.26,2035
jor,13.58,2040
jor,16.13,2045
jor,18.1,2050
kaz,10.2,1950
kaz,8.794,1955
kaz,7.395,1960
kaz,6.433,1965
kaz,6.082,1970
kaz,6.045,1975
kaz,5.58,1980
kaz,5.518,1985
kaz,6.82,1990
kaz,7.51,1995
kaz,8.712,2000
kaz,7.7,2005
kaz,7.353,2010
kaz,8.109,2015
kaz,9.281,2020
kaz,10.56,2025
kaz,11.35,2030
kaz,12.38,2035
kaz,13.52,2040
kaz,15.27,2045
kaz,17.8,2050
ken,5.416,1950
ken,5.302,1955
ken,5.266,1960
ken,5.139,1965
ken,5.044,1970
ken,4.795,1975
ken,4.494,1980
ken,4.231,1985
ken,4.07,1990
ken,4.046,1995
ken,3.952,2000
ken,3.769,2005
ken,3.823,2010
ken,4.056,2015
ken,4.319,2020
ken,4.639,2025
ken,5.077,2030
ken,5.787,2035
ken,6.754,2040
ken,7.911,2045
ken,9.114,2050
prk,3.66,1950
prk,2.964,1955
prk,2.255,1960
prk,1.79,1965
prk,1.721,1970
prk,2.385,1975
prk,3.217,1980
prk,4.297,1985
prk,5.42,1990
prk,6.794,1995
prk,8.87,2000
prk,10.7,2005
prk,11.78,2010
prk,11.18,2015
prk,12.75,2020
prk,14.34,2025
prk,17.52,2030
prk,19.96,2035
prk,19.84,2040
prk,20.74,2045
prk,21.53,2050
kor,4.505,1950
kor,4.906,1955
kor,5.109,1960
kor,4.402,1965
kor,4.441,1970
kor,4.54,1975
kor,4.862,1980
kor,5.397,1985
kor,6.015,1990
kor,7.369,1995
kor,9.273,2000
kor,11.27,2005
kor,13.46,2010
kor,16.14,2015
kor,20.24,2020
kor,24.41,2025
kor,28.28,2030
kor,31.65,2035
kor,33.77,2040
kor,36.09,2045
kor,37.05,2050
kwt,3.261,1950
kwt,3.279,1955
kwt,2.89,1960
kwt,2.422,1965
kwt,2.364,1970
kwt,2.368,1975
kwt,2.028,1980
kwt,1.947,1985
kwt,2.054,1990
kwt,2.025,1995
kwt,2.581,2000
kwt,3.01,2005
kwt,4.144,2010
kwt,5.684,2015
kwt,8.217,2020
kwt,11.28,2025
kwt,15.53,2030
kwt,19.82,2035
kwt,23.6,2040
kwt,25.87,2045
kwt,26.73,2050
kgz,12.65,1950
kgz,11.36,1955
kgz,9.612,1960
kgz,8.163,1965
kgz,7.057,1970
kgz,6.34,1975
kgz,5.407,1980
kgz,5.382,1985
kgz,6.329,1990
kgz,6.336,1995
kgz,6.757,2000
kgz,6.056,2005
kgz,6.024,2010
kgz,6.892,2015
kgz,8.221,2020
kgz,9.841,2025
kgz,11.07,2030
kgz,12.53,2035
kgz,14.02,2040
kgz,15.99,2045
kgz,18.58,2050
lao,4.263,1950
lao,4.31,1955
lao,4.31,1960
lao,4.507,1965
lao,4.593,1970
lao,4.702,1975
lao,5.093,1980
lao,5.047,1985
lao,4.993,1990
lao,4.871,1995
lao,4.813,2000
lao,4.882,2005
lao,4.978,2010
lao,5.459,2015
lao,6.051,2020
lao,6.774,2025
lao,7.548,2030
lao,8.583,2035
lao,9.655,2040
lao,11.12,2045
lao,13.12,2050
lva,12.69,1950
lva,11.89,1955
lva,11.51,1960
lva,12.21,1965
lva,13.33,1970
lva,13.39,1975
lva,12.2,1980
lva,11.74,1985
lva,12.37,1990
lva,14.36,1995
lva,15.96,2000
lva,16.89,2005
lva,17.04,2010
lva,17.81,2015
lva,19.08,2020
lva,20.61,2025
lva,21.67,2030
lva,23.35,2035
lva,24.81,2040
lva,26.95,2045
lva,29.83,2050
lbn,10.04,1950
lbn,8.889,1955
lbn,7.992,1960
lbn,7.26,1965
lbn,6.829,1970
lbn,6.749,1975
lbn,6.802,1980
lbn,6.836,1985
lbn,7.533,1990
lbn,9.255,1995
lbn,10.18,2000
lbn,9.855,2005
lbn,9.986,2010
lbn,10.58,2015
lbn,11.76,2020
lbn,13.09,2025
lbn,14.77,2030
lbn,16.7,2035
lbn,18.8,2040
lbn,21.11,2045
lbn,23.17,2050
lso,5.491,1950
lso,5.135,1955
lso,5.29,1960
lso,5.568,1965
lso,5.882,1970
lso,5.671,1975
lso,5.528,1980
lso,5.605,1985
lso,5.93,1990
lso,6.444,1995
lso,6.455,2000
lso,6.203,2005
lso,6.091,2010
lso,5.985,2015
lso,5.746,2020
lso,5.296,2025
lso,4.974,2030
lso,4.966,2035
lso,5.887,2040
lso,7.303,2045
lso,9.039,2050
lbr,4.668,1950
lbr,4.857,1955
lbr,4.598,1960
lbr,4.441,1965
lbr,4.533,1970
lbr,4.591,1975
lbr,4.454,1980
lbr,4.388,1985
lbr,4.303,1990
lbr,4.271,1995
lbr,4.295,2000
lbr,4.358,2005
lbr,4.463,2010
lbr,4.477,2015
lbr,5.004,2020
lbr,5.512,2025
lbr,6.097,2030
lbr,6.478,2035
lbr,7.214,2040
lbr,8.104,2045
lbr,9.173,2050
lby,8.286,1950
lby,7.666,1955
lby,6.503,1960
lby,5.833,1965
lby,4.485,1970
lby,3.596,1975
lby,3.543,1980
lby,3.763,1985
lby,3.998,1990
lby,4.696,1995
lby,5.24,2000
lby,5.959,2005
lby,6.682,2010
lby,7.607,2015
lby,8.996,2020
lby,10.38,2025
lby,12.02,2030
lby,14.29,2035
lby,16.91,2040
lby,19.97,2045
lby,21.51,2050
ltu,11.03,1950
ltu,10.92,1955
ltu,9.875,1960
ltu,11.54,1965
ltu,13.1,1970
ltu,12.49,1975
ltu,11.45,1980
ltu,11.32,1985
ltu,12.35,1990
ltu,13.57,1995
ltu,15.05,2000
ltu,15.69,2005
ltu,16.48,2010
ltu,17.29,2015
ltu,19.25,2020
ltu,21.24,2025
ltu,22.72,2030
ltu,24.22,2035
ltu,25.13,2040
ltu,26.63,2045
ltu,29.06,2050
lux,13.61,1950
lux,13.82,1955
lux,14.84,1960
lux,15.95,1965
lux,16.17,1970
lux,16.2,1975
lux,15.25,1980
lux,15.08,1985
lux,15.51,1990
lux,15.5,1995
lux,15.57,2000
lux,16.09,2005
lux,16.8,2010
lux,17.51,2015
lux,20.15,2020
lux,21.38,2025
lux,22.8,2030
lux,23.53,2035
lux,24.41,2040
lux,24.5,2045
lux,24.86,2050
mac,3.0,1950
mac,4.301,1955
mac,5.882,1960
mac,5.714,1965
mac,6.107,1970
mac,7.752,1975
mac,8.661,1980
mac,7.947,1985
mac,8.242,1990
mac,8.04,1995
mac,9.005,2000
mac,9.483,2005
mac,12.26,2010
mac,17.1,2015
mac,22.86,2020
mac,27.21,2025
mac,30.88,2030
mac,34.15,2035
mac,36.4,2040
mac,38.13,2045
mac,40.37,2050
mkd,10.39,1950
mkd,8.346,1955
mkd,7.244,1960
mkd,7.324,1965
mkd,8.816,1970
mkd,9.176,1975
mkd,9.021,1980
mkd,9.674,1985
mkd,10.56,1990
mkd,12.33,1995
mkd,13.1,2000
mkd,13.79,2005
mkd,14.9,2010
mkd,16.85,2015
mkd,18.84,2020
mkd,20.59,2025
mkd,22.39,2030
mkd,24.09,2035
mkd,26.06,2040
mkd,28.38,2045
mkd,30.3,2050
mdg,4.857,1950
mdg,4.929,1955
mdg,4.99,1960
mdg,5.355,1965
mdg,5.843,1970
mdg,5.781,1975
mdg,5.565,1980
mdg,5.5,1985
mdg,5.245,1990
mdg,5.005,1995
mdg,4.688,2000
mdg,4.444,2005
mdg,4.367,2010
mdg,4.737,2015
mdg,5.2,2020
mdg,5.761,2025
mdg,6.399,2030
mdg,7.169,2035
mdg,8.026,2040
mdg,8.7,2045
mdg,9.772,2050
mwi,4.611,1950
mwi,4.202,1955
mwi,3.892,1960
mwi,3.713,1965
mwi,3.402,1970
mwi,3.932,1975
mwi,4.187,1980
mwi,3.789,1985
mwi,3.94,1990
mwi,4.669,1995
mwi,4.49,2000
mwi,4.462,2005
mwi,4.562,2010
mwi,4.502,2015
mwi,4.374,2020
mwi,4.335,2025
mwi,4.32,2030
mwi,4.461,2035
mwi,5.153,2040
mwi,5.922,2045
mwi,6.799,2050
mys,7.438,1950
mys,6.054,1955
mys,5.46,1960
mys,5.187,1965
mys,5.625,1970
mys,5.593,1975
mys,5.586,1980
mys,5.309,1985
mys,5.281,1990
mys,5.41,1995
mys,5.778,2000
mys,6.319,2005
mys,7.39,2010
mys,8.846,2015
mys,10.6,2020
mys,12.4,2025
mys,13.93,2030
mys,15.4,2035
mys,16.86,2040
mys,18.7,2045
mys,20.56,2050
mdv,6.977,1950
mdv,6.383,1955
mdv,7.692,1960
mdv,6.897,1965
mdv,6.25,1970
mdv,6.757,1975
mdv,6.173,1980
mdv,4.255,1985
mdv,5.455,1990
mdv,5.512,1995
mdv,5.755,2000
mdv,6.04,2005
mdv,5.696,2010
mdv,6.471,2015
mdv,7.222,2020
mdv,7.895,2025
mdv,10.4,2030
mdv,12.08,2035
mdv,15.74,2040
mdv,19.0,2045
mdv,22.32,2050
mli,4.439,1950
mli,4.623,1955
mli,4.817,1960
mli,4.927,1965
mli,4.92,1970
mli,5.002,1975
mli,5.004,1980
mli,5.003,1985
mli,4.747,1990
mli,4.508,1995
mli,4.29,2000
mli,3.887,2005
mli,3.45,2010
mli,3.182,2015
mli,3.191,2020
mli,3.403,2025
mli,3.787,2030
mli,4.286,2035
mli,4.862,2040
mli,5.67,2045
mli,6.61,2050
mlt,8.442,1950
mlt,9.868,1955
mlt,10.6,1960
mlt,11.11,1965
mlt,11.72,1970
mlt,12.24,1975
mlt,13.21,1980
mlt,12.43,1985
mlt,12.99,1990
mlt,13.44,1995
mlt,14.58,2000
mlt,16.0,2005
mlt,19.31,2010
mlt,22.86,2015
mlt,24.88,2020
mlt,26.76,2025
mlt,27.57,2030
mlt,28.97,2035
mlt,31.28,2040
mlt,33.65,2045
mlt,35.44,2050
mtq,5.714,1950
mtq,5.882,1955
mtq,5.755,1960
mtq,6.04,1965
mtq,6.875,1970
mtq,8.125,1975
mtq,9.554,1980
mtq,10.98,1985
mtq,12.07,1990
mtq,13.48,1995
mtq,14.44,2000
mtq,16.3,2005
mtq,17.89,2010
mtq,20.1,2015
mtq,21.54,2020
mtq,24.62,2025
mtq,26.53,2030
mtq,28.43,2035
mtq,28.35,2040
mtq,28.8,2045
mtq,31.18,2050
mrt,3.135,1950
mrt,3.542,1955
mrt,3.738,1960
mrt,4.418,1965
mrt,4.181,1970
mrt,4.223,1975
mrt,4.188,1980
mrt,3.982,1985
mrt,4.008,1990
mrt,3.856,1995
mrt,3.732,2000
mrt,3.64,2005
mrt,3.634,2010
mrt,3.96,2015
mrt,4.53,2020
mrt,5.195,2025
mrt,6.098,2030
mrt,7.041,2035
mrt,8.177,2040
mrt,9.294,2045
mrt,10.41,2050
mus,4.453,1950
mus,3.521,1955
mus,3.343,1960
mus,3.183,1965
mus,3.155,1970
mus,3.636,1975
mus,5.021,1980
mus,5.731,1985
mus,6.072,1990
mus,6.738,1995
mus,7.383,2000
mus,8.226,2005
mus,9.953,2010
mus,11.97,2015
mus,13.76,2020
mus,15.87,2025
mus,18.41,2030
mus,20.29,2035
mus,21.58,2040
mus,22.4,2045
mus,23.15,2050
myt,0.0,1950
myt,0.0,1955
myt,0.0,1960
myt,5.882,1965
myt,0.0,1970
myt,4.167,1975
myt,3.448,1980
myt,2.778,1985
myt,4.348,1990
myt,3.226,1995
myt,4.0,2000
myt,3.448,2005
myt,5.0,2010
myt,5.357,2015
myt,5.6,2020
myt,6.522,2025
myt,7.383,2030
myt,9.877,2035
myt,10.0,2040
myt,12.64,2045
myt,14.81,2050
mex,5.125,1950
mex,4.951,1955
mex,5.093,1960
mex,5.285,1965
mex,5.193,1970
mex,5.124,1975
mex,5.033,1980
mex,5.401,1985
mex,5.811,1990
mex,6.247,1995
mex,6.812,2000
mex,7.762,2005
mex,8.859,2010
mex,10.46,2015
mex,12.21,2020
mex,14.16,2025
mex,16.6,2030
mex,19.78,2035
mex,22.48,2040
mex,24.58,2045
mex,26.43,2050
fsm,0.0,1950
fsm,0.0,1955
fsm,0.0,1960
fsm,3.704,1965
fsm,3.125,1970
fsm,6.25,1975
fsm,5.263,1980
fsm,4.444,1985
fsm,4.0,1990
fsm,5.455,1995
fsm,3.774,2000
fsm,5.455,2005
fsm,3.704,2010
fsm,5.172,2015
fsm,8.197,2020
fsm,8.197,2025
fsm,9.231,2030
fsm,7.692,2035
fsm,9.231,2040
fsm,12.12,2045
fsm,14.93,2050
mda,9.058,1950
mda,8.062,1955
mda,7.336,1960
mda,7.628,1965
mda,8.09,1970
mda,8.92,1975
mda,8.865,1980
mda,9.445,1985
mda,10.34,1990
mda,10.75,1995
mda,11.69,2000
mda,12.04,2005
mda,13.33,2010
mda,15.66,2015
mda,17.72,2020
mda,19.39,2025
mda,19.75,2030
mda,19.82,2035
mda,20.67,2040
mda,23.04,2045
mda,26.96,2050
mng,4.582,1950
mng,4.785,1955
mng,4.641,1960
mng,4.244,1965
mng,4.16,1970
mng,4.017,1975
mng,4.317,1980
mng,4.484,1985
mng,5.063,1990
mng,5.026,1995
mng,4.726,2000
mng,5.067,2005
mng,5.314,2010
mng,5.957,2015
mng,7.485,2020
mng,9.502,2025
mng,11.46,2030
mng,13.73,2035
mng,16.12,2040
mng,18.76,2045
mng,22.02,2050
mne,9.424,1950
mne,9.223,1955
mne,8.85,1960
mne,9.35,1965
mne,9.843,1970
mne,9.63,1975
mne,8.803,1980
mne,9.441,1985
mne,10.69,1990
mne,12.14,1995
mne,12.8,2000
mne,14.94,2005
mne,15.41,2010
mne,17.42,2015
mne,19.29,2020
mne,20.58,2025
mne,21.15,2030
mne,21.73,2035
mne,23.15,2040
mne,25.0,2045
mne,26.71,2050
mar,4.374,1950
mar,4.085,1955
mar,4.06,1960
mar,5.331,1965
mar,6.413,1970
mar,5.33,1975
mar,6.529,1980
mar,5.941,1985
mar,6.183,1990
mar,6.442,1995
mar,6.839,2000
mar,7.043,2005
mar,7.637,2010
mar,8.83,2015
mar,10.68,2020
mar,11.98,2025
mar,13.25,2030
mar,14.56,2035
mar,16.01,2040
mar,18.19,2045
mar,20.43,2050
moz,4.254,1950
moz,4.257,1955
moz,4.285,1960
moz,4.348,1965
moz,4.415,1970
moz,4.467,1975
moz,4.465,1980
moz,4.51,1985
moz,4.633,1990
moz,4.496,1995
moz,4.459,2000
moz,4.446,2005
moz,4.527,2010
moz,4.722,2015
moz,4.885,2020
moz,4.959,2025
moz,4.977,2030
moz,5.136,2035
moz,5.617,2040
moz,6.369,2045
moz,7.303,2050
mmr,5.161,1950
mmr,5.429,1955
mmr,5.692,1960
mmr,6.001,1965
mmr,6.187,1970
mmr,6.318,1975
mmr,6.575,1980
mmr,6.775,1985
mmr,7.052,1990
mmr,7.239,1995
mmr,7.17,2000
mmr,7.248,2005
mmr,7.616,2010
mmr,8.898,2015
mmr,10.34,2020
mmr,11.91,2025
mmr,13.68,2030
mmr,15.79,2035
mmr,17.79,2040
mmr,19.91,2045
mmr,21.64,2050
nam,6.224,1950
nam,5.639,1955
nam,5.387,1960
nam,5.341,1965
nam,4.7,1970
nam,4.709,1975
nam,4.665,1980
nam,4.83,1985
nam,4.631,1990
nam,4.672,1995
nam,4.596,2000
nam,4.853,2005
nam,4.853,2010
nam,5.193,2015
nam,5.543,2020
nam,6.201,2025
nam,6.795,2030
nam,7.62,2035
nam,8.594,2040
nam,9.994,2045
nam,11.53,2050
npl,3.48,1950
npl,3.938,1955
npl,4.244,1960
npl,4.527,1965
npl,4.73,1970
npl,4.813,1975
npl,4.869,1980
npl,4.917,1985
npl,4.983,1990
npl,5.068,1995
npl,5.241,2000
npl,5.512,2005
npl,5.666,2010
npl,6.005,2015
npl,6.467,2020
npl,7.052,2025
npl,7.84,2030
npl,8.933,2035
npl,10.38,2040
npl,12.12,2045
npl,14.07,2050
nld,11.03,1950
nld,11.8,1955
nld,12.37,1960
nld,12.78,1965
nld,13.05,1970
nld,13.28,1975
nld,13.51,1980
nld,14.26,1985
nld,14.69,1990
nld,15.17,1995
nld,15.89,2000
nld,17.25,2005
nld,20.2,2010
nld,22.47,2015
nld,24.74,2020
nld,27.15,2025
nld,29.09,2030
nld,29.83,2035
nld,29.51,2040
nld,29.13,2045
nld,29.07,2050
ant,5.556,1950
ant,5.0,1955
ant,4.545,1960
ant,5.479,1965
ant,6.329,1970
ant,7.317,1975
ant,8.434,1980
ant,9.091,1985
ant,9.677,1990
ant,9.89,1995
ant,11.9,2000
ant,13.48,2005
ant,13.83,2010
ant,16.84,2015
ant,18.37,2020
ant,23.47,2025
ant,26.04,2030
ant,29.17,2035
ant,30.53,2040
ant,33.7,2045
ant,34.48,2050
ncl,5.882,1950
ncl,5.556,1955
ncl,4.878,1960
ncl,4.348,1965
ncl,3.774,1970
ncl,5.97,1975
ncl,5.479,1980
ncl,6.329,1985
ncl,5.814,1990
ncl,7.0,1995
ncl,8.182,2000
ncl,9.483,2005
ncl,11.02,2010
ncl,11.76,2015
ncl,13.29,2020
ncl,15.79,2025
ncl,17.72,2030
ncl,19.14,2035
ncl,20.24,2040
ncl,22.54,2045
ncl,23.6,2050
nzl,12.71,1950
nzl,11.8,1955
nzl,11.07,1960
nzl,10.47,1965
nzl,11.08,1970
nzl,11.25,1975
nzl,12.03,1980
nzl,12.72,1985
nzl,13.82,1990
nzl,13.91,1995
nzl,14.41,2000
nzl,15.34,2005
nzl,17.04,2010
nzl,18.72,2015
nzl,20.88,2020
nzl,23.16,2025
nzl,24.63,2030
nzl,25.3,2035
nzl,25.6,2040
nzl,26.21,2045
nzl,27.21,2050
nic,4.193,1950
nic,3.738,1955
nic,3.616,1960
nic,3.783,1965
nic,3.667,1970
nic,3.643,1975
