geo,tb_with_hivplus_existing_cases_per_100000_estimated,time
lux,0.2,2005
lux,0.2,2006
lux,0.2,2007
mdg,0.0,1990
mdg,0.0,1991
mdg,0.1,1992
mdg,0.1,1993
mdg,0.2,1994
mdg,0.3,1995
mdg,0.4,1996
mdg,0.6,1997
mdg,0.9,1998
mdg,1.3,1999
mdg,1.6,2000
mdg,1.9,2001
mdg,2.2,2002
mdg,2.4,2003
mdg,2.6,2004
mdg,2.8,2005
mdg,2.9,2006
mdg,3.0,2007
mwi,30.0,1990
mwi,49.1,1991
mwi,71.7,1992
mwi,94.6,1993
mwi,115.0,1994
mwi,128.4,1995
mwi,132.6,1996
mwi,138.9,1997
mwi,143.7,1998
mwi,146.0,1999
mwi,148.5,2000
mwi,144.6,2001
mwi,144.7,2002
mwi,142.0,2003
mwi,139.6,2004
mwi,134.2,2005
mwi,125.9,2006
mwi,117.7,2007
mys,0.3,1990
mys,0.4,1991
mys,0.6,1992
mys,0.8,1993
mys,1.1,1994
mys,1.5,1995
mys,2.1,1996
mys,2.7,1997
mys,3.4,1998
mys,4.2,1999
mys,4.9,2000
mys,5.7,2001
mys,6.3,2002
mys,6.8,2003
mys,7.3,2004
mys,7.6,2005
mys,8.0,2006
mys,8.3,2007
mdv,0.0,1990
mdv,0.0,1991
mdv,0.0,1992
mdv,0.0,1993
mdv,0.0,1994
mdv,0.0,1995
mdv,0.0,1996
mdv,0.0,1997
mdv,0.1,1998
mdv,0.1,1999
mdv,0.1,2000
mdv,0.1,2001
mdv,0.2,2002
mdv,0.2,2003
mdv,0.2,2004
mdv,0.2,2005
mdv,0.2,2006
mdv,0.2,2007
mli,3.1,1990
mli,4.4,1991
mli,6.0,1992
mli,8.1,1993
mli,10.5,1994
mli,13.2,1995
mli,15.9,1996
mli,18.6,1997
mli,20.9,1998
mli,22.9,1999
mli,24.4,2000
mli,25.5,2001
mli,26.3,2002
mli,26.8,2003
mli,27.2,2004
mli,27.4,2005
mli,27.6,2006
mli,27.7,2007
mlt,0.0,1990
mlt,0.1,1991
mlt,0.1,1992
mlt,0.1,1993
mlt,0.1,1994
mlt,0.2,1995
mlt,0.2,1996
mlt,0.2,1997
mlt,0.2,1998
mlt,0.2,1999
mlt,0.2,2000
mlt,0.2,2001
mlt,0.2,2002
mlt,0.2,2003
mlt,0.2,2004
mlt,0.2,2005
mlt,0.2,2006
mlt,0.2,2007
mrt,0.0,1990
mrt,0.1,1991
mrt,0.1,1992
mrt,0.2,1993
mrt,0.4,1994
mrt,0.9,1995
mrt,1.7,1996
mrt,3.2,1997
mrt,5.3,1998
mrt,7.8,1999
mrt,10.2,2000
mrt,12.2,2001
mrt,13.6,2002
mrt,14.6,2003
mrt,15.3,2004
mrt,16.0,2005
mrt,16.5,2006
mrt,17.0,2007
mus,0.0,1990
mus,0.0,1991
mus,0.0,1992
mus,0.0,1993
mus,0.0,1994
mus,0.0,1995
mus,0.0,1996
mus,0.0,1997
mus,0.0,1998
mus,0.1,1999
mus,0.1,2000
mus,0.1,2001
mus,0.2,2002
mus,0.3,2003
mus,0.4,2004
mus,0.5,2005
mus,0.7,2006
mus,0.7,2007
mex,0.6,1990
mex,0.7,1991
mex,0.8,1992
mex,0.8,1993
mex,0.8,1994
mex,0.8,1995
mex,0.8,1996
mex,0.8,1997
mex,0.8,1998
mex,0.7,1999
mex,0.7,2000
mex,0.7,2001
mex,0.6,2002
mex,0.6,2003
mex,0.6,2004
mex,0.5,2005
mex,0.5,2006
mex,0.5,2007
fsm,0.0,1995
fsm,0.0,1996
fsm,0.0,1997
fsm,0.0,1998
fsm,0.0,1999
fsm,0.0,2000
fsm,0.0,2001
fsm,0.0,2002
fsm,0.0,2003
fsm,0.0,2004
fsm,0.0,2005
fsm,0.0,2006
mco,0.0,1995
mco,0.0,1996
mco,0.0,1997
mco,0.0,1998
mco,0.0,1999
mco,0.0,2000
mco,0.0,2001
mco,0.0,2002
mco,0.0,2003
mco,0.0,2004
mco,0.0,2005
mco,0.0,2006
mng,0.0,1990
mng,0.0,1991
mng,0.0,1992
mng,0.0,1993
mng,0.0,1994
mng,0.0,1995
mng,0.0,1996
mng,0.0,1997
mng,0.0,1998
mng,0.0,1999
mng,0.0,2000
mng,0.0,2001
mng,0.0,2002
mng,0.0,2003
mng,0.1,2004
mng,0.1,2005
mng,0.1,2006
mng,0.2,2007
msr,0.0,1995
msr,0.0,1996
msr,0.0,1997
msr,0.0,1998
msr,0.0,1999
msr,0.0,2000
msr,0.0,2001
msr,0.0,2002
msr,0.0,2003
msr,0.0,2004
msr,0.0,2005
msr,0.0,2006
mar,0.0,1990
mar,0.1,1991
mar,0.1,1992
mar,0.1,1993
mar,0.1,1994
mar,0.1,1995
mar,0.1,1996
mar,0.1,1997
mar,0.1,1998
mar,0.1,1999
mar,0.2,2000
mar,0.2,2001
mar,0.2,2002
mar,0.2,2003
mar,0.2,2004
mar,0.2,2005
mar,0.2,2006
mar,0.2,2007
moz,7.1,1990
moz,10.0,1991
moz,13.6,1992
moz,18.1,1993
moz,23.4,1994
moz,29.8,1995
moz,36.7,1996
moz,44.8,1997
moz,53.8,1998
moz,63.7,1999
moz,74.3,2000
moz,84.8,2001
moz,94.4,2002
moz,101.6,2003
moz,104.9,2004
moz,105.4,2005
moz,103.9,2006
moz,102.1,2007
mmr,4.7,1990
mmr,5.9,1991
mmr,7.0,1992
mmr,8.1,1993
mmr,9.1,1994
mmr,9.9,1995
mmr,10.6,1996
mmr,11.1,1997
mmr,11.5,1998
mmr,11.7,1999
mmr,11.7,2000
mmr,11.6,2001
mmr,11.4,2002
mmr,11.1,2003
mmr,10.7,2004
mmr,10.3,2005
mmr,9.8,2006
mmr,9.3,2007
nam,17.3,1990
nam,27.3,1991
nam,40.2,1992
nam,56.9,1993
nam,76.2,1994
nam,97.5,1995
nam,118.2,1996
nam,140.3,1997
nam,162.3,1998
nam,184.8,1999
nam,208.3,2000
nam,230.7,2001
nam,250.5,2002
nam,264.2,2003
nam,269.1,2004
nam,267.6,2005
nam,262.2,2006
nam,257.8,2007
nru,0.0,1995
nru,0.0,1996
nru,0.0,1997
nru,0.0,1998
nru,0.0,1999
nru,0.0,2000
nru,0.0,2001
nru,0.0,2002
nru,0.0,2003
nru,0.0,2004
nru,0.0,2005
nru,0.0,2006
npl,0.2,1990
npl,0.3,1991
npl,0.5,1992
npl,0.7,1993
npl,0.9,1994
npl,1.2,1995
npl,1.5,1996
npl,1.7,1997
npl,1.9,1998
npl,2.0,1999
npl,2.1,2000
npl,2.1,2001
npl,2.1,2002
npl,2.1,2003
npl,2.1,2004
npl,2.1,2005
npl,2.1,2006
npl,2.1,2007
nld,0.1,1990
nld,0.1,1991
nld,0.1,1992
nld,0.1,1993
nld,0.1,1994
nld,0.1,1995
nld,0.1,1996
nld,0.1,1997
nld,0.1,1998
nld,0.1,1999
nld,0.1,2000
nld,0.1,2001
nld,0.1,2002
nld,0.1,2003
nld,0.1,2004
nld,0.1,2005
nld,0.1,2006
nld,0.1,2007
ant,0.0,1995
ant,0.0,1996
ant,0.0,1997
ant,0.0,1998
ant,0.0,1999
ant,0.0,2000
ant,0.0,2001
ant,0.0,2002
ant,0.0,2003
ant,0.0,2004
ant,0.0,2005
ant,0.0,2006
ncl,0.0,1995
ncl,0.0,1996
ncl,0.0,1997
ncl,0.0,1998
ncl,0.0,1999
ncl,0.0,2000
ncl,0.0,2001
ncl,0.0,2002
ncl,0.0,2003
ncl,0.0,2004
ncl,0.0,2005
ncl,0.0,2006
nzl,0.1,1990
nzl,0.1,1991
nzl,0.1,1992
nzl,0.1,1993
nzl,0.1,1994
nzl,0.1,1995
nzl,0.1,1996
nzl,0.1,1997
nzl,0.1,1998
nzl,0.1,1999
nzl,0.1,2000
nzl,0.1,2001
nzl,0.1,2002
nzl,0.1,2003
nzl,0.1,2004
nzl,0.1,2005
nzl,0.0,2006
nzl,0.0,2007
nic,0.2,1990
nic,0.2,1991
nic,0.2,1992
nic,0.3,1993
nic,0.3,1994
nic,0.4,1995
nic,0.4,1996
nic,0.5,1997
nic,0.5,1998
nic,0.6,1999
nic,0.6,2000
nic,0.7,2001
nic,0.7,2002
nic,0.8,2003
nic,0.8,2004
nic,0.8,2005
nic,0.8,2006
nic,0.8,2007
ner,0.6,1990
ner,0.8,1991
ner,1.1,1992
ner,1.4,1993
ner,1.9,1994
ner,2.5,1995
ner,3.2,1996
ner,4.0,1997
ner,4.8,1998
ner,5.5,1999
ner,6.1,2000
ner,6.6,2001
ner,7.0,2002
ner,7.3,2003
ner,7.6,2004
ner,7.8,2005
ner,8.0,2006
ner,8.2,2007
nga,4.4,1990
nga,6.4,1991
nga,8.5,1992
nga,11.2,1993
nga,14.1,1994
nga,17.3,1995
nga,20.4,1996
nga,23.7,1997
nga,27.2,1998
nga,30.9,1999
nga,34.8,2000
nga,38.4,2001
nga,41.6,2002
nga,43.8,2003
nga,44.4,2004
nga,43.9,2005
nga,42.8,2006
nga,41.6,2007
niu,0.0,1995
niu,0.0,1996
niu,0.0,1997
niu,0.0,1998
niu,0.0,1999
niu,0.0,2000
niu,0.0,2001
niu,0.0,2002
niu,0.0,2003
niu,0.0,2004
niu,0.0,2005
niu,0.0,2006
mnp,0.0,1995
mnp,0.0,1996
mnp,0.0,1997
mnp,0.0,1998
mnp,0.0,1999
mnp,0.0,2000
mnp,0.0,2001
mnp,0.0,2002
mnp,0.0,2003
mnp,0.0,2004
mnp,0.0,2005
mnp,0.0,2006
nor,0.0,1990
nor,0.0,1991
nor,0.1,1992
nor,0.1,1993
nor,0.1,1994
nor,0.1,1995
nor,0.1,1996
nor,0.1,1997
nor,0.1,1998
nor,0.1,1999
nor,0.1,2000
nor,0.1,2001
nor,0.1,2002
nor,0.1,2003
nor,0.1,2004
nor,0.1,2005
nor,0.1,2006
nor,0.1,2007
omn,0.0,1990
omn,0.0,1991
omn,0.0,1992
omn,0.0,1993
omn,0.0,1994
omn,0.0,1995
omn,0.0,1996
omn,0.0,1997
omn,0.0,1998
omn,0.0,1999
omn,0.0,2000
omn,0.0,2001
omn,0.0,2002
omn,0.0,2003
omn,0.0,2004
omn,0.0,2005
omn,0.0,2006
pak,0.2,1990
pak,0.2,1991
pak,0.2,1992
pak,0.3,1993
pak,0.4,1994
pak,0.4,1995
pak,0.5,1996
pak,0.6,1997
pak,0.8,1998
pak,0.9,1999
pak,1.0,2000
pak,1.2,2001
pak,1.3,2002
pak,1.4,2003
pak,1.6,2004
pak,1.7,2005
pak,1.8,2006
pak,1.9,2007
plw,0.0,1995
plw,0.0,1996
plw,0.0,1997
plw,0.0,1998
plw,0.0,1999
plw,0.0,2000
plw,0.0,2001
plw,0.0,2002
plw,0.0,2003
plw,0.0,2004
