annual_hiv_deaths_number_all_ages,geo,time
350,guy,2011
3900,hti,1990
5000,hti,1991
6100,hti,1992
7300,hti,1993
8300,hti,1994
9300,hti,1995
10000,hti,1996
11000,hti,1997
11000,hti,1998
11000,hti,1999
12000,hti,2000
12000,hti,2001
12000,hti,2002
11000,hti,2003
11000,hti,2004
11000,hti,2005
10000,hti,2006
8700,hti,2007
7600,hti,2008
6600,hti,2009
5900,hti,2010
5800,hti,2011
600,hnd,1990
1100,hnd,1991
1700,hnd,1992
2500,hnd,1993
3400,hnd,1994
4300,hnd,1995
5100,hnd,1996
5900,hnd,1997
6400,hnd,1998
6800,hnd,1999
7000,hnd,2000
7000,hnd,2001
6800,hnd,2002
6500,hnd,2003
5800,hnd,2004
5100,hnd,2005
4600,hnd,2006
4200,hnd,2007
3700,hnd,2008
3400,hnd,2009
3000,hnd,2010
2800,hnd,2011
350,hun,1990
350,hun,1991
350,hun,1992
350,hun,1993
350,hun,1994
350,hun,1995
350,hun,1996
350,hun,1997
350,hun,1998
350,hun,1999
350,hun,2000
350,hun,2001
350,hun,2002
350,hun,2003
150,hun,2004
150,hun,2005
150,hun,2006
150,hun,2007
150,hun,2008
150,hun,2009
150,hun,2010
60,hun,2011
60,isl,1990
60,isl,1991
60,isl,1992
60,isl,1993
60,isl,1994
60,isl,1995
60,isl,1996
60,isl,1997
60,isl,1998
60,isl,1999
60,isl,2000
60,isl,2001
60,isl,2002
60,isl,2003
60,isl,2004
60,isl,2005
60,isl,2006
60,isl,2007
60,isl,2008
60,isl,2009
60,isl,2010
60,isl,2011
5300,ind,1990
8000,ind,1991
12000,ind,1992
18000,ind,1993
26000,ind,1994
37000,ind,1995
51000,ind,1996
67000,ind,1997
85000,ind,1998
100000,ind,1999
120000,ind,2000
140000,ind,2001
160000,ind,2002
180000,ind,2003
190000,ind,2004
200000,ind,2005
200000,ind,2006
190000,ind,2007
190000,ind,2008
170000,ind,2009
60,idn,1990
60,idn,1991
60,idn,1992
60,idn,1993
60,idn,1994
60,idn,1995
60,idn,1996
60,idn,1997
60,idn,1998
60,idn,1999
60,idn,2000
150,idn,2001
350,idn,2002
600,idn,2003
1200,idn,2004
2200,idn,2005
3300,idn,2006
4900,idn,2007
7100,idn,2008
9400,idn,2009
12000,idn,2010
15000,idn,2011
150,irn,1990
150,irn,1991
350,irn,1992
350,irn,1993
350,irn,1994
350,irn,1995
600,irn,1996
600,irn,1997
1300,irn,1998
1900,irn,1999
2500,irn,2000
3200,irn,2001
3900,irn,2002
4600,irn,2003
5200,irn,2004
5800,irn,2005
6400,irn,2006
6900,irn,2007
7300,irn,2008
7700,irn,2009
8000,irn,2010
8300,irn,2011
60,irl,1990
60,irl,1991
60,irl,1992
60,irl,1993
60,irl,1994
60,irl,1995
60,irl,1996
60,irl,1997
60,irl,1998
60,irl,1999
60,irl,2000
60,irl,2001
60,irl,2002
60,irl,2003
60,irl,2004
60,irl,2005
60,irl,2006
60,irl,2007
60,irl,2008
60,irl,2009
60,irl,2010
60,irl,2011
60,isr,1990
60,isr,1991
60,isr,1992
60,isr,1993
60,isr,1994
60,isr,1995
60,isr,1996
60,isr,1997
60,isr,1998
60,isr,1999
60,isr,2000
60,isr,2001
60,isr,2002
60,isr,2003
60,isr,2004
60,isr,2005
60,isr,2006
60,isr,2007
60,isr,2008
60,isr,2009
60,isr,2010
60,isr,2011
1600,ita,1990
2500,ita,1991
3600,ita,1992
4600,ita,1993
5600,ita,1994
6500,ita,1995
4200,ita,1996
2300,ita,1997
1500,ita,1998
600,ita,1999
600,ita,2000
600,ita,2001
600,ita,2002
600,ita,2003
600,ita,2004
600,ita,2005
600,ita,2006
600,ita,2007
600,ita,2008
600,ita,2009
600,ita,2010
600,ita,2011
350,jam,1990
350,jam,1991
600,jam,1992
600,jam,1993
1100,jam,1994
1400,jam,1995
1800,jam,1996
2100,jam,1997
2400,jam,1998
2700,jam,1999
2900,jam,2000
3100,jam,2001
3200,jam,2002
3300,jam,2003
3300,jam,2004
3200,jam,2005
2800,jam,2006
2600,jam,2007
2400,jam,2008
2100,jam,2009
1800,jam,2010
1600,jam,2011
350,jpn,1990
350,jpn,1991
350,jpn,1992
350,jpn,1993
350,jpn,1994
600,jpn,1995
350,jpn,1996
350,jpn,1997
350,jpn,1998
150,jpn,1999
150,jpn,2000
150,jpn,2001
150,jpn,2002
150,jpn,2003
150,jpn,2004
150,jpn,2005
150,jpn,2006
150,jpn,2007
150,jpn,2008
150,jpn,2009
150,jpn,2010
150,jpn,2011
60,kaz,1990
60,kaz,1991
60,kaz,1992
60,kaz,1993
60,kaz,1994
60,kaz,1995
60,kaz,1996
60,kaz,1997
150,kaz,1998
350,kaz,1999
350,kaz,2000
350,kaz,2001
600,kaz,2002
600,kaz,2003
600,kaz,2004
600,kaz,2005
600,kaz,2006
1000,kaz,2007
1100,kaz,2008
1100,kaz,2009
1200,kaz,2010
1200,kaz,2011
10000,ken,1990
16000,ken,1991
24000,ken,1992
34000,ken,1993
46000,ken,1994
60000,ken,1995
74000,ken,1996
87000,ken,1997
100000,ken,1998
110000,ken,1999
120000,ken,2000
120000,ken,2001
130000,ken,2002
130000,ken,2003
130000,ken,2004
120000,ken,2005
110000,ken,2006
99000,ken,2007
91000,ken,2008
80000,ken,2009
150,kor,1990
150,kor,1991
150,kor,1992
350,kor,1993
350,kor,1994
350,kor,1995
350,kor,1996
350,kor,1997
150,kor,1998
60,kor,1999
60,kor,2000
60,kor,2001
60,kor,2002
150,kor,2003
150,kor,2004
150,kor,2005
150,kor,2006
150,kor,2007
350,kor,2008
350,kor,2009
350,kor,2010
350,kor,2011
60,kgz,1990
60,kgz,1991
60,kgz,1992
60,kgz,1993
60,kgz,1994
60,kgz,1995
60,kgz,1996
60,kgz,1997
60,kgz,1998
60,kgz,1999
60,kgz,2000
60,kgz,2001
60,kgz,2002
60,kgz,2003
60,kgz,2004
60,kgz,2005
60,kgz,2006
150,kgz,2007
150,kgz,2008
350,kgz,2009
350,kgz,2010
350,kgz,2011
60,lao,1990
60,lao,1991
60,lao,1992
60,lao,1993
60,lao,1994
60,lao,1995
60,lao,1996
60,lao,1997
60,lao,1998
60,lao,1999
60,lao,2000
150,lao,2001
150,lao,2002
350,lao,2003
350,lao,2004
350,lao,2005
350,lao,2006
350,lao,2007
350,lao,2008
350,lao,2009
350,lao,2010
350,lao,2011
60,lva,1990
60,lva,1991
60,lva,1992
60,lva,1993
60,lva,1994
60,lva,1995
60,lva,1996
60,lva,1997
60,lva,1998
60,lva,1999
150,lva,2000
150,lva,2001
150,lva,2002
350,lva,2003
350,lva,2004
350,lva,2005
350,lva,2006
350,lva,2007
350,lva,2008
350,lva,2009
600,lva,2010
600,lva,2011
60,lbn,1990
60,lbn,1991
60,lbn,1992
60,lbn,1993
60,lbn,1994
60,lbn,1995
60,lbn,1996
60,lbn,1997
60,lbn,1998
60,lbn,1999
60,lbn,2000
60,lbn,2001
60,lbn,2002
60,lbn,2003
60,lbn,2004
150,lbn,2005
150,lbn,2006
150,lbn,2007
150,lbn,2008
150,lbn,2009
150,lbn,2010
150,lbn,2011
60,lso,1990
120,lso,1991
300,lso,1992
600,lso,1993
1400,lso,1994
2500,lso,1995
4000,lso,1996
5900,lso,1997
8100,lso,1998
10000,lso,1999
12000,lso,2000
14000,lso,2001
16000,lso,2002
18000,lso,2003
19000,lso,2004
19000,lso,2005
18000,lso,2006
16000,lso,2007
14000,lso,2008
14000,lso,2009
60,lbr,1990
60,lbr,1991
120,lbr,1992
300,lbr,1993
600,lbr,1994
600,lbr,1995
1400,lbr,1996
1900,lbr,1997
2500,lbr,1998
3100,lbr,1999
3500,lbr,2000
3900,lbr,2001
4100,lbr,2002
4200,lbr,2003
4300,lbr,2004
4300,lbr,2005
4200,lbr,2006
4000,lbr,2007
3900,lbr,2008
3600,lbr,2009
60,ltu,1990
60,ltu,1991
60,ltu,1992
60,ltu,1993
60,ltu,1994
60,ltu,1995
60,ltu,1996
60,ltu,1997
60,ltu,1998
60,ltu,1999
60,ltu,2000
60,ltu,2001
60,ltu,2002
60,ltu,2003
60,ltu,2004
60,ltu,2005
60,ltu,2006
60,ltu,2007
60,ltu,2008
60,ltu,2009
60,ltu,2010
60,ltu,2011
60,lux,1990
60,lux,1991
60,lux,1992
60,lux,1993
60,lux,1994
60,lux,1995
60,lux,1996
60,lux,1997
60,lux,1998
60,lux,1999
60,lux,2000
60,lux,2001
60,lux,2002
60,lux,2003
60,lux,2004
60,lux,2005
60,lux,2006
60,lux,2007
60,lux,2008
60,lux,2009
60,lux,2010
60,lux,2011
600,mdg,1990
1000,mdg,1991
1000,mdg,1992
1000,mdg,1993
1000,mdg,1994
1100,mdg,1995
1100,mdg,1996
1100,mdg,1997
1200,mdg,1998
1200,mdg,1999
1300,mdg,2000
1300,mdg,2001
1400,mdg,2002
1400,mdg,2003
1500,mdg,2004
1500,mdg,2005
1600,mdg,2006
1600,mdg,2007
1700,mdg,2008
1700,mdg,2009
14000,mwi,1990
18000,mwi,1991
22000,mwi,1992
27000,mwi,1993
31000,mwi,1994
36000,mwi,1995
41000,mwi,1996
45000,mwi,1997
50000,mwi,1998
55000,mwi,1999
59000,mwi,2000
63000,mwi,2001
67000,mwi,2002
71000,mwi,2003
74000,mwi,2004
77000,mwi,2005
75000,mwi,2006
68000,mwi,2007
62000,mwi,2008
55000,mwi,2009
49000,mwi,2010
44000,mwi,2011
60,mys,1990
120,mys,1991
300,mys,1992
300,mys,1993
600,mys,1994
1100,mys,1995
1500,mys,1996
2000,mys,1997
2500,mys,1998
3000,mys,1999
3500,mys,2000
3900,mys,2001
4400,mys,2002
4500,mys,2003
4600,mys,2004
4900,mys,2005
5200,mys,2006
5400,mys,2007
5600,mys,2008
5800,mys,2009
60,mdv,1990
60,mdv,1991
60,mdv,1992
60,mdv,1993
60,mdv,1994
60,mdv,1995
60,mdv,1996
60,mdv,1997
60,mdv,1998
60,mdv,1999
60,mdv,2000
60,mdv,2001
60,mdv,2002
60,mdv,2003
60,mdv,2004
60,mdv,2005
60,mdv,2006
60,mdv,2007
60,mdv,2008
60,mdv,2009
60,mdv,2010
60,mdv,2011
300,mli,1990
600,mli,1991
600,mli,1992
1500,mli,1993
2300,mli,1994
3200,mli,1995
4100,mli,1996
4900,mli,1997
5700,mli,1998
6300,mli,1999
6900,mli,2000
7200,mli,2001
7400,mli,2002
7400,mli,2003
7100,mli,2004
6100,mli,2005
5200,mli,2006
4700,mli,2007
4700,mli,2008
4400,mli,2009
60,mlt,1990
60,mlt,1991
60,mlt,1992
60,mlt,1993
60,mlt,1994
60,mlt,1995
60,mlt,1996
60,mlt,1997
60,mlt,1998
60,mlt,1999
60,mlt,2000
60,mlt,2001
60,mlt,2002
60,mlt,2003
60,mlt,2004
60,mlt,2005
60,mlt,2006
60,mlt,2007
60,mlt,2008
60,mlt,2009
60,mlt,2010
60,mlt,2011
350,mrt,1990
350,mrt,1991
350,mrt,1992
350,mrt,1993
350,mrt,1994
350,mrt,1995
350,mrt,1996
600,mrt,1997
600,mrt,1998
600,mrt,1999
600,mrt,2000
600,mrt,2001
600,mrt,2002
600,mrt,2003
600,mrt,2004
1000,mrt,2005
1100,mrt,2006
1100,mrt,2007
1100,mrt,2008
1200,mrt,2009
1300,mrt,2010
1500,mrt,2011
60,mus,1990
60,mus,1991
60,mus,1992
60,mus,1993
60,mus,1994
60,mus,1995
60,mus,1996
60,mus,1997
150,mus,1998
150,mus,1999
350,mus,2000
350,mus,2001
350,mus,2002
350,mus,2003
350,mus,2004
600,mus,2005
600,mus,2006
600,mus,2007
600,mus,2008
600,mus,2009
600,mus,2010
600,mus,2011
4800,mex,1990
5300,mex,1991
5800,mex,1992
6300,mex,1993
6700,mex,1994
7200,mex,1995
7600,mex,1996
7900,mex,1997
7500,mex,1998
7700,mex,1999
7900,mex,2000
7800,mex,2001
7600,mex,2002
7200,mex,2003
6700,mex,2004
6700,mex,2005
6600,mex,2006
6100,mex,2007
5600,mex,2008
5200,mex,2009
5000,mex,2010
4900,mex,2011
60,mda,1990
60,mda,1991
60,mda,1992
60,mda,1993
60,mda,1994
60,mda,1995
150,mda,1996
150,mda,1997
350,mda,1998
350,mda,1999
600,mda,2000
600,mda,2001
600,mda,2002
600,mda,2003
1000,mda,2004
1100,mda,2005
1100,mda,2006
1100,mda,2007
1100,mda,2008
1100,mda,2009
1000,mda,2010
1000,mda,2011
60,mng,1990
60,mng,1991
60,mng,1992
60,mng,1993
60,mng,1994
60,mng,1995
60,mng,1996
60,mng,1997
60,mng,1998
60,mng,1999
60,mng,2000
60,mng,2001
60,mng,2002
60,mng,2003
60,mng,2004
60,mng,2005
60,mng,2006
60,mng,2007
60,mng,2008
60,mng,2009
60,mng,2010
60,mng,2011
120,mar,1990
120,mar,1991
300,mar,1992
300,mar,1993
300,mar,1994
300,mar,1995
300,mar,1996
300,mar,1997
600,mar,1998
600,mar,1999
600,mar,2000
600,mar,2001
600,mar,2002
600,mar,2003
600,mar,2004
600,mar,2005
1000,mar,2006
1100,mar,2007
1200,mar,2008
1200,mar,2009
2200,moz,1990
3200,moz,1991
4500,moz,1992
6300,moz,1993
8600,moz,1994
11000,moz,1995
15000,moz,1996
19000,moz,1997
24000,moz,1998
30000,moz,1999
36000,moz,2000
43000,moz,2001
50000,moz,2002
58000,moz,2003
65000,moz,2004
71000,moz,2005
74000,moz,2006
74000,moz,2007
73000,moz,2008
74000,moz,2009
350,mmr,1990
350,mmr,1991
600,mmr,1992
1400,mmr,1993
2100,mmr,1994
3000,mmr,1995
3900,mmr,1996
4900,mmr,1997
6100,mmr,1998
7300,mmr,1999
8600,mmr,2000
10000,mmr,2001
12000,mmr,2002
13000,mmr,2003
15000,mmr,2004
16000,mmr,2005
17000,mmr,2006
17000,mmr,2007
17000,mmr,2008
17000,mmr,2009
17000,mmr,2010
16000,mmr,2011
350,nam,1990
600,nam,1991
600,nam,1992
1000,nam,1993
1400,nam,1994
1900,nam,1995
2600,nam,1996
3500,nam,1997
4600,nam,1998
5800,nam,1999
7200,nam,2000
8600,nam,2001
10000,nam,2002
11000,nam,2003
12000,nam,2004
13000,nam,2005
12000,nam,2006
10000,nam,2007
8200,nam,2008
6600,nam,2009
5700,nam,2010
5200,nam,2011
600,npl,1990
600,npl,1991
1100,npl,1992
1400,npl,1993
1700,npl,1994
2000,npl,1995
2300,npl,1996
2700,npl,1997
3000,npl,1998
3300,npl,1999
3700,npl,2000
4000,npl,2001
4300,npl,2002
4500,npl,2003
4800,npl,2004
4900,npl,2005
4900,npl,2006
4900,npl,2007
4800,npl,2008
4700,npl,2009
150,nld,1990
150,nld,1991
350,nld,1992
350,nld,1993
350,nld,1994
350,nld,1995
600,nld,1996
350,nld,1997
350,nld,1998
350,nld,1999
350,nld,2000
150,nld,2001
150,nld,2002
150,nld,2003
150,nld,2004
150,nld,2005
150,nld,2006
150,nld,2007
150,nld,2008
150,nld,2009
150,nld,2010
150,nld,2011
60,nzl,1990
60,nzl,1991
60,nzl,1992
60,nzl,1993
60,nzl,1994
60,nzl,1995
60,nzl,1996
60,nzl,1997
60,nzl,1998
60,nzl,1999
60,nzl,2000
60,nzl,2001
60,nzl,2002
60,nzl,2003
60,nzl,2004
60,nzl,2005
60,nzl,2006
60,nzl,2007
60,nzl,2008
60,nzl,2009
60,nzl,2010
60,nzl,2011
60,nic,1990
60,nic,1991
60,nic,1992
60,nic,1993
60,nic,1994
60,nic,1995
60,nic,1996
60,nic,1997
60,nic,1998
150,nic,1999
150,nic,2000
150,nic,2001
150,nic,2002
150,nic,2003
150,nic,2004
