geo,medical_doctors_per_1000_people,time
can,2.1,1991
can,2.1,1992
can,2.2,1993
can,2.1,1994
can,2.1,1995
can,2.1,1996
can,2.1,1997
can,2.1,1998
can,2.1,1999
can,2.1,2000
can,2.1,2001
can,2.1,2002
can,2.1,2003
can,1.913,2006
cpv,0.07653,1960
cpv,0.0824,1970
cpv,0.1765,1980
cpv,0.1999,1983
cpv,0.3295,1986
cpv,0.3415,1988
cpv,0.2338,1992
cpv,0.171,1996
cpv,0.49,2004
cpv,0.572,2008
cym,1.7,1990
cym,1.7,1995
cym,1.939,1997
caf,0.02021,1960
caf,0.03041,1965
caf,0.0227,1970
caf,0.0428,1980
caf,0.0438,1981
caf,0.0426,1982
caf,0.039,1989
caf,0.0384,1990
caf,0.0552,1993
caf,0.035,1995
caf,0.08,2004
tcd,0.01371,1960
tcd,0.0138,1965
tcd,0.0162,1970
tcd,0.0211,1978
tcd,0.0263,1986
tcd,0.0262,1989
tcd,0.033,1994
tcd,0.025,2001
tcd,0.04,2004
chanisl,1.019,1960
chanisl,1.2,1970
chanisl,1.457,1980
chanisl,1.522,1981
chl,0.5586,1960
chl,0.4727,1965
chl,0.4635,1970
chl,0.5164,1979
chl,0.8168,1984
chl,1.1,1990
chl,1.066,1991
chl,1.103,1994
chl,1.08,1995
chl,1.153,1998
chl,1.09,2003
chl,1.284,2006
chn,1.07,1965
chn,0.96,1966
chn,0.94,1967
chn,0.91,1968
chn,0.88,1969
chn,0.86,1970
chn,0.85,1971
chn,0.86,1972
chn,0.89,1973
chn,0.92,1974
chn,0.96,1975
chn,1.0,1976
chn,1.03,1977
chn,1.08,1978
chn,1.12,1979
chn,1.18,1980
chn,1.25,1981
chn,1.3,1982
chn,1.32,1983
chn,1.33,1984
chn,1.34,1985
chn,1.35,1986
chn,1.37,1987
chn,1.47,1988
chn,1.54,1989
chn,1.55,1990
chn,1.55,1991
chn,1.55,1992
chn,1.55,1993
chn,1.58,1994
chn,1.59,1995
chn,1.59,1996
chn,1.61,1997
chn,1.61,1998
chn,1.67,1999
chn,1.64,2000
chn,1.055,2001
chn,1.642,2002
chn,1.42,2003
chn,1.51,2005
chn,1.415,2009
col,0.3542,1960
col,0.3775,1965
col,0.4197,1970
col,0.4784,1977
col,0.7584,1984
col,0.8078,1986
col,0.8731,1988
col,1.09,1990
col,0.905,1993
col,0.99,1995
col,1.16,1997
col,1.27,1998
col,1.088,1999
col,1.32,2000
col,1.34,2001
col,1.35,2002
col,1.37,2003
col,1.38,2004
col,1.39,2005
col,1.41,2006
col,1.42,2007
col,1.43,2008
com,0.0839,1984
com,0.1635,1988
com,0.1134,1990
com,0.1275,1992
com,0.074,1997
com,0.15,2004
cod,0.01454,1960
cod,0.02842,1965
cod,0.0353,1970
cod,0.0357,1975
cod,0.0728,1979
cod,0.0747,1987
cod,0.0661,1990
cod,0.069,1996
cod,0.11,2004
cog,0.05972,1960
cog,0.06751,1965
cog,0.1006,1970
cog,0.1738,1978
cog,0.1189,1982
cog,0.2521,1985
cog,0.2525,1986
cog,0.2761,1990
cog,0.251,1995
cog,0.2,2004
cog,0.095,2007
cri,0.3911,1960
cri,0.5171,1965
cri,0.6143,1970
cri,0.6795,1979
cri,0.9896,1984
cri,0.9678,1987
cri,0.8806,1988
cri,1.26,1990
cri,0.8826,1993
cri,0.8454,1994
cri,0.854,1995
cri,0.864,1996
cri,0.872,1997
cri,0.901,1998
cri,1.719,1999
cri,1.32,2000
civ,0.03255,1960
civ,0.04816,1965
civ,0.0644,1970
civ,0.0706,1985
civ,0.0877,1990
civ,0.09,1996
civ,0.12,2004
civ,0.144,2008
hrv,1.673,1980
hrv,1.738,1981
hrv,1.808,1982
hrv,1.858,1983
hrv,1.88,1984
hrv,1.944,1985
hrv,2.016,1986
hrv,2.066,1987
hrv,2.093,1988
hrv,2.134,1989
hrv,2.125,1990
hrv,1.944,1991
hrv,1.975,1992
hrv,2.028,1993
hrv,2.011,1994
hrv,2.036,1995
hrv,2.25,1996
hrv,2.259,1997
hrv,2.288,1998
hrv,2.352,1999
hrv,2.383,2000
hrv,2.374,2001
hrv,2.4,2002
hrv,2.444,2003
hrv,2.4,2004
hrv,2.5,2005
hrv,2.47,2006
hrv,2.59,2007
hrv,2.661,2008
hrv,2.675,2009
cub,0.9462,1960
cub,0.8758,1965
cub,0.8216,1970
cub,1.388,1981
cub,1.886,1984
cub,3.0,1988
cub,3.641,1990
cub,5.18,1995
cub,5.304,1997
cub,5.897,2000
cub,5.91,2002
cub,6.399,2007
cyp,0.6824,1960
cyp,0.8016,1970
cyp,0.9165,1980
cyp,0.9725,1981
cyp,1.393,1986
cyp,1.38,1987
cyp,1.761,1990
cyp,2.55,1996
cyp,2.119,1999
cyp,2.983,2000
