geo,earthquake_affected_annual_number,time
aze,0,1996
aze,0,1997
aze,700000,1998
aze,9171,1999
aze,3325,2000
aze,0,2001
aze,0,2002
aze,0,2003
aze,0,2004
aze,0,2005
aze,0,2006
aze,0,2007
aze,0,2008
bgd,0,1970
bgd,0,1971
bgd,0,1972
bgd,0,1973
bgd,0,1974
bgd,0,1975
bgd,0,1976
bgd,0,1977
bgd,0,1978
bgd,0,1979
bgd,0,1980
bgd,0,1981
bgd,0,1982
bgd,0,1983
bgd,0,1984
bgd,0,1985
bgd,0,1986
bgd,0,1987
bgd,102,1988
bgd,101,1989
bgd,0,1990
bgd,0,1991
bgd,0,1992
bgd,0,1993
bgd,0,1994
bgd,0,1995
bgd,0,1996
bgd,223,1997
bgd,0,1998
bgd,15210,1999
bgd,1000,2000
bgd,0,2001
bgd,0,2002
bgd,2527,2003
bgd,0,2004
bgd,0,2005
bgd,0,2006
bgd,0,2007
bgd,0,2008
brb,0,1970
brb,0,1971
brb,0,1972
brb,0,1973
brb,0,1974
brb,0,1975
brb,0,1976
brb,0,1977
brb,0,1978
brb,0,1979
brb,0,1980
brb,0,1981
brb,0,1982
brb,0,1983
brb,0,1984
brb,0,1985
brb,0,1986
brb,0,1987
brb,0,1988
brb,0,1989
brb,0,1990
brb,0,1991
brb,0,1992
brb,0,1993
brb,0,1994
brb,0,1995
brb,0,1996
brb,0,1997
brb,0,1998
brb,0,1999
brb,0,2000
brb,0,2001
brb,0,2002
brb,0,2003
brb,0,2004
brb,0,2005
brb,0,2006
brb,1,2007
brb,0,2008
bel,0,1970
bel,0,1971
bel,0,1972
bel,0,1973
bel,0,1974
bel,0,1975
bel,0,1976
bel,0,1977
bel,0,1978
bel,0,1979
bel,0,1980
bel,0,1981
bel,0,1982
bel,1032,1983
bel,0,1984
bel,0,1985
bel,0,1986
bel,0,1987
bel,0,1988
bel,0,1989
bel,0,1990
bel,0,1991
bel,0,1992
bel,0,1993
bel,0,1994
bel,0,1995
bel,0,1996
bel,0,1997
bel,0,1998
bel,0,1999
bel,0,2000
bel,0,2001
bel,0,2002
bel,0,2003
bel,0,2004
bel,0,2005
bel,0,2006
bel,0,2007
bel,0,2008
bol,0,1970
bol,0,1971
bol,0,1972
bol,0,1973
bol,0,1974
bol,0,1975
bol,0,1976
bol,0,1977
bol,0,1978
bol,0,1979
bol,0,1980
bol,0,1981
bol,20,1982
bol,0,1983
bol,0,1984
bol,0,1985
bol,0,1986
bol,0,1987
bol,0,1988
bol,0,1989
bol,0,1990
bol,0,1991
bol,0,1992
bol,0,1993
bol,5,1994
bol,0,1995
bol,0,1996
bol,0,1997
bol,18140,1998
bol,0,1999
bol,0,2000
bol,0,2001
bol,0,2002
bol,0,2003
bol,0,2004
bol,0,2005
bol,0,2006
bol,0,2007
bol,0,2008
bra,0,1970
bra,0,1971
bra,0,1972
bra,0,1973
bra,0,1974
bra,0,1975
bra,0,1976
bra,0,1977
bra,0,1978
bra,0,1979
bra,0,1980
bra,0,1981
bra,0,1982
bra,0,1983
bra,0,1984
bra,0,1985
bra,23000,1986
bra,0,1987
bra,0,1988
bra,0,1989
bra,0,1990
bra,0,1991
bra,0,1992
bra,0,1993
bra,0,1994
bra,0,1995
bra,0,1996
bra,0,1997
bra,0,1998
bra,0,1999
bra,0,2000
bra,0,2001
bra,0,2002
bra,0,2003
bra,0,2004
bra,0,2005
bra,0,2006
bra,287,2007
bra,0,2008
bgr,0,1970
bgr,0,1971
bgr,0,1972
bgr,0,1973
bgr,0,1974
bgr,0,1975
bgr,0,1976
bgr,185,1977
bgr,0,1978
bgr,0,1979
bgr,0,1980
bgr,0,1981
bgr,0,1982
bgr,0,1983
bgr,0,1984
bgr,0,1985
bgr,3063,1986
bgr,0,1987
bgr,0,1988
bgr,0,1989
bgr,1,1990
bgr,0,1991
bgr,0,1992
bgr,0,1993
bgr,0,1994
bgr,0,1995
bgr,0,1996
bgr,0,1997
bgr,0,1998
bgr,0,1999
bgr,0,2000
bgr,0,2001
bgr,0,2002
bgr,0,2003
bgr,0,2004
bgr,0,2005
bgr,527,2006
bgr,0,2007
bgr,0,2008
bdi,0,1970
bdi,0,1971
bdi,0,1972
bdi,0,1973
bdi,0,1974
bdi,0,1975
bdi,0,1976
bdi,0,1977
bdi,0,1978
bdi,0,1979
bdi,0,1980
bdi,0,1981
bdi,0,1982
bdi,0,1983
bdi,0,1984
bdi,0,1985
bdi,0,1986
bdi,0,1987
bdi,0,1988
bdi,0,1989
bdi,0,1990
bdi,0,1991
bdi,0,1992
bdi,0,1993
bdi,0,1994
bdi,0,1995
bdi,0,1996
bdi,0,1997
bdi,0,1998
bdi,0,1999
bdi,0,2000
bdi,0,2001
bdi,0,2002
bdi,0,2003
bdi,123,2004
bdi,0,2005
bdi,0,2006
bdi,0,2007
bdi,0,2008
chl,0,1970
chl,2349000,1971
chl,0,1972
chl,0,1973
chl,0,1974
chl,0,1975
chl,0,1976
chl,0,1977
chl,0,1978
chl,0,1979
chl,0,1980
chl,0,1981
chl,0,1982
chl,1528,1983
chl,0,1984
chl,1482000,1985
chl,0,1986
chl,5117,1987
chl,0,1988
chl,0,1989
chl,0,1990
chl,0,1991
chl,0,1992
chl,0,1993
chl,0,1994
chl,1836,1995
chl,0,1996
chl,53110,1997
chl,0,1998
chl,0,1999
chl,0,2000
chl,0,2001
chl,0,2002
chl,0,2003
chl,0,2004
chl,27660,2005
chl,0,2006
chl,25170,2007
chl,0,2008
chn,10000,1970
chn,0,1971
chn,0,1972
chn,0,1973
chn,20000,1974
chn,10000,1975
chn,406000,1976
chn,0,1977
chn,0,1978
chn,4186,1979
chn,0,1980
chn,26000,1981
chn,15,1982
chn,18730,1983
chn,0,1984
chn,16610,1985
chn,290,1986
chn,194200,1987
chn,1321000,1988
chn,246100,1989
chn,64460,1990
chn,283400,1991
chn,16000,1992
chn,142600,1993
chn,6646,1994
chn,1026000,1995
chn,5312000,1996
chn,775300,1997
chn,1185000,1998
chn,3037000,1999
chn,2105000,2000
chn,503100,2001
chn,65880,2002
chn,3147000,2003
chn,436900,2004
chn,634000,2005
chn,411600,2006
chn,332,2007
chn,47170000,2008
col,3436,1970
col,0,1971
col,0,1972
col,0,1973
col,0,1974
col,0,1975
col,0,1976
col,0,1977
col,0,1978
col,12460,1979
col,0,1980
col,10,1981
col,0,1982
col,36450,1983
col,0,1984
col,0,1985
col,0,1986
col,0,1987
col,0,1988
col,0,1989
col,0,1990
col,869,1991
col,1646,1992
col,3073,1993
col,37690,1994
col,18260,1995
col,0,1996
col,0,1997
col,0,1998
col,1207000,1999
col,432,2000
col,0,2001
col,0,2002
col,0,2003
col,8539,2004
col,0,2005
col,0,2006
col,175,2007
col,0,2008
cod,0,1970
cod,0,1971
cod,0,1972
cod,0,1973
cod,0,1974
cod,0,1975
cod,0,1976
cod,0,1977
cod,0,1978
cod,0,1979
cod,0,1980
cod,0,1981
cod,0,1982
cod,0,1983
cod,0,1984
cod,0,1985
cod,0,1986
cod,0,1987
cod,0,1988
cod,0,1989
cod,0,1990
cod,0,1991
cod,320,1992
cod,0,1993
cod,0,1994
cod,0,1995
cod,0,1996
cod,0,1997
cod,0,1998
cod,0,1999
cod,0,2000
cod,0,2001
cod,0,2002
cod,0,2003
cod,0,2004
cod,0,2005
cod,0,2006
cod,0,2007
cod,13040,2008
cog,0,1970
cog,0,1971
cog,0,1972
cog,0,1973
cog,0,1974
cog,0,1975
cog,0,1976
cog,0,1977
cog,0,1978
cog,0,1979
cog,0,1980
cog,0,1981
cog,0,1982
cog,0,1983
cog,0,1984
cog,0,1985
cog,0,1986
cog,0,1987
cog,0,1988
cog,0,1989
cog,0,1990
cog,0,1991
cog,0,1992
cog,0,1993
cog,0,1994
cog,0,1995
cog,0,1996
cog,0,1997
cog,0,1998
cog,0,1999
cog,0,2000
cog,0,2001
cog,0,2002
cog,0,2003
cog,0,2004
cog,1511,2005
cog,0,2006
cog,0,2007
cog,0,2008
cri,0,1970
cri,0,1971
cri,0,1972
cri,3766,1973
cri,0,1974
cri,0,1975
cri,0,1976
cri,0,1977
cri,0,1978
cri,0,1979
cri,0,1980
cri,0,1981
cri,0,1982
cri,5547,1983
cri,0,1984
cri,0,1985
cri,0,1986
cri,0,1987
cri,0,1988
cri,0,1989
cri,14610,1990
cri,10620,1991
cri,0,1992
cri,243,1993
cri,0,1994
cri,0,1995
cri,0,1996
cri,0,1997
cri,0,1998
cri,0,1999
cri,0,2000
cri,0,2001
cri,0,2002
cri,137,2003
cri,288,2004
cri,0,2005
cri,0,2006
cri,0,2007
cri,0,2008
hrv,0,1970
hrv,0,1971
hrv,0,1972
hrv,0,1973
hrv,0,1974
hrv,0,1975
hrv,0,1976
hrv,0,1977
hrv,0,1978
hrv,0,1979
hrv,0,1980
hrv,0,1981
hrv,0,1982
hrv,0,1983
hrv,0,1984
hrv,0,1985
hrv,0,1986
hrv,0,1987
hrv,0,1988
hrv,0,1989
hrv,0,1990
hrv,0,1991
hrv,0,1992
hrv,0,1993
hrv,0,1994
hrv,0,1995
hrv,2000,1996
hrv,0,1997
hrv,0,1998
hrv,0,1999
hrv,0,2000
hrv,0,2001
hrv,0,2002
hrv,0,2003
hrv,0,2004
hrv,0,2005
hrv,0,2006
hrv,0,2007
hrv,0,2008
cub,0,1970
cub,0,1971
cub,0,1972
cub,0,1973
cub,0,1974
cub,0,1975
cub,9,1976
cub,0,1977
cub,0,1978
cub,0,1979
cub,0,1980
cub,0,1981
cub,0,1982
cub,0,1983
cub,0,1984
cub,0,1985
cub,0,1986
cub,0,1987
cub,0,1988
cub,0,1989
cub,0,1990
cub,0,1991
cub,5869,1992
cub,0,1993
cub,0,1994
cub,0,1995
cub,0,1996
cub,0,1997
cub,0,1998
cub,0,1999
cub,0,2000
cub,0,2001
cub,0,2002
cub,0,2003
cub,0,2004
cub,0,2005
cub,0,2006
cub,0,2007
cub,0,2008
cyp,0,1970
cyp,0,1971
cyp,0,1972
cyp,0,1973
cyp,0,1974
cyp,0,1975
cyp,0,1976
cyp,0,1977
cyp,0,1978
cyp,0,1979
cyp,0,1980
cyp,0,1981
cyp,0,1982
cyp,0,1983
cyp,0,1984
cyp,0,1985
cyp,0,1986
cyp,0,1987
cyp,0,1988
cyp,0,1989
cyp,0,1990
cyp,0,1991
cyp,0,1992
cyp,0,1993
cyp,0,1994
cyp,1867,1995
cyp,0,1996
cyp,0,1997
cyp,0,1998
cyp,0,1999
cyp,0,2000
cyp,0,2001
cyp,0,2002
cyp,0,2003
cyp,0,2004
cyp,0,2005
cyp,0,2006
cyp,0,2007
cyp,0,2008
dma,0,1970
dma,0,1971
dma,0,1972
dma,0,1973
dma,0,1974
dma,0,1975
dma,0,1976
dma,0,1977
dma,0,1978
dma,0,1979
dma,0,1980
dma,0,1981
dma,0,1982
dma,0,1983
dma,0,1984
dma,0,1985
dma,0,1986
dma,0,1987
dma,0,1988
dma,0,1989
dma,0,1990
dma,0,1991
dma,0,1992
dma,0,1993
dma,0,1994
dma,0,1995
dma,0,1996
dma,0,1997
dma,0,1998
dma,0,1999
dma,0,2000
dma,0,2001
dma,0,2002
dma,0,2003
dma,100,2004
dma,0,2005
dma,0,2006
dma,0,2007
dma,0,2008
dom,0,1970
dom,0,1971
dom,0,1972
dom,0,1973
dom,0,1974
dom,0,1975
dom,0,1976
dom,0,1977
dom,0,1978
dom,0,1979
dom,0,1980
dom,0,1981
dom,0,1982
dom,0,1983
dom,0,1984
dom,0,1985
dom,0,1986
dom,0,1987
dom,0,1988
dom,0,1989
dom,0,1990
dom,0,1991
dom,0,1992
dom,0,1993
dom,0,1994
dom,0,1995
dom,0,1996
dom,0,1997
dom,0,1998
dom,0,1999
dom,0,2000
dom,0,2001
dom,0,2002
dom,2018,2003
dom,0,2004
dom,0,2005
dom,0,2006
dom,0,2007
dom,0,2008
ecu,88140,1970
ecu,0,1971
ecu,0,1972
ecu,0,1973
ecu,0,1974
ecu,0,1975
ecu,20020,1976
ecu,0,1977
ecu,0,1978
ecu,0,1979
ecu,48,1980
ecu,0,1981
ecu,0,1982
ecu,0,1983
ecu,0,1984
ecu,0,1985
ecu,0,1986
ecu,155000,1987
ecu,0,1988
ecu,0,1989
ecu,6514,1990
ecu,0,1991
ecu,0,1992
ecu,0,1993
ecu,0,1994
ecu,893,1995
ecu,30730,1996
ecu,0,1997
ecu,2043,1998
ecu,0,1999
ecu,0,2000
ecu,0,2001
ecu,0,2002
ecu,0,2003
ecu,0,2004
ecu,0,2005
ecu,0,2006
ecu,0,2007
ecu,0,2008
egy,0,1970
egy,0,1971
egy,0,1972
egy,0,1973
egy,0,1974
egy,0,1975
egy,0,1976
egy,0,1977
egy,0,1978
egy,0,1979
egy,0,1980
egy,0,1981
egy,0,1982
egy,0,1983
egy,0,1984
egy,0,1985
egy,0,1986
egy,0,1987
egy,0,1988
egy,0,1989
egy,0,1990
egy,0,1991
egy,93200,1992
egy,0,1993
egy,0,1994
egy,79,1995
egy,0,1996
egy,0,1997
egy,0,1998
egy,0,1999
egy,0,2000
egy,0,2001
egy,250,2002
egy,0,2003
egy,0,2004
egy,0,2005
egy,0,2006
egy,0,2007
egy,0,2008
slv,0,1970
slv,0,1971
slv,0,1972
slv,0,1973
slv,0,1974
slv,0,1975
slv,0,1976
slv,0,1977
slv,0,1978
slv,0,1979
slv,0,1980
slv,0,1981
slv,32520,1982
slv,0,1983
slv,0,1984
slv,0,1985
slv,771100,1986
slv,0,1987
slv,0,1988
slv,0,1989
slv,0,1990
slv,0,1991
slv,0,1992
slv,0,1993
slv,0,1994
slv,0,1995
slv,0,1996
slv,0,1997
slv,0,1998
slv,0,1999
slv,0,2000
slv,1592000,2001
slv,0,2002
slv,0,2003
slv,0,2004
slv,752,2005
slv,16470,2006
slv,0,2007
slv,0,2008
fji,0,1970
fji,0,1971
fji,0,1972
fji,0,1973
fji,0,1974
fji,0,1975
fji,0,1976
fji,0,1977
fji,0,1978
fji,0,1979
fji,0,1980
fji,0,1981
fji,0,1982
fji,0,1983
fji,0,1984
fji,0,1985
fji,0,1986
fji,0,1987
fji,0,1988
fji,0,1989
