geo,male_service_workers_percent_of_male_labour_force,time
pri,71.6,2007
qat,57.4,1997
qat,52.7,2001
qat,49.0,2004
qat,48.3,2006
mda,30.3,2000
mda,30.5,2001
mda,30.9,2002
mda,35.2,2003
mda,37.8,2004
mda,37.9,2005
mda,40.7,2006
mda,39.3,2007
rou,26.0,1980
rou,26.7,1981
rou,26.5,1982
rou,26.2,1983
rou,26.3,1984
rou,26.2,1985
rou,26.2,1986
rou,26.1,1987
rou,26.4,1988
rou,26.3,1989
rou,26.0,1990
rou,28.3,1991
rou,27.6,1992
rou,25.8,1993
rou,26.9,1994
rou,28.1,1995
rou,29.2,1996
rou,28.8,1997
rou,28.8,1998
rou,28.6,1999
rou,29.0,2000
rou,29.9,2001
rou,31.6,2002
rou,31.8,2003
rou,33.5,2004
rou,33.6,2005
rou,35.1,2006
rou,34.7,2007
rus,47.9,1997
rus,49.4,1998
rus,48.2,1999
rus,48.2,2000
rus,49.7,2001
rus,50.2,2002
rus,48.4,2003
rus,50.1,2004
rus,49.6,2005
rus,50.0,2006
rus,51.0,2007
rwa,10.7,1989
kna,28.0,1984
lca,42.6,1993
lca,41.5,1994
lca,42.9,1995
lca,44.3,1996
lca,50.2,1997
lca,49.3,1998
lca,48.9,1999
lca,47.4,2000
lca,46.7,2002
lca,50.6,2003
lca,48.8,2004
vct,42.4,1991
vct,48.1,2001
smr,42.6,1980
smr,42.9,1981
smr,43.9,1982
smr,45.0,1983
smr,44.6,1984
smr,45.0,1985
smr,45.1,1986
smr,45.6,1987
smr,45.6,1988
smr,45.8,1989
smr,46.0,1990
smr,46.4,1991
smr,47.5,1992
smr,47.5,1993
smr,43.1,1995
smr,43.3,1996
smr,43.6,1997
smr,43.3,1998
smr,43.9,1999
smr,46.8,2001
smr,47.2,2002
smr,46.7,2003
smr,47.2,2004
smr,49.1,2005
smr,49.9,2006
smr,50.8,2007
stp,25.2,1980
stp,30.8,1981
stp,33.7,1982
stp,24.9,1983
stp,28.9,1984
stp,35.6,1991
stp,42.6,2000
sau,68.6,1999
sau,70.4,2000
sau,68.8,2001
sau,70.5,2002
sau,71.9,2006
sau,71.6,2007
sen,32.5,2006
srb,42.8,2004
srb,42.3,2005
srb,41.8,2006
srb,41.7,2007
sle,23.4,2004
sgp,64.6,1980
sgp,62.8,1981
sgp,62.5,1982
sgp,62.8,1983
sgp,61.5,1984
sgp,62.4,1985
sgp,63.0,1986
sgp,63.5,1987
sgp,62.9,1988
sgp,62.3,1989
sgp,59.2,1990
sgp,62.7,1991
sgp,63.0,1992
sgp,63.1,1993
sgp,63.8,1994
sgp,63.8,1995
sgp,66.3,1996
sgp,66.0,1997
sgp,66.5,1998
sgp,67.2,1999
sgp,56.9,2000
sgp,69.6,2001
sgp,70.5,2002
sgp,70.6,2003
sgp,71.6,2004
sgp,72.5,2006
sgp,72.1,2007
svk,39.2,1994
svk,41.3,1995
svk,40.5,1996
svk,39.6,1997
svk,40.1,1998
svk,41.8,1999
svk,43.9,2000
svk,43.9,2001
svk,43.5,2002
svk,43.3,2003
svk,43.3,2004
svk,44.0,2005
svk,44.3,2006
svk,43.0,2007
svn,36.8,1993
svn,38.1,1994
svn,38.5,1995
svn,38.2,1996
svn,38.6,1997
svn,40.5,1998
svn,42.3,1999
svn,44.3,2000
svn,42.5,2001
svn,42.6,2002
svn,44.7,2003
svn,44.0,2004
svn,43.4,2005
svn,44.7,2006
svn,45.0,2007
zaf,50.4,2000
zaf,51.9,2001
zaf,51.5,2002
zaf,53.5,2003
zaf,54.9,2004
zaf,56.6,2005
zaf,56.1,2006
zaf,53.8,2007
esp,38.5,1980
esp,39.6,1981
esp,40.8,1982
esp,41.0,1983
esp,41.8,1984
esp,43.0,1985
esp,44.6,1986
esp,45.1,1987
esp,45.2,1988
esp,45.9,1989
esp,46.3,1990
esp,47.5,1991
esp,48.4,1992
esp,50.0,1993
esp,51.1,1994
esp,51.4,1995
esp,52.0,1996
esp,51.6,1997
esp,51.0,1998
esp,51.0,1999
esp,51.4,2000
esp,50.6,2001
esp,51.2,2002
esp,51.4,2003
esp,51.3,2004
esp,52.0,2005
esp,52.0,2006
esp,52.8,2007
lka,29.9,1981
lka,29.4,1985
lka,38.4,1993
lka,38.5,1994
lka,36.3,1995
lka,41.0,1996
lka,36.7,1998
lka,43.7,2001
lka,40.7,2005
lka,41.3,2006
lka,40.9,2007
shn,50.5,1998
sur,65.4,1992
sur,65.1,1993
sur,62.5,1994
sur,56.1,1995
sur,52.9,1996
sur,56.9,1997
sur,56.3,1998
sur,64.3,1999
sur,54.6,2004
swe,47.0,1980
swe,47.5,1981
swe,48.5,1982
swe,48.9,1983
swe,49.3,1984
swe,49.5,1985
swe,51.0,1986
swe,50.2,1987
swe,51.0,1988
swe,51.5,1989
swe,51.7,1990
swe,52.9,1991
swe,55.0,1992
swe,56.1,1993
swe,56.8,1994
swe,56.3,1995
swe,56.6,1996
swe,57.2,1997
swe,58.0,1998
swe,58.7,1999
swe,59.7,2000
swe,60.8,2001
swe,61.5,2002
swe,61.9,2003
swe,62.2,2004
swe,63.1,2005
swe,63.1,2006
swe,63.5,2007
che,45.5,1980
che,46.0,1981
che,47.1,1982
che,48.5,1983
che,48.4,1984
che,48.9,1985
che,49.6,1986
che,50.9,1987
che,52.0,1988
che,53.1,1989
che,54.2,1990
che,55.7,1991
che,56.7,1992
che,57.6,1993
che,57.8,1994
che,57.0,1995
che,58.2,1996
che,59.4,1997
che,59.4,1998
che,59.6,1999
che,59.3,2000
che,59.7,2001
che,60.7,2002
che,62.1,2003
che,62.5,2004
che,62.2,2005
che,62.1,2006
che,62.2,2007
syr,40.6,1983
syr,42.0,1984
syr,47.3,1989
syr,44.1,1993
syr,44.3,1994
syr,43.9,1995
syr,47.3,1997
syr,44.4,1999
syr,43.3,2000
syr,44.7,2001
syr,43.1,2002
syr,48.3,2003
tjk,30.8,2004
tza,15.7,2001
tza,20.7,2006
tha,19.6,1980
tha,23.1,1981
tha,24.2,1982
tha,23.2,1983
tha,23.0,1984
tha,20.2,1985
tha,22.1,1986
tha,22.7,1987
tha,21.3,1988
tha,20.7,1989
tha,22.9,1990
tha,24.8,1991
tha,24.1,1992
tha,26.3,1993
tha,26.3,1994
tha,29.1,1995
tha,29.7,1996
tha,30.5,1997
tha,30.4,1998
tha,32.8,1999
tha,31.9,2000
tha,32.8,2001
tha,31.6,2002
tha,32.6,2003
tha,34.4,2004
tha,34.1,2005
tha,34.2,2006
tha,34.6,2007
mkd,40.8,2002
mkd,41.8,2003
mkd,47.2,2004
mkd,46.4,2005
mkd,45.2,2006
mkd,47.9,2007
ton,30.3,1984
ton,35.5,2003
tto,45.0,1980
tto,42.0,1981
tto,42.9,1982
tto,44.4,1983
tto,46.1,1984
tto,46.5,1985
tto,49.5,1986
tto,49.1,1987
tto,49.8,1988
tto,49.2,1989
tto,50.0,1991
tto,51.3,1992
tto,52.2,1993
tto,52.1,1994
tto,53.5,1995
tto,54.7,1996
tto,53.2,1997
tto,52.3,1998
tto,52.5,1999
tto,53.4,2000
tto,51.1,2001
tto,53.0,2002
tto,53.4,2003
tto,53.4,2004
tto,52.3,2005
tun,31.7,1980
tun,40.8,1989
tur,60.3,1982
tur,62.7,1983
tur,62.9,1984
tur,44.6,1985
tur,39.5,1988
tur,39.1,1989
tur,40.7,1990
tur,39.7,1991
tur,40.9,1992
tur,40.6,1993
tur,40.1,1994
tur,40.5,1995
tur,40.6,1996
tur,40.3,1997
tur,41.2,1998
tur,41.6,1999
tur,45.0,2000
tur,45.5,2001
tur,48.4,2002
tur,49.3,2003
tur,48.1,2004
tur,50.2,2005
tur,51.1,2006
tur,51.6,2007
uga,27.6,2003
are,54.6,1995
are,54.6,2000
are,48.8,2005
gbr,47.7,1980
gbr,49.2,1981
gbr,50.3,1982
gbr,51.6,1983
gbr,52.9,1984
gbr,53.6,1985
gbr,54.4,1986
gbr,55.1,1987
gbr,52.2,1988
gbr,52.0,1989
gbr,52.5,1990
gbr,53.5,1991
gbr,54.6,1992
gbr,55.4,1993
gbr,57.5,1994
gbr,58.2,1995
gbr,58.1,1996
gbr,58.8,1997
gbr,59.3,1998
gbr,60.2,1999
gbr,61.0,2000
gbr,61.6,2001
gbr,62.4,2002
gbr,63.2,2003
gbr,64.4,2004
gbr,64.6,2005
gbr,64.8,2006
gbr,64.5,2007
usa,55.2,1980
usa,55.7,1981
usa,57.5,1982
usa,57.9,1983
usa,57.6,1984
usa,58.0,1985
usa,58.2,1986
usa,59.0,1987
usa,59.4,1988
usa,59.5,1989
usa,59.9,1990
usa,61.1,1991
usa,62.0,1992
usa,62.6,1993
usa,62.5,1994
usa,62.3,1995
usa,62.6,1996
usa,62.6,1997
usa,62.9,1998
usa,63.7,1999
usa,63.9,2000
usa,64.6,2001
usa,65.0,2002
usa,67.3,2003
usa,67.4,2004
usa,67.6,2005
usa,67.3,2006
usa,67.6,2007
ury,64.3,1984
ury,63.2,1986
ury,59.1,1987
ury,59.6,1988
ury,58.8,1989
ury,59.6,1990
ury,60.5,1991
ury,57.2,1992
ury,58.0,1993
ury,58.9,1994
ury,59.3,1995
ury,61.7,1998
ury,60.6,1999
ury,60.7,2000
ury,62.4,2001
ury,63.7,2002
ury,64.8,2003
ury,64.4,2004
ury,63.8,2005
ury,56.9,2006
ury,56.0,2007
ven,48.8,1980
ven,49.3,1981
ven,48.9,1982
ven,50.6,1983
ven,50.3,1984
ven,50.2,1985
ven,49.7,1986
ven,49.6,1987
ven,50.3,1988
ven,51.6,1989
ven,51.7,1990
ven,51.6,1991
ven,51.8,1992
ven,53.0,1993
ven,58.6,2003
ven,55.7,2006
ven,56.3,2007
vnm,17.9,1996
vnm,20.5,1997
vnm,22.1,1998
vnm,21.4,1999
vnm,21.0,2000
vnm,20.4,2001
vnm,21.4,2002
vnm,22.6,2003
vnm,23.3,2004
pse,56.8,1996
pse,50.9,1997
pse,48.8,1998
pse,48.1,1999
pse,51.2,2000
pse,58.1,2001
pse,60.0,2002
pse,57.4,2003
pse,58.5,2004
pse,58.2,2005
pse,59.8,2006
pse,61.1,2007
yem,37.7,1991
yem,39.9,1994
yem,39.4,1998
yem,43.0,1999
zmb,22.4,1990
zmb,26.9,1998
zmb,26.0,2000
zwe,28.0,1999
