geo,improved_sanitation_urban_access_percent,time
cod,23,1992
cod,23,1993
cod,23,1994
cod,23,1995
cod,23,1996
cod,23,1997
cod,23,1998
cod,23,1999
cod,23,2000
cod,23,2001
cod,24,2002
cod,24,2003
cod,24,2004
cod,24,2005
cod,24,2006
cod,24,2007
cod,24,2008
cod,24,2009
cod,24,2010
cog,21,1997
cog,21,1998
cog,21,1999
cog,21,2000
cog,21,2001
cog,21,2002
cog,21,2003
cog,21,2004
cog,20,2005
cog,20,2006
cog,20,2007
cog,20,2008
cog,20,2009
cog,20,2010
cri,94,1990
cri,94,1991
cri,95,1992
cri,95,1993
cri,95,1994
cri,95,1995
cri,95,1996
cri,95,1997
cri,95,1998
cri,95,1999
cri,95,2000
cri,95,2001
cri,95,2002
cri,95,2003
cri,95,2004
cri,95,2005
cri,95,2006
cri,95,2007
cri,95,2008
cri,95,2009
cri,95,2010
civ,38,1990
civ,38,1991
civ,38,1992
civ,38,1993
civ,38,1994
civ,38,1995
civ,38,1996
civ,37,1997
civ,37,1998
civ,37,1999
civ,37,2000
civ,37,2001
civ,37,2002
civ,37,2003
civ,37,2004
civ,36,2005
civ,36,2006
civ,36,2007
civ,36,2008
civ,36,2009
civ,36,2010
hrv,99,1990
hrv,99,1991
hrv,99,1992
hrv,99,1993
hrv,99,1994
hrv,99,1995
hrv,99,1996
hrv,99,1997
hrv,99,1998
hrv,99,1999
hrv,99,2000
hrv,99,2001
hrv,99,2002
hrv,99,2003
hrv,99,2004
hrv,99,2005
hrv,99,2006
hrv,99,2007
hrv,99,2008
hrv,99,2009
hrv,99,2010
cub,86,1990
cub,86,1991
cub,87,1992
cub,87,1993
cub,87,1994
cub,88,1995
cub,88,1996
cub,89,1997
cub,89,1998
cub,90,1999
cub,90,2000
cub,91,2001
cub,91,2002
cub,91,2003
cub,92,2004
cub,92,2005
cub,93,2006
cub,93,2007
cub,94,2008
cub,94,2009
cub,94,2010
cyp,100,1990
cyp,100,1991
cyp,100,1992
cyp,100,1993
cyp,100,1994
cyp,100,1995
cyp,100,1996
cyp,100,1997
cyp,100,1998
cyp,100,1999
cyp,100,2000
cyp,100,2001
cyp,100,2002
cyp,100,2003
cyp,100,2004
cyp,100,2005
cyp,100,2006
cyp,100,2007
cyp,100,2008
cyp,100,2009
cyp,100,2010
cze,100,1990
cze,100,1991
cze,100,1992
cze,100,1993
cze,100,1994
cze,100,1995
cze,100,1996
cze,100,1997
cze,99,1998
cze,99,1999
cze,99,2000
cze,99,2001
cze,99,2002
