geo,lung_cancer_deaths_per_100000_women,time
dom,2.98,1995
dom,3.3,1996
dom,4.34,1997
dom,4.52,1998
dom,4.5,1999
dom,3.19,2000
dom,4.62,2001
dom,4.053,2002
ecu,1.84,1961
ecu,1.94,1963
ecu,2.35,1964
ecu,2.01,1968
ecu,2.35,1969
ecu,1.61,1970
ecu,1.75,1971
ecu,1.77,1972
ecu,1.55,1973
ecu,1.58,1974
ecu,1.87,1975
ecu,1.5,1977
ecu,1.43,1978
ecu,2.11,1979
ecu,2.08,1980
ecu,2.51,1981
ecu,2.75,1982
ecu,2.06,1983
ecu,2.76,1984
ecu,2.37,1985
ecu,2.8,1986
ecu,2.55,1987
ecu,2.68,1988
ecu,2.96,1989
ecu,2.66,1990
ecu,2.92,1991
ecu,2.73,1992
ecu,3.15,1993
ecu,3.26,1994
ecu,4.48,1995
ecu,3.79,1996
ecu,3.89,1997
ecu,3.69,1998
ecu,3.83,1999
ecu,3.3,2000
ecu,3.8,2001
ecu,3.52,2002
egy,2.8,2002
slv,0.68,1950
slv,0.45,1951
slv,0.23,1952
slv,0.93,1953
slv,1.22,1954
slv,0.65,1955
slv,0.54,1956
slv,0.61,1957
slv,0.99,1958
slv,0.84,1959
slv,0.77,1960
slv,2.06,1961
slv,1.11,1962
slv,0.82,1963
slv,0.91,1964
slv,0.83,1965
slv,1.03,1966
slv,2.12,1967
slv,0.85,1968
slv,1.5,1969
slv,1.2,1970
slv,0.92,1971
slv,1.19,1972
slv,1.01,1973
slv,1.46,1974
slv,1.81,1981
slv,1.46,1982
slv,1.4,1983
slv,1.17,1984
slv,1.74,1990
slv,2.09,1991
slv,1.74,1992
slv,2.17,1993
slv,1.77,1995
slv,3.73,1996
slv,2.96,1997
slv,2.54,1998
slv,2.85,1999
slv,3.72,2000
slv,3.84,2001
slv,3.19,2002
gnq,0.7,2002
eri,2.1,2002
est,7.44,1981
est,5.87,1982
est,5.88,1985
est,6.4,1986
est,7.19,1987
est,7.69,1988
est,8.28,1989
est,7.17,1990
est,7.99,1991
est,7.49,1992
est,7.58,1993
est,7.04,1994
est,6.86,1995
est,7.3,1996
est,8.84,1997
est,7.1,1998
est,7.33,1999
est,7.1,2000
est,7.82,2001
est,7.65,2002
eth,3.1,2002
fji,1.6,2002
fin,4.81,1952
fin,3.63,1953
fin,4.2,1954
fin,4.55,1955
fin,3.29,1956
fin,4.4,1957
fin,4.01,1958
fin,4.32,1959
fin,2.75,1960
fin,3.79,1961
fin,3.63,1962
fin,4.24,1963
fin,3.96,1964
fin,3.87,1965
fin,3.9,1966
fin,4.19,1967
fin,4.18,1968
fin,3.98,1969
fin,3.86,1970
fin,4.31,1971
fin,4.81,1972
fin,3.53,1973
fin,4.19,1974
fin,4.28,1975
fin,5.27,1976
fin,5.38,1977
fin,5.28,1978
fin,5.27,1979
fin,6.18,1980
fin,5.78,1981
fin,5.7,1982
fin,5.42,1983
fin,6.18,1984
fin,6.8,1985
fin,6.25,1986
fin,6.58,1987
fin,6.31,1988
fin,6.48,1989
fin,6.81,1990
fin,6.86,1991
fin,7.38,1992
fin,6.61,1993
fin,6.85,1994
fin,7.02,1995
fin,7.05,1996
fin,7.19,1997
fin,8.08,1998
fin,6.94,1999
fin,7.6,2000
fin,8.1,2001
fin,8.07,2002
fra,3.09,1950
fra,3.32,1952
fra,3.27,1953
fra,3.35,1954
fra,3.35,1955
fra,3.32,1956
fra,3.51,1957
fra,3.34,1958
fra,3.41,1959
fra,3.37,1960
fra,3.42,1961
fra,3.53,1962
fra,3.81,1963
fra,3.7,1964
fra,3.67,1965
fra,3.79,1966
fra,3.93,1967
fra,3.54,1968
fra,3.46,1969
fra,3.34,1970
fra,3.46,1971
fra,3.49,1972
fra,3.5,1973
fra,3.58,1974
fra,3.57,1975
fra,3.6,1976
fra,3.62,1977
fra,3.79,1978
fra,3.68,1979
fra,3.82,1980
fra,4.04,1981
fra,4.06,1982
fra,4.26,1983
fra,4.13,1984
fra,4.36,1985
fra,4.48,1986
fra,4.99,1987
fra,5.04,1988
fra,5.18,1989
fra,5.15,1990
fra,5.38,1991
fra,5.4,1992
fra,5.66,1993
fra,5.85,1994
fra,6.26,1995
fra,6.46,1996
fra,6.44,1997
fra,7.13,1998
fra,7.44,1999
fra,7.25,2000
fra,7.54,2001
fra,8.22,2002
pyf,0.9,2002
gab,1.7,2002
gmb,0.6,2002
geo,6.1,2002
deu,4.7,1973
deu,4.87,1974
deu,5.01,1975
deu,5.16,1976
deu,5.1,1977
deu,5.31,1978
deu,5.57,1980
deu,5.81,1981
deu,6.03,1982
deu,6.4,1983
deu,6.47,1984
deu,6.46,1985
deu,6.88,1986
deu,7.23,1987
deu,7.25,1988
deu,7.62,1989
deu,7.86,1990
deu,8.35,1991
deu,8.46,1992
deu,8.85,1993
deu,9.16,1994
deu,9.19,1995
deu,9.36,1996
deu,9.81,1997
deu,10.14,1998
deu,10.2,1999
deu,10.72,2000
deu,10.78,2001
deu,11.13,2002
gha,0.6,2002
grc,4.74,1961
grc,4.6,1962
grc,5.93,1963
grc,5.06,1964
grc,6.38,1965
grc,6.1,1966
grc,6.08,1967
grc,5.48,1968
grc,5.91,1969
grc,6.04,1970
grc,5.0,1971
grc,5.82,1972
grc,6.15,1973
grc,6.07,1974
grc,6.73,1975
grc,6.08,1976
grc,7.01,1977
grc,6.89,1978
grc,6.85,1979
grc,6.04,1980
grc,6.02,1981
grc,6.4,1982
grc,6.23,1983
grc,6.33,1984
grc,7.16,1985
grc,6.48,1986
grc,6.29,1987
grc,6.99,1988
grc,6.68,1989
grc,7.34,1990
grc,7.1,1991
grc,6.97,1992
grc,6.75,1993
grc,6.98,1994
grc,7.18,1995
grc,7.1,1996
grc,6.93,1997
grc,7.28,1998
grc,6.73,1999
grc,7.4,2000
grc,7.1,2001
grc,7.27,2002
gum,14.2,2002
gtm,1.14,1963
gtm,1.13,1964
gtm,1.63,1965
gtm,0.95,1966
gtm,1.29,1967
gtm,1.51,1968
gtm,0.6,1969
gtm,0.67,1970
gtm,1.52,1971
gtm,1.6,1974
gtm,1.88,1975
gtm,1.6,1976
gtm,1.34,1977
gtm,1.45,1978
gtm,1.16,1980
gtm,1.03,1981
gtm,2.09,1984
gtm,2.15,1986
gtm,2.73,1987
gtm,2.17,1988
gtm,2.73,1989
gtm,2.42,1990
gtm,2.27,1991
gtm,2.62,1992
gtm,3.09,1993
gtm,3.8,1994
gtm,3.69,1995
gtm,2.48,1996
gtm,3.68,1997
gtm,3.21,1998
gtm,4.14,1999
gtm,3.66,2000
gtm,4.09,2001
gtm,4.04,2002
gin,1.5,2002
gnb,0.6,2002
guy,4.8,2002
hti,0.4,2002
hnd,5.9,2002
hkg,11.76,1960
hkg,10.36,1961
hkg,11.63,1962
hkg,12.93,1963
hkg,13.87,1964
hkg,15.47,1965
hkg,17.16,1966
hkg,18.04,1967
hkg,17.3,1968
hkg,19.44,1969
hkg,18.81,1970
hkg,20.98,1971
hkg,19.73,1972
hkg,20.93,1973
hkg,20.06,1974
hkg,22.59,1975
hkg,24.75,1976
hkg,23.52,1977
hkg,23.92,1978
hkg,23.94,1979
hkg,22.19,1980
hkg,22.84,1981
hkg,25.09,1982
hkg,21.46,1983
hkg,23.94,1984
hkg,24.03,1985
hkg,25.22,1986
hkg,24.71,1987
hkg,23.57,1988
hkg,22.96,1989
hkg,23.3,1990
hkg,22.97,1991
hkg,24.45,1992
hkg,23.6,1993
hkg,21.04,1994
hkg,19.87,1995
hkg,19.21,1996
hkg,18.68,1997
hkg,19.56,1998
hkg,18.78,1999
hkg,18.52,2000
hkg,18.64,2001
hkg,18.18,2002
hun,5.31,1955
hun,5.31,1956
hun,5.7,1957
hun,6.14,1958
hun,6.23,1959
hun,6.32,1960
hun,6.68,1961
hun,7.22,1962
hun,7.21,1963
hun,7.57,1964
hun,7.23,1965
hun,7.57,1966
hun,6.99,1967
hun,7.63,1968
hun,7.01,1969
hun,7.63,1970
hun,7.85,1971
hun,7.69,1972
hun,8.68,1973
hun,8.67,1974
hun,8.03,1975
hun,8.96,1976
hun,8.47,1977
hun,9.61,1978
hun,9.29,1979
hun,10.26,1980
hun,9.89,1981
hun,10.94,1982
hun,11.41,1983
hun,11.34,1984
hun,11.62,1985
hun,12.43,1986
hun,13.69,1987
hun,13.84,1988
hun,14.6,1989
hun,15.57,1990
hun,15.92,1991
hun,16.82,1992
hun,18.05,1993
hun,17.42,1994
hun,18.77,1995
hun,20.31,1996
hun,19.72,1997
hun,20.08,1998
hun,20.91,1999
hun,21.38,2000
hun,21.67,2001
hun,22.69,2002
isl,1.01,1951
isl,3.74,1952
isl,2.43,1953
isl,7.42,1954
isl,3.09,1956
isl,6.75,1957
isl,2.1,1958
isl,6.56,1959
isl,13.42,1960
isl,3.0,1961
isl,2.55,1962
isl,2.88,1963
isl,10.39,1964
isl,5.67,1965
isl,8.89,1966
isl,8.84,1967
isl,7.3,1968
isl,10.84,1969
isl,5.17,1970
isl,11.23,1971
isl,12.05,1972
isl,9.12,1973
isl,9.68,1974
isl,11.8,1975
isl,9.52,1976
isl,14.12,1977
isl,11.32,1978
isl,16.67,1979
isl,21.0,1980
isl,22.65,1981
isl,26.0,1982
isl,20.16,1983
isl,17.32,1984
isl,17.7,1985
isl,20.84,1986
isl,20.59,1987
isl,28.32,1988
isl,23.52,1989
isl,21.87,1990
isl,22.31,1991
isl,29.95,1992
isl,23.79,1993
isl,27.69,1994
isl,21.38,1995
isl,25.84,1996
isl,26.57,1997
isl,23.88,1998
isl,25.15,1999
isl,26.19,2000
isl,23.77,2001
isl,22.95,2002
ind,1.7,2002
idn,6.3,2002
irn,2.1,2002
irq,6.2,2002
irl,3.12,1950
irl,4.18,1951
irl,4.67,1952
irl,4.7,1953
irl,5.88,1954
irl,5.53,1955
irl,4.74,1956
irl,7.06,1957
irl,5.48,1958
irl,5.12,1959
irl,5.93,1960
irl,5.87,1961
irl,7.74,1962
irl,6.31,1963
irl,6.74,1964
irl,7.76,1965
irl,7.56,1966
irl,8.83,1967
irl,9.73,1968
irl,8.97,1969
irl,10.13,1970
irl,11.44,1971
irl,11.99,1972
irl,11.06,1973
irl,14.31,1974
irl,13.87,1975
irl,13.46,1976
irl,13.26,1977
irl,14.17,1978
irl,15.56,1979
irl,15.0,1980
irl,16.22,1981
irl,16.54,1982
irl,18.44,1983
irl,18.82,1984
irl,17.53,1985
irl,17.75,1986
irl,16.45,1987
irl,19.31,1988
irl,20.01,1989
irl,18.52,1990
irl,16.87,1991
irl,17.94,1992
irl,17.48,1993
irl,18.63,1994
irl,18.5,1995
irl,16.63,1996
irl,16.07,1997
irl,18.47,1998
irl,16.83,1999
irl,18.85,2000
irl,16.42,2001
irl,16.81,2002
isr,7.07,1975
isr,7.84,1976
isr,8.62,1977
isr,8.21,1978
isr,8.18,1979
isr,8.83,1980
isr,8.11,1981
isr,7.68,1982
isr,7.85,1983
isr,7.97,1984
isr,7.73,1985
isr,8.36,1986
isr,8.25,1987
isr,7.75,1988
isr,8.42,1989
isr,8.96,1990
isr,8.12,1991
isr,8.04,1992
isr,9.29,1993
isr,8.94,1994
isr,9.77,1995
isr,7.83,1996
isr,8.79,1997
isr,7.71,1998
isr,8.08,1999
isr,9.51,2000
isr,8.88,2001
isr,9.11,2002
ita,2.57,1951
ita,2.68,1952
ita,2.92,1953
ita,2.97,1954
ita,3.32,1955
ita,3.47,1956
ita,3.43,1957
ita,3.57,1958
ita,3.42,1959
ita,4.01,1960
ita,4.0,1961
ita,3.93,1962
ita,4.22,1963
ita,4.38,1964
ita,4.42,1965
ita,4.73,1966
ita,4.54,1967
ita,4.57,1968
ita,4.71,1969
ita,4.64,1970
ita,4.55,1971
ita,4.92,1972
ita,5.15,1973
ita,5.22,1974
ita,5.37,1975
ita,5.64,1976
ita,5.87,1977
ita,5.64,1978
ita,5.95,1979
ita,6.07,1980
ita,6.26,1981
ita,6.32,1982
ita,6.62,1983
ita,6.81,1984
ita,6.89,1985
ita,7.29,1986
ita,7.19,1987
ita,7.31,1988
ita,7.33,1989
ita,7.27,1990
ita,7.23,1991
ita,7.82,1992
ita,7.68,1993
ita,7.77,1994
ita,7.87,1995
ita,8.0,1996
ita,7.83,1997
ita,8.02,1998
ita,7.91,1999
ita,8.28,2000
ita,8.38,2001
ita,8.75,2002
jam,5.5,2002
jpn,0.95,1950
jpn,1.1,1951
jpn,1.36,1952
jpn,1.41,1953
jpn,1.84,1954
jpn,2.12,1955
jpn,2.52,1956
jpn,2.68,1957
jpn,3.26,1958
jpn,3.33,1959
jpn,3.52,1960
jpn,3.95,1961
jpn,4.13,1962
jpn,4.2,1963
jpn,4.39,1964
jpn,4.66,1965
jpn,4.94,1966
jpn,4.91,1967
jpn,5.0,1968
jpn,5.25,1969
jpn,5.17,1970
jpn,5.19,1971
jpn,5.6,1972
jpn,5.62,1973
jpn,5.62,1974
jpn,5.93,1975
jpn,6.21,1976
jpn,6.37,1977
jpn,6.69,1978
jpn,6.69,1979
jpn,7.07,1980
jpn,7.19,1981
jpn,7.45,1982
jpn,7.49,1983
jpn,7.69,1984
jpn,7.65,1985
jpn,7.73,1986
jpn,7.88,1987
jpn,8.03,1988
jpn,8.12,1989
jpn,7.9,1990
jpn,8.09,1991
jpn,8.34,1992
jpn,8.18,1993
jpn,8.32,1994
jpn,8.42,1995
jpn,8.55,1996
jpn,8.45,1997
jpn,8.56,1998
jpn,8.46,1999
jpn,8.4,2000
jpn,8.3,2001
jpn,8.04,2002
jor,3.2,2002
kaz,7.9,1981
kaz,8.06,1982
kaz,8.5,1985
kaz,8.81,1986
