life_expectancy_at_birth_data_from_ihme,geo,time
74.7,cub,1991
74.8,cub,1992
74.8,cub,1993
74.8,cub,1994
74.9,cub,1995
75.2,cub,1996
75.3,cub,1997
75.4,cub,1998
75.6,cub,1999
75.9,cub,2000
76.2,cub,2001
76.6,cub,2002
76.8,cub,2003
76.9,cub,2004
77.1,cub,2005
77.4,cub,2006
77.6,cub,2007
77.8,cub,2008
77.9,cub,2009
78.0,cub,2010
78.1,cub,2011
78.2,cub,2012
78.3,cub,2013
78.2,cyp,1990
78.3,cyp,1991
78.3,cyp,1992
78.2,cyp,1993
78.1,cyp,1994
78.2,cyp,1995
78.3,cyp,1996
78.4,cyp,1997
78.6,cyp,1998
78.8,cyp,1999
79.1,cyp,2000
79.5,cyp,2001
79.8,cyp,2002
80.0,cyp,2003
80.2,cyp,2004
80.4,cyp,2005
80.7,cyp,2006
80.9,cyp,2007
81.1,cyp,2008
81.4,cyp,2009
81.6,cyp,2010
81.9,cyp,2011
82.0,cyp,2012
82.2,cyp,2013
71.6,cze,1990
71.8,cze,1991
72.3,cze,1992
72.8,cze,1993
73.1,cze,1994
73.5,cze,1995
73.8,cze,1996
74.1,cze,1997
74.5,cze,1998
74.8,cze,1999
75.0,cze,2000
75.2,cze,2001
75.4,cze,2002
75.6,cze,2003
75.9,cze,2004
76.3,cze,2005
76.6,cze,2006
76.8,cze,2007
77.0,cze,2008
77.2,cze,2009
77.4,cze,2010
77.7,cze,2011
78.0,cze,2012
78.2,cze,2013
75.1,dnk,1990
75.3,dnk,1991
75.4,dnk,1992
75.5,dnk,1993
75.5,dnk,1994
75.7,dnk,1995
75.9,dnk,1996
76.2,dnk,1997
76.5,dnk,1998
76.7,dnk,1999
76.9,dnk,2000
77.2,dnk,2001
77.4,dnk,2002
77.6,dnk,2003
77.9,dnk,2004
78.1,dnk,2005
78.3,dnk,2006
78.5,dnk,2007
78.7,dnk,2008
79.0,dnk,2009
79.3,dnk,2010
79.6,dnk,2011
79.8,dnk,2012
79.9,dnk,2013
60.5,dji,1990
60.2,dji,1991
60.0,dji,1992
60.1,dji,1993
59.6,dji,1994
59.7,dji,1995
59.8,dji,1996
59.7,dji,1997
59.6,dji,1998
59.6,dji,1999
59.6,dji,2000
59.7,dji,2001
59.7,dji,2002
59.7,dji,2003
59.7,dji,2004
59.9,dji,2005
60.2,dji,2006
60.6,dji,2007
61.0,dji,2008
61.4,dji,2009
61.8,dji,2010
62.2,dji,2011
62.8,dji,2012
63.4,dji,2013
71.2,dma,1990
71.1,dma,1991
71.2,dma,1992
71.4,dma,1993
71.7,dma,1994
71.8,dma,1995
72.1,dma,1996
72.3,dma,1997
72.6,dma,1998
72.9,dma,1999
73.3,dma,2000
73.5,dma,2001
73.6,dma,2002
73.7,dma,2003
73.9,dma,2004
74.1,dma,2005
74.2,dma,2006
74.4,dma,2007
74.5,dma,2008
74.6,dma,2009
74.4,dma,2010
74.3,dma,2011
74.3,dma,2012
74.4,dma,2013
71.3,dom,1990
71.5,dom,1991
71.8,dom,1992
72.0,dom,1993
72.1,dom,1994
72.2,dom,1995
72.2,dom,1996
72.3,dom,1997
72.3,dom,1998
72.6,dom,1999
72.7,dom,2000
72.7,dom,2001
72.6,dom,2002
72.4,dom,2003
72.0,dom,2004
72.1,dom,2005
72.2,dom,2006
72.2,dom,2007
72.5,dom,2008
72.7,dom,2009
73.1,dom,2010
73.3,dom,2011
73.5,dom,2012
73.6,dom,2013
71.3,ecu,1990
71.6,ecu,1991
71.8,ecu,1992
72.0,ecu,1993
72.2,ecu,1994
72.4,ecu,1995
72.6,ecu,1996
72.7,ecu,1997
72.9,ecu,1998
73.1,ecu,1999
73.2,ecu,2000
73.4,ecu,2001
73.5,ecu,2002
73.6,ecu,2003
73.7,ecu,2004
73.8,ecu,2005
73.8,ecu,2006
73.9,ecu,2007
74.0,ecu,2008
74.1,ecu,2009
74.2,ecu,2010
74.4,ecu,2011
74.6,ecu,2012
74.8,ecu,2013
64.6,egy,1990
65.2,egy,1991
65.8,egy,1992
66.3,egy,1993
66.8,egy,1994
67.2,egy,1995
67.6,egy,1996
68.0,egy,1997
68.3,egy,1998
68.6,egy,1999
68.9,egy,2000
69.1,egy,2001
69.3,egy,2002
69.4,egy,2003
69.6,egy,2004
69.8,egy,2005
70.0,egy,2006
70.1,egy,2007
70.1,egy,2008
70.2,egy,2009
70.3,egy,2010
70.5,egy,2011
70.7,egy,2012
70.9,egy,2013
69.8,slv,1990
70.1,slv,1991
70.2,slv,1992
70.2,slv,1993
70.5,slv,1994
71.2,slv,1995
71.8,slv,1996
71.9,slv,1997
71.9,slv,1998
72.4,slv,1999
72.9,slv,2000
73.2,slv,2001
73.8,slv,2002
73.8,slv,2003
73.6,slv,2004
73.4,slv,2005
73.4,slv,2006
73.7,slv,2007
74.1,slv,2008
74.0,slv,2009
73.8,slv,2010
73.7,slv,2011
73.8,slv,2012
73.9,slv,2013
51.3,gnq,1990
51.1,gnq,1991
51.0,gnq,1992
50.8,gnq,1993
50.4,gnq,1994
50.0,gnq,1995
50.0,gnq,1996
50.6,gnq,1997
51.1,gnq,1998
51.8,gnq,1999
52.4,gnq,2000
53.3,gnq,2001
53.9,gnq,2002
54.4,gnq,2003
55.0,gnq,2004
55.5,gnq,2005
56.1,gnq,2006
56.3,gnq,2007
56.7,gnq,2008
56.9,gnq,2009
57.2,gnq,2010
57.4,gnq,2011
57.9,gnq,2012
58.8,gnq,2013
52.5,eri,1990
53.1,eri,1991
53.9,eri,1992
54.7,eri,1993
55.4,eri,1994
56.0,eri,1995
56.4,eri,1996
56.7,eri,1997
56.8,eri,1998
49.3,eri,1999
49.3,eri,2000
57.7,eri,2001
58.0,eri,2002
58.3,eri,2003
58.7,eri,2004
59.0,eri,2005
59.5,eri,2006
60.0,eri,2007
60.4,eri,2008
60.7,eri,2009
61.0,eri,2010
61.3,eri,2011
61.7,eri,2012
62.1,eri,2013
70.4,est,1990
69.8,est,1991
68.8,est,1992
67.9,est,1993
67.4,est,1994
67.7,est,1995
68.7,est,1996
69.4,est,1997
69.8,est,1998
69.9,est,1999
70.1,est,2000
70.3,est,2001
70.8,est,2002
71.4,est,2003
71.9,est,2004
72.4,est,2005
72.8,est,2006
73.2,est,2007
74.0,est,2008
75.0,est,2009
75.8,est,2010
76.3,est,2011
76.5,est,2012
76.6,est,2013
47.1,eth,1990
48.4,eth,1991
48.9,eth,1992
49.4,eth,1993
50.0,eth,1994
50.7,eth,1995
