geo,patents_in_force_total,time
pan,1403,1988
pan,1438,1989
pan,1473,1990
pan,1519,1991
pan,1548,1992
pan,1578,1993
pan,703,1994
pan,80,1995
pan,389,1996
pan,414,2000
pry,3249,1988
pry,836,1989
pry,780,1990
pry,811,1992
per,4583,1984
per,4132,1985
per,3655,1986
per,3688,1987
per,2873,1988
per,1118,1990
per,892,1991
per,1149,1992
per,1007,1999
per,1183,2000
phl,12810,1984
phl,13240,1985
phl,17700,1990
phl,17040,1991
pol,22860,1984
pol,22100,1985
pol,21200,1986
pol,22290,1988
pol,23850,1989
pol,18730,1993
pol,16290,1994
pol,14790,1995
pol,14480,1996
pol,13700,1997
pol,13590,1998
pol,13610,1999
pol,13850,2000
pol,14360,2001
pol,14320,2002
prt,3955,1984
prt,4690,1985
prt,8152,1986
prt,9486,1987
prt,9295,1988
prt,9823,1989
prt,10380,1990
prt,3731,1991
prt,6205,1992
prt,8629,1993
prt,10320,1994
prt,9476,1995
prt,9175,1996
prt,14240,1997
prt,22220,1999
prt,22570,2000
prt,23270,2001
prt,29120,2002
rou,108,1985
rou,22510,1986
rou,23630,1987
rou,26760,1988
rou,28030,1989
rou,26250,1990
rou,23820,1991
rou,22900,1992
rou,22630,1993
rou,21610,1994
rou,23180,1995
rou,22690,1996
rou,20380,1997
rou,20100,1998
rou,18420,1999
rou,15570,2000
rou,13200,2001
rou,11550,2002
rus,22780,1992
rus,44320,1993
rus,60320,1994
rus,76190,1995
rus,109500,1996
rus,155200,1997
rus,173100,1998
rus,191100,1999
rus,144300,2000
rus,149700,2001
rus,102600,2002
rwa,96,1984
rwa,113,1985
rwa,114,1986
rwa,116,1987
rwa,122,1988
rwa,123,1989
rwa,81,1990
rwa,82,1991
rwa,69,1992
rwa,55,1994
rwa,47,1999
lca,73,1984
lca,45,1990
lca,25,1996
lca,69,2001
wsm,17,1985
wsm,41,1996
sau,5,1996
sau,6,1997
sau,8,1998
sau,22,1999
sau,28,2000
sau,38,2001
sau,63,2002
scg,5143,1992
scg,4418,1993
scg,4545,1994
scg,4114,1995
scg,3290,1996
scg,2687,1997
scg,2059,1998
scg,2238,1999
scg,2242,2000
scg,2203,2001
scg,1288,2002
syc,48,1984
syc,50,1985
syc,50,1986
syc,50,1988
syc,50,1989
sle,213,1984
sle,206,1995
sgp,36930,2002
svk,12890,1993
svk,2594,1994
svk,2248,1995
svk,2019,1996
svk,2252,1997
svk,2436,1998
svk,3567,2001
svk,3666,2002
svn,412,1993
svn,905,1994
svn,1492,1995
svn,1614,1996
svn,2518,1997
svn,2905,1998
svn,3218,1999
svn,3407,2000
svn,3673,2001
svn,4371,2002
slb,97,1985
slb,101,1986
slb,107,1987
slb,109,1988
slb,101,1989
som,231,1984
zaf,25240,1985
zaf,18920,1987
zaf,17730,1988
esp,75090,1986
esp,106500,1992
esp,17360,1993
esp,18460,1994
esp,95740,1995
esp,153800,1996
esp,197800,1997
esp,178800,1999
esp,142200,2000
esp,101300,2001
esp,157500,2002
lka,734,1984
lka,716,1985
lka,716,1986
lka,656,1987
lka,675,1988
lka,743,1989
lka,666,1990
lka,770,1991
lka,828,1992
lka,954,1993
lka,1499,1994
lka,1508,1995
lka,1713,1996
lka,1873,1997
swz,311,1984
swz,341,1985
swe,55440,1984
swe,61190,1985
swe,66960,1986
swe,71060,1987
swe,75990,1988
swe,37510,1989
swe,84930,1990
swe,53330,1991
swe,88240,1992
swe,89760,1993
swe,91680,1994
swe,93380,1995
swe,95160,1996
swe,96810,1997
swe,97440,1998
swe,97980,1999
swe,97340,2000
swe,98830,2002
che,79140,1984
che,82260,1985
che,86820,1986
che,88930,1987
che,92160,1988
che,95920,1989
che,99290,1990
che,101300,1991
che,102400,1992
che,103800,1993
che,105400,1994
che,99200,1995
che,94640,1997
che,87530,1998
che,87030,1999
che,87010,2000
che,84330,2001
che,83970,2002
tjk,27,1994
tjk,70,1995
tjk,115,1996
tjk,181,1997
tjk,177,1998
tjk,222,1999
tjk,281,2000
tjk,1359,2002
tha,42,1984
tha,86,1985
tha,141,1986
tha,175,1987
tha,237,1988
tha,393,1989
tha,655,1992
tha,352,2000
mkd,236,1994
mkd,257,1995
mkd,352,1996
mkd,431,1997
mkd,360,1998
mkd,378,1999
mkd,434,2000
mkd,377,2001
mkd,349,2002
tto,555,1988
tto,873,1992
tto,964,1993
tto,1174,1994
tto,1142,1995
tto,1261,1996
tun,4411,1989
tun,4461,1990
tun,4090,1991
tun,1788,1993
tun,1866,1995
tun,2040,1996
tur,6023,1984
tur,6408,1985
tur,6691,1986
tur,6410,1987
tur,6022,1988
tur,6257,1989
tur,6281,1990
tur,6351,1991
tur,6369,1992
tur,7419,1994
tur,8148,1995
tur,7798,1996
tur,11950,1997
tur,12790,1998
tur,21180,1999
tur,22040,2000
tur,19720,2001
tur,28080,2002
uga,28,1984
uga,1553,1985
uga,1592,1987
uga,1606,1988
uga,1645,1989
uga,1675,1990
uga,1679,1991
ukr,226,1992
ukr,2168,1993
ukr,6693,1994
ukr,7396,1995
ukr,11990,1996
ukr,18820,1997
ukr,19590,1998
ukr,16270,1999
ukr,15000,2000
ukr,22740,2001
ussr,10040,1984
ussr,10280,1985
ussr,10140,1986
ussr,9794,1987
ussr,9608,1988
ussr,9437,1989
ussr,9369,1990
ussr,6956,1991
gbr,222600,1984
gbr,312800,2000
gbr,324600,2001
gbr,326100,2002
tza,2406,1985
tza,2074,1988
usa,1192000,1984
usa,1139000,1985
usa,1140000,1986
usa,1152000,1987
usa,1141000,1988
usa,1151000,1989
usa,1154000,1990
usa,1161000,1992
usa,1131000,1993
usa,1130000,1994
usa,1110000,1995
usa,1128000,1996
usa,1113000,1997
usa,1173000,1998
usa,1243000,1999
usa,1295000,2000
usa,1388000,2001
usa,1474000,2002
ury,1604,1984
ury,2672,1985
ury,2315,1986
ury,2227,1987
ury,2316,1988
ury,2040,1989
ury,1325,1996
ury,367,1997
ury,386,1998
ury,356,1999
ury,396,2000
ury,553,2002
uzb,17,1993
uzb,421,1996
uzb,1644,1997
uzb,727,1999
uzb,2586,2000
uzb,2482,2001
uzb,881,2002
ven,11000,1985
vnm,23,1985
vnm,23,1986
vnm,49,1988
vnm,82,1989
vnm,95,1990
vnm,117,1991
vnm,68,1992
vnm,83,1993
vnm,102,1994
vnm,248,1995
vnm,225,1996
vnm,363,1997
yug,5980,1986
yug,4473,1987
yug,5488,1988
yug,4532,1989
yug,7498,1990
yug,10900,1991
zmb,559,1985
zmb,617,1986
zmb,688,1987
zmb,745,1988
zmb,857,1989
zmb,903,1990
zmb,878,1991
zmb,892,1992
zmb,925,1993
zmb,1068,1995
zmb,1297,1996
zmb,1346,1999
zmb,1364,2001
zwe,2503,1984
zwe,2538,1985
zwe,2594,1986
zwe,2529,1987
zwe,2423,1988
zwe,794,1989
zwe,1549,1991
zwe,1616,1992
zwe,1494,1993
zwe,1656,1996
zwe,419,2001
