geo,colonandrectum_cancer_deaths_per_100000_women,time
jpn,6.22,1963
jpn,6.28,1964
jpn,6.62,1965
jpn,6.82,1966
jpn,6.94,1967
jpn,7.15,1968
jpn,7.4,1969
jpn,7.14,1970
jpn,7.58,1971
jpn,7.56,1972
jpn,8.02,1973
jpn,8.2,1974
jpn,8.16,1975
jpn,8.22,1976
jpn,8.25,1977
jpn,8.66,1978
jpn,8.61,1979
jpn,8.57,1980
jpn,8.89,1981
jpn,8.89,1982
jpn,9.01,1983
jpn,9.15,1984
jpn,9.09,1985
jpn,9.17,1986
jpn,9.16,1987
jpn,9.55,1988
jpn,9.72,1989
jpn,9.69,1990
jpn,9.77,1991
jpn,9.9,1992
jpn,9.76,1993
jpn,9.68,1994
jpn,9.86,1995
jpn,9.88,1996
jpn,9.84,1997
jpn,9.74,1998
jpn,9.72,1999
jpn,9.52,2000
jpn,9.49,2001
jpn,9.35,2002
jor,5.9,2002
kaz,7.82,1981
kaz,7.33,1982
kaz,8.64,1985
kaz,8.79,1986
kaz,8.06,1987
kaz,8.4,1988
kaz,7.91,1989
kaz,9.48,1990
kaz,9.23,1991
kaz,9.04,1992
kaz,9.19,1993
kaz,8.86,1994
kaz,8.79,1995
kaz,8.77,1996
kaz,9.35,1997
kaz,9.2,1998
kaz,9.22,1999
kaz,9.27,2000
kaz,8.52,2001
kaz,8.49,2002
ken,3.6,2002
prk,6.7,2002
kor,2.41,1985
kor,2.43,1986
kor,2.53,1987
kor,2.74,1988
kor,3.14,1989
kor,3.79,1990
kor,3.87,1991
kor,3.95,1992
kor,4.8,1993
kor,5.28,1994
kor,5.41,1995
kor,5.67,1996
kor,5.75,1997
kor,5.79,1998
kor,6.1,1999
kor,6.79,2000
kor,6.8,2001
kor,7.19,2002
kwt,2.93,1976
kwt,2.42,1977
kwt,1.78,1978
kwt,2.26,1979
kwt,2.21,1980
kwt,4.61,1981
kwt,3.18,1982
kwt,2.93,1983
kwt,4.01,1984
kwt,4.57,1985
kwt,6.56,1986
kwt,7.14,1987
kwt,2.91,1993
kwt,6.23,1994
kwt,5.24,1995
kwt,2.71,1996
kwt,3.96,1997
kwt,8.22,1998
kwt,1.82,1999
kwt,6.66,2000
kwt,5.15,2001
kwt,5.63,2002
kgz,4.82,1981
kgz,6.15,1982
kgz,5.59,1985
kgz,6.92,1986
kgz,5.53,1987
kgz,5.87,1988
kgz,7.28,1989
kgz,6.16,1990
kgz,6.87,1991
kgz,6.45,1992
kgz,6.6,1993
kgz,4.27,1994
kgz,4.01,1995
kgz,5.08,1996
kgz,4.96,1997
kgz,4.95,1998
kgz,4.92,1999
kgz,4.99,2000
kgz,4.89,2001
kgz,6.05,2002
lao,3.0,2002
lva,10.47,1980
lva,8.85,1981
lva,10.78,1982
lva,10.37,1983
lva,11.1,1984
lva,12.26,1985
lva,10.92,1986
lva,11.24,1987
lva,11.99,1988
lva,12.02,1989
lva,12.8,1990
lva,10.88,1991
lva,12.99,1992
lva,10.17,1993
lva,12.26,1994
lva,11.41,1995
lva,12.53,1996
lva,12.98,1997
lva,12.27,1998
lva,11.12,1999
lva,10.8,2000
lva,10.96,2001
lva,11.04,2002
lbn,2.6,2002
lso,2.3,2002
lbr,3.5,2002
lby,3.4,2002
ltu,9.41,1981
ltu,8.88,1982
ltu,10.17,1985
ltu,9.97,1986
ltu,9.52,1987
ltu,10.19,1988
ltu,10.66,1989
ltu,10.44,1990
ltu,11.34,1991
ltu,11.14,1992
ltu,11.57,1993
ltu,12.35,1994
ltu,11.64,1995
ltu,11.21,1996
ltu,10.21,1997
ltu,11.32,1998
ltu,10.87,1999
ltu,10.01,2000
ltu,10.72,2001
ltu,11.15,2002
lux,13.69,1979
lux,17.08,1980
lux,19.43,1981
lux,16.22,1982
lux,16.11,1983
lux,15.91,1984
lux,15.99,1985
lux,13.99,1986
lux,16.09,1987
lux,12.93,1988
lux,13.65,1989
lux,12.05,1990
lux,11.31,1991
lux,15.93,1992
lux,13.02,1993
lux,14.14,1994
lux,11.33,1995
lux,10.01,1996
lux,13.88,1997
lux,11.37,1998
lux,10.83,1999
lux,9.85,2000
lux,10.41,2001
lux,9.73,2002
mkd,6.55,1991
mkd,7.57,1992
mkd,6.83,1993
mkd,6.74,1994
mkd,6.9,1995
mkd,7.67,1996
mkd,8.55,1997
mkd,7.65,1998
mkd,7.21,1999
mkd,9.55,2000
mkd,8.49,2001
mkd,7.26,2002
mdg,3.8,2002
mwi,2.2,2002
mys,10.1,2002
mli,4.3,2002
mlt,12.06,1978
mlt,9.98,1979
mlt,9.73,1980
mlt,13.72,1981
mlt,12.25,1982
mlt,12.51,1983
mlt,9.35,1984
mlt,12.1,1985
mlt,9.73,1986
mlt,8.8,1987
mlt,5.9,1988
mlt,11.36,1989
mlt,13.32,1990
mlt,8.36,1991
mlt,11.98,1992
mlt,11.13,1993
mlt,11.3,1994
mlt,11.54,1995
mlt,10.49,1996
mlt,9.83,1997
mlt,8.43,1998
mlt,12.08,1999
mlt,11.35,2000
mlt,9.06,2001
mlt,11.22,2002
mrt,3.3,2002
mus,6.58,1969
mus,5.27,1970
mus,5.42,1971
mus,5.13,1972
mus,5.06,1973
mus,5.7,1974
mus,9.25,1975
mus,5.85,1976
mus,5.07,1977
mus,4.57,1978
mus,3.07,1979
mus,5.69,1980
mus,1.43,1981
mus,4.64,1982
mus,5.11,1983
mus,2.18,1984
mus,3.37,1985
mus,4.25,1986
mus,3.81,1987
mus,4.09,1988
mus,1.95,1989
mus,5.02,1990
mus,4.67,1991
mus,5.58,1992
mus,2.58,1993
mus,3.77,1994
mus,3.68,1995
mus,3.8,1996
mus,3.66,1997
mus,3.36,1998
mus,4.33,1999
mus,3.71,2000
mus,3.83,2001
mus,4.47,2002
mex,2.93,1966
mex,3.27,1967
mex,3.2,1971
mex,3.23,1972
mex,2.76,1973
mex,2.83,1974
mex,2.31,1979
mex,2.27,1980
mex,2.41,1981
mex,2.43,1982
mex,2.54,1983
mex,2.39,1984
mex,2.94,1985
mex,2.98,1986
mex,2.68,1987
mex,2.95,1988
mex,2.88,1989
mex,2.79,1990
mex,2.66,1991
mex,2.96,1992
mex,3.1,1993
mex,3.21,1994
mex,2.93,1995
mex,2.97,1996
mex,3.17,1997
mex,3.11,1998
mex,3.23,1999
mex,3.13,2000
mex,3.23,2001
mex,3.1,2002
mda,8.88,1981
mda,9.4,1982
mda,9.46,1985
mda,10.3,1986
mda,10.91,1987
mda,10.35,1988
mda,10.95,1989
mda,9.55,1990
mda,10.28,1991
mda,10.13,1992
mda,9.72,1993
mda,11.64,1994
mda,10.19,1995
mda,9.57,1996
mda,6.57,1997
mda,8.46,1998
mda,8.14,1999
mda,8.97,2000
mda,7.69,2001
mda,8.76,2002
mng,2.5,2002
mar,5.1,2002
moz,1.2,2002
mmr,2.1,2002
nam,2.9,2002
npl,2.1,2002
nld,15.24,1955
nld,15.9,1956
nld,15.76,1957
nld,15.29,1958
nld,15.77,1959
nld,16.27,1960
nld,15.22,1961
nld,16.23,1962
nld,16.59,1963
nld,16.16,1964
nld,15.72,1965
nld,16.72,1966
nld,16.32,1967
nld,16.83,1968
nld,16.63,1969
nld,16.46,1970
nld,15.67,1971
nld,16.0,1972
nld,15.63,1973
nld,15.06,1974
nld,15.77,1975
nld,15.02,1976
nld,14.99,1977
nld,14.84,1978
nld,15.64,1979
nld,14.73,1980
nld,14.84,1981
nld,13.92,1982
nld,14.44,1983
nld,14.03,1984
nld,14.28,1985
nld,13.59,1986
nld,14.33,1987
nld,13.37,1988
nld,13.28,1989
nld,13.15,1990
nld,12.7,1991
nld,12.65,1992
nld,13.12,1993
nld,12.45,1994
nld,13.05,1995
nld,12.41,1996
nld,11.85,1997
nld,12.13,1998
nld,12.08,1999
nld,11.47,2000
nld,11.73,2001
nld,11.66,2002
nzl,19.98,1955
nzl,19.18,1956
nzl,20.0,1957
nzl,20.56,1958
nzl,18.32,1959
nzl,16.92,1960
nzl,19.71,1961
nzl,20.69,1962
nzl,19.39,1963
nzl,19.09,1964
nzl,19.4,1965
nzl,19.93,1966
nzl,19.68,1967
nzl,18.8,1968
nzl,20.98,1969
nzl,18.53,1970
nzl,18.73,1971
nzl,21.11,1972
nzl,20.61,1973
nzl,23.86,1974
nzl,22.7,1975
nzl,23.84,1976
nzl,22.47,1977
nzl,22.21,1978
nzl,21.12,1979
nzl,19.79,1980
nzl,21.55,1981
nzl,21.49,1982
nzl,21.55,1983
nzl,19.11,1984
nzl,19.46,1985
nzl,21.7,1986
