geo,fixed_line_and_mobile_phone_subscribers_per_100_people,time
pri,32.14,1992
pri,32.83,1993
pri,35.73,1994
pri,40.3,1995
pri,42.71,1996
pri,43.48,1997
pri,48.97,1998
pri,55.66,1999
pri,58.33,2000
pri,62.96,2001
pri,79.71,2002
pri,79.24,2003
pri,97.4,2004
pri,112.3,2005
qat,7.186,1975
qat,7.891,1976
qat,8.986,1977
qat,9.049,1978
qat,10.35,1979
qat,13.34,1980
qat,16.4,1981
qat,20.51,1990
qat,20.92,1991
qat,22.25,1992
qat,22.75,1993
qat,24.76,1994
qat,26.85,1995
qat,30.13,1996
qat,33.54,1997
qat,37.98,1998
qat,40.53,1999
qat,45.57,2000
qat,53.2,2001
qat,64.51,2002
qat,77.19,2003
qat,89.13,2004
qat,115.8,2005
qat,139.8,2006
rou,4.034,1975
rou,4.588,1976
rou,5.231,1977
rou,5.948,1978
rou,6.713,1979
rou,7.288,1980
rou,7.605,1981
rou,7.785,1982
rou,7.981,1983
rou,8.398,1984
rou,8.638,1985
rou,9.127,1986
rou,9.465,1987
rou,9.787,1988
rou,10.1,1989
rou,10.19,1990
rou,10.55,1991
rou,11.3,1992
rou,11.45,1993
rou,12.35,1994
rou,13.13,1995
rou,14.12,1996
rou,15.96,1997
rou,18.85,1998
rou,22.69,1999
rou,28.51,2000
rou,35.97,2001
rou,42.77,2002
rou,52.3,2003
rou,67.35,2004
rou,82.0,2005
rou,100.1,2006
rus,4.396,1975
rus,4.81,1976
rus,5.658,1977
rus,6.129,1978
rus,6.665,1979
rus,6.978,1980
rus,7.882,1981
rus,8.401,1982
rus,8.958,1983
rus,9.534,1984
rus,10.15,1985
rus,10.81,1986
rus,11.51,1987
rus,12.26,1988
rus,13.07,1989
rus,13.96,1990
rus,15.0,1991
rus,15.37,1992
rus,15.81,1993
rus,16.26,1994
rus,16.95,1995
rus,17.69,1996
rus,19.51,1997
rus,20.42,1998
rus,22.09,1999
rus,24.15,2000
rus,28.11,2001
rus,36.55,2002
rus,49.96,2003
rus,78.01,2004
rus,111.8,2005
rwa,0.0522,1975
rwa,0.0505,1976
rwa,0.0531,1977
rwa,0.0555,1978
rwa,0.0557,1979
rwa,0.0635,1980
rwa,0.0623,1981
rwa,0.073,1982
rwa,0.0819,1983
rwa,0.0831,1984
rwa,0.0842,1985
rwa,0.0845,1986
rwa,0.0966,1987
rwa,0.1149,1988
rwa,0.1262,1989
rwa,0.1423,1990
rwa,0.1603,1991
rwa,0.1781,1992
rwa,0.1801,1993
rwa,0.1742,1994
rwa,0.1223,1995
rwa,0.1747,1996
rwa,0.1826,1997
rwa,0.2256,1998
rwa,0.3088,1999
rwa,0.6919,2000
rwa,1.014,2001
rwa,1.227,2002
rwa,1.754,2003
rwa,1.77,2004
rwa,2.617,2005
rwa,3.494,2006
wsm,2.233,1981
wsm,2.278,1982
wsm,2.306,1983
wsm,2.333,1984
wsm,2.358,1985
wsm,2.38,1986
wsm,2.4,1987
wsm,2.481,1988
wsm,2.496,1989
wsm,2.541,1990
wsm,2.564,1991
wsm,3.969,1992
wsm,4.3,1993
wsm,4.441,1994
wsm,4.636,1995
wsm,4.852,1996
wsm,5.36,1997
wsm,5.727,1998
wsm,6.219,1999
wsm,6.209,2000
wsm,6.802,2001
wsm,8.04,2002
wsm,13.12,2003
wsm,17.75,2004
wsm,23.66,2005
smr,135.1,2004
smr,134.7,2005
smr,134.2,2006
stp,0.6088,1975
stp,0.5921,1976
stp,0.6894,1977
stp,0.6686,1978
stp,0.8251,1981
stp,1.241,1982
stp,1.552,1983
stp,1.732,1984
stp,1.804,1985
stp,1.887,1986
stp,1.951,1987
stp,2.017,1988
stp,1.936,1989
stp,1.895,1990
stp,1.871,1991
stp,1.952,1992
stp,1.936,1993
stp,1.959,1994
stp,1.953,1995
stp,1.992,1996
stp,3.239,1997
stp,3.177,1998
stp,3.288,1999
stp,3.293,2000
stp,3.815,2001
stp,5.752,2002
stp,7.987,2003
stp,9.856,2004
stp,12.49,2005
stp,16.77,2006
sau,7.625,1990
sau,8.893,1991
sau,9.347,1992
sau,9.316,1993
sau,9.385,1994
sau,9.376,1995
sau,10.47,1996
sau,11.36,1997
sau,14.03,1998
sau,17.54,1999
sau,21.01,2000
sau,27.28,2001
sau,39.02,2002
sau,48.7,2003
sau,57.13,2004
sau,77.89,2005
sau,99.72,2006
sen,0.282,1975
sen,0.2831,1976
sen,0.2819,1977
sen,0.2805,1978
sen,0.303,1979
sen,0.3066,1980
sen,0.3129,1981
sen,0.3125,1982
sen,0.3101,1983
sen,0.3197,1984
sen,0.3261,1985
sen,0.3542,1986
sen,0.3795,1987
sen,0.3887,1988
sen,0.4716,1989
sen,0.5614,1990
sen,0.5967,1991
sen,0.6957,1992
sen,0.7442,1993
sen,0.8189,1994
sen,0.9069,1995
sen,1.038,1996
sen,1.287,1997
sen,1.704,1998
sen,2.521,1999
sen,4.414,2000
sen,5.08,2001
sen,7.144,2002
sen,9.046,2003
sen,11.91,2004
sen,16.96,2005
sen,27.05,2006
srb,22.29,1990
srb,23.47,1991
srb,24.49,1992
srb,24.97,1993
srb,25.47,1994
srb,26.06,1995
srb,27.19,1996
srb,29.66,1997
srb,33.82,1998
srb,38.28,1999
srb,49.36,2000
srb,59.2,2001
srb,69.91,2002
srb,83.5,2003
srb,99.36,2004
syc,2.483,1975
syc,2.817,1976
syc,3.66,1977
syc,3.939,1978
syc,4.482,1979
syc,5.435,1980
syc,5.374,1981
syc,6.136,1982
syc,6.799,1983
syc,8.359,1984
syc,8.743,1985
syc,9.9,1986
syc,9.948,1987
syc,10.49,1988
syc,10.97,1989
syc,12.4,1990
syc,13.21,1991
syc,14.05,1992
syc,15.0,1993
syc,16.38,1994
syc,17.48,1995
syc,21.93,1996
syc,25.98,1997
syc,30.36,1998
syc,44.71,1999
syc,57.42,2000
syc,71.34,2001
syc,78.83,2002
syc,85.05,2003
syc,91.68,2004
syc,96.76,2005
syc,107.6,2006
sle,0.3539,1980
sle,0.3489,1981
sle,0.359,1982
sle,0.3709,1983
sle,0.4192,1984
sle,0.3543,1985
sle,0.4098,1986
sle,0.3328,1987
sle,0.3229,1988
sle,0.3201,1989
sle,0.3249,1990
sle,0.3288,1991
sle,0.3346,1992
sle,0.3502,1993
sle,0.3815,1994
sle,0.4014,1995
sle,0.412,1996
sle,0.4123,1997
sle,0.4064,1998
sle,0.4159,1999
sle,0.6839,2000
sle,1.055,2001
sle,1.848,2002
sgp,9.297,1975
sgp,11.66,1976
sgp,14.62,1977
sgp,17.65,1978
sgp,20.13,1979
sgp,22.23,1980
sgp,23.28,1981
sgp,24.29,1982
sgp,25.87,1983
sgp,33.36,1988
sgp,34.95,1989
sgp,36.29,1990
sgp,37.73,1991
sgp,39.9,1992
sgp,42.99,1993
sgp,45.84,1994
sgp,49.22,1995
sgp,54.31,1996
sgp,66.74,1997
sgp,73.15,1998
sgp,88.6,1999
sgp,116.5,2000
sgp,119.4,2001
sgp,125.5,2002
sgp,130.6,2003
sgp,138.0,2004
sgp,143.5,2005
sgp,148.1,2006
svk,8.082,1975
svk,8.412,1976
svk,8.747,1977
svk,9.075,1978
svk,9.303,1979
svk,9.429,1980
svk,9.487,1981
svk,9.616,1982
svk,9.825,1983
svk,10.12,1984
svk,10.39,1985
svk,10.77,1986
svk,11.31,1987
svk,11.93,1988
svk,12.63,1989
svk,13.46,1990
svk,14.37,1991
svk,15.5,1992
svk,16.83,1993
svk,18.88,1994
svk,21.08,1995
svk,23.73,1996
svk,29.57,1997
svk,37.19,1998
svk,42.99,1999
svk,54.59,2000
svk,68.85,2001
svk,80.42,2002
svk,92.45,2003
svk,102.7,2004
svk,106.5,2005
svk,112.4,2006
svn,14.52,1985
svn,21.11,1990
svn,22.94,1991
svn,24.93,1992
svn,27.17,1993
svn,29.84,1994
svn,32.27,1995
svn,35.39,1996
svn,40.47,1997
svn,44.63,1998
svn,69.96,1999
svn,100.6,2000
svn,114.1,2001
svn,124.1,2002
svn,127.8,2003
svn,133.2,2004
svn,128.7,2005
svn,132.4,2006
slb,0.6105,1982
slb,0.6681,1983
slb,0.7598,1984
slb,0.8219,1985
slb,0.8859,1986
slb,0.9647,1987
slb,1.079,1988
slb,1.23,1989
slb,1.491,1990
slb,1.503,1991
slb,1.549,1992
slb,1.598,1993
slb,1.753,1994
slb,1.861,1995
slb,2.028,1996
slb,2.183,1997
slb,2.188,1998
slb,2.281,1999
slb,2.128,2000
slb,1.959,2001
slb,1.735,2002
slb,1.624,2003
slb,2.162,2004
slb,2.838,2005
som,0.1202,1981
som,0.1198,1982
som,0.1212,1983
som,0.1229,1984
som,0.1237,1985
som,0.231,1986
som,0.2284,1987
som,0.2253,1988
som,0.2233,1989
som,0.2233,1990
som,0.2258,1991
som,0.2302,1992
som,0.2353,1993
som,0.2392,1994
som,0.2403,1995
som,0.2381,1996
som,0.2332,1997
som,0.3473,1998
som,0.351,1999
som,1.488,2000
som,1.65,2001
som,1.801,2002
som,3.886,2003
som,7.543,2004
som,7.32,2005
zaf,4.675,1975
zaf,4.864,1976
zaf,5.076,1977
zaf,5.304,1978
zaf,5.597,1979
zaf,5.918,1980
zaf,6.33,1981
zaf,6.684,1982
zaf,6.97,1983
zaf,7.058,1984
zaf,7.339,1985
zaf,7.885,1986
zaf,8.103,1987
zaf,8.497,1988
zaf,8.942,1989
zaf,9.434,1990
zaf,9.579,1991
zaf,9.459,1992
zaf,9.697,1993
zaf,10.75,1994
zaf,11.6,1995
zaf,13.03,1996
zaf,15.84,1997
zaf,20.08,1998
zaf,24.88,1999
zaf,30.23,2000
zaf,35.06,2001
zaf,40.99,2002
zaf,47.34,2003
zaf,55.43,2004
zaf,82.51,2005
esp,13.23,1975
esp,14.24,1976
esp,15.62,1977
esp,16.82,1978
esp,18.05,1979
esp,19.34,1980
esp,20.28,1981
esp,21.13,1982
esp,25.41,1986
esp,26.52,1987
esp,28.39,1988
esp,30.51,1989
esp,32.59,1990
esp,34.34,1991
esp,35.76,1992
esp,37.03,1993
esp,38.42,1994
esp,40.72,1995
esp,46.63,1996
esp,51.01,1997
esp,57.21,1998
esp,78.86,1999
esp,102.7,2000
esp,115.9,2001
esp,123.9,2002
esp,130.9,2003
esp,132.5,2004
esp,139.9,2005
esp,146.3,2006
lka,0.3148,1975
lka,0.3175,1976
lka,0.3201,1977
lka,0.3221,1978
lka,0.3607,1979
lka,0.3676,1980
lka,0.4398,1981
lka,0.4632,1982
lka,0.4767,1983
lka,0.5177,1984
lka,0.5535,1985
lka,0.5709,1986
lka,0.5945,1987
lka,0.6237,1988
lka,0.6269,1989
lka,0.7193,1990
lka,0.7392,1991
lka,0.7928,1992
lka,0.9773,1993
lka,1.173,1994
lka,1.41,1995
lka,1.778,1996
lka,2.459,1997
lka,3.716,1998
lka,4.861,1999
lka,6.186,2000
lka,7.98,2001
lka,9.547,2002
lka,12.11,2003
lka,16.45,2004
lka,23.42,2005
lka,36.69,2006
kna,4.922,1983
kna,5.382,1984
kna,6.901,1985
kna,10.14,1986
kna,12.41,1987
kna,16.68,1988
kna,19.27,1989
kna,23.11,1990
kna,39.01,1996
kna,42.68,1997
kna,46.87,1998
kna,49.12,1999
kna,52.18,2000
kna,53.35,2001
kna,61.01,2002
kna,74.49,2004
lca,3.321,1975
lca,3.37,1976
lca,3.504,1977
lca,3.727,1978
lca,4.032,1979
lca,4.156,1980
lca,4.259,1981
lca,4.148,1982
lca,4.129,1983
lca,5.417,1984
lca,6.061,1985
lca,6.48,1986
lca,6.928,1987
lca,8.373,1988
lca,9.471,1989
lca,12.68,1990
lca,17.9,1994
lca,21.71,1995
lca,23.92,1996
lca,25.79,1997
lca,27.82,1998
lca,30.43,1999
lca,32.95,2000
lca,33.35,2001
lca,41.12,2002
vct,3.316,1975
vct,3.447,1976
vct,3.565,1977
vct,3.601,1978
vct,3.567,1979
vct,3.536,1980
vct,3.676,1981
vct,3.735,1982
vct,3.798,1983
vct,3.809,1984
vct,5.195,1985
vct,5.699,1986
vct,6.585,1987
vct,7.45,1988
vct,8.324,1989
vct,12.0,1990
vct,14.13,1992
vct,14.83,1993
vct,15.42,1994
vct,16.33,1995
vct,17.28,1996
vct,18.25,1997
vct,18.99,1998
vct,21.72,1999
vct,23.52,2000
vct,28.8,2001
vct,31.83,2002
vct,71.36,2003
vct,76.82,2004
vct,78.17,2005
vct,92.07,2006
sdn,0.2521,1975
sdn,0.2497,1976
sdn,0.2438,1977
sdn,0.2389,1978
sdn,0.233,1979
sdn,0.2309,1980
sdn,0.2259,1981
sdn,0.2298,1982
sdn,0.2388,1983
sdn,0.2454,1984
sdn,0.25,1985
sdn,0.2458,1986
sdn,0.2425,1987
sdn,0.2382,1988
sdn,0.2369,1989
sdn,0.2391,1990
sdn,0.2392,1991
sdn,0.2347,1992
sdn,0.2286,1993
sdn,0.2227,1994
sdn,0.2543,1995
sdn,0.3344,1996
sdn,0.3748,1997
sdn,0.5367,1998
sdn,0.8111,1999
sdn,1.229,2000
sdn,1.62,2001
sdn,2.482,2002
sdn,4.131,2003
sdn,5.748,2004
sdn,6.499,2005
sdn,14.11,2006
sur,2.879,1975
sur,3.05,1976
sur,3.448,1977
sur,3.735,1978
sur,4.034,1979
sur,4.268,1980
sur,4.5,1981
sur,4.54,1982
sur,5.692,1983
sur,6.845,1984
sur,7.211,1985
sur,7.702,1986
sur,7.898,1987
sur,8.093,1988
sur,8.489,1989
sur,9.115,1990
sur,10.0,1991
sur,10.68,1992
sur,11.78,1993
sur,12.6,1994
sur,13.43,1995
sur,14.12,1996
sur,15.61,1997
sur,17.13,1998
sur,20.43,1999
sur,26.66,2000
sur,37.35,2001
sur,42.18,2002
sur,55.61,2003
sur,65.51,2004
sur,69.36,2005
sur,88.19,2006
swz,0.6967,1975
swz,0.7136,1976
swz,0.7009,1977
swz,0.7354,1978
swz,0.8403,1979
swz,0.9221,1980
swz,1.036,1981
swz,1.154,1982
swz,1.199,1983
swz,1.236,1984
swz,1.259,1985
swz,1.389,1986
swz,1.4,1987
swz,1.631,1988
swz,1.675,1989
swz,1.766,1990
swz,1.806,1991
swz,1.851,1992
swz,1.932,1993
swz,2.085,1994
swz,2.348,1995
