aid_received_total_us_inflation_adjusted,geo,time
419800000,col,1974
294100000,col,1975
259000000,col,1976
156900000,col,1977
195400000,col,1978
134100000,col,1979
206700000,col,1980
257200000,col,1981
257600000,col,1982
236800000,col,1983
253800000,col,1984
187000000,col,1985
149300000,col,1986
145000000,col,1987
112000000,col,1988
122900000,col,1989
135400000,col,1990
169000000,col,1991
321500000,col,1992
129200000,col,1993
105600000,col,1994
214500000,col,1995
239900000,col,1996
277700000,col,1997
238900000,col,1998
411200000,col,1999
269800000,col,2000
529000000,col,2001
585700000,col,2002
967000000,col,2003
599300000,col,2004
699500000,col,2005
1095000000,col,2006
745600000,col,2007
965400000,col,2008
1062000000,col,2009
901100000,col,2010
46470000,com,1966
71800000,com,1967
57850000,com,1968
44380000,com,1969
55770000,com,1970
58350000,com,1971
57920000,com,1972
82610000,com,1973
123300000,com,1974
78910000,com,1975
90760000,com,1976
42890000,com,1977
40950000,com,1978
50190000,com,1979
99690000,com,1980
116400000,com,1981
99500000,com,1982
99330000,com,1983
118600000,com,1984
129700000,com,1985
99680000,com,1986
98990000,com,1987
90040000,com,1988
78420000,com,1989
68660000,com,1990
96180000,com,1991
67380000,com,1992
69670000,com,1993
54460000,com,1994
51350000,com,1995
50110000,com,1996
42470000,com,1997
57320000,com,1998
31650000,com,1999
31150000,com,2000
44780000,com,2001
42320000,com,2002
31990000,com,2003
31040000,com,2004
26480000,com,2005
35870000,com,2006
45590000,com,2007
39350000,com,2008
49280000,com,2009
67220000,com,2010
814800000,cod,1960
835100000,cod,1961
924400000,cod,1962
923000000,cod,1963
999600000,cod,1964
1100000000,cod,1965
687300000,cod,1966
673700000,cod,1967
551800000,cod,1968
602000000,cod,1969
616500000,cod,1970
688900000,cod,1971
688300000,cod,1972
670400000,cod,1973
769300000,cod,1974
941900000,cod,1975
690800000,cod,1976
836900000,cod,1977
863200000,cod,1978
1016000000,cod,1979
983300000,cod,1980
1001000000,cod,1981
935500000,cod,1982
864200000,cod,1983
892100000,cod,1984
851000000,cod,1985
939500000,cod,1986
1242000000,cod,1987
977100000,cod,1988
1273000000,cod,1989
1360000000,cod,1990
704500000,cod,1991
378900000,cod,1992
258300000,cod,1993
339000000,cod,1994
242600000,cod,1995
216400000,cod,1996
230400000,cod,1997
185200000,cod,1998
196400000,cod,1999
285700000,cod,2000
398400000,cod,2001
1748000000,cod,2002
6944000000,cod,2003
2203000000,cod,2004
2163000000,cod,2005
2403000000,cod,2006
1371000000,cod,2007
1702000000,cod,2008
2366000000,cod,2009
3543000000,cod,2010
220000,cog,1960
1790000,cog,1961
30930000,cog,1962
50830000,cog,1963
150900000,cog,1964
126000000,cog,1965
185600000,cog,1966
144100000,cog,1967
157300000,cog,1968
120900000,cog,1969
107100000,cog,1970
111900000,cog,1971
131600000,cog,1972
129300000,cog,1973
171200000,cog,1974
207700000,cog,1975
271800000,cog,1976
164500000,cog,1977
236100000,cog,1978
228700000,cog,1979
205700000,cog,1980
200200000,cog,1981
237700000,cog,1982
286000000,cog,1983
283300000,cog,1984
204800000,cog,1985
232300000,cog,1986
252400000,cog,1987
151800000,cog,1988
164100000,cog,1989
329200000,cog,1990
200800000,cog,1991
157700000,cog,1992
177400000,cog,1993
510400000,cog,1994
158500000,cog,1995
588700000,cog,1996
390800000,cog,1997
92190000,cog,1998
216400000,cog,1999
52070000,cog,2000
113800000,cog,2001
89260000,cog,2002
88800000,cog,2003
135400000,cog,2004
1657000000,cog,2005
289800000,cog,2006
121900000,cog,2007
456600000,cog,2008
275400000,cog,2009
1312000000,cog,2010
20730000,cri,1960
34030000,cri,1961
54610000,cri,1962
62680000,cri,1963
84650000,cri,1964
90090000,cri,1965
82200000,cri,1966
86690000,cri,1967
63360000,cri,1968
87690000,cri,1969
77160000,cri,1970
81150000,cri,1971
85590000,cri,1972
99770000,cri,1973
92660000,cri,1974
110700000,cri,1975
85930000,cri,1976
80940000,cri,1977
138400000,cri,1978
140300000,cri,1979
148200000,cri,1980
131000000,cri,1981
181400000,cri,1982
514500000,cri,1983
447000000,cri,1984
583000000,cri,1985
370500000,cri,1986
402200000,cri,1987
317600000,cri,1988
373300000,cri,1989
345500000,cri,1990
250800000,cri,1991
187800000,cri,1992
143400000,cri,1993
102400000,cri,1994
43910000,cri,1995
-9230000,cri,1996
1770000,cri,1997
32140000,cri,1998
-950000,cri,1999
34460000,cri,2000
19170000,cri,2001
13000000,cri,2002
39020000,cri,2003
20970000,cri,2004
30620000,cri,2005
37080000,cri,2006
65540000,cri,2007
61680000,cri,2008
109800000,cri,2009
95030000,cri,2010
1080000,civ,1960
30610000,civ,1961
81660000,civ,1962
76360000,civ,1963
308000000,civ,1964
307700000,civ,1965
275500000,civ,1966
262300000,civ,1967
330500000,civ,1968
347800000,civ,1969
359800000,civ,1970
324400000,civ,1971
268700000,civ,1972
299700000,civ,1973
343000000,civ,1974
369300000,civ,1975
408500000,civ,1976
359600000,civ,1977
369400000,civ,1978
397900000,civ,1979
467800000,civ,1980
317400000,civ,1981
374600000,civ,1982
434800000,civ,1983
366600000,civ,1984
341700000,civ,1985
385100000,civ,1986
446400000,civ,1987
765600000,civ,1988
721000000,civ,1989
1051000000,civ,1990
956700000,civ,1991
1068000000,civ,1992
1108000000,civ,1993
2257000000,civ,1994
1530000000,civ,1995
1245000000,civ,1996
630900000,civ,1997
1424000000,civ,1998
650100000,civ,1999
560300000,civ,2000
328200000,civ,2001
1687000000,civ,2002
327000000,civ,2003
190100000,civ,2004
106300000,civ,2005
277700000,civ,2006
181600000,civ,2007
610000000,civ,2008
2356000000,civ,2009
845000000,civ,2010
20000,hrv,1992
156200000,hrv,1994
68230000,hrv,1995
160700000,hrv,1996
63660000,hrv,1997
68320000,hrv,1998
72050000,hrv,1999
103300000,hrv,2000
195100000,hrv,2001
203600000,hrv,2002
156800000,hrv,2003
143700000,hrv,2004
143700000,hrv,2005
227800000,hrv,2006
165000000,hrv,2007
226400000,hrv,2008
162400000,hrv,2009
150700000,hrv,2010
1920000,cub,1960
1460000,cub,1961
290000,cub,1962
-1210000,cub,1963
3160000,cub,1964
3960000,cub,1965
4900000,cub,1966
5060000,cub,1967
4300000,cub,1968
8360000,cub,1969
11120000,cub,1970
14230000,cub,1971
18600000,cub,1972
23230000,cub,1973
58290000,cub,1974
66280000,cub,1975
110700000,cub,1976
142300000,cub,1977
139900000,cub,1978
117200000,cub,1979
71700000,cub,1980
32790000,cub,1981
40190000,cub,1982
32350000,cub,1983
32550000,cub,1984
45780000,cub,1985
37410000,cub,1986
61570000,cub,1987
34580000,cub,1988
106600000,cub,1989
78510000,cub,1990
55010000,cub,1991
33780000,cub,1992
66360000,cub,1993
68500000,cub,1994
87120000,cub,1995
78950000,cub,1996
98080000,cub,1997
120500000,cub,1998
91110000,cub,1999
75100000,cub,2000
90330000,cub,2001
101700000,cub,2002
100900000,cub,2003
125500000,cub,2004
102400000,cub,2005
106500000,cub,2006
97390000,cub,2007
123700000,cub,2008
114100000,cub,2009
129100000,cub,2010
224900000,cyp,1960
168500000,cyp,1961
119200000,cyp,1962
93170000,cyp,1963
38520000,cyp,1964
51200000,cyp,1965
12210000,cyp,1966
9530000,cyp,1967
5620000,cyp,1968
22570000,cyp,1969
37760000,cyp,1970
33590000,cyp,1971
37930000,cyp,1972
36640000,cyp,1973
92460000,cyp,1974
116400000,cyp,1975
196000000,cyp,1976
295300000,cyp,1977
134400000,cyp,1978
74740000,cyp,1979
120600000,cyp,1980
112400000,cyp,1981
77220000,cyp,1982
47130000,cyp,1983
43970000,cyp,1984
83090000,cyp,1985
67410000,cyp,1986
74570000,cyp,1987
73850000,cyp,1988
67400000,cyp,1989
58240000,cyp,1990
59000000,cyp,1991
37480000,cyp,1992
49390000,cyp,1993
60860000,cyp,1994
28130000,cyp,1995
30110000,cyp,1996
49130000,dji,1966
72100000,dji,1967
69240000,dji,1968
73580000,dji,1969
83470000,dji,1970
70610000,dji,1971
75960000,dji,1972
90660000,dji,1973
131500000,dji,1974
121900000,dji,1975
100100000,dji,1976
155200000,dji,1977
297500000,dji,1978
57220000,dji,1979
166100000,dji,1980
159900000,dji,1981
153800000,dji,1982
174500000,dji,1983
279300000,dji,1984
222000000,dji,1985
246500000,dji,1986
192100000,dji,1987
161100000,dji,1988
133800000,dji,1989
314600000,dji,1990
159100000,dji,1991
155200000,dji,1992
203300000,dji,1993
178200000,dji,1994
125300000,dji,1995
121700000,dji,1996
120400000,dji,1997
115000000,dji,1998
108200000,dji,1999
108000000,dji,2000
95860000,dji,2001
111600000,dji,2002
102300000,dji,2003
75220000,dji,2004
85640000,dji,2005
129500000,dji,2006
115400000,dji,2007
136000000,dji,2008
165800000,dji,2009
132200000,dji,2010
420000,dma,1973
17120000,dma,1974
31250000,dma,1975
17330000,dma,1976
18610000,dma,1977
23720000,dma,1978
24740000,dma,1979
42270000,dma,1980
37400000,dma,1981
41610000,dma,1982
25750000,dma,1983
41320000,dma,1984
44660000,dma,1985
26310000,dma,1986
30020000,dma,1987
31850000,dma,1988
41510000,dma,1989
30290000,dma,1990
26410000,dma,1991
17680000,dma,1992
13590000,dma,1993
24020000,dma,1994
30010000,dma,1995
56140000,dma,1996
18500000,dma,1997
27380000,dma,1998
12450000,dma,1999
20880000,dma,2000
29910000,dma,2001
42550000,dma,2002
14170000,dma,2003
35020000,dma,2004
24330000,dma,2005
21850000,dma,2006
19960000,dma,2007
21160000,dma,2008
35670000,dma,2009
32450000,dma,2010
1320000,dom,1960
1150000,dom,1961
120700000,dom,1962
278200000,dom,1963
132100000,dom,1964
437300000,dom,1965
284700000,dom,1966
319200000,dom,1967
354600000,dom,1968
227500000,dom,1969
214400000,dom,1970
150500000,dom,1971
130300000,dom,1972
107200000,dom,1973
82350000,dom,1974
104800000,dom,1975
109500000,dom,1976
106700000,dom,1977
140900000,dom,1978
196300000,dom,1979
287700000,dom,1980
247900000,dom,1981
301200000,dom,1982
229500000,dom,1983
395000000,dom,1984
427600000,dom,1985
184400000,dom,1986
223700000,dom,1987
191300000,dom,1988
237900000,dom,1989
154200000,dom,1990
98400000,dom,1991
88850000,dom,1992
-2370000,dom,1993
84920000,dom,1994
134100000,dom,1995
128000000,dom,1996
104400000,dom,1997
175600000,dom,1998
263200000,dom,1999
86290000,dom,2000
154000000,dom,2001
211800000,dom,2002
91250000,dom,2003
102200000,dom,2004
92560000,dom,2005
73340000,dom,2006
130400000,dom,2007
149300000,dom,2008
116600000,dom,2009
175200000,dom,2010
34880000,ecu,1960
60250000,ecu,1961
74510000,ecu,1962
108800000,ecu,1963
121500000,ecu,1964
125000000,ecu,1965
153200000,ecu,1966
158400000,ecu,1967
145100000,ecu,1968
115500000,ecu,1969
135500000,ecu,1970
142700000,ecu,1971
121800000,ecu,1972
157100000,ecu,1973
185700000,ecu,1974
256200000,ecu,1975
272200000,ecu,1976
176800000,ecu,1977
123500000,ecu,1978
176700000,ecu,1979
104900000,ecu,1980
144600000,ecu,1981
135200000,ecu,1982
160300000,ecu,1983
343700000,ecu,1984
322500000,ecu,1985
291000000,ecu,1986
415400000,ecu,1987
304500000,ecu,1988
279400000,ecu,1989
243800000,ecu,1990
356300000,ecu,1991
335100000,ecu,1992
345900000,ecu,1993
298800000,ecu,1994
278500000,ecu,1995
326200000,ecu,1996
215100000,ecu,1997
257200000,ecu,1998
214400000,ecu,1999
222200000,ecu,2000
280200000,ecu,2001
327000000,ecu,2002
225200000,ecu,2003
186200000,ecu,2004
260400000,ecu,2005
210100000,ecu,2006
222000000,ecu,2007
219200000,ecu,2008
202900000,ecu,2009
150500000,ecu,2010
1491000000,egy,1960
687600000,egy,1961
1118000000,egy,1962
1308000000,egy,1963
1514000000,egy,1964
807300000,egy,1965
614200000,egy,1966
264900000,egy,1967
255400000,egy,1968
70860000,egy,1969
1103000000,egy,1970
806800000,egy,1971
729500000,egy,1972
4102000000,egy,1973
5673000000,egy,1974
9224000000,egy,1975
8526000000,egy,1976
8523000000,egy,1977
7606000000,egy,1978
3986000000,egy,1979
3252000000,egy,1980
2941000000,egy,1981
3235000000,egy,1982
3135000000,egy,1983
3807000000,egy,1984
3616000000,egy,1985
3118000000,egy,1986
3028000000,egy,1987
2479000000,egy,1988
2709000000,egy,1989
9253000000,egy,1990
7965000000,egy,1991
5233000000,egy,1992
3517000000,egy,1993
3840000000,egy,1994
2562000000,egy,1995
2818000000,egy,1996
2748000000,egy,1997
2731000000,egy,1998
2226000000,egy,1999
1964000000,egy,2000
1883000000,egy,2001
1742000000,egy,2002
1272000000,egy,2003
1790000000,egy,2004
1173000000,egy,2005
995700000,egy,2006
1159000000,egy,2007
1700000000,egy,2008
984600000,egy,2009
592400000,egy,2010
3870000,slv,1960
42540000,slv,1961
36630000,slv,1962
79480000,slv,1963
79150000,slv,1964
85290000,slv,1965
118100000,slv,1966
86010000,slv,1967
77930000,slv,1968
67870000,slv,1969
74510000,slv,1970
65900000,slv,1971
86380000,slv,1972
100100000,slv,1973
120200000,slv,1974
137100000,slv,1975
103200000,slv,1976
147300000,slv,1977
154300000,slv,1978
150600000,slv,1979
225200000,slv,1980
377300000,slv,1981
462200000,slv,1982
594200000,slv,1983
515500000,slv,1984
676500000,slv,1985
620200000,slv,1986
732100000,slv,1987
696200000,slv,1988
722700000,slv,1989
531900000,slv,1990
438600000,slv,1991
580800000,slv,1992
577900000,slv,1993
421900000,slv,1994
366500000,slv,1995
378700000,slv,1996
376500000,slv,1997
256200000,slv,1998
250600000,slv,1999
253800000,slv,2000
367500000,slv,2001
347000000,slv,2002
245100000,slv,2003
254600000,slv,2004
237000000,slv,2005
184500000,slv,2006
114400000,slv,2007
228200000,slv,2008
270100000,slv,2009
283400000,slv,2010
4670000,gnq,1973
66010000,gnq,1974
8010000,gnq,1975
1490000,gnq,1976
2740000,gnq,1977
1680000,gnq,1978
6910000,gnq,1979
21380000,gnq,1980
25920000,gnq,1981
38140000,gnq,1982
29490000,gnq,1983
41130000,gnq,1984
45510000,gnq,1985
43660000,gnq,1986
105400000,gnq,1987
83950000,gnq,1988
105000000,gnq,1989
95110000,gnq,1990
94600000,gnq,1991
87710000,gnq,1992
80750000,gnq,1993
44490000,gnq,1994
45640000,gnq,1995
43030000,gnq,1996
38100000,gnq,1997
35190000,gnq,1998
31760000,gnq,1999
38670000,gnq,2000
24690000,gnq,2001
33330000,gnq,2002
28670000,gnq,2003
35310000,gnq,2004
44730000,gnq,2005
29370000,gnq,2006
31540000,gnq,2007
30200000,gnq,2008
30360000,gnq,2009
84710000,gnq,2010
170000,eri,1971
2860000,eri,1973
8930000,eri,1974
5950000,eri,1975
6930000,eri,1977
14070000,eri,1978
10560000,eri,1979
10970000,eri,1980
13630000,eri,1981
11130000,eri,1982
11200000,eri,1983
11490000,eri,1984
2080000,eri,1986
3620000,eri,1987
3370000,eri,1988
6880000,eri,1990
1400000,eri,1992
111100000,eri,1993
230200000,eri,1994
205600000,eri,1995
218600000,eri,1996
179000000,eri,1997
243600000,eri,1998
223400000,eri,1999
274600000,eri,2000
456500000,eri,2001
335600000,eri,2002
408300000,eri,2003
315000000,eri,2004
398900000,eri,2005
141900000,eri,2006
163000000,eri,2007
141500000,eri,2008
144700000,eri,2009
160500000,eri,2010
138400000,eth,1960
164400000,eth,1961
171200000,eth,1962
161700000,eth,1963
108000000,eth,1964
138000000,eth,1965
160400000,eth,1966
183900000,eth,1967
281800000,eth,1968
233500000,eth,1969
251500000,eth,1970
247900000,eth,1971
232200000,eth,1972
299000000,eth,1973
501300000,eth,1974
479800000,eth,1975
500600000,eth,1976
364500000,eth,1977
395000000,eth,1978
483800000,eth,1979
488400000,eth,1980
624100000,eth,1981
518300000,eth,1982
890200000,eth,1983
1013000000,eth,1984
1877000000,eth,1985
1378000000,eth,1986
1189000000,eth,1987
1698000000,eth,1988
1279000000,eth,1989
1545000000,eth,1990
1638000000,eth,1991
1647000000,eth,1992
1578000000,eth,1993
1510000000,eth,1994
1152000000,eth,1995
1074000000,eth,1996
828800000,eth,1997
966400000,eth,1998
929500000,eth,1999
1037000000,eth,2000
1697000000,eth,2001
1938000000,eth,2002
2047000000,eth,2003
2123000000,eth,2004
2188000000,eth,2005
2237000000,eth,2006
2572000000,eth,2007
3244000000,eth,2008
3847000000,eth,2009
3525000000,eth,2010
10420000,fji,1960
9410000,fji,1961
97660000,fji,1962
39410000,fji,1963
29590000,fji,1964
35460000,fji,1965
32170000,fji,1966
21770000,fji,1967
51680000,fji,1968
70680000,fji,1969
52090000,fji,1970
69540000,fji,1971
49430000,fji,1972
77840000,fji,1973
69750000,fji,1974
83130000,fji,1975
104600000,fji,1976
92670000,fji,1977
88420000,fji,1978
91070000,fji,1979
90880000,fji,1980
101600000,fji,1981
91280000,fji,1982
88330000,fji,1983
86250000,fji,1984
91760000,fji,1985
102000000,fji,1986
73510000,fji,1987
100300000,fji,1988
78450000,fji,1989
86020000,fji,1990
75830000,fji,1991
105900000,fji,1992
96680000,fji,1993
62930000,fji,1994
62830000,fji,1995
63930000,fji,1996
65770000,fji,1997
60430000,fji,1998
52720000,fji,1999
46580000,fji,2000
45110000,fji,2001
55730000,fji,2002
72520000,fji,2003
83400000,fji,2004
83040000,fji,2005
70160000,fji,2006
56820000,fji,2007
48860000,fji,2008
77110000,fji,2009
76400000,fji,2010
102300000,pyf,1966
112000000,pyf,1967
130000000,pyf,1968
129500000,pyf,1969
139200000,pyf,1970
130300000,pyf,1971
156200000,pyf,1972
234700000,pyf,1973
170700000,pyf,1974
254400000,pyf,1975
276900000,pyf,1976
279900000,pyf,1977
256200000,pyf,1978
347800000,pyf,1979
343400000,pyf,1980
364000000,pyf,1981
463900000,pyf,1982
503100000,pyf,1983
521300000,pyf,1984
508500000,pyf,1985
536200000,pyf,1986
539500000,pyf,1987
583100000,pyf,1988
526000000,pyf,1989
393000000,pyf,1990
475600000,pyf,1991
459400000,pyf,1992
492700000,pyf,1993
527100000,pyf,1994
574200000,pyf,1995
519600000,pyf,1996
534200000,pyf,1997
538800000,pyf,1998
532600000,pyf,1999
190000,gab,1960
5750000,gab,1961
25890000,gab,1962
34510000,gab,1963
118800000,gab,1964
103400000,gab,1965
102100000,gab,1966
112500000,gab,1967
96080000,gab,1968
133900000,gab,1969
167200000,gab,1970
156900000,gab,1971
157400000,gab,1972
200500000,gab,1973
109900000,gab,1974
217100000,gab,1975
126000000,gab,1976
92380000,gab,1977
123000000,gab,1978
91610000,gab,1979
121600000,gab,1980
107100000,gab,1981
165100000,gab,1982
179000000,gab,1983
224500000,gab,1984
177600000,gab,1985
170400000,gab,1986
151700000,gab,1987
187300000,gab,1988
239400000,gab,1989
200200000,gab,1990
218300000,gab,1991
96730000,gab,1992
149100000,gab,1993
259700000,gab,1994
189300000,gab,1995
164400000,gab,1996
57360000,gab,1997
65220000,gab,1998
71760000,gab,1999
19440000,gab,2000
12320000,gab,2001
113100000,gab,2002
-14750000,gab,2003
47210000,gab,2004
70050000,gab,2005
32690000,gab,2006
51890000,gab,2007
58750000,gab,2008
75070000,gab,2009
104000000,gab,2010
5210000,gmb,1960
13400000,gmb,1961
22900000,gmb,1962
45520000,gmb,1963
21850000,gmb,1964
34320000,gmb,1965
26700000,gmb,1966
23130000,gmb,1967
43190000,gmb,1968
25830000,gmb,1969
9360000,gmb,1970
20190000,gmb,1971
26220000,gmb,1972
31380000,gmb,1973
45190000,gmb,1974
31970000,gmb,1975
41630000,gmb,1976
73730000,gmb,1977
101800000,gmb,1978
88460000,gmb,1979
123200000,gmb,1980
170200000,gmb,1981
116700000,gmb,1982
100800000,gmb,1983
134800000,gmb,1984
124100000,gmb,1985
222300000,gmb,1986
190400000,gmb,1987
146100000,gmb,1988
177100000,gmb,1989
150200000,gmb,1990
149800000,gmb,1991
153500000,gmb,1992
121400000,gmb,1993
93580000,gmb,1994
57460000,gmb,1995
47040000,gmb,1996
54380000,gmb,1997
55560000,gmb,1998
47840000,gmb,1999
73420000,gmb,2000
80490000,gmb,2001
95230000,gmb,2002
80060000,gmb,2003
71280000,gmb,2004
69370000,gmb,2005
84390000,gmb,2006
100100000,gmb,2007
91550000,gmb,2008
128500000,gmb,2009
120200000,gmb,2010
330000,geo,1991
34400000,geo,1992
149600000,geo,1993
256900000,geo,1994
270100000,geo,1995
401400000,geo,1996
337900000,geo,1997
297400000,geo,1998
344000000,geo,1999
238000000,geo,2000
422800000,geo,2001
432000000,geo,2002
290700000,geo,2003
366900000,geo,2004
334300000,geo,2005
396600000,geo,2006
390800000,geo,2007
875300000,geo,2008
906900000,geo,2009
625200000,geo,2010
20080000,gha,1960
19950000,gha,1961
45870000,gha,1962
118400000,gha,1963
150700000,gha,1964
301200000,gha,1965
394200000,gha,1966
316200000,gha,1967
420700000,gha,1968
448200000,gha,1969
349300000,gha,1970
321200000,gha,1971
287300000,gha,1972
183300000,gha,1973
147700000,gha,1974
454600000,gha,1975
221800000,gha,1976
296400000,gha,1977
332500000,gha,1978
438800000,gha,1979
438700000,gha,1980
351800000,gha,1981
363800000,gha,1982
283900000,gha,1983
573700000,gha,1984
511800000,gha,1985
765800000,gha,1986
753300000,gha,1987
970100000,gha,1988
1209000000,gha,1989
852600000,gha,1990
1294000000,gha,1991
862400000,gha,1992
889100000,gha,1993
724000000,gha,1994
795900000,gha,1995
833200000,gha,1996
679800000,gha,1997
979500000,gha,1998
828200000,gha,1999
849700000,gha,2000
980500000,gha,2001
995400000,gha,2002
1248000000,gha,2003
1621000000,gha,2004
1306000000,gha,2005
1366000000,gha,2006
1180000000,gha,2007
1265000000,gha,2008
1591000000,gha,2009
1693000000,gha,2010
230000,grd,1973
8930000,grd,1974
10470000,grd,1975
9430000,grd,1976
11560000,grd,1977
7820000,grd,1978
7460000,grd,1979
7590000,grd,1980
15810000,grd,1981
15510000,grd,1982
19860000,grd,1983
58040000,grd,1984
71200000,grd,1985
48160000,grd,1986
36540000,grd,1987
36130000,grd,1988
25690000,grd,1989
21360000,grd,1990
23930000,grd,1991
18310000,grd,1992
11500000,grd,1993
26190000,grd,1994
12770000,grd,1995
14690000,grd,1996
12080000,grd,1997
8500000,grd,1998
14200000,grd,1999
22750000,grd,2000
15970000,grd,2001
14560000,grd,2002
13470000,grd,2003
19010000,grd,2004
58970000,grd,2005
29670000,grd,2006
23920000,grd,2007
32060000,grd,2008
47800000,grd,2009
33840000,grd,2010
94070000,gtm,1960
82170000,gtm,1961
55000000,gtm,1962
71500000,gtm,1963
72620000,gtm,1964
91090000,gtm,1965
63180000,gtm,1966
102700000,gtm,1967
89950000,gtm,1968
95330000,gtm,1969
116000000,gtm,1970
98550000,gtm,1971
124200000,gtm,1972
111800000,gtm,1973
98740000,gtm,1974
136300000,gtm,1975
221200000,gtm,1976
192800000,gtm,1977
202100000,gtm,1978
168800000,gtm,1979
169400000,gtm,1980
179400000,gtm,1981
150000000,gtm,1982
170400000,gtm,1983
150200000,gtm,1984
177800000,gtm,1985
255100000,gtm,1986
420100000,gtm,1987
396100000,gtm,1988
440500000,gtm,1989
309800000,gtm,1990
292500000,gtm,1991
280900000,gtm,1992
301600000,gtm,1993
298100000,gtm,1994
262800000,gtm,1995
249800000,gtm,1996
378300000,gtm,1997
341500000,gtm,1998
412800000,gtm,1999
372900000,gtm,2000
353500000,gtm,2001
369300000,gtm,2002
319000000,gtm,2003
259100000,gtm,2004
300400000,gtm,2005
548100000,gtm,2006
467900000,gtm,2007
510400000,gtm,2008
373300000,gtm,2009
393500000,gtm,2010
1470000,gin,1960
21070000,gin,1961
75420000,gin,1962
165900000,gin,1963
86490000,gin,1964
140800000,gin,1965
84590000,gin,1966
46780000,gin,1967
35200000,gin,1968
82600000,gin,1969
66490000,gin,1970
51490000,gin,1971
24110000,gin,1972
56250000,gin,1973
80300000,gin,1974
87790000,gin,1975
34720000,gin,1976
71230000,gin,1977
172300000,gin,1978
144600000,gin,1979
208400000,gin,1980
269800000,gin,1981
291500000,gin,1982
176100000,gin,1983
326200000,gin,1984
303000000,gin,1985
363300000,gin,1986
397900000,gin,1987
432700000,gin,1988
636800000,gin,1989
444700000,gin,1990
565700000,gin,1991
628100000,gin,1992
591200000,gin,1993
496500000,gin,1994
514600000,gin,1995
388800000,gin,1996
543500000,gin,1997
512400000,gin,1998
337400000,gin,1999
225700000,gin,2000
442700000,gin,2001
370500000,gin,2002
326200000,gin,2003
327100000,gin,2004
227900000,gin,2005
190900000,gin,2006
235600000,gin,2007
318800000,gin,2008
210200000,gin,2009
217700000,gin,2010
9720000,gnb,1961
23320000,gnb,1966
5200000,gnb,1967
840000,gnb,1969
1210000,gnb,1971
40000,gnb,1973
41760000,gnb,1974
75510000,gnb,1975
85040000,gnb,1976
128600000,gnb,1977
143000000,gnb,1978
132100000,gnb,1979
131800000,gnb,1980
156200000,gnb,1981
164600000,gnb,1982
169400000,gnb,1983
155800000,gnb,1984
153600000,gnb,1985
150200000,gnb,1986
204700000,gnb,1987
174400000,gnb,1988
212900000,gnb,1989
197200000,gnb,1990
171000000,gnb,1991
151900000,gnb,1992
140000000,gnb,1993
270300000,gnb,1994
149900000,gnb,1995
244700000,gnb,1996
178600000,gnb,1997
137700000,gnb,1998
78790000,gnb,1999
135500000,gnb,2000
103600000,gnb,2001
93770000,gnb,2002
198400000,gnb,2003
90150000,gnb,2004
76350000,gnb,2005
97330000,gnb,2006
124200000,gnb,2007
127600000,gnb,2008
143400000,gnb,2009
139300000,gnb,2010
72800000,guy,1960
83870000,guy,1961
71040000,guy,1962
50630000,guy,1963
39480000,guy,1964
47800000,guy,1965
61130000,guy,1966
70000000,guy,1967
95540000,guy,1968
107800000,guy,1969
103400000,guy,1970
85330000,guy,1971
60810000,guy,1972
35030000,guy,1973
49870000,guy,1974
36940000,guy,1975
76890000,guy,1976
35240000,guy,1977
86060000,guy,1978
92150000,guy,1979
99940000,guy,1980
162100000,guy,1981
97960000,guy,1982
76060000,guy,1983
60030000,guy,1984
69090000,guy,1985
63330000,guy,1986
52180000,guy,1987
47290000,guy,1988
76170000,guy,1989
259100000,guy,1990
192700000,guy,1991
129500000,guy,1992
158200000,guy,1993
112300000,guy,1994
111200000,guy,1995
185200000,guy,1996
348900000,guy,1997
125300000,guy,1998
120600000,guy,1999
166600000,guy,2000
165200000,guy,2001
101400000,guy,2002
123000000,guy,2003
167400000,guy,2004
170200000,guy,2005
193600000,guy,2006
132000000,guy,2007
162500000,guy,2008
173100000,guy,2009
153200000,guy,2010
57650000,hti,1960
76270000,hti,1961
28550000,hti,1962
20990000,hti,1963
24000000,hti,1964
37950000,hti,1965
24230000,hti,1966
20360000,hti,1967
31790000,hti,1968
28190000,hti,1969
39730000,hti,1970
29800000,hti,1971
31100000,hti,1972
33360000,hti,1973
54910000,hti,1974
202200000,hti,1975
240900000,hti,1976
271200000,hti,1977
257000000,hti,1978
231300000,hti,1979
241600000,hti,1980
248600000,hti,1981
296400000,hti,1982
310600000,hti,1983
318900000,hti,1984
354300000,hti,1985
354600000,hti,1986
378000000,hti,1987
237400000,hti,1988
334000000,hti,1989
257600000,hti,1990
266900000,hti,1991
147100000,hti,1992
179200000,hti,1993
845700000,hti,1994
971300000,hti,1995
492100000,hti,1996
462700000,hti,1997
593300000,hti,1998
376700000,hti,1999
297800000,hti,2000
248500000,hti,2001
220500000,hti,2002
270300000,hti,2003
360500000,hti,2004
497800000,hti,2005
650700000,hti,2006
731500000,hti,2007
906200000,hti,2008
1131000000,hti,2009
3065000000,hti,2010
28100000,hnd,1960
36480000,hnd,1961
38020000,hnd,1962
61310000,hnd,1963
84950000,hnd,1964
75910000,hnd,1965
65040000,hnd,1966
68190000,hnd,1967
112700000,hnd,1968
105300000,hnd,1969
109100000,hnd,1970
77330000,hnd,1971
77120000,hnd,1972
62560000,hnd,1973
104600000,hnd,1974
178700000,hnd,1975
