geo,oil_production_per_person,time
qat,119.9,1977
qat,126.8,1978
qat,124.0,1979
qat,106.8,1980
qat,84.22,1981
qat,61.43,1982
qat,50.07,1983
qat,50.68,1984
qat,41.62,1985
qat,43.71,1986
qat,36.35,1987
qat,39.93,1988
qat,42.81,1989
qat,44.59,1990
qat,42.25,1991
qat,48.34,1992
qat,44.39,1993
qat,43.12,1994
qat,43.54,1995
qat,52.89,1996
qat,62.92,1997
qat,61.13,1998
qat,60.15,1999
qat,61.12,2000
qat,58.69,2001
qat,56.46,2002
qat,62.4,2003
qat,64.38,2004
qat,57.6,2005
qat,52.04,2006
qat,45.5,2007
qat,43.58,2008
qat,36.22,2009
qat,37.35,2010
qat,38.0,2011
rou,0.6737,1965
rou,0.6797,1966
rou,0.6908,1967
rou,0.6855,1968
rou,0.677,1969
rou,0.6753,1970
rou,0.6884,1971
rou,0.6978,1972
rou,0.7015,1973
rou,0.7047,1974
rou,0.7051,1975
rou,0.7036,1976
rou,0.6946,1977
rou,0.6458,1978
rou,0.5768,1979
rou,0.5406,1980
rou,0.5433,1981
rou,0.5451,1982
rou,0.5363,1983
rou,0.5279,1984
rou,0.495,1985
rou,0.4664,1986
rou,0.4367,1987
rou,0.426,1988
rou,0.4151,1989
rou,0.3506,1990
rou,0.3025,1991
rou,0.2958,1992
rou,0.3019,1993
rou,0.3057,1994
rou,0.3065,1995
rou,0.3036,1996
rou,0.3005,1997
rou,0.2929,1998
rou,0.2863,1999
rou,0.2833,2000
rou,0.2823,2001
rou,0.2759,2002
rou,0.2686,2003
rou,0.2612,2004
rou,0.2497,2005
rou,0.2302,2006
rou,0.2192,2007
rou,0.2186,2008
rou,0.2088,2009
rou,0.1995,2010
rou,0.197,2011
rus,3.775,1985
rus,3.878,1986
rus,3.907,1987
rus,3.876,1988
rus,3.742,1989
rus,3.48,1990
rus,3.107,1991
rus,2.678,1992
rus,2.383,1993
rus,2.133,1994
rus,2.09,1995
rus,2.04,1996
rus,2.075,1997
rus,2.06,1998
rus,2.069,1999
rus,2.203,2000
rus,2.382,2001
rus,2.609,2002
rus,2.908,2003
rus,3.179,2004
rus,3.267,2005
rus,3.348,2006
rus,3.429,2007
rus,3.412,2008
rus,3.455,2009
rus,3.533,2010
rus,3.58,2011
sau,23.19,1965
sau,26.39,1966
sau,27.5,1967
sau,28.94,1968
sau,29.38,1969
sau,33.29,1970
sau,39.94,1971
sau,48.2,1972
sau,57.98,1973
sau,61.68,1974
sau,48.92,1975
sau,56.38,1976
sau,57.12,1977
sau,48.87,1978
sau,52.94,1979
sau,52.02,1980
sau,48.5,1981
sau,30.57,1982
sau,20.3,1983
sau,17.46,1984
sau,13.02,1985
sau,18.22,1986
sau,15.28,1987
sau,18.38,1988
sau,17.38,1989
sau,21.23,1990
sau,25.7,1991
sau,25.74,1992
sau,24.48,1993
sau,24.13,1994
sau,23.64,1995
sau,23.71,1996
sau,23.83,1997
sau,23.6,1998
sau,21.57,1999
sau,22.7,2000
sau,21.24,2001
sau,19.76,2002
sau,21.66,2003
sau,21.72,2004
sau,21.83,2005
sau,20.66,2006
sau,19.31,2007
sau,19.62,2008
sau,17.26,2009
sau,17.0,2010
sau,18.72,2011
sdn,0.00433,1993
sdn,0.004218,1994
sdn,0.004109,1995
sdn,0.01004,1996
sdn,0.01756,1997
sdn,0.02283,1998
sdn,0.1169,1999
sdn,0.316,2000
sdn,0.3839,2001
sdn,0.4167,2002
sdn,0.4479,2003
sdn,0.4984,2004
sdn,0.4917,2005
sdn,0.5207,2006
sdn,0.7179,2007
sdn,0.7197,2008
sdn,0.6977,2009
sdn,0.671,2010
sdn,0.6424,2011
syr,0.1762,1968
syr,0.4288,1969
syr,0.6647,1970
syr,0.8011,1971
syr,0.8569,1972
syr,0.7835,1973
syr,0.8803,1974
syr,1.267,1975
syr,1.287,1976
syr,1.131,1977
syr,1.07,1978
syr,0.9658,1979
syr,0.8858,1980
syr,0.8858,1981
syr,0.8084,1982
syr,0.8109,1983
syr,0.7906,1984
syr,0.75,1985
syr,0.9137,1986
syr,1.019,1987
syr,1.151,1988
syr,1.415,1989
syr,1.641,1990
syr,1.849,1991
syr,1.962,1992
syr,2.093,1993
syr,2.027,1994
syr,2.09,1995
syr,2.011,1996
syr,1.93,1997
syr,1.883,1998
syr,1.846,1999
syr,1.71,2000
syr,1.757,2001
syr,1.605,2002
syr,1.499,2003
syr,1.37,2004
syr,1.21,2005
syr,1.143,2006
syr,1.068,2007
syr,1.007,2008
syr,0.9942,2009
syr,0.9378,2010
syr,0.7954,2011
tha,0.001382,1981
tha,0.004883,1982
tha,0.01161,1983
tha,0.02068,1984
tha,0.03841,1985
tha,0.03832,1986
tha,0.03482,1987
tha,0.0391,1988
tha,0.03743,1989
tha,0.0444,1990
tha,0.05131,1991
tha,0.06137,1992
tha,0.06326,1993
tha,0.06323,1994
tha,0.05959,1995
tha,0.06784,1996
tha,0.07954,1997
tha,0.08104,1998
tha,0.08726,1999
tha,0.1106,2000
tha,0.1178,2001
tha,0.1261,2002
tha,0.1467,2003
tha,0.1374,2004
tha,0.1625,2005
tha,0.175,2006
tha,0.1848,2007
tha,0.1941,2008
tha,0.1993,2009
tha,0.1999,2010
tha,0.2004,2011
tto,7.463,1965
tto,8.335,1966
tto,9.59,1967
tto,10.1,1968
tto,8.144,1969
tto,7.165,1970
tto,6.535,1971
tto,7.105,1972
tto,8.285,1973
tto,9.264,1974
tto,10.61,1975
tto,10.33,1976
tto,10.99,1977
tto,10.89,1978
tto,9.988,1979
tto,9.765,1980
tto,8.532,1981
tto,7.845,1982
tto,6.963,1983
tto,7.298,1984
tto,7.364,1985
tto,7.002,1986
tto,6.376,1987
tto,6.198,1988
tto,6.079,1989
tto,6.067,1990
tto,5.917,1991
tto,5.632,1992
tto,5.189,1993
tto,5.398,1994
tto,5.34,1995
tto,5.261,1996
tto,5.047,1997
tto,4.992,1998
tto,5.163,1999
tto,5.008,2000
tto,4.825,2001
tto,5.542,2002
tto,5.782,2003
tto,5.336,2004
tto,6.019,2005
tto,6.051,2006
tto,5.235,2007
tto,4.981,2008
tto,4.928,2009
tto,4.69,2010
tto,4.367,2011
tun,0.1632,1966
tun,0.4648,1967
tun,0.6482,1968
tun,0.7377,1969
tun,0.8096,1970
tun,0.7861,1971
tun,0.7466,1972
tun,0.7142,1973
tun,0.7468,1974
tun,0.8132,1975
tun,0.6389,1976
tun,0.7223,1977
tun,0.8078,1978
tun,0.8805,1979
tun,0.8714,1980
tun,0.8158,1981
tun,0.7567,1982
tun,0.7931,1983
tun,0.7663,1984
tun,0.7378,1985
tun,0.699,1986
tun,0.6509,1987
tun,0.627,1988
tun,0.6164,1989
tun,0.5523,1990
tun,0.624,1991
tun,0.6122,1992
tun,0.5389,1993
tun,0.4991,1994
tun,0.4752,1995
tun,0.4655,1996
tun,0.4171,1997
tun,0.4329,1998
tun,0.4242,1999
tun,0.3902,2000
tun,0.3519,2001
tun,0.3652,2002
tun,0.329,2003
tun,0.344,2004
tun,0.3469,2005
tun,0.33,2006
tun,0.4549,2007
tun,0.4108,2008
tun,0.3811,2009
tun,0.3597,2010
tun,0.3468,2011
tkm,2.099,1985
tkm,1.982,1986
tkm,1.907,1987
tkm,1.644,1988
tkm,1.61,1989
tkm,1.554,1990
tkm,1.431,1991
tkm,1.34,1992
tkm,1.098,1993
tkm,1.024,1994
tkm,0.9718,1995
tkm,1.02,1996
tkm,1.238,1997
tkm,1.449,1998
tkm,1.587,1999
tkm,1.591,2000
tkm,1.762,2001
tkm,1.959,2002
tkm,2.152,2003
tkm,2.044,2004
tkm,2.001,2005
tkm,1.916,2006
tkm,2.017,2007
tkm,2.094,2008
tkm,2.088,2009
tkm,2.12,2010
tkm,2.094,2011
are,93.29,1965
are,111.1,1966
are,110.5,1967
are,133.7,1968
are,144.1,1969
are,159.2,1970
are,196.5,1971
are,195.5,1972
are,184.0,1973
are,174.2,1974
are,153.9,1975
are,150.6,1976
are,133.5,1977
are,106.9,1978
are,95.61,1979
are,82.95,1980
are,67.82,1981
are,56.23,1982
are,49.99,1983
are,46.86,1984
are,43.24,1985
are,51.38,1986
are,49.17,1987
are,46.99,1988
are,55.58,1989
are,59.49,1990
are,65.19,1991
are,58.8,1992
are,54.01,1993
are,52.06,1994
are,47.83,1995
are,47.61,1996
are,46.74,1997
are,45.45,1998
are,41.5,1999
are,40.25,2000
are,37.46,2001
are,33.85,2002
are,36.62,2003
are,36.01,2004
are,33.73,2005
are,31.2,2006
are,26.04,2007
are,23.02,2008
are,18.2,2009
are,17.5,2010
are,19.02,2011
gbr,0.001546,1965
gbr,0.001427,1966
gbr,0.00162,1967
gbr,0.001521,1968
gbr,0.001533,1969
gbr,0.002803,1970
gbr,0.003798,1971
gbr,0.00595,1972
gbr,0.006633,1973
gbr,0.007299,1974
gbr,0.02788,1975
gbr,0.2162,1976
gbr,0.6798,1977
gbr,0.9593,1978
gbr,1.383,1979
gbr,1.429,1980
gbr,1.589,1981
gbr,1.832,1982
gbr,2.039,1983
gbr,2.234,1984
gbr,2.258,1985
gbr,2.244,1986
gbr,2.173,1987
gbr,2.012,1988
gbr,1.607,1989
gbr,1.601,1990
gbr,1.591,1991
gbr,1.638,1992
gbr,1.737,1993
gbr,2.188,1994
gbr,2.24,1995
gbr,2.231,1996
gbr,2.193,1997
gbr,2.268,1998
gbr,2.342,1999
gbr,2.144,2000
gbr,1.974,2001
gbr,1.954,2002
gbr,1.78,2003
gbr,1.592,2004
gbr,1.407,2005
gbr,1.265,2006
gbr,1.262,2007
gbr,1.17,2008
gbr,1.106,2009
gbr,1.015,2010
gbr,0.8331,2011
usa,2.144,1965
usa,2.254,1966
usa,2.377,1967
usa,2.445,1968
usa,2.464,1969
usa,2.547,1970
usa,2.488,1971
usa,2.475,1972
usa,2.392,1973
usa,2.263,1974
usa,2.144,1975
usa,2.071,1976
usa,2.073,1977
usa,2.148,1978
usa,2.096,1979
usa,2.089,1980
usa,2.064,1981
usa,2.052,1982
usa,2.042,1983
usa,2.078,1984
usa,2.068,1985
usa,1.981,1986
usa,1.9,1987
usa,1.848,1988
usa,1.71,1989
usa,1.644,1990
usa,1.653,1991
usa,1.599,1992
usa,1.522,1993
usa,1.471,1994
usa,1.44,1995
usa,1.418,1996
usa,1.394,1997
usa,1.334,1998
usa,1.262,1999
usa,1.248,2000
usa,1.223,2001
usa,1.202,2002
usa,1.162,2003
usa,1.119,2004
usa,1.056,2005
usa,1.036,2006
usa,1.025,2007
usa,0.9999,2008
usa,1.068,2009
usa,1.095,2010
usa,1.125,2011
uzb,0.1271,1985
uzb,0.1358,1986
uzb,0.1398,1987
uzb,0.1247,1988
uzb,0.1348,1989
uzb,0.1365,1990
uzb,0.1333,1991
uzb,0.1535,1992
uzb,0.1819,1993
uzb,0.2456,1994
uzb,0.331,1995
uzb,0.3265,1996
uzb,0.3322,1997
uzb,0.3389,1998
uzb,0.331,1999
uzb,0.3027,2000
uzb,0.2866,2001
uzb,0.2848,2002
uzb,0.2799,2003
uzb,0.2559,2004
uzb,0.21,2005
uzb,0.2065,2006
uzb,0.1859,2007
uzb,0.1783,2008
uzb,0.1642,2009
uzb,0.133,2010
uzb,0.1291,2011
ven,20.3,1965
ven,19.07,1966
ven,19.4,1967
ven,19.17,1968
ven,18.47,1969
ven,18.47,1970
ven,17.19,1971
ven,15.21,1972
ven,15.34,1973
ven,13.12,1974
ven,10.02,1975
ven,9.502,1976
ven,8.928,1977
ven,8.303,1978
ven,8.743,1979
ven,7.804,1980
ven,7.334,1981
ven,6.439,1982
ven,5.942,1983
ven,5.805,1984
ven,5.299,1985
ven,5.577,1986
ven,5.502,1987
ven,5.622,1988
ven,5.503,1989
ven,5.984,1990
ven,6.513,1991
ven,6.377,1992
ven,6.451,1993
ven,6.698,1994
ven,7.049,1995
ven,7.341,1996
ven,7.594,1997
ven,7.666,1998
ven,6.735,1999
ven,6.87,2000
ven,6.514,2001
ven,5.887,2002
ven,5.105,2003
ven,5.542,2004
ven,5.793,2005
ven,5.572,2006
ven,5.513,2007
ven,5.491,2008
ven,5.255,2009
ven,4.919,2010
ven,4.744,2011
vnm,0.004445,1987
vnm,0.01073,1988
vnm,0.02268,1989
vnm,0.04024,1990
vnm,0.05778,1991
vnm,0.07844,1992
vnm,0.08821,1993
vnm,0.09757,1994
vnm,0.1034,1995
vnm,0.1178,1996
vnm,0.1327,1997
vnm,0.1571,1998
vnm,0.1874,1999
vnm,0.2057,2000
vnm,0.2145,2001
vnm,0.2144,2002
vnm,0.2172,2003
vnm,0.2532,2004
vnm,0.2296,2005
vnm,0.2068,2006
vnm,0.1929,2007
vnm,0.1786,2008
vnm,0.194,2009
vnm,0.1767,2010
vnm,0.1786,2011
yem,0.04713,1986
yem,0.1179,1987
yem,0.7439,1988
yem,0.7453,1989
yem,0.7287,1990
yem,0.7515,1991
yem,0.6616,1992
yem,0.7135,1993
yem,1.128,1994
yem,1.1,1995
yem,1.077,1996
yem,1.092,1997
yem,1.077,1998
yem,1.114,1999
yem,1.203,2000
yem,1.178,2001
yem,1.144,2002
yem,1.089,2003
yem,0.9928,2004
yem,0.9495,2005
yem,0.8414,2006
yem,0.7322,2007
yem,0.657,2008
yem,0.6184,2009
yem,0.5892,2010
yem,0.4341,2011
