geo,storm_deaths_annual_number,time
kna,0,1978
kna,0,1979
kna,0,1980
kna,0,1981
kna,0,1982
kna,0,1983
kna,0,1984
kna,0,1985
kna,0,1986
kna,0,1987
kna,0,1988
kna,1,1989
kna,0,1990
kna,0,1991
kna,0,1992
kna,0,1993
kna,0,1994
kna,0,1995
kna,0,1996
kna,0,1997
kna,5,1998
kna,0,1999
kna,0,2000
kna,0,2001
kna,0,2002
kna,0,2003
kna,0,2004
kna,0,2005
kna,0,2006
kna,0,2007
kna,0,2008
lca,0,1970
lca,0,1971
lca,0,1972
lca,0,1973
lca,0,1974
lca,0,1975
lca,0,1976
lca,0,1977
lca,0,1978
lca,0,1979
lca,27,1980
lca,0,1981
lca,0,1982
lca,0,1983
lca,0,1984
lca,0,1985
lca,0,1986
lca,0,1987
lca,45,1988
lca,0,1989
lca,0,1990
lca,0,1991
lca,0,1992
lca,0,1993
lca,4,1994
lca,0,1995
lca,0,1996
lca,0,1997
lca,0,1998
lca,0,1999
lca,0,2000
lca,0,2001
lca,0,2002
lca,0,2003
lca,0,2004
lca,0,2005
lca,0,2006
lca,1,2007
lca,0,2008
vct,0,1970
vct,0,1971
vct,0,1972
vct,0,1973
vct,0,1974
vct,0,1975
vct,0,1976
vct,0,1977
vct,0,1978
vct,0,1979
vct,0,1980
vct,0,1981
vct,0,1982
vct,0,1983
vct,0,1984
vct,0,1985
vct,0,1986
vct,0,1987
vct,0,1988
vct,0,1989
vct,0,1990
vct,0,1991
vct,0,1992
vct,0,1993
vct,0,1994
vct,0,1995
vct,0,1996
vct,0,1997
vct,0,1998
vct,0,1999
vct,0,2000
vct,0,2001
vct,4,2002
vct,0,2003
vct,0,2004
vct,0,2005
vct,0,2006
vct,0,2007
vct,0,2008
wsm,0,1970
wsm,0,1971
wsm,0,1972
wsm,0,1973
wsm,0,1974
wsm,0,1975
wsm,0,1976
wsm,0,1977
wsm,0,1978
wsm,0,1979
wsm,0,1980
wsm,0,1981
wsm,0,1982
wsm,0,1983
wsm,0,1984
wsm,0,1985
wsm,0,1986
wsm,0,1987
wsm,0,1988
wsm,0,1989
wsm,8,1990
wsm,13,1991
wsm,0,1992
wsm,0,1993
wsm,0,1994
wsm,0,1995
wsm,0,1996
wsm,0,1997
wsm,0,1998
wsm,0,1999
wsm,0,2000
wsm,0,2001
wsm,0,2002
wsm,0,2003
wsm,1,2004
wsm,9,2005
wsm,0,2006
wsm,0,2007
wsm,0,2008
sau,0,1970
sau,0,1971
sau,0,1972
sau,0,1973
sau,0,1974
sau,0,1975
sau,0,1976
sau,0,1977
sau,0,1978
sau,0,1979
sau,0,1980
sau,0,1981
sau,0,1982
sau,0,1983
sau,0,1984
sau,0,1985
sau,0,1986
sau,0,1987
sau,0,1988
sau,0,1989
sau,0,1990
sau,0,1991
sau,0,1992
sau,0,1993
sau,0,1994
sau,0,1995
sau,0,1996
sau,0,1997
sau,0,1998
sau,0,1999
sau,0,2000
sau,0,2001
sau,0,2002
sau,0,2003
sau,0,2004
sau,0,2005
sau,0,2006
sau,0,2007
sau,0,2008
sen,0,1970
sen,0,1971
sen,0,1972
sen,0,1973
sen,0,1974
sen,0,1975
sen,0,1976
sen,0,1977
sen,0,1978
sen,0,1979
sen,0,1980
sen,0,1981
sen,0,1982
sen,0,1983
sen,0,1984
sen,0,1985
sen,0,1986
sen,0,1987
sen,0,1988
sen,0,1989
sen,0,1990
sen,0,1991
sen,0,1992
sen,0,1993
sen,0,1994
sen,0,1995
sen,0,1996
sen,0,1997
sen,0,1998
sen,187,1999
sen,0,2000
sen,0,2001
sen,0,2002
sen,0,2003
sen,2,2004
sen,0,2005
sen,0,2006
sen,0,2007
sen,0,2008
scg,0,1970
scg,0,1971
scg,0,1972
scg,0,1973
scg,0,1974
scg,0,1975
scg,0,1976
scg,0,1977
scg,0,1978
scg,0,1979
scg,0,1980
scg,0,1981
scg,0,1982
scg,0,1983
scg,0,1984
scg,0,1985
scg,0,1986
scg,0,1987
scg,0,1988
scg,0,1989
scg,0,1990
scg,0,1991
scg,0,1992
scg,0,1993
scg,0,1994
scg,0,1995
scg,0,1996
scg,0,1997
scg,0,1998
scg,0,1999
scg,0,2000
scg,0,2001
scg,0,2002
scg,0,2003
scg,0,2004
scg,0,2005
scg,0,2006
scg,0,2007
scg,0,2008
syc,0,1970
syc,0,1971
syc,0,1972
syc,0,1973
syc,0,1974
syc,0,1975
syc,0,1976
syc,0,1977
syc,0,1978
syc,0,1979
syc,0,1980
syc,0,1981
syc,0,1982
syc,0,1983
syc,0,1984
syc,0,1985
syc,0,1986
syc,0,1987
syc,0,1988
syc,0,1989
syc,0,1990
syc,0,1991
syc,0,1992
syc,0,1993
syc,0,1994
syc,0,1995
syc,0,1996
syc,0,1997
syc,0,1998
syc,0,1999
syc,0,2000
syc,0,2001
syc,0,2002
syc,0,2003
syc,0,2004
syc,0,2005
syc,0,2006
syc,0,2007
syc,0,2008
sle,0,1970
sle,0,1971
sle,0,1972
sle,0,1973
sle,0,1974
sle,1,1975
sle,0,1976
sle,0,1977
sle,0,1978
sle,0,1979
sle,0,1980
sle,0,1981
sle,0,1982
sle,0,1983
sle,60,1984
sle,0,1985
sle,0,1986
sle,0,1987
sle,0,1988
sle,0,1989
sle,0,1990
sle,0,1991
sle,0,1992
sle,0,1993
sle,0,1994
sle,0,1995
sle,0,1996
sle,0,1997
sle,0,1998
sle,13,1999
sle,0,2000
sle,0,2001
sle,0,2002
sle,0,2003
sle,0,2004
sle,0,2005
sle,0,2006
sle,0,2007
sle,0,2008
svk,0,1970
svk,0,1971
svk,0,1972
svk,0,1973
svk,0,1974
svk,0,1975
svk,0,1976
svk,0,1977
svk,0,1978
svk,0,1979
svk,0,1980
svk,0,1981
svk,0,1982
svk,0,1983
svk,0,1984
svk,0,1985
svk,0,1986
svk,0,1987
svk,0,1988
svk,0,1989
svk,0,1990
svk,0,1991
svk,0,1992
svk,0,1993
svk,0,1994
svk,0,1995
svk,0,1996
svk,0,1997
svk,0,1998
svk,0,1999
svk,0,2000
svk,0,2001
svk,0,2002
svk,0,2003
svk,2,2004
svk,0,2005
svk,0,2006
svk,0,2007
svk,0,2008
svn,0,1970
svn,0,1971
svn,0,1972
svn,0,1973
svn,0,1974
svn,0,1975
svn,0,1976
svn,0,1977
svn,0,1978
svn,0,1979
svn,0,1980
svn,0,1981
svn,0,1982
svn,0,1983
svn,0,1984
svn,0,1985
svn,0,1986
svn,0,1987
svn,0,1988
svn,0,1989
svn,0,1990
svn,0,1991
svn,0,1992
svn,0,1993
svn,0,1994
svn,0,1995
svn,0,1996
svn,0,1997
svn,0,1998
svn,0,1999
svn,0,2000
svn,0,2001
svn,0,2002
svn,0,2003
svn,0,2004
svn,0,2005
svn,0,2006
svn,6,2007
svn,0,2008
slb,0,1970
slb,0,1971
slb,0,1972
slb,0,1973
slb,0,1974
slb,0,1975
slb,0,1976
slb,0,1977
slb,0,1978
slb,2,1979
slb,0,1980
slb,0,1981
slb,0,1982
slb,0,1983
slb,0,1984
slb,0,1985
slb,101,1986
slb,0,1987
slb,0,1988
slb,0,1989
slb,0,1990
slb,0,1991
slb,0,1992
slb,4,1993
slb,0,1994
slb,0,1995
slb,0,1996
slb,0,1997
slb,0,1998
slb,0,1999
slb,0,2000
slb,0,2001
slb,0,2002
slb,0,2003
slb,0,2004
slb,0,2005
slb,0,2006
slb,0,2007
slb,0,2008
som,0,1970
som,0,1971
som,0,1972
som,0,1973
som,0,1974
som,0,1975
som,0,1976
som,0,1977
som,0,1978
som,0,1979
som,0,1980
som,0,1981
som,0,1982
som,0,1983
som,0,1984
som,0,1985
som,0,1986
som,0,1987
som,0,1988
som,0,1989
som,0,1990
som,0,1991
som,0,1992
som,0,1993
som,30,1994
som,0,1995
som,0,1996
som,0,1997
som,0,1998
som,0,1999
som,0,2000
som,0,2001
som,0,2002
som,0,2003
som,0,2004
som,0,2005
som,0,2006
som,0,2007
som,0,2008
zaf,0,1970
zaf,0,1971
zaf,0,1972
zaf,0,1973
zaf,0,1974
zaf,0,1975
zaf,0,1976
zaf,0,1977
zaf,0,1978
zaf,0,1979
zaf,0,1980
zaf,0,1981
zaf,0,1982
zaf,10,1983
zaf,64,1984
zaf,0,1985
zaf,0,1986
zaf,0,1987
zaf,0,1988
zaf,0,1989
zaf,2,1990
zaf,0,1991
zaf,0,1992
zaf,7,1993
zaf,2,1994
zaf,0,1995
zaf,0,1996
zaf,0,1997
zaf,18,1998
zaf,26,1999
zaf,1,2000
zaf,14,2001
zaf,23,2002
zaf,0,2003
zaf,0,2004
zaf,0,2005
zaf,0,2006
zaf,0,2007
zaf,5,2008
esp,0,1970
esp,0,1971
esp,0,1972
esp,19,1973
esp,0,1974
esp,0,1975
esp,0,1976
esp,0,1977
esp,0,1978
esp,0,1979
esp,0,1980
esp,0,1981
esp,0,1982
esp,0,1983
esp,9,1984
esp,0,1985
esp,0,1986
esp,0,1987
esp,0,1988
esp,33,1989
esp,9,1990
esp,0,1991
esp,0,1992
esp,0,1993
esp,12,1994
esp,0,1995
esp,0,1996
esp,21,1997
esp,0,1998
esp,6,1999
esp,14,2000
esp,10,2001
esp,0,2002
esp,0,2003
esp,0,2004
esp,0,2005
esp,0,2006
esp,1,2007
esp,0,2008
lka,0,1970
lka,0,1971
lka,0,1972
lka,0,1973
lka,0,1974
lka,0,1975
lka,0,1976
lka,0,1977
lka,740,1978
lka,0,1979
lka,0,1980
lka,0,1981
lka,0,1982
lka,0,1983
lka,0,1984
lka,0,1985
lka,0,1986
lka,0,1987
lka,0,1988
lka,0,1989
lka,0,1990
lka,0,1991
lka,0,1992
lka,0,1993
lka,0,1994
lka,0,1995
lka,0,1996
lka,0,1997
