geo,total_health_spending_per_person_us,time
cub,127.0,1997
cub,134.7,1998
cub,153.8,1999
cub,167.7,2000
cub,179.5,2001
cub,194.8,2002
cub,201.9,2003
cub,205.9,2004
cub,301.5,2005
cub,358.1,2006
cub,585.9,2007
cub,584.6,2008
cub,672.2,2009
cub,607.0,2010
cyp,706.4,1995
cyp,755.0,1996
cyp,716.4,1997
cyp,764.4,1998
cyp,781.1,1999
cyp,744.0,2000
cyp,776.3,2001
cyp,885.9,2002
cyp,1235.0,2003
cyp,1341.0,2004
cyp,1408.0,2005
cyp,1466.0,2006
cyp,1674.0,2007
cyp,1918.0,2008
cyp,1794.0,2009
cyp,1705.0,2010
cze,374.4,1995
cze,403.3,1996
cze,369.4,1997
cze,398.1,1998
cze,383.8,1999
cze,361.4,2000
cze,404.4,2001
cze,522.6,2002
cze,666.2,2003
cze,770.9,2004
cze,881.2,2005
cze,967.4,2006
cze,1140.0,2007
cze,1474.0,2008
cze,1495.0,2009
cze,1480.0,2010
dnk,2827.0,1995
dnk,2878.0,1996
dnk,2629.0,1997
dnk,2671.0,1998
dnk,2927.0,1999
dnk,2609.0,2000
dnk,2726.0,2001
dnk,3019.0,2002
dnk,3751.0,2003
dnk,4382.0,2004
dnk,4646.0,2005
dnk,5008.0,2006
dnk,5665.0,2007
dnk,6345.0,2008
dnk,6452.0,2009
dnk,6422.0,2010
dji,31.99,1995
dji,30.67,1996
dji,34.01,1997
dji,39.43,1998
dji,46.89,1999
dji,43.74,2000
dji,41.42,2001
dji,42.45,2002
dji,50.08,2003
dji,47.43,2004
dji,63.17,2005
dji,65.79,2006
dji,77.96,2007
dji,82.48,2008
dji,94.43,2009
dji,91.66,2010
dma,185.6,1995
dma,198.9,1996
dma,212.8,1997
dma,216.2,1998
dma,227.0,1999
dma,231.2,2000
dma,236.3,2001
dma,238.4,2002
dma,243.0,2003
dma,247.6,2004
dma,261.1,2005
dma,278.9,2006
dma,308.7,2007
dma,328.1,2008
dma,342.1,2009
dma,419.3,2010
dom,108.3,1995
dom,112.5,1996
dom,132.8,1997
dom,142.9,1998
dom,150.3,1999
dom,174.8,2000
dom,174.1,2001
dom,178.3,2002
dom,132.6,2003
dom,126.1,2004
dom,198.4,2005
dom,211.0,2006
dom,231.1,2007
dom,269.1,2008
dom,278.7,2009
dom,323.3,2010
ecu,72.9,1995
ecu,80.84,1996
ecu,88.46,1997
ecu,83.42,1998
ecu,64.91,1999
ecu,53.58,2000
ecu,78.24,2001
ecu,107.5,2002
ecu,145.0,2003
ecu,163.3,2004
ecu,181.6,2005
ecu,205.1,2006
ecu,228.5,2007
ecu,270.1,2008
ecu,320.9,2009
ecu,328.2,2010
egy,37.44,1995
egy,45.61,1996
egy,58.55,1997
egy,65.79,1998
egy,72.77,1999
egy,78.61,2000
egy,75.78,2001
egy,73.6,2002
egy,58.07,2003
egy,58.85,2004
egy,65.91,2005
egy,75.24,2006
egy,84.64,2007
egy,101.2,2008
egy,113.6,2009
egy,123.2,2010
slv,105.7,1995
slv,135.0,1996
slv,155.3,1997
slv,168.5,1998
slv,168.1,1999
slv,176.5,2000
slv,181.0,2001
slv,183.3,2002
slv,183.1,2003
slv,189.3,2004
slv,201.5,2005
slv,202.9,2006
slv,207.0,2007
slv,215.9,2008
slv,227.7,2009
slv,236.8,2010
gnq,21.83,1995
gnq,26.51,1996
gnq,43.92,1997
gnq,48.98,1998
gnq,39.86,1999
gnq,46.41,2000
gnq,64.45,2001
gnq,145.5,2002
gnq,125.0,2003
gnq,189.0,2004
gnq,229.5,2005
gnq,278.7,2006
gnq,371.6,2007
gnq,750.7,2008
gnq,804.5,2009
gnq,896.2,2010
eri,8.434,1995
