geo,female_self_employed_percent_of_female_labour_force,time
gbr,7.4,1990
gbr,7.1,1991
gbr,6.9,1992
gbr,7.0,1993
gbr,7.1,1994
gbr,7.0,1995
gbr,7.0,1996
gbr,7.2,1997
gbr,7.2,1998
gbr,6.7,1999
gbr,6.8,2000
gbr,6.5,2001
gbr,6.5,2002
gbr,7.4,2003
gbr,7.4,2004
gbr,7.2,2005
gbr,7.6,2006
gbr,7.7,2007
usa,5.4,1980
usa,5.6,1981
usa,5.8,1982
usa,6.0,1983
usa,6.0,1984
usa,6.0,1985
usa,5.8,1986
usa,6.0,1987
usa,6.1,1988
usa,6.2,1989
usa,6.2,1990
usa,6.3,1991
usa,5.9,1992
usa,6.0,1993
usa,6.9,1994
usa,6.7,1995
usa,6.7,1996
usa,6.6,1997
usa,6.3,1998
usa,6.1,1999
usa,6.0,2000
usa,5.9,2001
usa,5.8,2002
usa,6.0,2003
usa,6.0,2004
usa,5.8,2005
usa,5.9,2006
usa,5.7,2007
ury,20.0,1998
ury,20.6,1999
ury,20.0,2000
ury,21.8,2001
ury,27.4,2002
ury,21.6,2003
ury,21.8,2005
ury,23.1,2006
ury,24.0,2007
ven,28.0,1994
ven,30.7,1995
ven,33.6,1996
ven,33.4,1997
ven,38.9,1998
ven,38.6,1999
ven,39.7,2000
ven,39.7,2001
ven,40.8,2002
ven,41.7,2003
ven,37.4,2006
ven,37.7,2007
vnm,24.6,1996
vnm,28.8,1997
vnm,28.9,1998
vnm,29.9,1999
vnm,30.3,2000
vnm,28.4,2001
vnm,29.5,2002
vnm,30.9,2003
vnm,31.6,2004
pse,14.0,1996
pse,13.7,1997
pse,13.6,1998
pse,15.5,1999
pse,10.7,2000
pse,9.1,2001
pse,9.8,2002
pse,12.5,2003
pse,11.0,2004
pse,12.7,2005
pse,13.5,2006
yem,85.8,1999
zmb,52.0,1980
zmb,26.2,1990
zmb,36.8,1991
zmb,47.5,1996
zmb,51.9,1998
zmb,29.2,2000
zwe,61.3,1994
zwe,61.8,1997
zwe,63.2,2002
