geo,malaria_number_of_cases_reported,time
png,86500,1992
png,66800,1993
png,65000,1994
png,99000,1995
png,71010,1996
png,38100,1997
png,20900,1998
png,18560,1999
png,81190,2000
png,1643000,2001
png,1588000,2002
png,1651000,2003
png,1868000,2004
png,1788000,2005
png,1677000,2006
phl,86200,1990
phl,86400,1991
phl,95780,1992
phl,64940,1993
phl,61960,1994
phl,56850,1995
phl,40540,1996
phl,42000,1997
phl,50710,1998
phl,37060,1999
phl,36600,2000
phl,34790,2001
phl,37000,2002
phl,48440,2003
phl,50850,2004
phl,46480,2005
phl,35110,2006
kor,0,1990
kor,0,1991
kor,0,1992
kor,1,1993
kor,20,1994
kor,107,1995
kor,396,1996
kor,1724,1997
kor,3992,1998
kor,3621,1999
kor,4142,2000
kor,2556,2001
kor,1799,2002
kor,1171,2003
kor,864,2004
kor,1369,2005
kor,2051,2006
slb,116500,1990
slb,141400,1991
slb,153400,1992
slb,126100,1993
slb,131700,1994
slb,118500,1995
slb,84800,1996
slb,68120,1997
slb,72810,1998
slb,63170,1999
slb,67880,2000
slb,76420,2001
slb,74860,2002
slb,90610,2003
slb,90300,2004
slb,76390,2005
slb,75340,2006
vut,28800,1990
vut,19470,1991
vut,13330,1992
vut,10470,1993
vut,3771,1994
vut,8318,1995
vut,5654,1996
vut,6099,1997
vut,6181,1998
vut,5152,1999
vut,6768,2000
vut,18930,2001
vut,34230,2002
vut,42860,2003
vut,39730,2004
vut,32270,2005
vut,21180,2006
vnm,123800,1990
vnm,188000,1991
vnm,225900,1992
vnm,156100,1993
vnm,140100,1994
vnm,100100,1995
vnm,84620,1996
vnm,65860,1997
vnm,72090,1998
vnm,75100,1999
vnm,74320,2000
vnm,188100,2001
vnm,184900,2002
vnm,164300,2003
vnm,128400,2004
vnm,99060,2005
vnm,91350,2006
