geo,infectious_tb_number_of_new_cases_reported,time
ita,1441,1994
ita,1413,1995
ita,1738,1996
ita,1903,1997
ita,2361,1998
ita,1277,1999
ita,687,2000
ita,1361,2001
ita,1275,2002
ita,1481,2003
ita,1058,2004
ita,1275,2005
ita,1377,2006
ita,979,2007
jam,83,1993
jam,61,1994
jam,93,1995
jam,81,1996
jam,84,1997
jam,90,1998
jam,90,1999
jam,90,2000
jam,75,2001
jam,60,2002
jam,81,2003
jam,69,2004
jam,53,2005
jam,61,2006
jam,78,2007
jpn,17890,1993
jpn,16770,1994
jpn,14370,1995
jpn,12870,1996
jpn,13570,1997
jpn,11940,1998
jpn,12910,1999
jpn,11850,2000
jpn,11410,2001
jpn,10810,2002
jpn,10840,2003
jpn,10470,2004
jpn,10930,2005
jpn,10160,2006
jpn,9433,2007
jor,173,1993
jor,161,1994
jor,187,1995
jor,170,1996
jor,136,1997
jor,110,1998
jor,102,1999
jor,89,2000
jor,94,2001
jor,91,2002
jor,108,2003
jor,91,2004
jor,86,2005
jor,104,2006
jor,109,2007
kaz,3022,1995
kaz,4290,1996
kaz,4332,1997
kaz,6180,1998
kaz,6977,1999
kaz,8903,2000
kaz,9079,2001
kaz,9452,2002
kaz,8665,2003
kaz,7927,2004
kaz,6911,2005
kaz,6205,2006
kaz,6195,2007
ken,6800,1990
ken,7000,1991
ken,7700,1992
ken,10150,1993
ken,11320,1994
ken,13930,1995
ken,16980,1996
ken,19040,1997
ken,24030,1998
ken,27200,1999
ken,28770,2000
ken,31310,2001
ken,34340,2002
ken,38160,2003
ken,41170,2004
ken,40390,2005
ken,39150,2006
ken,38360,2007
kir,99,1993
kir,184,1994
kir,144,1996
kir,50,1997
kir,52,1998
kir,59,1999
kir,54,2000
kir,64,2001
kir,82,2002
kir,99,2003
kir,142,2004
kir,124,2005
kir,129,2006
kir,103,2007
kwt,148,1993
kwt,155,1994
kwt,175,1995
kwt,153,1996
kwt,201,1997
kwt,185,1998
kwt,169,1999
kwt,180,2000
kwt,174,2001
kwt,206,2002
kwt,201,2003
kwt,247,2004
kwt,187,2005
kwt,284,2006
kwt,274,2007
kgz,681,1994
kgz,832,1995
kgz,991,1996
kgz,1536,1997
kgz,830,1998
kgz,1642,1999
kgz,1296,2000
kgz,0,2001
kgz,1587,2002
kgz,1643,2003
kgz,1761,2004
kgz,1972,2005
kgz,1833,2006
kgz,1720,2007
lao,478,1995
lao,886,1996
lao,1234,1997
lao,1494,1998
lao,1706,1999
lao,1526,2000
lao,1563,2001
lao,1829,2002
lao,1866,2003
lao,2226,2004
lao,2806,2005
lao,3041,2006
lao,3080,2007
lva,470,1993
lva,504,1995
lva,575,1996
lva,634,1997
lva,668,1998
lva,588,1999
lva,637,2000
lva,661,2001
lva,636,2002
lva,641,2003
lva,582,2004
lva,536,2005
lva,498,2006
lva,478,2007
lbn,148,1994
lbn,197,1995
lbn,198,1996
lbn,206,1997
lbn,224,1998
lbn,249,1999
lbn,202,2000
lbn,171,2001
lbn,148,2002
lbn,134,2003
lbn,146,2004
lbn,131,2005
lbn,112,2006
lbn,143,2007
lso,1405,1993
lso,1330,1994
lso,1361,1995
lso,1788,1996
lso,2398,1997
lso,2476,1998
lso,2729,1999
lso,3041,2000
lso,3167,2002
lso,3652,2003
lso,4272,2004
lso,4280,2005
lso,4024,2006
lso,788,2007
lbr,1547,1993
lbr,1154,1995
lbr,668,1996
lbr,1190,1998
lbr,1021,2000
lbr,934,2001
lbr,1974,2002
lbr,1319,2003
lbr,2490,2004
lbr,2167,2005
lbr,2906,2006
lby,515,1996
lby,803,1999
lby,607,2000
lby,722,2002
lby,764,2003
lby,872,2004
lby,860,2005
lby,745,2006
lby,772,2007
ltu,688,1993
ltu,979,1995
ltu,1121,1996
ltu,1200,1997
ltu,787,1998
ltu,787,1999
ltu,776,2000
ltu,935,2001
ltu,822,2002
ltu,912,2003
ltu,863,2004
ltu,964,2005
ltu,1029,2006
ltu,925,2007
lux,29,1996
lux,31,1997
lux,24,1998
lux,21,2000
lux,11,2001
lux,17,2002
lux,31,2003
lux,20,2004
lux,14,2005
lux,22,2006
lux,0,2007
mdg,6881,1993
mdg,7366,1994
mdg,8026,1995
mdg,8456,1996
mdg,9639,1998
mdg,11090,2001
mdg,11390,2002
mdg,12880,2003
mdg,13530,2004
mdg,13060,2005
mdg,15610,2006
mdg,15340,2007
mwi,4301,1990
mwi,4059,1991
mwi,4630,1992
mwi,5692,1993
mwi,5988,1994
mwi,6285,1995
mwi,6703,1996
mwi,7587,1997
mwi,8765,1998
mwi,8132,1999
mwi,8260,2000
mwi,8309,2001
mwi,7703,2002
mwi,7716,2003
mwi,8566,2004
mwi,8443,2005
mwi,8166,2006
mwi,7608,2007
mys,6954,1993
mys,6861,1994
mys,6688,1995
mys,7271,1996
mys,7496,1997
mys,7802,1998
mys,8207,1999
mys,8156,2000
mys,8309,2001
mys,7958,2002
mys,7989,2003
mys,7843,2004
mys,8446,2005
mys,9414,2006
mys,9578,2007
mdv,126,1993
mdv,125,1994
mdv,114,1995
mdv,106,1996
mdv,95,1997
mdv,88,1998
mdv,88,1999
mdv,65,2000
mdv,59,2001
mdv,60,2002
mdv,68,2003
mdv,66,2004
mdv,66,2005
mdv,53,2006
mdv,59,2007
mli,1740,1994
mli,1866,1995
mli,2173,1996
mli,3178,1997
mli,2558,1998
mli,2690,1999
mli,2527,2000
mli,2757,2002
mli,3015,2003
mli,3069,2004
mli,3523,2005
mli,3802,2006
mli,3894,2007
mlt,13,1993
mlt,6,1994
mlt,5,1995
mlt,5,1996
mlt,3,1997
mlt,6,1998
mlt,9,1999
mlt,5,2000
mlt,3,2001
mlt,5,2002
mlt,2,2003
mlt,2,2004
mlt,5,2005
mlt,4,2006
mlt,8,2007
mrt,2074,1995
mrt,2519,1997
mrt,1172,1998
mrt,2051,1999
mrt,1583,2000
mrt,1662,2004
mrt,1155,2005
mrt,1486,2006
mrt,1714,2007
mus,113,1995
mus,99,1996
mus,112,1997
mus,109,1998
mus,122,1999
mus,115,2000
mus,85,2001
mus,86,2002
mus,99,2003
mus,117,2004
mus,110,2005
mus,85,2006
mus,86,2007
mex,8164,1993
mex,9726,1994
mex,9220,1995
mex,8495,1996
mex,15440,1997
mex,11470,1998
mex,11970,1999
mex,11680,2000
mex,15100,2001
mex,11560,2002
mex,12930,2003
mex,11210,2004
mex,12000,2005
mex,11870,2006
mex,11530,2007
fsm,9,1995
fsm,14,1996
fsm,9,1997
fsm,14,1998
fsm,15,2000
fsm,8,2001
fsm,22,2002
fsm,26,2003
fsm,35,2004
fsm,32,2005
fsm,41,2006
fsm,47,2007
mco,0,1996
mco,0,1997
mco,0,1998
mco,2,1999
mco,0,2000
mco,0,2001
mco,0,2002
mng,0,1990
mng,0,1992
mng,0,1993
mng,145,1994
mng,455,1995
mng,769,1996
mng,1171,1997
mng,1356,1998
mng,1513,1999
mng,1389,2000
mng,1631,2001
mng,1670,2002
mng,1541,2003
mng,1808,2004
mng,1868,2005
mng,2129,2006
mng,1856,2007
msr,0,1994
msr,1,1998
msr,2,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,1,2003
msr,0,2004
msr,1,2005
msr,0,2006
msr,1,2007
