gdppercapita_growth_percent_per_year,geo,time
3.177,caf,1976
1.504,caf,1977
-1.15,caf,1978
-4.886,caf,1979
-7.005,caf,1980
-4.327,caf,1981
4.525,caf,1982
-10.86,caf,1983
6.37,caf,1984
1.204,caf,1985
1.129,caf,1986
-6.994,caf,1987
-0.3931,caf,1988
-0.1823,caf,1989
-4.357,caf,1990
-2.952,caf,1991
-8.778,caf,1992
-2.229,caf,1993
2.265,caf,1994
4.615,caf,1995
-6.219,caf,1996
2.955,caf,1997
2.477,caf,1998
1.527,caf,1999
0.3842,caf,2000
-1.481,caf,2001
-2.197,caf,2002
-9.045,caf,2003
-0.5897,caf,2004
0.7281,caf,2005
2.031,caf,2006
1.871,caf,2007
0.1462,caf,2008
-0.1881,caf,2009
1.355,caf,2010
-0.7287,tcd,1961
3.115,tcd,1962
-3.709,tcd,1963
-4.59,tcd,1964
-1.513,tcd,1965
-3.837,tcd,1966
-1.288,tcd,1967
-2.499,tcd,1968
4.622,tcd,1969
-0.3869,tcd,1970
-4.511,tcd,1971
-1.277,tcd,1972
-10.59,tcd,1973
2.511,tcd,1974
6.605,tcd,1975
0.8487,tcd,1976
0.215,tcd,1977
-2.401,tcd,1978
-23.0,tcd,1979
-8.008,tcd,1980
-1.171,tcd,1981
2.936,tcd,1982
12.89,tcd,1983
-0.5644,tcd,1984
18.48,tcd,1985
-6.851,tcd,1986
-5.346,tcd,1987
11.89,tcd,1988
1.622,tcd,1989
-7.115,tcd,1990
5.268,tcd,1991
4.788,tcd,1992
-18.21,tcd,1993
6.846,tcd,1994
-1.834,tcd,1995
-0.9143,tcd,1996
2.398,tcd,1997
3.596,tcd,1998
-3.897,tcd,1999
-4.199,tcd,2000
7.783,tcd,2001
4.643,tcd,2002
10.68,tcd,2003
29.1,tcd,2004
13.6,tcd,2005
-2.763,tcd,2006
-2.58,tcd,2007
-3.036,tcd,2008
-4.149,tcd,2009
1.607,tcd,2010
3.225,chanisl,1999
5.3,chanisl,2000
-1.962,chanisl,2001
-2.056,chanisl,2002
-3.62,chanisl,2003
-0.2506,chanisl,2004
0.8326,chanisl,2005
4.238,chanisl,2006
5.191,chanisl,2007
1.441,chl,1961
2.555,chl,1962
3.493,chl,1963
0.2067,chl,1964
-1.888,chl,1965
7.599,chl,1966
1.485,chl,1967
1.689,chl,1968
1.491,chl,1969
0.2315,chl,1970
7.058,chl,1971
-2.548,chl,1972
-6.537,chl,1973
0.8501,chl,1974
-12.71,chl,1975
1.913,chl,1976
7.195,chl,1977
6.005,chl,1978
7.185,chl,1979
6.602,chl,1980
3.172,chl,1981
-11.71,chl,1982
-5.324,chl,1983
6.217,chl,1984
5.358,chl,1985
3.851,chl,1986
4.821,chl,1987
5.504,chl,1988
8.66,chl,1989
1.875,chl,1990
6.028,chl,1991
10.23,chl,1992
5.058,chl,1993
3.877,chl,1994
8.827,chl,1995
5.788,chl,1996
5.102,chl,1997
1.864,chl,1998
-2.014,chl,1999
3.213,chl,2000
2.156,chl,2001
1.02,chl,2002
2.772,chl,2003
4.908,chl,2004
4.462,chl,2005
3.53,chl,2006
3.565,chl,2007
2.66,chl,2008
-2.61,chl,2009
4.227,chl,2010
-26.36,chn,1961
-6.873,chn,1962
7.663,chn,1963
13.18,chn,1964
13.62,chn,1965
7.657,chn,1966
-8.093,chn,1967
-6.571,chn,1968
13.74,chn,1969
16.15,chn,1970
4.101,chn,1971
1.28,chn,1972
5.464,chn,1973
0.2082,chn,1974
6.797,chn,1975
-3.111,chn,1976
6.144,chn,1977
10.22,chn,1978
6.174,chn,1979
6.456,chn,1980
3.861,chn,1981
7.505,chn,1982
9.309,chn,1983
13.7,chn,1984
11.96,chn,1985
7.194,chn,1986
9.825,chn,1987
9.522,chn,1988
2.516,chn,1989
2.288,chn,1990
7.72,chn,1991
12.81,chn,1992
12.7,chn,1993
11.83,chn,1994
9.702,chn,1995
8.853,chn,1996
8.187,chn,1997
6.771,chn,1998
6.672,chn,1999
7.549,chn,2000
7.516,chn,2001
8.371,chn,2002
9.317,chn,2003
9.448,chn,2004
10.65,chn,2005
12.07,chn,2006
13.61,chn,2007
9.04,chn,2008
8.648,chn,2009
9.829,chn,2010
2.184,col,1961
2.379,col,1962
-0.1022,col,1963
3.502,col,1964
0.03796,col,1965
2.3,col,1966
1.229,col,1967
3.466,col,1968
3.663,col,1969
4.217,col,1970
3.374,col,1971
5.171,col,1972
4.321,col,1973
3.379,col,1974
-0.05188,col,1975
2.437,col,1976
1.773,col,1977
5.989,col,1978
2.992,col,1979
1.761,col,1980
-0.009222,col,1981
-1.273,col,1982
-0.626,col,1983
1.137,col,1984
0.9092,col,1985
3.637,col,1986
3.215,col,1987
1.965,col,1988
1.371,col,1989
3.98,col,1990
0.3234,col,1991
3.062,col,1992
0.4757,col,1993
3.909,col,1994
3.311,col,1995
0.2429,col,1996
1.617,col,1997
-1.168,col,1998
-5.83,col,1999
2.683,col,2000
0.02204,col,2001
0.8678,col,2002
2.291,col,2003
3.708,col,2004
3.113,col,2005
5.096,col,2006
5.32,col,2007
2.043,col,2008
0.2082,col,2009
2.561,col,2010
0.2328,com,1981
2.87,com,1982
1.552,com,1983
1.029,com,1984
-0.6066,com,1985
-0.87,com,1986
-0.9622,com,1987
0.1568,com,1988
-5.517,com,1989
2.575,com,1990
-7.652,com,1991
5.947,com,1992
0.5444,com,1993
-7.562,com,1994
1.078,com,1995
-3.74,com,1996
1.413,com,1997
-1.299,com,1998
-0.7009,com,1999
-1.216,com,2000
0.6278,com,2001
1.41,com,2002
-0.2334,com,2003
-2.887,com,2004
1.458,com,2005
-1.453,com,2006
-2.181,com,2007
-1.695,com,2008
-0.8552,com,2009
-0.5707,com,2010
-13.11,cod,1961
18.1,cod,1962
2.483,cod,1963
-5.03,cod,1964
-1.754,cod,1965
3.788,cod,1966
-3.814,cod,1967
1.327,cod,1968
6.196,cod,1969
-3.063,cod,1970
3.065,cod,1971
-2.588,cod,1972
5.186,cod,1973
0.2803,cod,1974
-7.663,cod,1975
-8.049,cod,1976
-2.208,cod,1977
-8.141,cod,1978
-2.486,cod,1979
-0.6905,cod,1980
-0.4581,cod,1981
-3.143,cod,1982
-1.319,cod,1983
2.65,cod,1984
-2.369,cod,1985
1.704,cod,1986
-0.329,cod,1987
-2.6,cod,1988
-4.506,cod,1989
-9.875,cod,1990
-11.93,cod,1991
-14.1,cod,1992
-16.92,cod,1993
-7.434,cod,1994
-2.538,cod,1995
-3.706,cod,1996
-7.804,cod,1997
-3.71,cod,1998
-6.358,cod,1999
-9.144,cod,2000
-4.717,cod,2001
0.5079,cod,2002
2.649,cod,2003
3.471,cod,2004
3.375,cod,2005
2.118,cod,2006
3.313,cod,2007
3.303,cod,2008
0.03099,cod,2009
4.339,cod,2010
5.602,cog,1961
2.479,cog,1962
-6.557,cog,1963
1.043,cog,1964
0.872,cog,1965
-1.408,cog,1966
-0.6976,cog,1967
4.624,cog,1968
4.485,cog,1969
3.264,cog,1970
4.55,cog,1971
5.338,cog,1972
4.947,cog,1973
4.636,cog,1974
4.536,cog,1975
-2.021,cog,1976
-11.56,cog,1977
3.335,cog,1978
6.685,cog,1979
14.26,cog,1980
14.22,cog,1981
20.01,cog,1982
2.784,cog,1983
3.906,cog,1984
-3.978,cog,1985
-9.452,cog,1986
-2.56,cog,1987
-0.9951,cog,1988
-0.1602,cog,1989
-1.7,cog,1990
-0.3139,cog,1991
-0.09744,cog,1992
-3.604,cog,1993
-8.012,cog,1994
1.193,cog,1995
1.427,cog,1996
-3.376,cog,1997
0.8231,cog,1998
-5.217,cog,1999
4.843,cog,2000
1.295,cog,2001
2.196,cog,2002
-1.484,cog,2003
1.079,cog,2004
5.133,cog,2005
3.347,cog,2006
-4.282,cog,2007
2.661,cog,2008
4.603,cog,2009
6.02,cog,2010
-4.355,cri,1961
4.41,cri,1962
1.199,cri,1963
0.6957,cri,1964
6.353,cri,1965
4.615,cri,1966
2.598,cri,1967
5.395,cri,1968
2.8,cri,1969
4.8,cri,1970
4.222,cri,1971
5.692,cri,1972
5.268,cri,1973
3.104,cri,1974
-0.3609,cri,1975
2.859,cri,1976
6.063,cri,1977
3.422,cri,1978
2.089,cri,1979
-1.999,cri,1980
-4.941,cri,1981
-9.836,cri,1982
0.03635,cri,1983
3.302,cri,1984
-1.688,cri,1985
2.959,cri,1986
4.054,cri,1987
1.117,cri,1988
2.378,cri,1989
1.296,cri,1990
0.0557,cri,1991
6.532,cri,1992
4.859,cri,1993
2.22,cri,1994
1.392,cri,1995
-1.614,cri,1996
2.94,cri,1997
5.723,cri,1998
5.654,cri,1999
-0.4766,cri,2000
-1.039,cri,2001
0.8797,cri,2002
4.429,cri,2003
2.409,cri,2004
4.073,cri,2005
6.982,cri,2006
6.219,cri,2007
1.143,cri,2008
-2.767,cri,2009
2.701,cri,2010
5.883,civ,1961
-2.623,civ,1962
10.05,civ,1963
13.02,civ,1964
-6.885,civ,1965
7.246,civ,1966
0.5321,civ,1967
8.126,civ,1968
5.14,civ,1969
5.821,civ,1970
4.83,civ,1971
-0.2502,civ,1972
1.308,civ,1973
-0.2896,civ,1974
3.42,civ,1975
7.85,civ,1976
2.495,civ,1977
5.945,civ,1978
-2.152,civ,1979
-14.86,civ,1980
-0.9828,civ,1981
-4.071,civ,1982
-7.898,civ,1983
-6.612,civ,1984
0.47,civ,1985
-0.5449,civ,1986
-3.865,civ,1987
-2.319,civ,1988
-0.5097,civ,1989
-4.391,civ,1990
-3.268,civ,1991
-3.494,civ,1992
-3.359,civ,1993
-2.256,civ,1994
4.037,civ,1995
4.783,civ,1996
2.974,civ,1997
2.203,civ,1998
-0.6922,civ,1999
-5.668,civ,2000
-1.863,civ,2001
-3.082,civ,2002
-3.105,civ,2003
0.2075,civ,2004
-0.3685,civ,2005
-0.9919,civ,2006
-0.0351,civ,2007
0.4962,civ,2008
1.804,civ,2009
0.9852,civ,2010
-16.36,hrv,1991
-10.92,hrv,1992
-11.4,hrv,1993
5.643,hrv,1994
6.317,hrv,1995
10.04,hrv,1996
4.726,hrv,1997
3.585,hrv,1998
-2.195,hrv,1999
6.751,hrv,2000
3.329,hrv,2001
4.878,hrv,2002
5.371,hrv,2003
4.152,hrv,2004
4.209,hrv,2005
4.983,hrv,2006
5.155,hrv,2007
2.215,hrv,2008
-5.887,hrv,2009
-0.9435,hrv,2010
6.694,cub,1971
3.028,cub,1972
1.741,cub,1973
-0.5181,cub,1974
8.059,cub,1975
4.272,cub,1976
7.705,cub,1977
5.768,cub,1978
0.4144,cub,1979
-5.411,cub,1980
19.08,cub,1981
8.442,cub,1982
4.951,cub,1983
7.363,cub,1984
0.9147,cub,1985
-0.7516,cub,1986
-3.369,cub,1987
2.607,cub,1988
-0.3504,cub,1989
-3.836,cub,1990
-11.4,cub,1991
-12.18,cub,1992
-15.38,cub,1993
0.1863,cub,1994
1.959,cub,1995
7.362,cub,1996
2.382,cub,1997
-0.1996,cub,1998
5.837,cub,1999
5.573,cub,2000
2.85,cub,2001
1.109,cub,2002
3.49,cub,2003
5.517,cub,2004
11.01,cub,2005
11.96,cub,2006
7.228,cub,2007
4.133,cub,2008
1.488,cub,2009
2.107,cub,2010
21.24,cyp,1976
16.35,cyp,1977
7.378,cyp,1978
9.054,cyp,1979
4.611,cyp,1980
0.8288,cyp,1981
4.775,cyp,1982
4.715,cyp,1983
7.358,cyp,1984
3.615,cyp,1985
2.521,cyp,1986
5.907,cyp,1987
7.501,cyp,1988
6.42,cyp,1989
5.14,cyp,1990
-1.835,cyp,1991
6.528,cyp,1992
-1.703,cyp,1993
3.732,cyp,1994
4.194,cyp,1995
0.2384,cyp,1996
0.908,cyp,1997
3.763,cyp,1998
3.68,cyp,1999
3.931,cyp,2000
2.91,cyp,2001
0.8273,cyp,2002
0.1832,cyp,2003
1.827,cyp,2004
1.438,cyp,2005
2.137,cyp,2006
3.598,cyp,2007
2.438,cyp,2008
-2.519,cyp,2009
0.5693,cyp,2010
-11.4,cze,1991
-0.6168,cze,1992
-0.04119,cze,1993
2.182,cze,1994
6.01,cze,1995
4.149,cze,1996
-0.6238,cze,1997
-0.6649,cze,1998
1.443,cze,1999
3.764,cze,2000
2.815,cze,2001
2.213,cze,2002
3.577,cze,2003
4.396,cze,2004
6.111,cze,2005
6.461,cze,2006
5.463,cze,2007
1.577,cze,2008
-4.723,cze,2009
2.027,cze,2010
5.639,dnk,1961
4.847,dnk,1962
-0.1526,dnk,1963
8.4,dnk,1964
3.744,dnk,1965
1.919,dnk,1966
2.609,dnk,1967
3.344,dnk,1968
5.736,dnk,1969
1.262,dnk,1970
2.289,dnk,1971
3.581,dnk,1972
3.134,dnk,1973
-1.277,dnk,1974
-1.506,dnk,1975
5.827,dnk,1976
1.662,dnk,1977
1.957,dnk,1978
3.695,dnk,1979
-0.6085,dnk,1980
-0.8587,dnk,1981
3.79,dnk,1982
2.722,dnk,1983
4.22,dnk,1984
3.982,dnk,1985
4.809,dnk,1986
0.163,dnk,1987
-0.1912,dnk,1988
0.5126,dnk,1989
1.443,dnk,1990
1.038,dnk,1991
1.639,dnk,1992
-0.4219,dnk,1993
5.17,dnk,1994
2.53,dnk,1995
2.254,dnk,1996
2.77,dnk,1997
1.79,dnk,1998
2.222,dnk,1999
3.183,dnk,2000
0.3446,dnk,2001
0.1454,dnk,2002
0.1111,dnk,2003
2.032,dnk,2004
2.163,dnk,2005
3.055,dnk,2006
1.134,dnk,2007
-1.365,dnk,2008
-6.336,dnk,2009
0.8591,dnk,2010
-7.462,dji,1991
-2.17,dji,1992
-8.028,dji,1993
-2.502,dji,1994
-5.54,dji,1995
-6.778,dji,1996
-3.925,dji,1997
-3.269,dji,1998
-1.071,dji,1999
-2.377,dji,2000
-0.3583,dji,2001
0.5161,dji,2002
1.3,dji,2003
1.982,dji,2004
1.303,dji,2005
2.851,dji,2006
3.126,dji,2007
3.799,dji,2008
3.018,dji,2009
10.53,dma,1978
-19.19,dma,1979
13.67,dma,1980
11.99,dma,1981
4.423,dma,1982
3.267,dma,1983
6.186,dma,1984
2.075,dma,1985
7.98,dma,1986
8.495,dma,1987
9.505,dma,1988
0.457,dma,1989
5.721,dma,1990
0.7272,dma,1991
1.875,dma,1992
1.368,dma,1993
1.191,dma,1994
1.955,dma,1995
2.901,dma,1996
1.975,dma,1997
5.615,dma,1998
1.282,dma,1999
-1.791,dma,2000
0.1418,dma,2001
-1.601,dma,2002
7.736,dma,2003
3.484,dma,2004
-0.1939,dma,2005
4.988,dma,2006
5.919,dma,2007
7.026,dma,2008
-0.09892,dma,2009
-0.05674,dma,2010
-5.524,dom,1961
13.24,dom,1962
3.083,dom,1963
3.394,dom,1964
-15.19,dom,1965
10.02,dom,1966
0.2616,dom,1967
-2.671,dom,1968
7.743,dom,1969
14.94,dom,1970
7.858,dom,1971
7.459,dom,1972
9.96,dom,1973
3.309,dom,1974
2.582,dom,1975
4.141,dom,1976
2.493,dom,1977
-0.2385,dom,1978
2.126,dom,1979
5.504,dom,1980
1.917,dom,1981
-0.5868,dom,1982
2.301,dom,1983
-0.9703,dom,1984
-4.24,dom,1985
1.319,dom,1986
7.811,dom,1987
0.04958,dom,1988
2.278,dom,1989
-7.349,dom,1990
-1.052,dom,1991
8.361,dom,1992
5.179,dom,1993
0.4104,dom,1994
3.61,dom,1995
5.29,dom,1996
6.213,dom,1997
5.287,dom,1998
5.031,dom,1999
4.011,dom,2000
0.2425,dom,2001
4.182,dom,2002
-1.746,dom,2003
-0.1813,dom,2004
7.679,dom,2005
9.093,dom,2006
6.953,dom,2007
3.807,dom,2008
2.061,dom,2009
6.339,dom,2010
-1.366,ecu,1961
1.528,ecu,1962
0.8398,ecu,1963
4.646,ecu,1964
0.1375,ecu,1965
-3.03,ecu,1966
3.845,ecu,1967
-0.6811,ecu,1968
2.358,ecu,1969
4.475,ecu,1970
3.375,ecu,1971
1.581,ecu,1972
12.83,ecu,1973
5.265,ecu,1974
5.249,ecu,1975
4.593,ecu,1976
-0.5632,ecu,1977
3.823,ecu,1978
2.299,ecu,1979
1.586,ecu,1980
0.5702,ecu,1981
-3.221,ecu,1982
-5.093,ecu,1983
1.149,ecu,1984
0.2963,ecu,1985
1.468,ecu,1986
-4.544,ecu,1987
5.769,ecu,1988
-1.381,ecu,1989
0.3454,ecu,1990
2.859,ecu,1991
-0.6812,ecu,1992
-1.792,ecu,1993
2.636,ecu,1994
-0.1311,ecu,1995
0.6367,ecu,1996
2.375,ecu,1997
0.5282,ecu,1998
-7.754,ecu,1999
1.164,ecu,2000
3.599,ecu,2001
3.338,ecu,2002
1.52,ecu,2003
7.004,ecu,2004
4.031,ecu,2005
3.113,ecu,2006
0.4904,ecu,2007
5.662,ecu,2008
-1.08,ecu,2009
2.125,ecu,2010
1.683,egy,1961
4.096,egy,1962
6.26,egy,1963
5.392,egy,1964
6.471,egy,1965
-1.473,egy,1966
-1.87,egy,1967
0.2122,egy,1968
4.264,egy,1969
3.149,egy,1970
1.111,egy,1971
-0.2141,egy,1972
-1.476,egy,1973
0.2697,egy,1974
6.566,egy,1975
12.11,egy,1976
10.34,egy,1977
3.414,egy,1978
3.634,egy,1979
7.478,egy,1980
1.338,egy,1981
7.323,egy,1982
4.858,egy,1983
3.568,egy,1984
4.063,egy,1985
0.1939,egy,1986
0.07676,egy,1987
2.849,egy,1988
2.647,egy,1989
3.515,egy,1990
-0.8556,egy,1991
2.57,egy,1992
1.159,egy,1993
2.25,egy,1994
2.903,egy,1995
3.231,egy,1996
3.718,egy,1997
2.269,egy,1998
4.273,egy,1999
3.512,egy,2000
1.672,egy,2001
0.4936,egy,2002
1.283,egy,2003
2.168,egy,2004
2.559,egy,2005
4.914,egy,2006
5.177,egy,2007
5.266,egy,2008
2.857,egy,2009
3.326,egy,2010
0.4072,slv,1961
8.46,slv,1962
1.009,slv,1963
5.909,slv,1964
2.163,slv,1965
4.014,slv,1966
2.441,slv,1967
0.3866,slv,1968
0.6856,slv,1969
0.2342,slv,1970
1.136,slv,1971
3.399,slv,1972
2.26,slv,1973
2.835,slv,1974
0.6073,slv,1975
2.813,slv,1976
4.63,slv,1977
3.325,slv,1978
-5.883,slv,1979
-13.24,slv,1980
-11.84,slv,1981
-7.662,slv,1982
0.1433,slv,1983
-0.004684,slv,1984
-0.6924,slv,1985
-1.086,slv,1986
1.235,slv,1987
0.595,slv,1988
-0.3643,slv,1989
3.373,slv,1990
2.036,slv,1991
5.878,slv,1992
5.725,slv,1993
4.557,slv,1994
5.104,slv,1995
0.6876,slv,1996
3.394,slv,1997
3.061,slv,1998
2.871,slv,1999
1.651,slv,2000
1.271,slv,2001
1.961,slv,2002
1.955,slv,2003
1.508,slv,2004
3.191,slv,2005
3.502,slv,2006
3.391,slv,2007
0.7991,slv,2008
-3.617,slv,2009
0.8927,slv,2010
-6.94,gnq,1986
0.5433,gnq,1987
-0.5173,gnq,1988
-4.127,gnq,1989
0.06792,gnq,1990
-4.372,gnq,1991
7.011,gnq,1992
2.728,gnq,1993
1.61,gnq,1994
10.51,gnq,1995
24.96,gnq,1996
65.69,gnq,1997
18.03,gnq,1998
36.97,gnq,1999
9.911,gnq,2000
56.83,gnq,2001
15.75,gnq,2002
10.45,gnq,2003
33.84,gnq,2004
6.508,gnq,2005
-1.659,gnq,2006
18.02,gnq,2007
7.604,gnq,2008
2.42,gnq,2009
-1.778,gnq,2010
13.58,eri,1993
21.01,eri,1994
2.012,eri,1995
7.567,eri,1996
5.575,eri,1997
-0.9914,eri,1998
-3.14,eri,1999
-16.15,eri,2000
4.739,eri,2001
-1.181,eri,2002
-6.683,eri,2003
-2.604,eri,2004
-1.271,eri,2005
-4.363,eri,2006
-1.802,eri,2007
-12.51,eri,2008
0.8103,eri,2009
-0.8314,eri,2010
0.7179,est,1981
4.942,est,1982
2.99,est,1983
2.132,est,1984
-0.1683,est,1985
0.3535,est,1986
2.703,est,1987
2.221,est,1988
2.658,est,1989
-7.125,est,1990
-7.537,est,1991
-19.72,est,1992
-3.282,est,1993
0.4837,est,1994
6.867,est,1995
6.537,est,1996
12.07,est,1997
6.375,est,1998
0.6263,est,1999
10.05,est,2000
8.944,est,2001
8.376,est,2002
7.968,est,2003
7.562,est,2004
9.694,est,2005
10.77,est,2006
7.069,est,2007
-4.993,est,2008
-13.87,est,2009
3.125,est,2010
-1.888,eth,1982
4.914,eth,1983
-5.944,eth,1984
-13.98,eth,1985
6.196,eth,1986
10.26,eth,1987
-2.691,eth,1988
-3.574,eth,1989
-0.6437,eth,1990
-10.23,eth,1991
-11.73,eth,1992
9.396,eth,1993
-0.1303,eth,1994
2.851,eth,1995
9.113,eth,1996
0.2227,eth,1997
-6.086,eth,1998
2.372,eth,1999
3.308,eth,2000
5.524,eth,2001
-1.039,eth,2002
-4.571,eth,2003
10.84,eth,2004
9.203,eth,2005
8.312,eth,2006
8.982,eth,2007
8.379,eth,2008
6.459,eth,2009
7.797,eth,2010
0.01621,fji,1961
0.06067,fji,1962
2.79,fji,1963
1.56,fji,1964
-5.519,fji,1965
-2.614,fji,1966
10.66,fji,1967
5.541,fji,1968
0.4271,fji,1969
10.35,fji,1970
4.662,fji,1971
5.265,fji,1972
9.337,fji,1973
0.5545,fji,1974
-1.424,fji,1975
0.8249,fji,1976
4.004,fji,1977
0.009797,fji,1978
10.02,fji,1979
-3.728,fji,1980
3.764,fji,1981
-8.406,fji,1982
-6.37,fji,1983
6.076,fji,1984
-6.124,fji,1985
6.725,fji,1986
-7.016,fji,1987
0.7999,fji,1988
7.194,fji,1989
5.221,fji,1990
-3.609,fji,1991
4.798,fji,1992
0.6981,fji,1993
3.625,fji,1994
1.188,fji,1995
3.59,fji,1996
-3.242,fji,1997
0.3486,fji,1998
7.958,fji,1999
-2.28,fji,2000
1.617,fji,2001
3.003,fji,2002
0.8761,fji,2003
5.073,fji,2004
0.2775,fji,2005
1.168,fji,2006
-1.708,fji,2007
0.02848,fji,2008
-2.277,fji,2009
-0.5769,fji,2010
6.848,fin,1961
2.284,fin,1962
2.557,fin,1963
4.655,fin,1964
4.952,fin,1965
1.99,fin,1966
1.617,fin,1967
1.845,fin,1968
9.657,fin,1969
5.734,fin,1970
2.228,fin,1971
7.096,fin,1972
6.378,fin,1973
2.697,fin,1974
1.354,fin,1975
0.04235,fin,1976
-0.04051,fin,1977
2.625,fin,1978
6.848,fin,1979
5.062,fin,1980
0.8554,fin,1981
2.473,fin,1982
2.412,fin,1983
2.558,fin,1984
2.872,fin,1985
2.309,fin,1986
3.197,fin,1987
4.916,fin,1988
4.699,fin,1989
0.0606,fin,1990
-6.512,fin,1991
-4.026,fin,1992
-1.289,fin,1993
3.208,fin,1994
3.566,fin,1995
3.23,fin,1996
5.89,fin,1997
4.753,fin,1998
3.667,fin,1999
5.105,fin,2000
2.051,fin,2001
1.588,fin,2002
1.769,fin,2003
3.823,fin,2004
2.564,fin,2005
4.011,fin,2006
4.888,fin,2007
-0.1723,fin,2008
-8.792,fin,2009
3.246,fin,2010
4.13,fra,1961
5.198,fra,1962
3.882,fra,1963
5.121,fra,1964
3.548,fra,1965
4.15,fra,1966
3.777,fra,1967
3.452,fra,1968
6.195,fra,1969
4.93,fra,1970
4.5,fra,1971
3.702,fra,1972
5.778,fra,1973
3.939,fra,1974
-1.744,fra,1975
3.834,fra,1976
3.107,fra,1977
3.475,fra,1978
3.028,fra,1979
1.185,fra,1980
0.4836,fra,1981
1.877,fra,1982
0.6703,fra,1983
0.9206,fra,1984
1.038,fra,1985
1.681,fra,1986
1.811,fra,1987
4.088,fra,1988
3.635,fra,1989
2.109,fra,1990
0.5697,fra,1991
1.035,fra,1992
-1.079,fra,1993
1.835,fra,1994
1.637,fra,1995
0.6653,fra,1996
1.778,fra,1997
2.946,fra,1998
2.965,fra,1999
2.98,fra,2000
1.104,fra,2001
0.2046,fra,2002
0.1939,fra,2003
1.8,fra,2004
1.069,fra,2005
1.763,fra,2006
1.662,fra,2007
-0.6442,fra,2008
-3.264,fra,2009
0.9289,fra,2010
5.796,pyf,1966
-8.113,pyf,1967
10.84,pyf,1968
-6.085,pyf,1969
-1.804,pyf,1970
8.367,pyf,1971
-7.685,pyf,1972
4.501,pyf,1973
14.42,pyf,1974
-7.79,pyf,1975
4.92,pyf,1976
-0.999,pyf,1977
6.6,pyf,1978
0.8355,pyf,1979
-2.472,pyf,1980
5.34,pyf,1981
6.805,pyf,1982
2.439,pyf,1983
2.541,pyf,1984
2.666,pyf,1985
5.711,pyf,1986
4.558,pyf,1987
0.06999,pyf,1988
0.7417,pyf,1989
0.03133,pyf,1990
2.754,pyf,1991
-1.092,pyf,1992
-1.836,pyf,1993
-1.148,pyf,1994
-1.463,pyf,1995
-1.693,pyf,1996
-0.1387,pyf,1997
4.113,pyf,1998
2.058,pyf,1999
2.203,pyf,2000
14.14,gab,1961
6.795,gab,1962
5.389,gab,1963
3.82,gab,1964
7.531,gab,1965
3.705,gab,1966
3.256,gab,1967
1.515,gab,1968
6.761,gab,1969
6.999,gab,1970
8.175,gab,1971
8.899,gab,1972
7.526,gab,1973
35.96,gab,1974
16.12,gab,1975
32.1,gab,1976
-14.89,gab,1977
-26.09,gab,1978
-2.286,gab,1979
-0.3396,gab,1980
2.063,gab,1981
-5.943,gab,1982
2.462,gab,1983
4.267,gab,1984
-5.307,gab,1985
-3.838,gab,1986
-19.69,gab,1987
9.363,gab,1988
5.16,gab,1989
1.874,gab,1990
2.73,gab,1991
-6.185,gab,1992
0.6722,gab,1993
0.5518,gab,1994
1.921,gab,1995
0.7627,gab,1996
2.958,gab,1997
0.8846,gab,1998
-11.12,gab,1999
-4.14,gab,2000
-0.1234,gab,2001
-2.382,gab,2002
0.3788,gab,2003
-0.6661,gab,2004
1.026,gab,2005
-0.7352,gab,2006
3.593,gab,2007
0.4368,gab,2008
-3.223,gab,2009
3.811,gab,2010
-2.032,gmb,1967
7.151,gmb,1968
-0.05167,gmb,1969
3.336,gmb,1970
-2.978,gmb,1971
-2.914,gmb,1972
5.681,gmb,1973
2.442,gmb,1974
8.859,gmb,1975
4.101,gmb,1976
0.3682,gmb,1977
3.128,gmb,1978
-4.426,gmb,1979
2.709,gmb,1980
-0.3232,gmb,1981
-4.406,gmb,1982
6.603,gmb,1983
-0.7132,gmb,1984
-5.124,gmb,1985
-0.6943,gmb,1986
-2.41,gmb,1987
-0.4197,gmb,1988
1.25,gmb,1989
-0.5372,gmb,1990
-0.5076,gmb,1991
0.129,gmb,1992
0.03415,gmb,1993
-2.631,gmb,1994
-1.914,gmb,1995
-0.6116,gmb,1996
2.007,gmb,1997
0.6368,gmb,1998
3.425,gmb,1999
2.507,gmb,2000
2.743,gmb,2001
-6.088,gmb,2002
3.721,gmb,2003
3.922,gmb,2004
-3.727,gmb,2005
-1.35,gmb,2006
2.26,gmb,2007
2.558,gmb,2008
3.276,gmb,2009
2.142,gmb,2010
6.313,geo,1966
5.213,geo,1967
3.513,geo,1968
3.802,geo,1969
15.23,geo,1970
1.408,geo,1971
-1.954,geo,1972
5.549,geo,1973
7.868,geo,1974
6.591,geo,1975
5.335,geo,1976
6.17,geo,1977
6.804,geo,1978
6.583,geo,1979
3.698,geo,1980
4.407,geo,1981
1.142,geo,1982
3.389,geo,1983
4.531,geo,1984
4.026,geo,1985
-8.987,geo,1986
0.4493,geo,1987
4.516,geo,1988
-7.439,geo,1989
-14.77,geo,1990
-21.65,geo,1991
-45.33,geo,1992
-29.84,geo,1993
-9.488,geo,1994
5.365,geo,1995
14.04,geo,1996
12.58,geo,1997
4.123,geo,1998
3.673,geo,1999
2.627,geo,2000
5.568,geo,2001
6.186,geo,2002
11.78,geo,2003
6.117,geo,2004
8.522,geo,2005
8.468,geo,2006
12.59,geo,2007
2.424,geo,2008
-4.367,geo,2009
5.383,geo,2010
