geo,time,nuclear_power_generation_total
jpn,2007,22690000.0
jpn,2008,22200000.0
jpn,2009,24050000.0
jpn,2010,24780000.0
jpn,2011,8750000.0
jor,1971,0.0
jor,1972,0.0
jor,1973,0.0
jor,1974,0.0
jor,1975,0.0
jor,1976,0.0
jor,1977,0.0
jor,1978,0.0
jor,1979,0.0
jor,1980,0.0
jor,1981,0.0
jor,1982,0.0
jor,1983,0.0
jor,1984,0.0
jor,1985,0.0
jor,1986,0.0
jor,1987,0.0
jor,1988,0.0
jor,1989,0.0
jor,1990,0.0
jor,1991,0.0
jor,1992,0.0
jor,1993,0.0
jor,1994,0.0
jor,1995,0.0
jor,1996,0.0
jor,1997,0.0
jor,1998,0.0
jor,1999,0.0
jor,2000,0.0
jor,2001,0.0
jor,2002,0.0
jor,2003,0.0
jor,2004,0.0
jor,2005,0.0
jor,2006,0.0
jor,2007,0.0
jor,2008,0.0
jor,2009,0.0
jor,2010,0.0
kaz,1990,0.0
kaz,1991,0.0
kaz,1992,0.0
kaz,1993,0.0
kaz,1994,0.0
kaz,1995,0.0
kaz,1996,0.0
kaz,1997,0.0
kaz,1998,0.0
kaz,1999,0.0
kaz,2000,0.0
kaz,2001,0.0
kaz,2002,0.0
kaz,2003,0.0
kaz,2004,0.0
kaz,2005,0.0
kaz,2006,0.0
kaz,2007,0.0
kaz,2008,0.0
kaz,2009,0.0
kaz,2010,0.0
ken,1971,0.0
ken,1972,0.0
ken,1973,0.0
ken,1974,0.0
ken,1975,0.0
ken,1976,0.0
ken,1977,0.0
ken,1978,0.0
ken,1979,0.0
ken,1980,0.0
ken,1981,0.0
ken,1982,0.0
ken,1983,0.0
ken,1984,0.0
ken,1985,0.0
ken,1986,0.0
ken,1987,0.0
ken,1988,0.0
ken,1989,0.0
ken,1990,0.0
ken,1991,0.0
ken,1992,0.0
ken,1993,0.0
ken,1994,0.0
ken,1995,0.0
ken,1996,0.0
ken,1997,0.0
ken,1998,0.0
ken,1999,0.0
ken,2000,0.0
ken,2001,0.0
ken,2002,0.0
ken,2003,0.0
ken,2004,0.0
ken,2005,0.0
ken,2006,0.0
ken,2007,0.0
ken,2008,0.0
ken,2009,0.0
ken,2010,0.0
prk,1971,0.0
prk,1972,0.0
prk,1973,0.0
prk,1974,0.0
prk,1975,0.0
prk,1976,0.0
prk,1977,0.0
prk,1978,0.0
prk,1979,0.0
prk,1980,0.0
prk,1981,0.0
prk,1982,0.0
prk,1983,0.0
prk,1984,0.0
prk,1985,0.0
prk,1986,0.0
prk,1987,0.0
prk,1988,0.0
prk,1989,0.0
prk,1990,0.0
prk,1991,0.0
prk,1992,0.0
prk,1993,0.0
prk,1994,0.0
prk,1995,0.0
prk,1996,0.0
prk,1997,0.0
prk,1998,0.0
prk,1999,0.0
prk,2000,0.0
prk,2001,0.0
prk,2002,0.0
prk,2003,0.0
prk,2004,0.0
prk,2005,0.0
prk,2006,0.0
prk,2007,0.0
prk,2008,0.0
prk,2009,0.0
prk,2010,0.0
kor,1971,0.0
kor,1972,0.0
kor,1973,0.0
kor,1974,0.0
kor,1975,0.0
kor,1976,0.0
kor,1977,6105.0
kor,1978,199800.0
kor,1979,271000.0
kor,1980,299000.0
kor,1981,249100.0
kor,1982,324800.0
kor,1983,770900.0
kor,1984,1014000.0
kor,1985,1440000.0
kor,1986,2434000.0
kor,1987,3380000.0
kor,1988,3448000.0
kor,1989,4073000.0
kor,1990,4547000.0
kor,1991,4842000.0
kor,1992,4861000.0
kor,1993,4999000.0
kor,1994,5043000.0
kor,1995,5763000.0
kor,1996,6356000.0
kor,1997,6628000.0
kor,1998,7712000.0
kor,1999,8862000.0
kor,2000,9369000.0
kor,2001,9642000.0
kor,2002,10240000.0
kor,2003,11150000.0
kor,2004,11240000.0
kor,2005,12620000.0
kor,2006,12790000.0
kor,2007,12290000.0
kor,2008,12980000.0
kor,2009,12710000.0
kor,2010,12780000.0
kor,2011,12910000.0
kos,2000,0.0
kos,2001,0.0
kos,2002,0.0
kos,2003,0.0
kos,2004,0.0
kos,2005,0.0
kos,2006,0.0
kos,2007,0.0
kos,2008,0.0
kos,2009,0.0
kos,2010,0.0
kwt,1971,0.0
kwt,1972,0.0
kwt,1973,0.0
kwt,1974,0.0
kwt,1975,0.0
kwt,1976,0.0
kwt,1977,0.0
kwt,1978,0.0
kwt,1979,0.0
kwt,1980,0.0
kwt,1981,0.0
kwt,1982,0.0
kwt,1983,0.0
kwt,1984,0.0
kwt,1985,0.0
kwt,1986,0.0
kwt,1987,0.0
kwt,1988,0.0
kwt,1989,0.0
kwt,1990,0.0
kwt,1991,0.0
kwt,1992,0.0
kwt,1993,0.0
kwt,1994,0.0
kwt,1995,0.0
kwt,1996,0.0
kwt,1997,0.0
kwt,1998,0.0
kwt,1999,0.0
kwt,2000,0.0
kwt,2001,0.0
kwt,2002,0.0
kwt,2003,0.0
kwt,2004,0.0
kwt,2005,0.0
kwt,2006,0.0
kwt,2007,0.0
kwt,2008,0.0
kwt,2009,0.0
kwt,2010,0.0
kgz,1990,0.0
kgz,1991,0.0
kgz,1992,0.0
kgz,1993,0.0
kgz,1994,0.0
kgz,1995,0.0
kgz,1996,0.0
kgz,1997,0.0
kgz,1998,0.0
kgz,1999,0.0
kgz,2000,0.0
kgz,2001,0.0
kgz,2002,0.0
kgz,2003,0.0
kgz,2004,0.0
kgz,2005,0.0
kgz,2006,0.0
kgz,2007,0.0
kgz,2008,0.0
kgz,2009,0.0
kgz,2010,0.0
lva,1990,0.0
lva,1991,0.0
lva,1992,0.0
lva,1993,0.0
lva,1994,0.0
lva,1995,0.0
lva,1996,0.0
lva,1997,0.0
lva,1998,0.0
lva,1999,0.0
lva,2000,0.0
lva,2001,0.0
lva,2002,0.0
lva,2003,0.0
lva,2004,0.0
lva,2005,0.0
lva,2006,0.0
lva,2007,0.0
lva,2008,0.0
lva,2009,0.0
lva,2010,0.0
lbn,1971,0.0
lbn,1972,0.0
lbn,1973,0.0
lbn,1974,0.0
lbn,1975,0.0
lbn,1976,0.0
lbn,1977,0.0
lbn,1978,0.0
lbn,1979,0.0
lbn,1980,0.0
lbn,1981,0.0
lbn,1982,0.0
lbn,1983,0.0
lbn,1984,0.0
lbn,1985,0.0
lbn,1986,0.0
lbn,1987,0.0
lbn,1988,0.0
lbn,1989,0.0
lbn,1990,0.0
lbn,1991,0.0
lbn,1992,0.0
lbn,1993,0.0
lbn,1994,0.0
lbn,1995,0.0
lbn,1996,0.0
lbn,1997,0.0
lbn,1998,0.0
lbn,1999,0.0
lbn,2000,0.0
lbn,2001,0.0
lbn,2002,0.0
lbn,2003,0.0
lbn,2004,0.0
lbn,2005,0.0
lbn,2006,0.0
lbn,2007,0.0
lbn,2008,0.0
lbn,2009,0.0
lbn,2010,0.0
lby,1971,0.0
lby,1972,0.0
lby,1973,0.0
lby,1974,0.0
lby,1975,0.0
lby,1976,0.0
lby,1977,0.0
lby,1978,0.0
lby,1979,0.0
lby,1980,0.0
lby,1981,0.0
lby,1982,0.0
lby,1983,0.0
lby,1984,0.0
lby,1985,0.0
lby,1986,0.0
lby,1987,0.0
lby,1988,0.0
lby,1989,0.0
lby,1990,0.0
lby,1991,0.0
lby,1992,0.0
lby,1993,0.0
lby,1994,0.0
lby,1995,0.0
lby,1996,0.0
lby,1997,0.0
lby,1998,0.0
lby,1999,0.0
lby,2000,0.0
lby,2001,0.0
lby,2002,0.0
lby,2003,0.0
lby,2004,0.0
lby,2005,0.0
lby,2006,0.0
lby,2007,0.0
lby,2008,0.0
lby,2009,0.0
lby,2010,0.0
ltu,1990,1465000.0
ltu,1991,1462000.0
ltu,1992,1259000.0
ltu,1993,1054000.0
ltu,1994,662600.0
ltu,1995,1017000.0
ltu,1996,1199000.0
ltu,1997,1034000.0
ltu,1998,1165000.0
ltu,1999,848000.0
ltu,2000,723900.0
ltu,2001,977000.0
ltu,2002,1216000.0
ltu,2003,1331000.0
ltu,2004,1299000.0
ltu,2005,888800.0
ltu,2006,743900.0
ltu,2007,845500.0
ltu,2008,850700.0
ltu,2009,933100.0
ltu,2010,0.0
lux,1960,0.0
lux,1961,0.0
lux,1962,0.0
lux,1963,0.0
lux,1964,0.0
lux,1965,0.0
lux,1966,0.0
lux,1967,0.0
lux,1968,0.0
lux,1969,0.0
lux,1970,0.0
lux,1971,0.0
lux,1972,0.0
lux,1973,0.0
lux,1974,0.0
lux,1975,0.0
lux,1976,0.0
lux,1977,0.0
lux,1978,0.0
lux,1979,0.0
lux,1980,0.0
lux,1981,0.0
lux,1982,0.0
lux,1983,0.0
lux,1984,0.0
lux,1985,0.0
lux,1986,0.0
lux,1987,0.0
lux,1988,0.0
lux,1989,0.0
lux,1990,0.0
lux,1991,0.0
lux,1992,0.0
lux,1993,0.0
lux,1994,0.0
lux,1995,0.0
lux,1996,0.0
lux,1997,0.0
lux,1998,0.0
lux,1999,0.0
lux,2000,0.0
lux,2001,0.0
lux,2002,0.0
lux,2003,0.0
lux,2004,0.0
lux,2005,0.0
lux,2006,0.0
lux,2007,0.0
lux,2008,0.0
lux,2009,0.0
lux,2010,0.0
lux,2011,0.0
mkd,1990,0.0
mkd,1991,0.0
mkd,1992,0.0
mkd,1993,0.0
mkd,1994,0.0
mkd,1995,0.0
mkd,1996,0.0
mkd,1997,0.0
mkd,1998,0.0
mkd,1999,0.0
mkd,2000,0.0
mkd,2001,0.0
mkd,2002,0.0
mkd,2003,0.0
mkd,2004,0.0
mkd,2005,0.0
mkd,2006,0.0
mkd,2007,0.0
mkd,2008,0.0
