total_reserves_percent_of_debt_to_foreigners,geo,time
13.42,tur,1983
11.3,tur,1984
8.909,tur,1985
8.844,tur,1986
8.867,tur,1987
9.544,tur,1988
15.15,tur,1989
15.43,tur,1990
13.01,tur,1991
13.28,tur,1992
11.44,tur,1993
13.03,tur,1994
18.83,tur,1995
22.32,tur,1996
23.31,tur,1997
21.21,tur,1998
24.04,tur,1999
20.16,tur,2000
17.65,tur,2001
21.91,tur,2002
24.7,tur,2003
23.39,tur,2004
31.1,tur,2005
30.89,tur,2006
30.24,tur,2007
25.93,tur,2008
27.63,tur,2009
29.25,tur,2010
289.0,tkm,1993
215.5,tkm,1994
290.4,tkm,1995
154.6,tkm,1996
67.29,tkm,1997
57.39,tkm,1998
57.39,tkm,1999
37.35,uga,1970
15.62,uga,1971
20.23,uga,1972
16.59,uga,1973
8.294,uga,1974
14.83,uga,1975
18.26,uga,1976
15.7,uga,1977
12.35,uga,1978
3.882,uga,1979
0.4345,uga,1980
4.243,uga,1981
8.957,uga,1982
10.55,uga,1983
6.321,uga,1984
2.203,uga,1985
2.053,uga,1986
2.821,uga,1987
2.54,uga,1988
0.642,uga,1989
1.688,uga,1990
2.102,uga,1991
3.199,uga,1992
4.794,uga,1993
9.459,uga,1994
12.71,uga,1995
14.24,uga,1996
16.21,uga,1997
18.4,uga,1998
21.82,uga,1999
23.11,uga,2000
26.35,uga,2001
23.5,uga,2002
23.89,uga,2003
27.69,uga,2004
30.59,uga,2005
147.0,uga,2006
161.8,uga,2007
103.6,uga,2008
121.5,uga,2009
90.39,uga,2010
85.15,ukr,1992
4.309,ukr,1993
11.79,ukr,1994
12.68,ukr,1995
20.67,ukr,1996
21.19,ukr,1997
6.065,ukr,1998
7.84,ukr,1999
12.12,ukr,2000
15.06,ukr,2001
20.6,ukr,2002
29.09,ukr,2003
33.11,ukr,2004
59.68,ukr,2005
43.65,ukr,2006
41.92,ukr,2007
32.62,ukr,2008
25.62,ukr,2009
29.6,ukr,2010
51.3,ury,1970
50.69,ury,1971
64.64,ury,1972
104.1,ury,1973
90.1,ury,1974
61.36,ury,1975
63.53,ury,1976
82.57,ury,1977
117.7,ury,1978
152.5,ury,1979
144.7,ury,1980
81.78,ury,1981
53.73,ury,1982
36.44,ury,1983
28.78,ury,1984
26.3,ury,1985
38.4,ury,1986
41.71,ury,1987
41.94,ury,1988
34.79,ury,1989
32.74,ury,1990
27.12,ury,1991
25.93,ury,1992
29.34,ury,1993
31.96,ury,1994
34.1,ury,1995
32.17,ury,1996
30.97,ury,1997
34.18,ury,1998
33.0,ury,1999
33.01,ury,2000
33.61,ury,2001
7.615,ury,2002
19.08,ury,2003
21.46,ury,2004
27.73,ury,2005
32.16,ury,2006
41.9,ury,2007
65.95,ury,2008
72.21,ury,2009
67.47,ury,2010
25.15,uzb,1999
281.2,vut,1981
139.1,vut,1982
62.09,vut,1983
62.51,vut,1984
67.31,vut,1985
117.5,vut,1986
169.9,vut,1987
151.9,vut,1988
115.7,vut,1989
98.62,vut,1990
114.2,vut,1991
117.2,vut,1992
113.4,vut,1993
95.6,vut,1994
98.66,vut,1995
91.74,vut,1996
76.54,vut,1997
69.61,vut,1998
62.99,vut,1999
52.26,vut,2000
52.6,vut,2001
40.37,vut,2002
45.18,vut,2003
51.23,vut,2004
81.85,vut,2005
125.9,vut,2006
121.8,vut,2007
91.58,vut,2008
114.5,vut,2009
108.8,vut,2010
73.58,ven,1970
82.13,ven,1971
79.93,ven,1972
113.6,ven,1973
305.3,ven,1974
446.5,ven,1975
194.6,ven,1976
89.37,ven,1977
51.89,ven,1978
54.79,ven,1979
45.51,ven,1980
39.59,ven,1981
36.73,ven,1982
31.36,ven,1983
33.7,ven,1984
39.61,ven,1985
31.79,ven,1986
33.29,ven,1987
22.43,ven,1988
26.88,ven,1989
38.38,ven,1990
43.14,ven,1991
35.36,ven,1992
36.48,ven,1993
33.73,ven,1994
29.98,ven,1995
46.08,ven,1996
49.57,ven,1997
39.0,ven,1998
36.81,ven,1999
37.55,ven,2000
31.33,ven,2001
32.99,ven,2002
54.56,ven,2003
60.34,ven,2004
66.39,ven,2005
83.93,ven,2006
69.87,ven,2007
81.64,ven,2008
62.13,ven,2009
53.38,ven,2010
5.206,vnm,1995
6.612,vnm,1996
9.119,vnm,1997
8.916,vnm,1998
14.33,vnm,1999
26.65,vnm,2000
29.21,vnm,2001
30.98,vnm,2002
39.13,vnm,2003
39.25,vnm,2004
47.65,vnm,2005
72.05,vnm,2006
103.4,vnm,2007
95.74,vnm,2008
57.27,vnm,2009
35.48,vnm,2010
6.947,yem,1990
10.76,yem,1991
5.129,yem,1992
2.772,yem,1993
4.452,yem,1994
10.21,yem,1995
16.18,yem,1996
31.09,yem,1997
17.48,yem,1998
23.81,yem,1999
56.86,yem,2000
71.14,yem,2001
83.56,yem,2002
91.35,yem,2003
102.1,yem,2004
112.5,yem,2005
133.2,yem,2006
127.0,yem,2007
130.0,yem,2008
109.7,yem,2009
93.91,yem,2010
63.29,zmb,1970
33.34,zmb,1971
18.17,zmb,1972
20.18,zmb,1973
16.36,zmb,1974
9.867,zmb,1975
6.103,zmb,1976
4.036,zmb,1977
3.753,zmb,1978
6.298,zmb,1979
6.353,zmb,1980
3.952,zmb,1981
4.301,zmb,1982
3.664,zmb,1983
1.461,zmb,1984
4.481,zmb,1985
1.269,zmb,1986
1.709,zmb,1987
2.082,zmb,1988
1.878,zmb,1989
2.914,zmb,1990
2.765,zmb,1991
2.969,zmb,1993
3.938,zmb,1994
3.201,zmb,1995
3.154,zmb,1996
3.59,zmb,1997
1.01,zmb,1998
0.7753,zmb,1999
4.278,zmb,2000
3.005,zmb,2001
8.13,zmb,2002
3.649,zmb,2003
4.526,zmb,2004
10.42,zmb,2005
31.67,zmb,2006
39.65,zmb,2007
36.83,zmb,2008
62.26,zmb,2009
56.76,zmb,2010
25.58,zwe,1970
17.48,zwe,1971
44.37,zwe,1972
96.06,zwe,1973
75.62,zwe,1974
69.13,zwe,1975
78.07,zwe,1976
48.95,zwe,1977
41.34,zwe,1978
77.25,zwe,1979
53.36,zwe,1980
28.16,zwe,1981
17.12,zwe,1982
13.71,zwe,1983
11.93,zwe,1984
14.31,zwe,1985
12.07,zwe,1986
12.84,zwe,1987
12.64,zwe,1988
9.724,zwe,1989
9.001,zwe,1990
8.493,zwe,1991
9.806,zwe,1992
14.78,zwe,1993
13.05,zwe,1994
17.8,zwe,1995
16.74,zwe,1996
7.858,zwe,1997
6.736,zwe,1998
11.11,zwe,1999
8.44,zwe,2000
3.359,zwe,2001
3.438,zwe,2002
