total_reserves_percent_of_debt_to_foreigners,geo,time
44.8,stp,2009
29.05,stp,2010
15.18,sen,1970
16.15,sen,1971
23.82,sen,1972
6.049,sen,1973
2.384,sen,1974
8.916,sen,1975
6.156,sen,1976
5.743,sen,1977
2.656,sen,1978
3.028,sen,1979
1.708,sen,1980
1.209,sen,1981
1.327,sen,1982
1.123,sen,1983
0.5748,sen,1984
0.5679,sen,1985
0.6412,sen,1986
0.5757,sen,1987
0.5744,sen,1988
0.9345,sen,1989
0.5894,sen,1990
0.6539,sen,1991
0.5981,sen,1992
0.3875,sen,1993
5.158,sen,1994
6.94,sen,1995
7.615,sen,1996
10.15,sen,1997
10.52,sen,1998
10.16,sen,1999
10.7,sen,2000
12.42,sen,2001
15.76,sen,2002
25.45,sen,2003
35.01,sen,2004
30.96,sen,2005
70.05,sen,2006
65.03,sen,2007
56.82,sen,2008
60.68,sen,2009
55.68,sen,2010
2.683,srb,1999
4.494,srb,2000
9.416,srb,2001
19.96,srb,2002
25.05,srb,2003
29.33,srb,2004
36.34,srb,2005
60.04,srb,2006
54.41,srb,2007
37.75,srb,2008
45.99,srb,2009
41.3,srb,2010
21.92,syc,1980
38.01,syc,1981
27.08,syc,1982
19.03,syc,1983
7.957,syc,1984
9.012,syc,1985
5.346,syc,1986
7.893,syc,1987
5.358,syc,1988
7.538,syc,1989
9.006,syc,1990
13.99,syc,1991
16.51,syc,1992
19.66,syc,1993
15.09,syc,1994
13.68,syc,1995
11.74,syc,1996
14.03,syc,1997
8.935,syc,1998
12.06,syc,1999
14.41,syc,2000
11.6,syc,2001
17.87,syc,2002
15.46,syc,2003
7.782,syc,2004
8.382,syc,2005
10.29,syc,2006
2.892,syc,2007
4.251,syc,2008
11.06,syc,2009
15.6,syc,2010
64.1,sle,1970
34.58,sle,1971
38.91,sle,1972
36.52,sle,1973
28.31,sle,1974
13.86,sle,1975
10.8,sle,1976
11.53,sle,1977
10.07,sle,1978
11.4,sle,1979
6.506,sle,1980
2.692,sle,1981
1.341,sle,1982
2.525,sle,1983
1.264,sle,1984
1.529,sle,1985
1.572,sle,1986
0.6132,sle,1987
0.725,sle,1988
0.3457,sle,1989
0.4615,sle,1990
0.7699,sle,1991
1.381,sle,1992
1.896,sle,1993
2.658,sle,1994
2.839,sle,1995
2.195,sle,1996
3.287,sle,1997
3.426,sle,1998
3.131,sle,1999
4.136,sle,2000
4.259,sle,2001
6.249,sle,2002
4.382,sle,2003
7.686,sle,2004
9.739,sle,2005
12.48,sle,2006
41.36,sle,2007
36.27,sle,2008
57.77,sle,2009
52.57,sle,2010
254.3,slb,1978
268.5,slb,1979
152.6,slb,1980
92.2,slb,1981
132.8,slb,1982
137.8,slb,1983
101.5,slb,1984
54.32,slb,1985
38.49,slb,1986
37.69,slb,1987
38.22,slb,1988
26.17,slb,1989
14.61,slb,1990
6.598,slb,1991
24.92,slb,1992
13.33,slb,1993
11.24,slb,1994
10.02,slb,1995
22.09,slb,1996
25.97,slb,1997
31.72,slb,1998
31.0,slb,1999
20.63,slb,2000
11.85,slb,2001
10.15,slb,2002
20.91,slb,2003
45.51,slb,2004
57.33,slb,2005
60.16,slb,2006
67.15,slb,2007
53.97,slb,2008
93.63,slb,2009
123.4,slb,2010
27.57,som,1970
31.74,som,1971
31.18,som,1972
28.46,som,1973
24.5,som,1974
30.01,som,1975
29.59,som,1976
30.89,som,1977
25.0,som,1978
8.907,som,1979
3.902,som,1980
3.623,som,1981
1.249,som,1982
1.168,som,1983
0.4644,som,1984
0.536,som,1985
1.129,som,1986
0.8266,som,1987
1.112,som,1988
1.07,som,1989
15.2,zaf,1994
17.6,zaf,1995
8.987,zaf,1996
23.57,zaf,1997
22.25,zaf,1998
31.36,zaf,1999
30.98,zaf,2000
31.71,zaf,2001
31.14,zaf,2002
29.73,zaf,2003
54.91,zaf,2004
66.38,zaf,2005
72.05,zaf,2006
75.49,zaf,2007
80.07,zaf,2008
93.26,zaf,2009
97.02,zaf,2010
9.867,lka,1970
9.721,lka,1971
10.77,lka,1972
13.76,lka,1973
9.931,lka,1974
7.043,lka,1975
9.931,lka,1976
25.84,lka,1977
29.66,lka,1978
35.34,lka,1979
15.35,lka,1980
15.77,lka,1981
14.48,lka,1982
11.13,lka,1983
17.71,lka,1984
13.33,lka,1985
9.239,lka,1986
6.514,lka,1987
4.757,lka,1988
5.2,lka,1989
7.624,lka,1990
11.01,lka,1991
15.13,lka,1992
23.96,lka,1993
26.0,lka,1994
25.16,lka,1995
23.92,lka,1996
25.2,lka,1997
22.12,lka,1998
16.88,lka,1999
12.45,lka,2000
15.66,lka,2001
17.6,lka,2002
22.44,lka,2003
19.97,lka,2004
24.05,lka,2005
23.83,lka,2006
24.49,lka,2007
16.76,lka,2008
31.1,lka,2009
35.18,lka,2010
5.646,sdn,1970
7.046,sdn,1971
7.872,sdn,1972
10.87,sdn,1973
10.93,sdn,1974
2.275,sdn,1975
1.131,sdn,1976
0.8832,sdn,1977
0.8976,sdn,1978
1.653,sdn,1979
0.9412,sdn,1980
0.274,sdn,1981
0.2859,sdn,1982
0.2207,sdn,1983
0.2028,sdn,1984
0.1362,sdn,1985
0.6075,sdn,1986
0.1041,sdn,1987
0.1051,sdn,1988
0.1191,sdn,1989
0.07732,sdn,1990
0.05001,sdn,1991
0.1781,sdn,1992
0.2364,sdn,1993
0.462,sdn,1994
0.9281,sdn,1995
0.6295,sdn,1996
0.5002,sdn,1997
0.5388,sdn,1998
1.172,sdn,1999
0.8623,sdn,2000
0.326,sdn,2001
1.552,sdn,2002
3.08,sdn,2003
7.334,sdn,2004
10.69,sdn,2005
9.016,sdn,2006
7.078,sdn,2007
6.958,sdn,2008
5.274,sdn,2009
4.743,sdn,2010
37.23,swz,1974
135.2,swz,1975
180.0,swz,1976
155.0,swz,1977
76.64,swz,1978
62.09,swz,1979
76.45,swz,1980
51.85,swz,1981
37.01,swz,1982
39.02,swz,1983
41.85,swz,1984
35.27,swz,1985
35.28,swz,1986
42.0,swz,1987
53.96,swz,1988
66.57,swz,1989
84.3,swz,1990
66.01,swz,1991
129.9,swz,1992
115.9,swz,1993
123.4,swz,1994
119.5,swz,1995
108.3,swz,1996
72.12,swz,1997
119.1,swz,1998
113.0,swz,1999
132.9,swz,2000
103.3,swz,2001
86.95,swz,2002
75.53,swz,2003
76.43,swz,2004
55.14,swz,2005
90.02,swz,2006
191.6,swz,2007
203.2,swz,2008
229.5,swz,2009
122.8,swz,2010
20.4,syr,1970
26.62,syr,1971
36.97,syr,1972
90.14,syr,1973
99.91,syr,1974
100.3,syr,1975
33.89,syr,1976
33.34,syr,1977
27.37,syr,1978
42.25,syr,1979
22.88,syr,1980
12.79,syr,1981
9.232,syr,1982
4.241,syr,1983
6.092,syr,1984
3.258,syr,1985
3.646,syr,1986
3.96,syr,1987
3.198,syr,1988
2.613,syr,1989
2.575,syr,1990
2.181,syr,1991
2.077,syr,1992
2.205,syr,1993
2.117,syr,1994
2.047,syr,1995
1.965,syr,1996
1.699,syr,1997
1.569,syr,1998
1.607,syr,1999
1.601,syr,2000
1.696,syr,2001
2.051,syr,2002
2.476,syr,2003
2.887,syr,2004
322.4,syr,2005
311.5,syr,2006
321.1,syr,2007
342.6,syr,2008
358.0,syr,2009
436.3,syr,2010
3.649,tjk,1997
4.495,tjk,1998
4.506,tjk,1999
9.121,tjk,2000
8.91,tjk,2001
7.84,tjk,2002
10.23,tjk,2003
16.57,tjk,2004
18.78,tjk,2005
21.46,tjk,2006
32.92,tza,1970
5.125,tza,1971
8.569,tza,1972
8.297,tza,1973
2.496,tza,1974
2.795,tza,1975
4.156,tza,1976
