geo,agriculture_workers_percent_of_labour_force,time
nor,2.8,2007
omn,9.3,1993
omn,7.3,1996
omn,6.4,2000
pak,52.7,1980
pak,52.6,1981
pak,52.7,1982
pak,52.7,1983
pak,52.7,1984
pak,50.6,1985
pak,54.0,1986
pak,49.2,1987
pak,51.2,1988
pak,51.1,1989
pak,51.1,1990
pak,47.4,1991
pak,48.3,1992
pak,47.5,1993
pak,50.0,1994
pak,46.8,1995
pak,46.8,1996
pak,44.2,1997
pak,47.3,1998
pak,47.3,1999
pak,48.4,2001
pak,42.1,2003
pak,43.0,2005
pak,43.6,2007
pan,28.1,1982
pan,28.7,1983
pan,28.5,1984
pan,29.5,1985
pan,28.7,1986
pan,26.0,1987
pan,29.8,1988
pan,29.1,1989
pan,27.3,1991
pan,25.0,1992
pan,23.1,1993
pan,19.9,1994
pan,20.8,1995
pan,20.1,1996
pan,18.6,1997
pan,17.8,1998
pan,17.4,1999
pan,17.0,2000
pan,18.1,2001
pan,17.4,2002
pan,17.5,2003
pan,16.0,2004
pan,15.7,2005
pan,15.9,2006
pan,14.7,2007
png,72.3,2000
pry,1.0,1982
pry,3.9,1983
pry,3.3,1984
pry,2.7,1985
pry,3.0,1986
pry,2.8,1987
pry,2.6,1988
pry,1.9,1989
pry,40.1,1995
pry,27.8,1997
pry,28.7,1998
pry,30.4,1999
pry,30.8,2000
pry,31.9,2001
pry,33.1,2002
pry,31.5,2003
pry,29.5,2007
per,1.0,1986
per,0.8,1987
per,1.4,1989
per,1.2,1990
per,1.1,1995
per,6.0,1996
per,7.6,1997
per,5.3,1998
per,5.8,1999
per,6.8,2000
per,8.8,2001
per,11.2,2002
per,12.1,2003
per,11.7,2004
per,11.8,2005
per,11.4,2006
per,9.3,2007
phl,51.8,1980
phl,51.5,1981
phl,52.1,1982
phl,52.0,1983
phl,50.1,1984
phl,49.6,1985
phl,49.8,1986
phl,47.8,1987
phl,46.1,1988
phl,45.1,1989
phl,45.2,1990
phl,45.3,1991
phl,45.4,1992
phl,45.8,1993
phl,44.7,1994
phl,44.1,1995
phl,5.1,1996
phl,4.7,1997
phl,4.6,1998
phl,4.7,1999
phl,37.4,2000
phl,37.4,2001
phl,37.4,2002
phl,37.2,2003
phl,37.1,2004
phl,37.0,2005
phl,36.6,2006
phl,36.1,2007
pol,29.1,1981
pol,29.5,1982
pol,29.1,1983
pol,28.2,1984
pol,27.9,1985
pol,27.4,1986
pol,27.2,1987
pol,26.7,1988
pol,25.3,1989
pol,25.2,1990
pol,25.4,1991
pol,25.0,1992
pol,24.0,1994
pol,22.6,1995
pol,22.1,1996
pol,20.5,1997
pol,19.2,1998
pol,18.1,1999
pol,18.8,2000
pol,19.1,2001
pol,19.3,2002
pol,18.4,2003
pol,18.0,2004
pol,17.4,2005
pol,15.8,2006
pol,14.7,2007
prt,27.3,1980
prt,26.1,1981
prt,25.3,1982
prt,23.5,1983
prt,23.8,1984
prt,23.8,1985
prt,21.9,1986
prt,22.2,1987
prt,20.7,1988
prt,19.0,1989
prt,17.9,1990
prt,17.5,1991
prt,11.6,1992
prt,11.6,1993
prt,11.8,1994
prt,11.6,1995
prt,12.4,1996
prt,13.7,1997
prt,13.5,1998
prt,12.8,1999
prt,12.8,2000
prt,12.8,2001
prt,12.4,2002
prt,12.7,2003
prt,12.1,2004
prt,11.9,2005
prt,11.8,2006
prt,11.6,2007
pri,5.4,1980
pri,5.0,1981
pri,4.9,1982
pri,5.3,1983
pri,5.0,1984
pri,5.3,1985
pri,4.7,1986
pri,3.6,1987
pri,3.7,1988
pri,3.9,1989
pri,3.6,1991
pri,3.4,1992
pri,3.4,1993
pri,3.5,1994
pri,2.9,1995
pri,2.7,1996
pri,2.8,1997
pri,2.5,1998
pri,2.2,1999
pri,1.9,2000
pri,2.0,2001
pri,2.0,2002
pri,2.0,2003
pri,2.1,2004
pri,2.1,2005
pri,1.4,2006
pri,1.1,2007
qat,3.7,1997
qat,2.3,2001
qat,2.7,2004
qat,3.0,2006
mda,39.9,1981
mda,39.7,1982
mda,39.2,1983
mda,38.2,1984
mda,37.4,1985
mda,36.7,1986
mda,35.7,1987
mda,34.5,1988
mda,34.8,1989
mda,33.8,1990
mda,41.8,1991
mda,40.0,1992
mda,43.1,1993
mda,45.5,1994
mda,42.8,1996
mda,41.6,1997
mda,45.7,1998
mda,48.9,1999
mda,50.9,2000
mda,51.0,2001
mda,49.6,2002
mda,43.0,2003
mda,40.5,2004
mda,40.6,2005
mda,33.6,2006
mda,32.8,2007
rou,29.8,1980
rou,29.3,1981
rou,29.0,1982
rou,29.2,1983
rou,29.2,1984
rou,28.9,1985
rou,28.7,1986
rou,28.5,1987
rou,28.4,1988
rou,27.9,1989
rou,29.1,1990
rou,29.8,1991
rou,33.0,1992
rou,36.0,1993
rou,39.0,1994
rou,40.3,1995
rou,38.0,1996
rou,39.0,1997
rou,40.0,1998
rou,41.8,1999
rou,42.8,2000
rou,42.3,2001
rou,36.4,2002
rou,35.7,2003
rou,31.6,2004
rou,32.1,2005
rou,30.5,2006
rou,29.5,2007
rus,13.9,1990
rus,14.2,1991
rus,15.4,1992
rus,15.5,1993
rus,16.1,1994
rus,15.7,1995
rus,15.3,1996
rus,12.2,1997
rus,11.7,1998
rus,15.0,1999
rus,14.5,2000
rus,12.0,2001
rus,11.3,2002
rus,10.9,2003
rus,10.2,2004
rus,10.2,2005
rus,10.0,2006
rus,9.0,2007
rwa,90.1,1989
kna,50.9,1981
kna,50.7,1982
kna,29.2,1983
kna,29.6,1984
lca,23.3,1993
lca,26.5,1994
lca,24.2,1995
lca,25.2,1996
lca,20.4,1997
lca,23.1,1998
lca,21.7,1999
lca,20.8,2000
lca,12.2,2002
lca,13.0,2003
lca,14.8,2004
vct,24.8,1991
vct,15.4,2001
smr,5.5,1980
smr,5.4,1981
smr,5.2,1982
smr,5.1,1983
smr,4.9,1984
smr,3.5,1985
smr,3.2,1986
smr,3.0,1987
smr,2.9,1988
smr,2.7,1989
smr,2.5,1990
smr,2.3,1991
smr,2.2,1992
smr,2.1,1993
smr,1.5,1995
smr,1.5,1996
smr,1.4,1997
smr,1.4,1998
smr,1.3,1999
smr,0.5,2001
smr,0.4,2002
smr,0.4,2003
smr,0.4,2004
smr,0.5,2005
smr,0.4,2006
smr,0.4,2007
stp,54.3,1980
stp,63.4,1981
stp,52.0,1982
stp,60.6,1983
stp,53.5,1984
stp,39.9,1991
stp,27.9,2000
sau,6.3,1999
sau,6.1,2000
sau,6.0,2001
sau,4.7,2002
sau,4.0,2006
sau,4.7,2007
sen,33.7,2006
srb,24.0,2004
srb,23.3,2005
srb,20.5,2006
srb,20.8,2007
sle,68.5,2004
sgp,1.3,1980
sgp,1.1,1981
sgp,1.0,1982
sgp,1.0,1983
sgp,0.7,1984
sgp,0.7,1985
sgp,0.8,1986
sgp,0.9,1987
sgp,0.4,1988
sgp,0.5,1989
sgp,0.4,1990
sgp,0.3,1991
sgp,0.3,1992
sgp,0.2,1993
sgp,0.3,1994
sgp,0.2,1995
sgp,0.2,1996
sgp,1.0,1997
sgp,0.9,1998
sgp,0.9,1999
sgp,0.0,2000
sgp,0.9,2001
sgp,0.8,2002
sgp,0.9,2003
sgp,0.8,2004
sgp,1.3,2006
sgp,1.1,2007
svk,10.1,1994
svk,9.2,1995
svk,8.9,1996
svk,9.2,1997
svk,8.2,1998
svk,7.4,1999
svk,6.7,2000
svk,6.1,2001
svk,6.2,2002
svk,5.8,2003
svk,5.1,2004
svk,4.7,2005
svk,4.4,2006
svk,4.2,2007
svn,10.7,1993
svn,11.5,1994
svn,10.4,1995
svn,10.1,1996
svn,12.0,1997
svn,12.0,1998
svn,10.8,1999
svn,9.5,2000
svn,9.8,2001
svn,9.7,2002
svn,8.4,2003
svn,9.6,2004
svn,8.8,2005
svn,9.6,2006
svn,10.2,2007
zaf,15.6,2000
zaf,10.5,2001
zaf,12.6,2002
zaf,10.6,2003
zaf,9.1,2004
zaf,7.5,2005
zaf,8.5,2006
zaf,8.8,2007
esp,19.3,1980
esp,18.8,1981
esp,18.5,1982
esp,18.7,1983
esp,18.5,1984
esp,18.3,1985
esp,16.1,1986
esp,15.1,1987
esp,14.0,1988
esp,12.7,1989
esp,11.5,1990
esp,10.3,1991
esp,9.8,1992
esp,9.8,1993
esp,9.4,1994
esp,8.9,1995
esp,8.4,1996
esp,8.1,1997
esp,7.8,1998
esp,7.2,1999
esp,6.7,2000
esp,6.5,2001
esp,6.0,2002
esp,5.8,2003
esp,5.5,2004
esp,5.3,2005
esp,4.8,2006
esp,4.5,2007
lka,45.9,1981
lka,49.3,1985
lka,47.8,1990
lka,41.4,1991
lka,43.6,1992
lka,38.7,1993
lka,42.6,1994
lka,37.3,1995
lka,35.1,1996
lka,37.4,1997
lka,41.6,1998
lka,24.2,2001
lka,35.1,2002
lka,34.3,2003
lka,33.5,2004
lka,30.3,2005
lka,32.2,2006
lka,31.3,2007
shn,10.2,1998
spm,5.0,1986
spm,2.1,1989
sur,16.5,1982
sur,9.2,1986
sur,4.2,1992
sur,4.5,1993
sur,6.1,1994
sur,6.9,1995
sur,5.9,1996
sur,5.2,1997
sur,5.6,1998
sur,6.1,1999
sur,8.0,2004
swe,5.6,1980
swe,5.6,1981
swe,5.6,1982
swe,5.4,1983
swe,5.1,1984
swe,4.8,1985
swe,4.0,1986
swe,4.0,1987
swe,3.9,1988
swe,3.6,1989
swe,3.4,1990
swe,3.3,1991
swe,3.3,1992
swe,3.5,1993
swe,3.5,1994
swe,3.1,1995
swe,2.9,1996
swe,2.8,1997
swe,2.6,1998
swe,2.5,1999
swe,2.4,2000
swe,2.3,2001
swe,2.1,2002
swe,2.1,2003
swe,2.1,2004
swe,2.0,2005
swe,2.0,2006
swe,2.2,2007
che,6.9,1980
che,6.6,1981
che,6.4,1982
che,6.4,1983
che,6.2,1984
che,6.1,1985
che,5.7,1986
che,5.3,1987
che,4.9,1988
che,4.5,1989
che,4.2,1990
che,4.3,1991
che,4.3,1992
che,4.4,1993
che,4.3,1994
che,4.4,1995
che,4.6,1996
che,4.6,1997
che,4.7,1998
che,4.8,1999
che,4.5,2000
che,4.2,2001
che,4.1,2002
che,4.1,2003
che,3.8,2004
che,3.8,2005
che,3.7,2006
che,4.0,2007
syr,30.6,1983
syr,25.5,1984
syr,26.5,1989
syr,31.1,1993
syr,23.4,1994
syr,28.4,1995
syr,17.8,1997
syr,27.8,1999
syr,32.9,2000
syr,30.6,2001
syr,31.2,2002
syr,27.0,2003
twn,8.2,1999
twn,7.8,2000
twn,7.5,2001
twn,7.5,2002
twn,7.3,2003
twn,6.6,2004
twn,5.9,2005
tjk,44.7,1991
tjk,46.8,1992
tjk,51.2,1993
tjk,54.0,1994
tjk,59.1,1995
tjk,59.3,1996
tjk,46.2,1997
tjk,55.5,2004
tza,82.1,2001
tza,76.5,2006
tha,70.8,1980
tha,64.2,1981
tha,61.5,1982
tha,63.1,1983
tha,64.4,1984
tha,68.4,1985
tha,66.7,1986
tha,64.4,1987
tha,66.4,1988
tha,66.6,1989
tha,63.3,1990
tha,59.6,1991
tha,60.3,1992
tha,56.2,1993
tha,55.5,1994
tha,51.6,1995
tha,49.8,1996
tha,50.1,1997
tha,51.0,1998
tha,48.2,1999
tha,48.5,2000
tha,46.0,2001
tha,46.1,2002
tha,44.9,2003
tha,42.3,2004
tha,42.6,2005
tha,42.1,2006
tha,41.7,2007
mkd,23.9,2002
mkd,22.0,2003
mkd,16.8,2004
mkd,19.5,2005
mkd,20.1,2006
mkd,18.2,2007
ton,43.2,1984
ton,31.8,2003
tto,10.2,1980
tto,9.8,1981
tto,8.7,1982
tto,8.6,1983
tto,9.3,1984
tto,10.8,1985
tto,11.1,1986
tto,11.7,1987
tto,13.0,1988
tto,13.8,1989
tto,11.7,1991
tto,11.5,1992
tto,11.3,1993
tto,12.4,1994
tto,10.6,1995
tto,9.6,1996
tto,9.5,1997
tto,8.1,1998
tto,8.1,1999
tto,7.2,2000
tto,7.8,2001
tto,6.9,2002
tto,5.9,2003
tto,4.6,2004
tto,4.3,2005
tun,33.4,1980
tun,32.5,1981
tun,31.6,1982
tun,25.8,1989
tur,4.3,1982
tur,4.8,1983
tur,4.4,1984
tur,45.0,1985
tur,47.4,1988
tur,48.2,1989
tur,46.9,1990
tur,47.8,1991
tur,44.7,1992
tur,42.2,1993
tur,43.6,1994
tur,43.4,1995
tur,42.8,1996
tur,40.8,1997
tur,40.5,1998
tur,41.4,1999
tur,36.0,2000
tur,37.6,2001
tur,34.9,2002
tur,33.9,2003
tur,34.0,2004
tur,29.5,2005
tur,27.3,2006
tur,26.4,2007
tca,2.9,2001
tca,1.7,2002
tca,1.4,2003
tca,2.0,2004
tca,1.7,2005
uga,68.7,2003
ukr,20.4,1987
ukr,19.7,1988
ukr,19.1,1989
ukr,19.8,1990
ukr,19.3,1991
ukr,20.8,1992
ukr,20.7,1993
ukr,21.0,1994
ukr,22.5,1995
ukr,21.9,1996
ukr,22.1,1997
ukr,22.6,1998
ukr,22.7,1999
ukr,23.4,2000
ukr,20.9,2001
ukr,20.6,2002
ukr,20.4,2003
ukr,19.7,2004
ukr,19.4,2005
ukr,17.6,2006
ukr,16.7,2007
are,8.0,1995
are,7.9,2000
are,4.9,2005
gbr,2.6,1980
gbr,2.6,1981
gbr,2.6,1982
gbr,2.6,1983
gbr,2.5,1984
gbr,2.5,1985
gbr,2.5,1986
gbr,2.4,1987
gbr,2.3,1988
gbr,2.2,1989
gbr,2.1,1990
gbr,2.2,1991
gbr,2.2,1992
gbr,2.0,1993
gbr,2.1,1994
gbr,2.1,1995
gbr,2.0,1996
gbr,1.9,1997
gbr,1.7,1998
gbr,1.6,1999
gbr,1.5,2000
gbr,1.4,2001
gbr,1.4,2002
gbr,1.3,2003
gbr,1.3,2004
gbr,1.4,2005
gbr,1.3,2006
gbr,1.4,2007
usa,3.6,1980
usa,3.5,1981
usa,3.6,1982
usa,3.5,1983
usa,3.3,1984
usa,3.1,1985
usa,3.1,1986
usa,3.0,1987
usa,2.9,1988
usa,2.9,1989
usa,2.9,1990
usa,2.9,1991
usa,2.9,1992
usa,2.7,1993
usa,2.9,1994
usa,2.9,1995
usa,2.8,1996
usa,2.7,1997
usa,2.7,1998
usa,2.6,1999
usa,2.6,2000
usa,2.4,2001
usa,2.5,2002
usa,1.7,2003
usa,1.6,2004
usa,1.6,2005
usa,1.5,2006
usa,1.4,2007
ury,4.5,1992
ury,3.9,1993
ury,4.3,1994
ury,4.8,1995
ury,3.9,1998
ury,3.9,1999
ury,4.1,2000
ury,4.2,2001
ury,4.2,2002
ury,4.5,2003
ury,5.0,2004
ury,4.6,2005
ury,11.1,2006
ury,11.0,2007
uzb,41.2,1995
uzb,40.9,1996
uzb,40.4,1997
uzb,39.4,1998
uzb,38.5,1999
ven,15.0,1980
ven,14.6,1981
ven,14.5,1982
ven,14.8,1983
ven,16.1,1984
ven,16.2,1985
ven,15.5,1986
ven,14.3,1987
ven,13.5,1988
ven,13.4,1989
ven,13.4,1990
ven,12.6,1991
ven,11.8,1992
ven,11.3,1993
ven,10.7,2003
ven,9.1,2006
ven,8.7,2007
vnm,70.0,1996
vnm,65.3,1997
vnm,64.8,1998
vnm,65.0,1999
vnm,65.3,2000
vnm,64.0,2001
vnm,62.0,2002
vnm,59.7,2003
vnm,57.9,2004
pse,14.3,1996
pse,13.1,1997
pse,12.1,1998
pse,12.6,1999
pse,13.7,2000
pse,11.7,2001
pse,14.8,2002
pse,15.7,2003
pse,15.9,2004
pse,14.6,2005
pse,16.1,2006
pse,15.6,2007
yem,52.6,1991
yem,53.6,1994
yem,56.3,1998
yem,54.1,1999
zmb,49.8,1990
zmb,70.0,1998
zmb,71.6,2000
zwe,60.0,1999
