geo,all_forms_of_tb_number_of_new_cases_estimated,time
plw,10,1990
plw,7,1991
plw,4,1992
plw,28,1993
plw,46,1994
plw,21,1995
plw,6,1996
plw,17,1997
plw,10,1998
plw,36,1999
plw,10,2000
plw,10,2001
plw,12,2002
plw,10,2003
plw,6,2004
plw,11,2005
plw,13,2006
plw,12,2007
pan,1144,1990
pan,1167,1991
pan,1192,1992
pan,1216,1993
pan,1241,1994
pan,1267,1995
pan,1293,1996
pan,1319,1997
pan,1346,1998
pan,1373,1999
pan,1400,2000
pan,1426,2001
pan,1453,2002
pan,1480,2003
pan,1507,2004
pan,1533,2005
pan,1560,2006
pan,1586,2007
png,10310,1990
png,10580,1991
png,10850,1992
png,11140,1993
png,11440,1994
png,11750,1995
png,12070,1996
png,12400,1997
png,12740,1998
png,13080,1999
png,13430,2000
png,13770,2001
png,14120,2002
png,14470,2003
png,14810,2004
png,15140,2005
png,15470,2006
png,15800,2007
pry,2560,1990
pry,2621,1991
pry,2682,1992
pry,2743,1993
pry,2803,1994
pry,2863,1995
pry,2923,1996
pry,2983,1997
pry,3042,1998
pry,3101,1999
pry,3160,2000
pry,3219,2001
pry,3278,2002
pry,3337,2003
pry,3395,2004
pry,3454,2005
pry,3512,2006
pry,3570,2007
per,69060,1990
per,66720,1991
per,64410,1992
per,62140,1993
per,59890,1994
per,57680,1995
per,55510,1996
per,53380,1997
per,51290,1998
per,49250,1999
per,47270,2000
per,45350,2001
per,43490,2002
per,41690,2003
per,39950,2004
per,38280,2005
per,36670,2006
per,35120,2007
phl,240900,1990
phl,242200,1991
phl,243400,1992
phl,244600,1993
phl,245700,1994
phl,246700,1995
phl,247600,1996
phl,248400,1997
phl,249100,1998
phl,249800,1999
phl,250600,2000
phl,251400,2001
phl,252200,2002
phl,252900,2003
phl,253600,2004
phl,254200,2005
phl,254700,2006
phl,255100,2007
pol,19860,1990
pol,20010,1991
pol,20290,1992
pol,20360,1993
pol,20120,1994
pol,19520,1995
pol,18420,1996
pol,17340,1997
pol,16040,1998
pol,14800,1999
pol,13520,2000
pol,12670,2001
pol,12160,2002
pol,11570,2003
pol,10810,2004
pol,10140,2005
pol,9860,2006
pol,9584,2007
prt,6735,1990
prt,6472,1991
prt,6198,1992
prt,6069,1993
prt,5944,1994
prt,5873,1995
prt,5692,1996
prt,5578,1997
prt,5347,1998
prt,5033,1999
prt,4696,2000
prt,4617,2001
prt,4488,2002
prt,4232,2003
prt,3847,2004
prt,3617,2005
prt,3385,2006
prt,3149,2007
pri,385,1990
pri,349,1991
pri,402,1992
pri,420,1993
pri,427,1994
pri,429,1995
pri,420,1996
pri,387,1997
pri,355,1998
pri,310,1999
pri,267,2000
pri,229,2001
pri,197,2002
pri,198,2003
pri,189,2004
pri,188,2005
pri,174,2006
pri,161,2007
qat,282,1990
qat,285,1991
qat,293,1992
qat,320,1993
qat,372,1994
qat,401,1995
qat,383,1996
qat,356,1997
qat,356,1998
qat,390,1999
qat,405,2000
qat,415,2001
qat,415,2002
qat,410,2003
qat,432,2004
qat,463,2005
qat,526,2006
qat,588,2007
kor,70950,1990
kor,62850,1991
kor,56590,1992
kor,49300,1993
kor,47080,1994
kor,44220,1995
kor,42420,1996
kor,39650,1997
kor,36970,1998
kor,32770,1999
kor,33690,2000
kor,34740,2001
kor,39230,2002
kor,38160,2003
kor,39380,2004
kor,40870,2005
kor,42040,2006
kor,43220,2007
mda,2832,1990
mda,2723,1991
mda,2870,1992
mda,3141,1993
mda,3486,1994
mda,3971,1995
mda,4474,1996
mda,4847,1997
mda,5203,1998
mda,5461,1999
mda,5711,2000
mda,5746,2001
mda,5646,2002
mda,5537,2003
mda,5453,2004
mda,5426,2005
mda,5384,2006
mda,5348,2007
rou,17070,1990
rou,18330,1991
rou,19830,1992
rou,22010,1993
rou,23900,1994
rou,25310,1995
rou,26220,1996
rou,27130,1997
rou,27840,1998
rou,29150,1999
rou,30190,2000
rou,31530,2001
rou,31840,2002
rou,31840,2003
rou,30490,2004
rou,29010,2005
rou,26810,2006
rou,24640,2007
rus,66960,1990
rus,62910,1991
rus,68190,1992
rus,76510,1993
rus,89490,1994
rus,108900,1995
rus,128600,1996
rus,139100,1997
rus,148700,1998
rus,157500,1999
rus,166200,2000
rus,164000,2001
rus,157200,2002
rus,152600,2003
rus,152300,2004
rus,152500,2005
rus,154900,2006
rus,157300,2007
rwa,12160,1990
rwa,13030,1991
rwa,13040,1992
rwa,12920,1993
rwa,12940,1994
rwa,13590,1995
rwa,14920,1996
rwa,17370,1997
rwa,20650,1998
rwa,24440,1999
rwa,28420,2000
rwa,32060,2001
rwa,35190,2002
rwa,37330,2003
rwa,38300,2004
rwa,38610,2005
rwa,38570,2006
rwa,38610,2007
kna,4,1990
kna,4,1991
kna,4,1992
kna,4,1993
kna,4,1994
kna,4,1995
kna,4,1996
kna,4,1997
kna,4,1998
kna,4,1999
kna,4,2000
kna,5,2001
kna,5,2002
kna,5,2003
kna,5,2004
kna,5,2005
kna,5,2006
kna,5,2007
lca,22,1990
lca,22,1991
lca,22,1992
lca,22,1993
lca,22,1994
lca,22,1995
lca,22,1996
lca,23,1997
lca,23,1998
lca,23,1999
lca,23,2000
lca,23,2001
lca,23,2002
lca,23,2003
lca,23,2004
lca,23,2005
lca,23,2006
lca,24,2007
vct,30,1990
vct,30,1991
vct,30,1992
vct,30,1993
vct,30,1994
vct,30,1995
vct,30,1996
vct,30,1997
vct,30,1998
vct,30,1999
vct,30,2000
vct,30,2001
vct,30,2002
vct,30,2003
vct,30,2004
vct,30,2005
vct,30,2006
vct,30,2007
wsm,51,1990
wsm,50,1991
wsm,49,1992
wsm,48,1993
wsm,47,1994
wsm,46,1995
wsm,45,1996
wsm,44,1997
wsm,43,1998
wsm,42,1999
wsm,41,2000
wsm,40,2001
wsm,40,2002
wsm,39,2003
wsm,38,2004
wsm,37,2005
wsm,36,2006
wsm,35,2007
smr,3,1990
smr,3,1991
smr,3,1992
smr,2,1993
smr,2,1994
smr,2,1995
smr,2,1996
smr,2,1997
smr,2,1998
smr,2,1999
smr,2,2000
smr,2,2001
