services_percent_of_gdp,geo,time
61.07,cog,1966
60.27,cog,1967
61.09,cog,1968
62.84,cog,1969
58.16,cog,1970
60.99,cog,1971
62.32,cog,1972
62.17,cog,1973
59.47,cog,1974
53.1,cog,1975
48.92,cog,1976
52.93,cog,1977
54.46,cog,1978
49.29,cog,1979
41.7,cog,1980
41.22,cog,1981
39.58,cog,1982
38.09,cog,1983
36.49,cog,1984
38.64,cog,1985
55.26,cog,1986
52.27,cog,1987
56.22,cog,1988
49.09,cog,1989
46.5,cog,1990
52.65,cog,1991
52.96,cog,1992
53.45,cog,1993
44.2,cog,1994
44.68,cog,1995
39.17,cog,1996
34.0,cog,1997
42.99,cog,1998
30.37,cog,1999
22.54,cog,2000
28.71,cog,2001
30.42,cog,2002
32.55,cog,2003
28.63,cog,2004
23.57,cog,2005
20.54,cog,2006
22.43,cog,2007
18.91,cog,2008
24.38,cog,2009
20.79,cog,2010
53.64,cri,1983
52.7,cri,1984
55.04,cri,1985
54.87,cri,1986
55.16,cri,1987
55.44,cri,1988
55.99,cri,1989
57.84,cri,1990
56.46,cri,1991
55.76,cri,1992
56.77,cri,1993
57.06,cri,1994
56.7,cri,1995
58.12,cri,1996
58.08,cri,1997
57.37,cri,1998
54.36,cri,1999
58.46,cri,2000
61.45,cri,2001
62.37,cri,2002
62.63,cri,2003
61.85,cri,2004
62.12,cri,2005
61.9,cri,2006
62.25,cri,2007
64.11,cri,2008
65.36,cri,2009
66.92,cri,2010
38.95,civ,1960
39.71,civ,1961
40.11,civ,1962
41.13,civ,1963
44.13,civ,1964
44.45,civ,1965
44.67,civ,1966
46.36,civ,1967
48.14,civ,1968
51.0,civ,1969
49.64,civ,1970
49.43,civ,1971
50.46,civ,1972
51.21,civ,1973
58.44,civ,1974
54.72,civ,1975
59.16,civ,1976
60.58,civ,1977
57.64,civ,1978
56.54,civ,1979
54.38,civ,1980
54.88,civ,1981
54.59,civ,1982
56.64,civ,1983
56.32,civ,1984
53.72,civ,1985
50.26,civ,1986
48.45,civ,1987
45.31,civ,1988
45.5,civ,1989
44.33,civ,1990
45.0,civ,1991
44.68,civ,1992
49.03,civ,1993
53.7,civ,1994
54.5,civ,1995
54.98,civ,1996
53.03,civ,1997
52.9,civ,1998
53.84,civ,1999
50.93,civ,2000
51.21,civ,2001
51.42,civ,2002
52.8,civ,2003
53.75,civ,2004
51.32,civ,2005
51.19,civ,2006
50.86,civ,2007
48.9,civ,2008
49.86,civ,2009
49.67,civ,2010
53.35,hrv,1990
54.54,hrv,1991
52.24,hrv,1992
49.97,hrv,1993
55.18,hrv,1994
60.91,hrv,1995
62.16,hrv,1996
61.62,hrv,1997
63.06,hrv,1998
64.4,hrv,1999
65.01,hrv,2000
65.19,hrv,2001
65.91,hrv,2002
66.62,hrv,2003
65.27,hrv,2004
66.41,hrv,2005
66.72,hrv,2006
67.64,hrv,2007
66.93,hrv,2008
68.24,hrv,2009
67.2,hrv,2010
68.05,cub,1970
68.05,cub,1971
68.05,cub,1972
68.05,cub,1973
68.05,cub,1974
68.05,cub,1975
68.04,cub,1976
68.05,cub,1977
68.05,cub,1978
68.06,cub,1979
68.08,cub,1980
67.95,cub,1981
68.09,cub,1982
68.09,cub,1983
68.07,cub,1984
68.22,cub,1985
67.28,cub,1986
68.77,cub,1987
68.09,cub,1988
67.99,cub,1989
67.38,cub,1990
68.96,cub,1991
69.1,cub,1992
72.26,cub,1993
69.89,cub,1994
68.36,cub,1995
66.05,cub,1996
65.76,cub,1997
66.39,cub,1998
66.47,cub,1999
63.7,cub,2000
65.44,cub,2001
67.5,cub,2002
70.12,cub,2003
72.17,cub,2004
75.01,cub,2005
75.29,cub,2006
74.54,cub,2007
74.33,cub,2008
74.6,cub,2009
74.49,cub,2010
59.11,cyp,1975
55.26,cyp,1976
55.8,cyp,1977
55.95,cyp,1978
56.54,cyp,1979
56.77,cyp,1980
58.33,cyp,1981
59.87,cyp,1982
62.01,cyp,1983
62.03,cyp,1984
64.02,cyp,1985
65.08,cyp,1986
65.07,cyp,1987
65.32,cyp,1988
66.49,cyp,1989
67.21,cyp,1990
67.07,cyp,1991
68.72,cyp,1992
69.71,cyp,1993
71.71,cyp,1994
72.46,cyp,1995
73.21,cyp,1996
74.67,cyp,1997
75.24,cyp,1998
76.39,cyp,1999
77.32,cyp,2000
77.51,cyp,2001
77.03,cyp,2002
77.23,cyp,2003
77.3,cyp,2004
77.74,cyp,2005
78.63,cyp,2006
78.82,cyp,2007
78.33,cyp,2008
45.01,cze,1990
44.9,cze,1991
44.08,cze,1992
52.02,cze,1993
51.12,cze,1994
56.69,cze,1995
53.47,cze,1996
55.22,cze,1997
56.57,cze,1998
57.36,cze,1999
58.04,cze,2000
58.31,cze,2001
59.95,cze,2002
61.01,cze,2003
58.12,cze,2004
59.1,cze,2005
59.2,cze,2006
59.09,cze,2007
59.85,cze,2008
60.03,cze,2009
59.95,cze,2010
59.17,dnk,1966
60.21,dnk,1967
60.97,dnk,1968
61.3,dnk,1969
62.86,dnk,1970
63.3,dnk,1971
63.44,dnk,1972
64.16,dnk,1973
64.92,dnk,1974
66.15,dnk,1975
67.49,dnk,1976
67.38,dnk,1977
67.81,dnk,1978
69.31,dnk,1979
67.9,dnk,1980
69.09,dnk,1981
68.7,dnk,1982
69.16,dnk,1983
68.11,dnk,1984
68.34,dnk,1985
68.47,dnk,1986
69.28,dnk,1987
69.87,dnk,1988
69.64,dnk,1989
70.39,dnk,1990
71.04,dnk,1991
71.23,dnk,1992
72.29,dnk,1993
72.19,dnk,1994
71.45,dnk,1995
71.2,dnk,1996
71.18,dnk,1997
71.7,dnk,1998
71.64,dnk,1999
70.58,dnk,2000
71.37,dnk,2001
72.23,dnk,2002
73.06,dnk,2003
73.4,dnk,2004
73.06,dnk,2005
72.54,dnk,2006
73.19,dnk,2007
73.51,dnk,2008
76.75,dnk,2009
76.92,dnk,2010
76.14,dji,1989
74.89,dji,1990
75.16,dji,1991
79.57,dji,1992
81.29,dji,1993
82.26,dji,1994
81.32,dji,1995
80.7,dji,1996
81.14,dji,1997
81.82,dji,1998
81.62,dji,1999
81.1,dji,2000
80.81,dji,2001
80.43,dji,2002
80.23,dji,2003
79.76,dji,2004
79.86,dji,2005
80.11,dji,2006
79.26,dji,2007
47.76,dma,1977
46.79,dma,1978
52.46,dma,1979
48.38,dma,1980
48.01,dma,1981
49.08,dma,1982
52.5,dma,1983
53.72,dma,1984
55.44,dma,1985
55.23,dma,1986
55.45,dma,1987
54.75,dma,1988
57.52,dma,1989
56.38,dma,1990
57.47,dma,1991
57.29,dma,1992
57.88,dma,1993
57.99,dma,1994
59.16,dma,1995
58.44,dma,1996
58.75,dma,1997
58.77,dma,1998
58.87,dma,1999
67.69,dma,2000
69.28,dma,2001
69.88,dma,2002
71.7,dma,2003
71.39,dma,2004
70.86,dma,2005
71.61,dma,2006
70.86,dma,2007
69.66,dma,2008
70.51,dma,2009
71.46,dma,2010
54.84,dom,1965
53.03,dom,1966
52.4,dom,1967
53.92,dom,1968
52.12,dom,1969
50.62,dom,1970
50.78,dom,1971
51.79,dom,1972
49.72,dom,1973
49.38,dom,1974
46.9,dom,1975
49.61,dom,1976
50.43,dom,1977
52.47,dom,1978
51.3,dom,1979
51.56,dom,1980
53.79,dom,1981
53.68,dom,1982
53.75,dom,1983
53.12,dom,1984
68.84,dom,1985
58.97,dom,1986
67.43,dom,1987
58.82,dom,1988
54.28,dom,1989
55.17,dom,1990
50.3,dom,1991
51.63,dom,1992
53.06,dom,1993
53.72,dom,1994
54.18,dom,1995
53.53,dom,1996
54.55,dom,1997
53.86,dom,1998
54.67,dom,1999
56.85,dom,2000
58.37,dom,2001
57.83,dom,2002
59.78,dom,2003
60.05,dom,2004
60.49,dom,2005
60.78,dom,2006
61.87,dom,2007
61.5,dom,2008
61.33,dom,2009
61.74,dom,2010
58.97,ecu,2002
60.38,ecu,2003
58.4,ecu,2004
57.12,ecu,2005
54.8,ecu,2006
54.28,ecu,2007
51.83,ecu,2008
56.58,ecu,2009
54.91,ecu,2010
44.5,egy,1965
45.1,egy,1966
44.76,egy,1967
43.46,egy,1968
42.41,egy,1969
42.4,egy,1970
42.65,egy,1971
42.15,egy,1972
44.73,egy,1973
44.44,egy,1974
44.07,egy,1975
45.52,egy,1976
45.73,egy,1977
46.03,egy,1978
43.25,egy,1979
44.96,egy,1980
42.18,egy,1981
47.99,egy,1982
50.37,egy,1983
50.67,egy,1984
51.46,egy,1985
52.4,egy,1986
52.43,egy,1987
52.2,egy,1988
52.35,egy,1989
51.96,egy,1990
49.18,egy,1991
50.12,egy,1992
50.21,egy,1993
50.37,egy,1994
50.92,egy,1995
51.12,egy,1996
51.83,egy,1997
52.02,egy,1998
51.77,egy,1999
50.13,egy,2000
50.11,egy,2001
49.15,egy,2002
48.41,egy,2003
48.35,egy,2004
49.21,egy,2005
47.5,egy,2006
49.59,egy,2007
49.25,egy,2008
49.0,egy,2009
48.48,egy,2010
55.34,slv,1990
55.19,slv,1991
55.16,slv,1992
54.95,slv,1993
54.99,slv,1994
55.86,slv,1995
56.39,slv,1996
56.39,slv,1997
56.9,slv,1998
57.47,slv,1999
57.92,slv,2000
57.75,slv,2001
58.47,slv,2002
58.99,slv,2003
59.87,slv,2004
59.54,slv,2005
59.96,slv,2006
59.73,slv,2007
59.51,slv,2008
60.43,slv,2009
60.34,slv,2010
22.46,gnq,1985
23.83,gnq,1986
23.81,gnq,1987
28.24,gnq,1988
27.77,gnq,1989
27.81,gnq,1990
29.26,gnq,1991
29.37,gnq,1992
27.77,gnq,1993
22.15,gnq,1994
21.18,gnq,1995
15.01,gnq,1996
8.242,gnq,1997
11.84,gnq,1998
7.168,gnq,1999
4.249,gnq,2000
4.257,gnq,2001
4.92,gnq,2002
5.313,gnq,2003
3.812,gnq,2004
2.964,gnq,2005
2.854,gnq,2006
2.746,gnq,2007
2.295,gnq,2008
4.218,gnq,2009
57.42,eri,1992
61.9,eri,1993
61.4,eri,1994
62.27,eri,1995
61.04,eri,1996
59.74,eri,1997
53.41,eri,1998
52.26,eri,1999
61.93,eri,2000
60.22,eri,2001
60.48,eri,2002
65.69,eri,2003
67.09,eri,2004
53.87,eri,2005
54.63,eri,2006
54.54,eri,2007
55.77,eri,2008
63.03,eri,2009
35.46,est,1987
36.95,est,1988
38.4,est,1989
33.75,est,1990
42.03,est,1991
52.21,est,1992
58.69,est,1993
60.2,est,1994
61.24,est,1995
63.41,est,1996
63.9,est,1997
64.95,est,1998
68.66,est,1999
67.65,est,2000
67.23,est,2001
67.49,est,2002
67.54,est,2003
68.24,est,2004
67.88,est,2005
67.47,est,2006
66.58,est,2007
68.0,est,2008
28.76,eth,1981
30.52,eth,1982
29.74,eth,1983
34.22,eth,1984
31.17,eth,1985
31.99,eth,1986
32.48,eth,1987
33.72,eth,1988
34.09,eth,1989
34.52,eth,1990
27.25,eth,1991
23.94,eth,1992
26.05,eth,1993
32.05,eth,1994
32.56,eth,1995
32.78,eth,1996
31.69,eth,1997
35.42,eth,1998
37.63,eth,1999
37.77,eth,2000
39.31,eth,2001
42.6,eth,2002
44.04,eth,2003
41.76,eth,2004
40.35,eth,2005
39.42,eth,2006
40.49,eth,2007
43.13,eth,2008
38.46,eth,2009
38.03,eth,2010
33.55,fji,1963
36.75,fji,1964
40.88,fji,1965
43.29,fji,1966
44.67,fji,1967
44.75,fji,1968
48.4,fji,1969
47.9,fji,1970
53.65,fji,1971
52.28,fji,1972
52.66,fji,1973
52.25,fji,1974
52.08,fji,1975
51.81,fji,1976
55.97,fji,1977
58.44,fji,1978
56.9,fji,1979
55.85,fji,1980
58.87,fji,1981
58.41,fji,1982
61.87,fji,1983
64.5,fji,1984
62.19,fji,1985
59.02,fji,1986
55.75,fji,1987
58.79,fji,1988
53.74,fji,1989
55.62,fji,1990
55.08,fji,1991
54.69,fji,1992
54.33,fji,1993
53.52,fji,1994
55.63,fji,1995
55.88,fji,1996
57.69,fji,1997
58.78,fji,1998
58.83,fji,1999
60.64,fji,2000
61.61,fji,2001
61.78,fji,2002
63.23,fji,2003
62.23,fji,2004
66.78,fji,2005
66.56,fji,2006
67.98,fji,2007
67.89,fji,2008
69.43,fji,2009
68.24,fji,2010
48.35,fin,1965
49.96,fin,1966
50.94,fin,1967
50.69,fin,1968
49.41,fin,1969
49.1,fin,1970
50.15,fin,1971
50.25,fin,1972
49.81,fin,1973
48.33,fin,1974
49.95,fin,1975
51.95,fin,1976
52.73,fin,1977
52.78,fin,1978
52.3,fin,1979
52.0,fin,1980
53.37,fin,1981
54.15,fin,1982
54.57,fin,1983
55.21,fin,1984
56.82,fin,1985
57.96,fin,1986
58.86,fin,1987
58.71,fin,1988
58.46,fin,1989
60.1,fin,1990
64.07,fin,1991
65.19,fin,1992
64.43,fin,1993
63.15,fin,1994
62.23,fin,1995
63.37,fin,1996
62.98,fin,1997
62.1,fin,1998
62.48,fin,1999
61.87,fin,2000
62.64,fin,2001
63.69,fin,2002
64.05,fin,2003
64.63,fin,2004
64.78,fin,2005
64.03,fin,2006
63.24,fin,2007
65.09,fin,2008
69.35,fin,2009
68.06,fin,2010
57.01,fra,1970
57.68,fra,1971
57.1,fra,1972
57.76,fra,1973
59.96,fra,1974
60.39,fra,1975
60.96,fra,1976
61.56,fra,1977
62.13,fra,1978
62.51,fra,1979
63.27,fra,1980
64.32,fra,1981
64.46,fra,1982
65.42,fra,1983
66.26,fra,1984
66.46,fra,1985
66.85,fra,1986
67.47,fra,1987
68.05,fra,1988
68.55,fra,1989
68.7,fra,1990
69.55,fra,1991
70.25,fra,1992
71.86,fra,1993
72.39,fra,1994
72.14,fra,1995
72.91,fra,1996
73.24,fra,1997
73.35,fra,1998
73.88,fra,1999
74.23,fra,2000
74.69,fra,2001
75.39,fra,2002
76.17,fra,2003
76.57,fra,2004
76.92,fra,2005
77.34,fra,2006
77.17,fra,2007
77.47,fra,2008
79.21,fra,2009
33.9,gab,1960
33.22,gab,1961
33.51,gab,1962
17.78,gab,1963
39.07,gab,1964
39.82,gab,1965
39.9,gab,1966
38.02,gab,1967
36.08,gab,1968
35.79,gab,1969
33.85,gab,1970
40.63,gab,1971
35.67,gab,1972
40.53,gab,1973
28.44,gab,1974
31.31,gab,1975
32.64,gab,1976
36.28,gab,1977
35.66,gab,1978
30.79,gab,1979
32.81,gab,1980
35.47,gab,1981
33.24,gab,1982
36.66,gab,1983
34.2,gab,1984
26.72,gab,1985
43.25,gab,1986
40.16,gab,1987
53.97,gab,1988
49.58,gab,1989
49.68,gab,1990
47.76,gab,1991
48.43,gab,1992
46.27,gab,1993
38.29,gab,1994
39.6,gab,1995
37.54,gab,1996
39.13,gab,1997
49.84,gab,1998
43.89,gab,1999
37.53,gab,2000
42.29,gab,2001
42.21,gab,2002
41.92,gab,2003
39.07,gab,2004
33.76,gab,2005
33.89,gab,2006
34.9,gab,2007
31.66,gab,2008
41.15,gab,2009
36.2,gab,2010
55.77,gmb,1966
55.15,gmb,1967
55.1,gmb,1968
55.06,gmb,1969
56.58,gmb,1970
56.72,gmb,1971
55.24,gmb,1972
55.25,gmb,1973
55.78,gmb,1974
55.6,gmb,1975
52.98,gmb,1976
53.62,gmb,1977
55.63,gmb,1978
55.53,gmb,1979
54.29,gmb,1980
51.57,gmb,1981
44.43,gmb,1982
50.33,gmb,1983
50.29,gmb,1984
52.61,gmb,1985
51.92,gmb,1986
52.57,gmb,1987
58.07,gmb,1988
56.88,gmb,1989
57.88,gmb,1990
58.52,gmb,1991
59.56,gmb,1992
60.48,gmb,1993
58.94,gmb,1994
56.66,gmb,1995
56.29,gmb,1996
56.97,gmb,1997
57.75,gmb,1998
52.7,gmb,1999
51.13,gmb,2000
50.83,gmb,2001
57.89,gmb,2002
54.91,gmb,2003
53.14,gmb,2004
54.58,gmb,2005
55.49,gmb,2006
56.5,gmb,2007
56.41,gmb,2008
57.08,gmb,2009
57.34,gmb,2010
40.11,geo,1980
38.88,geo,1981
38.81,geo,1982
39.82,geo,1983
38.29,geo,1984
34.86,geo,1985
36.17,geo,1986
37.8,geo,1987
38.2,geo,1988
37.97,geo,1989
35.0,geo,1990
34.08,geo,1991
23.16,geo,1992
19.43,geo,1993
23.85,geo,1994
32.07,geo,1995
42.14,geo,1996
47.14,geo,1997
49.54,geo,1998
51.23,geo,1999
55.71,geo,2000
55.6,geo,2001
55.03,geo,2002
53.8,geo,2003
55.66,geo,2004
56.46,geo,2005
62.32,geo,2006
65.0,geo,2007
68.73,geo,2008
68.78,geo,2009
68.37,geo,2010
48.24,deu,1970
49.83,deu,1971
50.9,deu,1972
51.64,deu,1973
52.73,deu,1974
54.79,deu,1975
54.51,deu,1976
54.97,deu,1977
55.08,deu,1978
55.68,deu,1979
56.54,deu,1980
57.57,deu,1981
57.96,deu,1982
58.57,deu,1983
59.02,deu,1984
59.03,deu,1985
58.95,deu,1986
59.89,deu,1987
60.12,deu,1988
60.44,deu,1989
61.17,deu,1990
62.02,deu,1991
63.28,deu,1992
65.63,deu,1993
65.93,deu,1994
66.58,deu,1995
67.42,deu,1996
67.63,deu,1997
67.73,deu,1998
68.31,deu,1999
68.23,deu,2000
68.78,deu,2001
69.54,deu,2002
69.91,deu,2003
69.41,deu,2004
69.73,deu,2005
69.12,deu,2006
68.56,deu,2007
69.35,deu,2008
72.42,deu,2009
70.96,deu,2010
28.78,gha,1965
31.76,gha,1966
32.05,gha,1967
29.88,gha,1968
25.96,gha,1969
24.99,gha,1970
29.02,gha,1971
27.87,gha,1972
26.52,gha,1973
23.89,gha,1974
23.49,gha,1975
22.21,gha,1976
21.89,gha,1977
22.07,gha,1978
23.63,gha,1979
27.64,gha,1980
35.2,gha,1981
34.18,gha,1982
36.94,gha,1984
33.58,gha,1985
34.73,gha,1986
32.94,gha,1987
33.68,gha,1988
33.7,gha,1989
38.08,gha,1990
37.46,gha,1991
37.59,gha,1992
30.83,gha,1993
30.36,gha,1994
30.55,gha,1995
29.56,gha,1996
31.22,gha,1997
31.54,gha,1998
31.71,gha,1999
32.2,gha,2000
32.54,gha,2001
32.59,gha,2002
32.0,gha,2003
31.39,gha,2004
31.6,gha,2005
48.8,gha,2006
50.2,gha,2007
48.61,gha,2008
49.2,gha,2009
51.43,gha,2010
54.51,grc,1965
54.79,grc,1966
55.46,grc,1967
55.24,grc,1968
54.38,grc,1969
53.96,grc,1970
58.7,grd,1977
62.28,grd,1978
59.57,grd,1979
62.16,grd,1980
59.94,grd,1981
60.59,grd,1982
62.81,grd,1983
63.34,grd,1984
65.45,grd,1985
65.47,grd,1986
62.42,grd,1987
62.67,grd,1988
66.55,grd,1989
68.6,grd,1990
66.81,grd,1991
68.93,grd,1992
70.46,grd,1993
70.27,grd,1994
69.86,grd,1995
71.35,grd,1996
69.99,grd,1997
70.2,grd,1998
69.25,grd,1999
73.11,grd,2000
74.72,grd,2001
73.52,grd,2002
73.27,grd,2003
74.82,grd,2004
70.13,grd,2005
72.9,grd,2006
74.03,grd,2007
75.52,grd,2008
79.68,grd,2009
80.43,grd,2010
55.81,gtm,2001
55.72,gtm,2002
56.28,gtm,2003
56.25,gtm,2004
57.3,gtm,2005
57.73,gtm,2006
57.87,gtm,2007
68.2,gtm,2008
67.69,gtm,2009
67.56,gtm,2010
41.49,gin,1986
43.01,gin,1987
42.85,gin,1988
42.04,gin,1989
42.89,gin,1990
49.6,gin,1991
55.21,gin,1992
52.61,gin,1993
53.12,gin,1994
51.55,gin,1995
51.46,gin,1996
48.95,gin,1997
45.81,gin,1998
47.36,gin,1999
47.24,gin,2000
43.49,gin,2001
43.84,gin,2002
46.26,gin,2003
41.27,gin,2004
36.93,gin,2005
32.8,gin,2006
31.26,gin,2007
28.39,gin,2008
30.96,gin,2009
39.59,gin,2010
31.3,gnb,1970
33.07,gnb,1971
31.76,gnb,1972
32.72,gnb,1973
33.13,gnb,1974
26.87,gnb,1975
36.38,gnb,1976
31.21,gnb,1977
28.4,gnb,1978
28.55,gnb,1979
36.06,gnb,1980
29.51,gnb,1981
38.84,gnb,1982
46.11,gnb,1983
44.31,gnb,1984
37.87,gnb,1985
34.96,gnb,1986
29.2,gnb,1987
27.37,gnb,1988
32.96,gnb,1989
20.6,gnb,1990
36.13,gnb,1991
39.91,gnb,1992
34.67,gnb,1993
32.85,gnb,1994
32.75,gnb,1995
30.82,gnb,1996
30.1,gnb,1997
24.94,gnb,1998
28.42,gnb,1999
30.57,gnb,2000
35.77,gnb,2001
29.58,gnb,2002
42.8,guy,1960
42.48,guy,1961
39.48,guy,1962
40.31,guy,1963
40.41,guy,1964
40.94,guy,1965
42.3,guy,1966
41.74,guy,1967
41.21,guy,1968
39.87,guy,1969
40.55,guy,1970
41.35,guy,1971
43.38,guy,1972
48.28,guy,1973
36.55,guy,1974
34.55,guy,1975
42.13,guy,1976
43.61,guy,1977
42.98,guy,1978
43.69,guy,1979
40.87,guy,1980
47.26,guy,1981
47.68,guy,1982
53.0,guy,1983
50.93,guy,1984
48.53,guy,1985
46.22,guy,1986
39.94,guy,1987
44.39,guy,1988
30.64,guy,1989
37.04,guy,1990
29.61,guy,1991
30.23,guy,1992
28.11,guy,1993
26.35,guy,1994
26.12,guy,1995
27.3,guy,1996
30.82,guy,1997
34.61,guy,1998
35.38,guy,1999
39.88,guy,2000
40.78,guy,2001
40.59,guy,2002
41.37,guy,2003
41.73,guy,2004
45.43,guy,2005
46.09,guy,2006
45.63,guy,2007
43.01,guy,2008
45.13,guy,2009
46.35,guy,2010
43.7,hnd,1960
42.86,hnd,1961
41.7,hnd,1962
42.74,hnd,1963
42.59,hnd,1964
40.82,hnd,1965
41.66,hnd,1966
40.71,hnd,1967
40.57,hnd,1968
42.13,hnd,1969
45.37,hnd,1970
46.02,hnd,1971
46.46,hnd,1972
45.14,hnd,1973
45.24,hnd,1974
47.76,hnd,1975
48.22,hnd,1976
46.21,hnd,1977
48.53,hnd,1978
50.04,hnd,1979
52.01,hnd,1980
54.68,hnd,1981
53.93,hnd,1982
53.49,hnd,1983
53.34,hnd,1984
54.18,hnd,1985
55.91,hnd,1986
56.12,hnd,1987
54.76,hnd,1988
54.21,hnd,1989
51.2,hnd,1990
49.96,hnd,1991
50.03,hnd,1992
49.29,hnd,1993
46.86,hnd,1994
47.77,hnd,1995
46.92,hnd,1996
47.12,hnd,1997
50.19,hnd,1998
51.71,hnd,1999
51.66,hnd,2000
54.72,hnd,2001
56.45,hnd,2002
57.17,hnd,2003
57.5,hnd,2004
57.62,hnd,2005
57.05,hnd,2006
58.43,hnd,2007
58.89,hnd,2008
61.35,hnd,2009
60.94,hnd,2010
88.35,hkg,2000
88.63,hkg,2001
88.79,hkg,2002
89.07,hkg,2003
89.93,hkg,2004
90.85,hkg,2005
91.74,hkg,2006
92.44,hkg,2007
92.38,hkg,2008
92.57,hkg,2009
20.62,hun,1960
20.65,hun,1961
18.75,hun,1962
19.43,hun,1963
17.65,hun,1964
22.68,hun,1965
22.59,hun,1966
22.42,hun,1967
30.74,hun,1968
30.53,hun,1969
32.9,hun,1970
32.71,hun,1971
33.07,hun,1972
32.17,hun,1973
32.58,hun,1974
32.47,hun,1975
32.58,hun,1976
32.61,hun,1977
33.19,hun,1978
33.16,hun,1979
33.81,hun,1980
33.4,hun,1981
33.15,hun,1982
33.71,hun,1983
33.98,hun,1984
35.15,hun,1985
36.31,hun,1986
37.18,hun,1987
40.12,hun,1988
40.69,hun,1989
46.4,hun,1990
57.66,hun,1991
60.62,hun,1992
62.86,hun,1993
63.29,hun,1994
62.53,hun,1995
62.56,hun,1996
61.02,hun,1997
61.03,hun,1998
62.28,hun,1999
62.05,hun,2000
63.71,hun,2001
65.41,hun,2002
65.98,hun,2003
64.6,hun,2004
65.81,hun,2005
65.82,hun,2006
65.78,hun,2007
66.17,hun,2008
66.65,hun,2009
65.44,hun,2010
47.72,isl,1973
51.67,isl,1974
53.2,isl,1975
51.22,isl,1976
50.46,isl,1977
51.95,isl,1978
51.21,isl,1979
51.17,isl,1980
52.16,isl,1981
53.06,isl,1982
54.68,isl,1983
52.57,isl,1984
53.24,isl,1985
52.01,isl,1986
52.26,isl,1987
54.07,isl,1988
56.12,isl,1989
57.41,isl,1990
57.16,isl,1991
57.99,isl,1992
58.63,isl,1993
59.87,isl,1994
59.59,isl,1995
60.17,isl,1996
60.25,isl,1997
61.42,isl,1998
64.04,isl,1999
64.8,isl,2000
63.55,isl,2001
66.07,isl,2002
68.68,isl,2003
68.95,isl,2004
69.31,isl,2005
67.07,isl,2006
68.5,isl,2007
66.52,isl,2008
67.67,isl,2009
37.62,ind,1960
37.8,ind,1961
39.26,ind,1962
37.74,ind,1963
36.61,ind,1964
37.95,ind,1965
37.44,ind,1966
36.03,ind,1967
36.46,ind,1968
35.93,ind,1969
36.89,ind,1970
37.81,ind,1971
37.74,ind,1972
35.8,ind,1973
37.45,ind,1974
39.48,ind,1975
40.11,ind,1976
39.02,ind,1977
39.56,ind,1978
40.61,ind,1979
39.61,ind,1980
40.07,ind,1981
41.21,ind,1982
40.5,ind,1983
41.51,ind,1984
42.73,ind,1985
43.71,ind,1986
44.25,ind,1987
43.35,ind,1988
43.84,ind,1989
43.84,ind,1990
44.59,ind,1991
44.88,ind,1992
45.2,ind,1993
44.68,ind,1994
45.68,ind,1995
45.61,ind,1996
47.11,ind,1997
47.92,ind,1998
49.69,ind,1999
50.46,ind,2000
51.46,ind,2001
52.66,ind,2002
52.79,ind,2003
53.05,ind,2004
53.04,ind,2005
52.86,ind,2006
52.7,ind,2007
54.2,ind,2008
55.27,ind,2009
54.73,ind,2010
33.5,idn,1960
37.9,idn,1961
31.87,idn,1962
32.16,idn,1963
29.68,idn,1964
31.42,idn,1965
37.25,idn,1966
35.86,idn,1967
35.48,idn,1968
35.11,idn,1969
36.37,idn,1970
36.48,idn,1971
36.4,idn,1972
35.22,idn,1973
34.69,idn,1974
36.35,idn,1975
36.28,idn,1976
36.17,idn,1977
36.16,idn,1978
35.02,idn,1979
34.31,idn,1980
35.43,idn,1981
38.15,idn,1982
37.29,idn,1983
38.16,idn,1984
40.94,idn,1985
42.04,idn,1986
40.42,idn,1987
40.25,idn,1988
40.0,idn,1989
41.47,idn,1990
41.34,idn,1991
41.68,idn,1992
42.44,idn,1993
42.07,idn,1994
41.06,idn,1995
39.87,idn,1996
39.58,idn,1997
36.69,idn,1998
37.03,idn,1999
38.47,idn,2000
38.25,idn,2001
40.08,idn,2002
41.07,idn,2003
41.04,idn,2004
40.33,idn,2005
40.08,idn,2006
39.48,idn,2007
37.46,idn,2008
37.02,idn,2009
37.62,idn,2010
42.52,irn,1965
42.59,irn,1966
42.37,irn,1967
42.18,irn,1968
41.72,irn,1969
41.7,irn,1970
39.66,irn,1971
40.48,irn,1972
33.4,irn,1973
29.29,irn,1974
35.25,irn,1975
35.26,irn,1976
40.12,irn,1977
46.05,irn,1978
45.9,irn,1979
52.77,irn,1980
50.25,irn,1981
45.18,irn,1982
49.04,irn,1983
50.92,irn,1984
53.88,irn,1985
56.5,irn,1986
54.94,irn,1987
56.41,irn,1988
54.49,irn,1989
52.19,irn,1990
52.74,irn,1991
52.18,irn,1992
46.48,irn,1993
45.89,irn,1994
47.39,irn,1995
47.5,irn,1996
51.2,irn,1997
55.15,irn,1998
51.67,irn,1999
49.53,irn,2000
51.78,irn,2001
46.58,irn,2002
47.08,irn,2003
46.04,irn,2004
45.1,irn,2005
45.99,irn,2006
45.31,irn,2007
16.48,irq,1997
18.96,irq,1998
13.52,irq,1999
10.26,irq,2000
13.3,irq,2001
17.64,irq,2002
21.28,irq,2003
49.13,irl,1970
49.66,irl,1971
48.04,irl,1972
47.78,irl,1973
49.49,irl,1974
48.95,irl,1975
49.83,irl,1976
48.38,irl,1977
48.78,irl,1978
