geo,patent_applications_total,time
lso,37040,1996
lso,49480,1997
lso,67490,1998
lso,80320,1999
lso,115800,2000
lso,150400,2001
lso,177300,2002
lbr,17,1991
lbr,35,1993
lbr,1924,1994
lbr,14280,1995
lbr,20500,1996
lbr,26040,1997
lbr,34860,1998
lbr,41120,1999
lbr,58900,2000
lbr,76000,2001
lbr,89510,2002
lby,27,1989
lby,57,1990
lby,47,1991
lby,36,1993
lby,31,1994
lby,43,1995
lby,35,1996
lie,52010,2002
ltu,29,1991
ltu,251,1992
ltu,1449,1993
ltu,5051,1994
ltu,15990,1995
ltu,21350,1996
ltu,26800,1997
ltu,35840,1998
ltu,90420,1999
ltu,112200,2000
ltu,130400,2001
ltu,140800,2002
lux,554,1984
lux,14770,1985
lux,16850,1986
lux,18930,1987
lux,23830,1988
lux,28360,1989
lux,34780,1990
lux,35980,1991
lux,39960,1992
lux,43500,1993
lux,51170,1994
lux,58060,1995
lux,70850,1996
lux,106500,1997
lux,144400,1998
lux,159600,1999
lux,198600,2000
lux,230700,2001
lux,251600,2002
mdg,359,1985
mdg,605,1986
mdg,880,1987
mdg,1299,1988
mdg,1793,1989
mdg,3144,1990
mdg,4343,1991
mdg,5880,1992
mdg,8350,1993
mdg,12340,1994
mdg,15820,1995
mdg,20810,1996
mdg,26170,1997
mdg,34940,1998
mdg,41250,1999
mdg,59030,2000
mdg,76050,2001
mdg,89530,2002
mwi,26,1984
mwi,389,1985
mwi,677,1986
mwi,939,1987
mwi,1343,1988
mwi,1836,1989
mwi,3204,1990
mwi,4402,1991
mwi,5947,1992
mwi,8443,1993
mwi,16080,1994
mwi,28870,1995
mwi,39030,1996
mwi,49930,1997
mwi,67760,1998
mwi,80430,1999
mwi,115900,2000
mwi,150700,2001
mwi,177300,2002
mys,1337,1985
mys,245,1986
mys,3523,1987
mys,1619,1988
mys,1847,1989
mys,2305,1990
mys,2427,1991
mys,2410,1992
mys,2882,1993
mys,3587,1994
mys,4052,1995
mys,6451,1997
mlt,15,1984
mlt,20,1985
mlt,17,1986
mlt,22,1987
mlt,17,1988
mlt,15,1989
mlt,19,1990
mlt,27,1991
mlt,25,1992
mlt,24,1993
mlt,42,1994
mlt,24,1995
mlt,24,1996
mlt,46,1997
mlt,34,1998
mlt,83,1999
mlt,116,2000
mlt,133,2001
mlt,202,2002
mus,10,1984
mus,9,1985
mus,21,1986
mus,5,1987
mus,16,1988
mus,11,1989
mus,4,1990
mus,10,1991
mus,12,1992
mus,6,1993
mus,17,1994
mus,7,1995
mus,22,1996
mus,15,1997
mus,15,1998
mex,4003,1984
mex,4048,1985
mex,4006,1986
mex,4412,1987
mex,4549,1988
mex,4741,1989
mex,5289,1990
mex,5271,1991
mex,7695,1992
mex,8212,1993
mex,9944,1994
mex,23670,1995
mex,30690,1996
mex,35930,1997
mex,44720,1998
mex,50000,1999
mex,66920,2000
mex,82470,2001
mex,94740,2002
mda,103,1993
mda,7602,1994
mda,15880,1995
mda,20540,1996
mda,25320,1997
mda,34110,1998
mda,40460,1999
mda,58420,2000
mda,75990,2001
mda,89640,2002
mco,62,1984
mco,531,1985
mco,727,1986
mco,1019,1987
mco,1451,1988
mco,1960,1989
mco,3347,1990
mco,4728,1991
mco,29620,1992
mco,32720,1993
mco,37660,1994
mco,41740,1995
mco,49640,1996
mco,81270,1997
mco,111100,1998
mco,119500,1999
mco,140300,2000
mco,155100,2001
mco,162100,2002
mng,2,1984
mng,39,1985
mng,75,1986
mng,67,1987
mng,75,1988
mng,92,1989
mng,73,1990
mng,1163,1991
mng,4940,1992
mng,8385,1993
mng,12510,1994
mng,15980,1995
mng,21000,1996
mng,26380,1997
mng,35150,1998
mng,41240,1999
mng,58980,2000
mng,76240,2001
mng,89980,2002
mar,322,1984
mar,290,1985
mar,254,1986
mar,306,1987
mar,321,1988
mar,264,1989
mar,329,1990
mar,356,1991
mar,298,1993
mar,360,1994
mar,381,1995
mar,327,1996
mar,3649,1999
mar,52010,2000
mar,74470,2001
mar,89300,2002
moz,56560,2000
moz,146300,2001
moz,176300,2002
nam,163,1990
nam,133,1991
nam,133,1993
npl,3,1992
npl,9,1993
npl,5,1994
npl,8,1995
nld,3979,1984
nld,31290,1985
nld,33660,1986
nld,36520,1987
nld,42040,1988
nld,47320,1989
nld,53510,1990
nld,51410,1991
nld,55880,1992
