geo,self_employed_percent_of_labour_force,time
lka,30.8,2001
lka,30.0,2002
lka,32.3,2003
lka,31.2,2004
lka,32.5,2005
lka,33.9,2006
lka,33.2,2007
sur,17.6,1993
sur,17.1,1994
sur,15.1,1995
sur,16.9,1996
sur,17.9,1997
sur,16.3,1998
swz,21.1,1997
swe,7.4,1980
swe,7.5,1981
swe,7.7,1982
swe,7.5,1983
swe,7.3,1984
swe,7.0,1985
swe,6.3,1986
che,11.5,1991
che,11.7,1992
che,12.8,1993
che,12.4,1994
che,13.0,1995
che,14.7,1996
che,15.4,1997
che,14.9,1998
che,15.1,1999
che,15.5,2000
che,14.6,2001
che,14.4,2002
che,15.1,2003
che,14.2,2004
che,14.0,2005
che,13.7,2006
che,13.8,2007
syr,34.3,2001
twn,24.9,1980
twn,25.3,1981
twn,25.4,1982
twn,25.1,1983
twn,24.8,1984
twn,25.1,1985
twn,24.5,1986
twn,23.4,1987
twn,23.4,1988
twn,23.4,1989
twn,23.4,1990
twn,23.7,1991
twn,23.3,1992
twn,22.8,1993
twn,22.5,1994
twn,22.3,1995
twn,22.3,1996
twn,22.0,1997
twn,21.7,1998
twn,21.7,1999
twn,21.5,2000
twn,21.0,2001
twn,21.0,2002
twn,20.7,2003
twn,20.1,2004
twn,19.5,2005
twn,19.0,2006
twn,18.6,2007
tza,89.3,2001
tza,78.1,2006
tha,32.6,1987
tha,30.2,1988
tha,30.2,1989
tha,31.0,1990
tha,31.5,1991
tha,30.4,1992
tha,31.4,1993
tha,31.2,1994
tha,33.1,1995
tha,33.4,1996
tha,32.0,1997
tha,33.7,1998
tha,34.6,1999
tha,33.5,2000
tha,34.9,2001
tha,34.4,2002
tha,34.9,2003
tha,34.0,2004
tha,34.8,2005
tha,34.8,2006
tha,35.1,2007
mkd,14.3,1998
mkd,15.2,1999
mkd,14.8,2000
mkd,15.6,2001
mkd,17.1,2002
mkd,15.8,2003
mkd,16.1,2004
mkd,17.7,2005
mkd,18.3,2006
mkd,17.6,2007
ton,26.4,1996
tto,20.4,1987
tto,21.2,1988
tto,20.4,1989
tto,21.1,1990
tto,19.8,1991
tto,20.6,1992
tto,21.5,1993
tto,21.2,1994
tto,21.4,1995
tto,21.2,1996
tto,20.7,1997
tto,20.1,1998
tto,20.8,1999
tto,21.0,2000
tto,21.7,2001
tto,20.8,2002
tto,20.2,2003
tto,19.5,2004
tto,19.2,2005
tun,23.4,1989
tun,28.3,1994
tun,23.3,1999
tun,23.6,2000
tun,24.5,2001
tun,25.1,2002
tun,26.8,2003
tur,29.4,1988
tur,30.2,1989
tur,30.9,1990
tur,29.8,1991
tur,30.5,1992
tur,30.6,1993
tur,30.3,1994
tur,30.0,1995
tur,28.8,1996
tur,29.8,1997
tur,29.8,1998
tur,29.2,1999
tur,29.8,2000
tur,30.2,2001
tur,29.4,2002
tur,29.8,2003
tur,29.4,2004
tur,29.8,2005
tur,28.9,2006
tur,27.8,2007
tuv,3.5,2002
uga,54.3,2002
uga,59.4,2003
ukr,10.2,1995
ukr,10.9,1996
ukr,16.0,1997
ukr,17.5,1998
ukr,7.8,1999
ukr,9.0,2000
ukr,9.6,2001
ukr,10.3,2002
ukr,10.9,2003
ukr,15.9,2004
ukr,17.7,2005
ukr,18.6,2006
ukr,18.9,2007
are,3.1,2005
gbr,8.1,1980
gbr,8.8,1981
gbr,9.2,1982
gbr,9.5,1983
gbr,11.3,1984
gbr,11.5,1985
gbr,11.5,1986
gbr,12.4,1987
gbr,12.6,1988
gbr,13.3,1989
gbr,13.3,1990
gbr,13.0,1991
gbr,12.5,1992
gbr,12.5,1993
gbr,12.8,1994
gbr,12.9,1995
gbr,12.5,1996
gbr,12.5,1997
gbr,12.1,1998
gbr,11.7,1999
gbr,11.3,2000
gbr,11.2,2001
gbr,11.4,2002
gbr,12.5,2003
gbr,12.7,2004
gbr,12.5,2005
gbr,12.7,2006
gbr,12.9,2007
usa,8.7,1980
usa,8.7,1981
usa,8.9,1982
usa,9.1,1983
usa,8.9,1984
usa,8.7,1985
usa,8.5,1986
usa,8.6,1987
usa,8.6,1988
usa,8.5,1989
usa,8.5,1990
usa,8.7,1991
usa,8.4,1992
usa,8.5,1993
usa,8.7,1994
usa,8.4,1995
usa,8.3,1996
usa,8.1,1997
usa,7.8,1998
usa,7.6,1999
usa,7.3,2000
usa,7.3,2001
usa,7.1,2002
usa,7.5,2003
usa,7.5,2004
usa,7.4,2005
usa,7.3,2006
usa,7.1,2007
ury,25.4,1998
ury,25.8,1999
ury,25.5,2000
ury,27.4,2001
ury,30.9,2002
ury,28.5,2003
ury,27.3,2005
ury,27.9,2006
ury,28.1,2007
ven,36.8,1994
ven,36.7,1995
ven,37.4,1996
ven,35.3,1997
ven,38.2,1998
ven,38.7,1999
ven,40.3,2000
ven,38.6,2001
ven,42.2,2002
ven,43.4,2003
ven,39.9,2006
ven,39.7,2007
vnm,37.0,1996
vnm,41.7,1997
vnm,40.9,1998
vnm,42.7,1999
vnm,43.2,2000
vnm,40.6,2001
vnm,40.8,2002
vnm,41.5,2003
vnm,41.7,2004
pse,32.1,1996
pse,28.1,1997
pse,26.7,1998
pse,24.3,1999
pse,24.2,2000
pse,28.8,2001
pse,30.5,2002
pse,31.3,2003
pse,30.7,2004
pse,30.4,2005
pse,29.6,2006
yem,58.0,1999
zmb,39.6,1980
zmb,29.1,1990
zmb,41.1,1991
zmb,51.7,1996
zmb,55.1,1998
zmb,40.1,2000
zmb,59.7,2003
zwe,45.5,1994
zwe,46.2,1997
zwe,50.4,2002
