geo,private_share_of_total_health_spending_percent,time
cog,40.18,1997
cog,41.22,1998
cog,42.52,1999
cog,42.28,2000
cog,45.0,2001
cog,47.33,2002
cog,50.08,2003
cog,46.16,2004
cog,40.52,2005
cog,36.71,2006
cog,42.4,2007
cog,51.86,2008
cog,52.51,2009
cog,53.26,2010
cok,8.662,1995
cok,8.204,1996
cok,10.22,1997
cok,9.467,1998
cok,10.53,1999
cok,9.497,2000
cok,6.698,2001
cok,8.697,2002
cok,8.679,2003
cok,9.575,2004
cok,5.715,2005
cok,6.562,2006
cok,6.501,2007
cok,6.382,2008
cok,6.235,2009
cok,6.155,2010
cri,23.5,1995
cri,23.84,1996
cri,24.57,1997
cri,23.89,1998
cri,23.72,1999
cri,23.17,2000
cri,24.69,2001
cri,25.37,2002
cri,25.89,2003
cri,27.89,2004
cri,29.73,2005
cri,31.01,2006
cri,32.73,2007
cri,33.12,2008
cri,32.59,2009
cri,31.9,2010
civ,77.44,1995
civ,76.34,1996
civ,76.48,1997
civ,79.56,1998
civ,76.94,1999
civ,73.73,2000
civ,75.79,2001
civ,70.04,2002
civ,74.16,2003
civ,74.63,2004
civ,80.16,2005
civ,80.78,2006
civ,77.73,2007
civ,76.26,2008
civ,79.15,2009
civ,78.41,2010
hrv,13.54,1995
hrv,12.42,1996
hrv,15.52,1997
hrv,12.96,1998
hrv,12.66,1999
hrv,13.86,2000
hrv,16.72,2001
hrv,19.95,2002
hrv,17.39,2003
hrv,18.94,2004
hrv,13.98,2005
hrv,13.93,2006
hrv,12.97,2007
hrv,15.13,2008
hrv,15.13,2009
hrv,15.13,2010
cub,10.43,1995
cub,10.15,1996
cub,9.964,1997
cub,10.15,1998
cub,9.499,1999
cub,9.898,2000
cub,10.38,2001
cub,11.86,2002
cub,10.55,2003
cub,9.747,2004
cub,6.539,2005
cub,7.228,2006
cub,5.003,2007
cub,4.719,2008
cub,7.28,2009
cub,8.527,2010
cyp,64.16,1995
cyp,65.9,1996
cyp,64.77,1997
cyp,58.12,1998
cyp,57.34,1999
cyp,58.35,2000
cyp,57.64,2001
cyp,55.02,2002
cyp,54.87,2003
cyp,56.16,2004
cyp,58.19,2005
cyp,57.57,2006
cyp,57.41,2007
cyp,58.49,2008
cyp,58.48,2009
cyp,58.49,2010
cze,9.111,1995
cze,9.332,1996
cze,9.714,1997
cze,9.57,1998
cze,9.518,1999
cze,9.681,2000
cze,10.23,2001
cze,9.526,2002
cze,10.2,2003
cze,10.85,2004
cze,12.69,2005
cze,13.27,2006
cze,14.81,2007
cze,17.45,2008
cze,16.04,2009
cze,16.32,2010
dnk,17.48,1995
dnk,17.58,1996
dnk,17.72,1997
dnk,17.92,1998
dnk,16.05,1999
dnk,16.14,2000
dnk,15.82,2001
dnk,15.51,2002
dnk,15.45,2003
dnk,15.73,2004
dnk,15.52,2005
dnk,15.36,2006
dnk,15.27,2007
dnk,15.05,2008
dnk,14.96,2009
dnk,14.89,2010
dji,39.98,1995
