geo,population_aged_40_59_years_female_percent,time
eri,12.59,2015
eri,15.53,2020
eri,18.05,2025
eri,19.82,2030
eri,20.35,2035
eri,20.09,2040
eri,20.89,2045
eri,22.4,2050
est,25.28,1950
est,26.15,1955
est,25.07,1960
est,24.51,1965
est,25.17,1970
est,25.06,1975
est,26.71,1980
est,25.61,1985
est,24.46,1990
est,25.52,1995
est,26.09,2000
est,26.86,2005
est,26.63,2010
est,26.11,2015
est,25.45,2020
est,25.99,2025
est,27.46,2030
est,26.59,2035
est,24.7,2040
est,22.44,2045
est,20.65,2050
eth,13.62,1950
eth,13.63,1955
eth,13.72,1960
eth,13.63,1965
eth,13.54,1970
eth,13.47,1975
eth,13.43,1980
eth,13.38,1985
eth,13.24,1990
eth,12.95,1995
eth,12.77,2000
eth,12.8,2005
eth,12.85,2010
eth,13.1,2015
eth,13.58,2020
eth,14.36,2025
eth,15.65,2030
eth,17.38,2035
eth,19.15,2040
eth,20.76,2045
eth,22.31,2050
fji,10.14,1950
fji,10.3,1955
fji,10.99,1960
fji,11.95,1965
fji,12.5,1970
fji,12.98,1975
fji,13.42,1980
fji,14.25,1985
fji,15.3,1990
fji,16.98,1995
fji,18.99,2000
fji,20.29,2005
fji,20.43,2010
fji,20.47,2015
fji,20.64,2020
fji,21.52,2025
fji,22.2,2030
fji,23.91,2035
fji,25.44,2040
fji,25.77,2045
fji,26.28,2050
fin,23.27,1950
fin,24.18,1955
fin,23.87,1960
fin,23.97,1965
fin,23.82,1970
fin,22.87,1975
fin,22.87,1980
fin,22.56,1985
fin,24.84,1990
fin,26.79,1995
fin,28.29,2000
fin,29.12,2005
fin,27.3,2010
fin,25.3,2015
fin,24.27,2020
fin,23.55,2025
fin,23.08,2030
fin,23.79,2035
fin,23.55,2040
fin,23.08,2045
fin,22.9,2050
fra,26.65,1950
fra,25.89,1955
fra,22.86,1960
fra,22.43,1965
fra,22.01,1970
fra,21.81,1975
fra,22.82,1980
fra,21.41,1985
fra,22.38,1990
fra,23.65,1995
fra,25.4,2000
fra,27.18,2005
fra,26.74,2010
fra,26.26,2015
fra,25.09,2020
fra,24.11,2025
fra,23.26,2030
fra,22.24,2035
fra,22.02,2040
fra,22.0,2045
fra,22.18,2050
guf,25.0,1950
guf,28.57,1955
guf,25.0,1960
guf,21.05,1965
guf,18.18,1970
guf,14.81,1975
guf,15.15,1980
guf,13.95,1985
guf,14.55,1990
guf,16.42,1995
guf,17.5,2000
guf,18.81,2005
guf,20.87,2010
guf,22.14,2015
guf,22.07,2020
guf,21.34,2025
guf,21.35,2030
guf,21.54,2035
guf,23.3,2040
guf,24.2,2045
guf,25.43,2050
pyf,13.79,1950
pyf,12.5,1955
pyf,15.38,1960
pyf,13.04,1965
pyf,11.54,1970
pyf,12.9,1975
pyf,13.89,1980
pyf,14.63,1985
pyf,16.13,1990
pyf,16.5,1995
pyf,18.42,2000
pyf,20.97,2005
pyf,24.24,2010
pyf,24.48,2015
pyf,25.17,2020
pyf,25.0,2025
pyf,26.09,2030
pyf,26.19,2035
pyf,27.33,2040
pyf,26.44,2045
pyf,25.0,2050
gab,22.41,1950
gab,22.13,1955
gab,21.77,1960
gab,21.01,1965
gab,20.59,1970
gab,18.63,1975
gab,16.43,1980
gab,14.0,1985
gab,13.28,1990
gab,12.82,1995
gab,13.48,2000
gab,14.56,2005
gab,15.69,2010
gab,16.5,2015
gab,17.27,2020
gab,18.28,2025
gab,19.61,2030
gab,21.55,2035
gab,22.98,2040
gab,23.92,2045
gab,24.37,2050
gmb,16.3,1950
gmb,15.49,1955
gmb,15.85,1960
gmb,15.87,1965
gmb,16.51,1970
gmb,16.48,1975
gmb,16.4,1980
gmb,16.35,1985
gmb,16.34,1990
gmb,15.45,1995
gmb,14.79,2000
gmb,14.6,2005
gmb,14.85,2010
gmb,15.28,2015
gmb,15.71,2020
gmb,16.03,2025
gmb,16.58,2030
gmb,17.68,2035
gmb,19.04,2040
gmb,20.63,2045
gmb,22.17,2050
geo,19.89,1950
geo,22.08,1955
geo,21.4,1960
geo,20.77,1965
geo,22.28,1970
geo,22.7,1975
geo,25.63,1980
geo,24.08,1985
geo,22.42,1990
geo,22.66,1995
geo,23.08,2000
geo,26.75,2005
geo,28.43,2010
geo,28.53,2015
geo,27.68,2020
geo,26.23,2025
geo,27.58,2030
geo,28.7,2035
geo,27.07,2040
geo,25.14,2045
geo,23.1,2050
deu,29.4,1950
deu,29.95,1955
deu,27.35,1960
deu,26.14,1965
deu,24.22,1970
deu,22.85,1975
deu,25.55,1980
deu,25.49,1985
deu,25.07,1990
deu,25.75,1995
deu,25.85,2000
deu,27.81,2005
deu,30.23,2010
deu,29.93,2015
deu,28.68,2020
deu,26.74,2025
