geo,gdpperemployee_us_inflation_adjusted,time
geo,8783,1999
geo,8426,2000
geo,8651,2001
geo,9320,2002
geo,10490,2003
geo,11300,2004
geo,12660,2005
deu,33490,1989
deu,34720,1990
deu,34480,1991
deu,35770,1992
deu,35960,1993
deu,36950,1994
deu,37570,1995
deu,38040,1996
deu,38770,1997
deu,39090,1998
deu,39340,1999
deu,39860,2000
deu,40170,2001
deu,40400,2002
deu,40710,2003
deu,41060,2004
deu,41490,2005
deu,42340,2006
deu_west,34950,1980
deu_west,35020,1981
deu_west,35110,1982
deu_west,36240,1983
deu_west,37200,1984
deu_west,37670,1985
deu_west,38030,1986
deu_west,38320,1987
deu_west,39440,1988
deu_west,40280,1989
deu_west,41350,1990
deu_west,42400,1991
deu_west,42580,1992
deu_west,42540,1993
deu_west,43940,1994
deu_west,44950,1995
deu_west,45870,1996
deu_west,47180,1997
gha,2629,1980
gha,2535,1981
gha,2256,1982
gha,2062,1983
gha,2176,1984
gha,2214,1985
gha,2266,1986
gha,2308,1987
gha,2377,1988
gha,2430,1989
gha,2442,1990
gha,2503,1991
gha,2583,1992
gha,2637,1993
gha,2647,1994
gha,2676,1995
gha,2731,1996
gha,2795,1997
gha,2856,1998
gha,2908,1999
gha,2947,2000
gha,2993,2001
gha,3055,2002
gha,3141,2003
gha,3228,2004
gha,3334,2005
grc,25780,1980
grc,24510,1981
grc,24810,1982
grc,24640,1983
grc,25230,1984
grc,25760,1985
grc,26090,1986
grc,25990,1987
grc,26710,1988
grc,27630,1989
grc,27280,1990
grc,28800,1991
grc,28580,1992
grc,27900,1993
grc,27920,1994
grc,28250,1995
grc,28560,1996
grc,29720,1997
grc,29410,1998
grc,30290,1999
grc,31210,2000
grc,32560,2001
grc,33120,2002
grc,33950,2003
grc,35190,2004
grc,36080,2005
grc,36790,2006
gtm,14850,1980
gtm,14530,1981
gtm,13620,1982
gtm,12900,1983
gtm,12470,1984
gtm,12460,1985
gtm,12390,1986
gtm,12090,1987
gtm,11850,1988
gtm,11620,1989
gtm,11690,1990
gtm,11770,1991
gtm,11920,1992
gtm,12020,1993
gtm,11920,1994
gtm,12220,1995
gtm,12390,1996
gtm,12540,1997
gtm,12620,1998
gtm,12740,1999
gtm,12820,2000
gtm,12700,2001
gtm,12470,2002
gtm,12370,2003
gtm,12860,2004
gtm,12830,2005
hkg,23740,1980
hkg,24190,1981
hkg,24760,1982
hkg,25950,1983
hkg,27620,1984
hkg,27420,1985
hkg,29440,1986
hkg,32500,1987
hkg,34460,1988
hkg,35470,1989
hkg,36820,1990
hkg,38340,1991
hkg,40970,1992
hkg,42630,1993
hkg,43920,1994
hkg,45010,1995
hkg,44470,1996
hkg,45410,1997
hkg,43480,1998
hkg,45360,1999
hkg,48330,2000
hkg,48040,2001
hkg,49380,2002
hkg,51280,2003
hkg,54320,2004
hkg,57360,2005
hun,13280,1980
hun,13430,1981
hun,13990,1982
hun,13930,1983
hun,14350,1984
hun,14030,1985
hun,14290,1986
hun,14570,1987
hun,14940,1988
hun,14710,1989
hun,13990,1990
hun,13150,1991
hun,14070,1992
hun,15070,1993
hun,16030,1994
hun,16420,1995
hun,16720,1996
hun,17450,1997
hun,17980,1998
hun,18120,1999
hun,18820,2000
hun,19540,2001
hun,20380,2002
hun,20950,2003
hun,22120,2004
hun,23010,2005
hun,23750,2006
isl,30510,1980
isl,30360,1981
isl,30220,1982
isl,29310,1983
isl,30070,1984
isl,29990,1985
isl,30920,1986
isl,31730,1987
isl,32620,1988
isl,33210,1989
isl,33570,1990
isl,33500,1991
isl,32370,1992
isl,32860,1993
isl,33780,1994
isl,32790,1995
isl,34350,1996
isl,36040,1997
isl,36620,1998
isl,36730,1999
isl,37620,2000
isl,38330,2001
isl,38780,2002
isl,39770,2003
isl,43030,2004
isl,44580,2005
isl,43580,2006
ind,2638,1980
ind,2722,1981
ind,2734,1982
ind,2875,1983
ind,2908,1984
ind,2947,1985
ind,2991,1986
ind,3040,1987
ind,3270,1988
ind,3398,1989
ind,3484,1990
ind,3518,1991
ind,3656,1992
ind,3774,1993
ind,3967,1994
ind,4208,1995
ind,4443,1996
ind,4544,1997
ind,4741,1998
ind,4993,1999
ind,5104,2000
ind,5262,2001
ind,5350,2002
ind,5678,2003
ind,6066,2004
ind,6536,2005
ind,6614,2006
idn,5350,1980
idn,4986,1981
idn,4912,1982
idn,5108,1983
idn,5254,1984
idn,5179,1985
idn,5011,1986
idn,5104,1987
idn,5239,1988
idn,5640,1989
idn,5945,1990
idn,6427,1991
idn,6707,1992
idn,7131,1993
idn,7404,1994
idn,8205,1995
idn,8270,1996
idn,8688,1997
idn,7353,1998
idn,7315,1999
idn,7926,2000
idn,8142,2001
idn,8415,2002
idn,8707,2003
idn,9056,2004
