geo,population_aged_60plus_years_both_sexes_percent,time
fji,12.71,2025
fji,13.51,2030
fji,14.04,2035
fji,15.62,2040
fji,17.7,2045
fji,19.56,2050
fin,10.17,1950
fin,10.37,1955
fin,11.15,1960
fin,12.25,1965
fin,14.16,1970
fin,15.53,1975
fin,16.36,1980
fin,17.43,1985
fin,18.47,1990
fin,18.95,1995
fin,19.85,2000
fin,21.37,2005
fin,24.69,2010
fin,27.07,2015
fin,28.81,2020
fin,30.32,2025
fin,31.15,2030
fin,31.13,2035
fin,31.39,2040
fin,31.71,2045
fin,31.87,2050
fra,16.24,1950
fra,16.35,1955
fra,16.88,1960
fra,17.56,1965
fra,18.15,1970
fra,18.32,1975
fra,17.28,1980
fra,18.29,1985
fra,19.32,1990
fra,20.34,1995
fra,20.69,2000
fra,20.88,2005
fra,23.18,2010
fra,25.24,2015
fra,27.08,2020
fra,28.9,2025
fra,30.37,2030
fra,31.57,2035
fra,31.88,2040
fra,32.29,2045
fra,32.56,2050
guf,8.0,1950
guf,10.71,1955
guf,9.375,1960
guf,7.692,1965
guf,6.383,1970
guf,5.357,1975
guf,5.882,1980
guf,5.882,1985
guf,5.172,1990
guf,5.714,1995
guf,5.455,2000
guf,5.446,2005
guf,6.867,2010
guf,7.634,2015
guf,9.622,2020
guf,11.49,2025
guf,12.99,2030
guf,14.29,2035
guf,15.01,2040
guf,16.02,2045
guf,17.32,2050
pyf,3.333,1950
pyf,4.286,1955
pyf,3.846,1960
pyf,4.396,1965
pyf,3.67,1970
pyf,4.688,1975
pyf,4.636,1980
pyf,4.598,1985
pyf,5.67,1990
pyf,5.581,1995
pyf,7.173,2000
pyf,7.812,2005
pyf,8.889,2010
pyf,10.73,2015
pyf,12.42,2020
pyf,14.73,2025
pyf,17.93,2030
pyf,19.76,2035
pyf,20.41,2040
pyf,22.29,2045
pyf,25.21,2050
gab,11.49,1950
gab,11.3,1955
gab,11.11,1960
gab,11.0,1965
gab,10.94,1970
gab,9.933,1975
gab,9.398,1980
gab,8.745,1985
gab,8.082,1990
gab,7.268,1995
gab,6.721,2000
gab,6.291,2005
gab,6.462,2010
gab,7.012,2015
gab,7.649,2020
gab,8.455,2025
gab,9.238,2030
gab,10.12,2035
gab,11.08,2040
gab,12.44,2045
gab,14.12,2050
gmb,4.651,1950
gmb,4.982,1955
gmb,5.643,1960
gmb,5.135,1965
gmb,5.128,1970
gmb,4.66,1975
gmb,4.715,1980
gmb,4.762,1985
gmb,4.581,1990
gmb,4.709,1995
gmb,4.831,2000
gmb,4.908,2005
gmb,4.857,2010
gmb,4.937,2015
gmb,5.157,2020
gmb,5.45,2025
gmb,5.962,2030
gmb,6.571,2035
gmb,7.18,2040
gmb,7.966,2045
gmb,8.852,2050
geo,14.91,1950
geo,13.59,1955
geo,12.18,1960
geo,11.77,1965
geo,11.98,1970
geo,12.39,1975
geo,12.22,1980
geo,12.82,1985
geo,14.98,1990
geo,16.15,1995
geo,18.39,2000
geo,18.07,2005
geo,19.13,2010
geo,20.74,2015
geo,23.04,2020
geo,25.71,2025
geo,26.92,2030
geo,27.92,2035
geo,28.81,2040
geo,30.02,2045
geo,32.44,2050
deu,14.6,1950
deu,15.79,1955
deu,17.27,1960
deu,18.75,1965
deu,19.87,1970
deu,20.43,1975
deu,19.28,1980
deu,19.93,1985
deu,20.42,1990
deu,20.81,1995
deu,23.2,2000
deu,24.87,2005
deu,25.98,2010
deu,27.88,2015
