geo,time,hdi_human_development_index
gbr,2007,0.856
gbr,2008,0.86
gbr,2009,0.86
gbr,2011,0.863
usa,1980,0.837
usa,1990,0.87
usa,2000,0.897
usa,2005,0.902
usa,2006,0.904
usa,2007,0.905
usa,2008,0.907
usa,2009,0.906
usa,2011,0.91
ury,1980,0.658
ury,1990,0.686
ury,2000,0.736
ury,2005,0.748
ury,2006,0.755
ury,2007,0.764
ury,2008,0.769
ury,2009,0.773
ury,2011,0.783
uzb,2005,0.611
uzb,2006,0.614
uzb,2007,0.619
uzb,2008,0.624
uzb,2009,0.631
uzb,2011,0.641
vut,2011,0.617
ven,1980,0.623
ven,1990,0.629
ven,2000,0.656
ven,2005,0.692
ven,2006,0.706
ven,2007,0.72
ven,2008,0.73
ven,2009,0.732
ven,2011,0.735
pse,2011,0.641
vnm,1990,0.435
vnm,2000,0.528
vnm,2005,0.561
vnm,2006,0.568
vnm,2007,0.575
vnm,2008,0.58
vnm,2009,0.584
vnm,2011,0.593
yem,2000,0.374
yem,2005,0.422
yem,2006,0.431
yem,2007,0.438
yem,2008,0.444
yem,2009,0.452
yem,2011,0.462
zmb,1980,0.401
zmb,1990,0.394
zmb,2000,0.371
zmb,2005,0.394
zmb,2006,0.398
zmb,2007,0.405
zmb,2008,0.413
zmb,2009,0.419
zmb,2011,0.43
zwe,1980,0.366
zwe,1990,0.425
zwe,2000,0.372
zwe,2005,0.347
zwe,2006,0.348
zwe,2007,0.35
zwe,2008,0.338
zwe,2009,0.349
zwe,2011,0.376
