geo,infectious_tb_new_cases_per_100000_reported,time
irq,14,2001
irq,15,2002
irq,13,2003
irq,12,2004
irq,11,2005
irq,10,2006
irq,9,2007
irl,9,1996
irl,3,1997
irl,3,1998
irl,3,1999
irl,4,2000
irl,3,2001
irl,3,2002
irl,4,2003
irl,3,2004
irl,3,2005
irl,3,2006
irl,3,2007
isr,3,1993
isr,2,1994
isr,3,1996
isr,4,1997
isr,4,1998
isr,3,1999
isr,0,2000
isr,3,2001
isr,3,2002
isr,2,2003
isr,1,2004
isr,1,2005
isr,1,2006
isr,2,2007
ita,3,1994
ita,2,1995
ita,3,1996
ita,3,1997
ita,4,1998
ita,2,1999
ita,1,2000
ita,2,2001
ita,2,2002
ita,3,2003
ita,2,2004
ita,2,2005
ita,2,2006
ita,2,2007
jam,3,1993
jam,2,1994
jam,4,1995
jam,3,1996
jam,3,1997
jam,4,1998
jam,4,1999
jam,3,2000
jam,3,2001
jam,2,2002
jam,3,2003
jam,3,2004
jam,2,2005
jam,2,2006
jam,3,2007
jpn,14,1993
jpn,13,1994
jpn,11,1995
jpn,10,1996
jpn,11,1997
jpn,9,1998
jpn,10,1999
jpn,9,2000
jpn,9,2001
jpn,8,2002
jpn,8,2003
jpn,8,2004
jpn,9,2005
jpn,8,2006
jpn,7,2007
jor,4,1993
jor,4,1994
jor,4,1995
jor,4,1996
jor,3,1997
jor,2,1998
jor,2,1999
jor,2,2000
jor,2,2001
jor,2,2002
jor,2,2003
jor,2,2004
jor,2,2005
jor,2,2006
jor,2,2007
kaz,19,1995
kaz,27,1996
kaz,28,1997
kaz,41,1998
kaz,46,1999
kaz,60,2000
kaz,61,2001
kaz,63,2002
kaz,58,2003
kaz,52,2004
kaz,45,2005
kaz,41,2006
kaz,40,2007
ken,29,1990
ken,29,1991
ken,31,1992
ken,39,1993
ken,43,1994
ken,51,1995
ken,60,1996
ken,66,1997
ken,81,1998
ken,89,1999
ken,92,2000
ken,98,2001
ken,104,2002
ken,113,2003
ken,119,2004
ken,113,2005
ken,107,2006
ken,102,2007
kir,132,1993
kir,241,1994
kir,184,1996
kir,63,1997
kir,64,1998
kir,71,1999
kir,64,2000
kir,75,2001
kir,94,2002
kir,112,2003
kir,157,2004
kir,135,2005
kir,138,2006
kir,108,2007
kwt,8,1993
kwt,9,1994
kwt,10,1995
kwt,9,1996
kwt,11,1997
kwt,9,1998
kwt,8,1999
kwt,8,2000
kwt,7,2001
kwt,8,2002
kwt,8,2003
kwt,9,2004
kwt,7,2005
kwt,10,2006
kwt,10,2007
kgz,15,1994
kgz,18,1995
kgz,21,1996
kgz,33,1997
kgz,17,1998
kgz,34,1999
kgz,26,2000
kgz,0,2001
kgz,31,2002
kgz,32,2003
kgz,34,2004
kgz,38,2005
kgz,35,2006
kgz,32,2007
lao,10,1995
lao,18,1996
lao,25,1997
lao,30,1998
lao,33,1999
lao,29,2000
lao,29,2001
lao,34,2002
lao,34,2003
lao,40,2004
lao,50,2005
lao,53,2006
lao,53,2007
lva,18,1993
lva,20,1995
lva,23,1996
lva,26,1997
lva,28,1998
lva,25,1999
lva,27,2000
lva,28,2001
lva,27,2002
lva,28,2003
lva,25,2004
lva,23,2005
lva,22,2006
lva,21,2007
lbn,4,1994
lbn,6,1995
lbn,6,1996
lbn,6,1997
lbn,6,1998
lbn,7,1999
lbn,5,2000
lbn,4,2001
lbn,4,2002
lbn,3,2003
lbn,4,2004
lbn,3,2005
lbn,3,2006
lbn,3,2007
lso,84,1993
lso,78,1994
lso,79,1995
lso,102,1996
lso,134,1997
lso,136,1998
lso,147,1999
lso,161,2000
lso,164,2002
lso,187,2003
lso,217,2004
lso,216,2005
