geo,urban_population_growth_annual_percent,time
bwa,2.604,2006
bwa,2.643,2007
bwa,2.642,2008
bwa,2.581,2009
bwa,2.479,2010
bwa,2.219,2011
bra,4.927,1960
bra,5.102,1961
bra,5.085,1962
bra,5.027,1963
bra,4.921,1964
bra,4.783,1965
bra,4.633,1966
bra,4.51,1967
bra,4.401,1968
bra,4.31,1969
bra,4.235,1970
bra,4.164,1971
bra,4.094,1972
bra,4.038,1973
bra,4.001,1974
bra,3.975,1975
bra,3.884,1976
bra,3.857,1977
bra,3.831,1978
bra,3.807,1979
bra,3.781,1980
bra,3.669,1981
bra,3.637,1982
bra,3.582,1983
bra,3.497,1984
bra,3.392,1985
bra,3.192,1986
bra,3.095,1987
bra,3.001,1988
bra,2.913,1989
bra,2.831,1990
bra,2.647,1991
bra,2.571,1992
bra,2.517,1993
bra,2.489,1994
bra,2.48,1995
bra,2.448,1996
bra,2.436,1997
bra,2.413,1998
bra,2.375,1999
bra,2.324,2000
bra,1.799,2001
bra,1.757,2002
bra,1.699,2003
bra,1.625,2004
bra,1.54,2005
bra,1.416,2006
bra,1.335,2007
bra,1.274,2008
bra,1.243,2009
bra,1.232,2010
bra,1.19,2011
brn,8.939,1960
brn,8.587,1961
brn,8.373,1962
brn,8.214,1963
brn,8.106,1964
brn,8.032,1965
brn,7.894,1966
brn,7.812,1967
brn,7.741,1968
brn,7.672,1969
brn,7.599,1970
brn,4.729,1971
brn,4.706,1972
brn,4.64,1973
brn,4.526,1974
brn,4.38,1975
brn,3.455,1976
brn,3.312,1977
brn,3.134,1978
brn,2.92,1979
brn,2.692,1980
brn,3.954,1981
brn,3.758,1982
brn,3.624,1983
brn,3.567,1984
brn,3.562,1985
brn,3.952,1986
brn,3.937,1987
brn,3.929,1988
brn,3.922,1989
brn,3.915,1990
brn,3.678,1991
brn,3.67,1992
brn,3.637,1993
brn,3.572,1994
brn,3.487,1995
brn,3.313,1996
brn,3.231,1997
brn,3.149,1998
brn,3.07,1999
brn,2.994,2000
brn,2.871,2001
brn,2.796,2002
brn,2.733,2003
brn,2.682,2004
brn,2.64,2005
brn,2.526,2006
brn,2.485,2007
brn,2.442,2008
brn,2.394,2009
brn,2.343,2010
brn,2.224,2011
bgr,3.625,1960
bgr,5.518,1961
bgr,5.237,1962
bgr,4.989,1963
bgr,4.827,1964
bgr,4.589,1965
bgr,3.475,1966
bgr,3.373,1967
bgr,3.382,1968
bgr,3.369,1969
bgr,3.189,1970
bgr,2.542,1971
bgr,2.419,1972
bgr,2.437,1973
bgr,2.548,1974
bgr,2.328,1975
bgr,1.998,1976
bgr,2.059,1977
bgr,1.629,1978
bgr,1.629,1979
bgr,1.875,1980
bgr,1.132,1981
bgr,1.088,1982
bgr,1.036,1983
bgr,1.014,1984
bgr,0.7725,1985
bgr,0.5253,1986
bgr,0.6959,1987
bgr,0.6582,1988
bgr,-0.6272,1989
bgr,-1.264,1990
bgr,-0.568,1991
bgr,-0.6532,1992
bgr,-0.3788,1993
bgr,0.07757,1994
bgr,-0.02997,1995
bgr,-0.1867,1996
bgr,-0.2808,1997
bgr,-0.3404,1998
bgr,-0.2348,1999
bgr,-0.1691,2000
bgr,-1.481,2001
bgr,-1.542,2002
bgr,-0.2043,2003
bgr,-0.1766,2004
bgr,-0.1662,2005
bgr,0.1365,2006
bgr,0.1505,2007
bgr,0.1814,2008
bgr,0.1498,2009
bgr,-0.02376,2010
bgr,-0.01075,2011
bfa,3.746,1960
bfa,3.621,1961
bfa,3.583,1962
bfa,3.569,1963
bfa,3.587,1964
bfa,3.627,1965
bfa,3.863,1966
bfa,3.894,1967
bfa,3.911,1968
bfa,3.907,1969
bfa,3.892,1970
bfa,4.056,1971
bfa,4.04,1972
bfa,4.032,1973
bfa,4.036,1974
bfa,4.049,1975
bfa,9.646,1976
bfa,9.175,1977
bfa,8.771,1978
bfa,8.422,1979
bfa,8.117,1980
bfa,10.13,1981
bfa,9.617,1982
bfa,9.178,1983
bfa,8.794,1984
bfa,8.456,1985
bfa,4.966,1986
bfa,4.938,1987
bfa,4.911,1988
bfa,4.883,1989
bfa,4.856,1990
bfa,4.596,1991
bfa,4.58,1992
bfa,4.561,1993
bfa,4.539,1994
bfa,4.515,1995
bfa,6.291,1996
bfa,6.179,1997
bfa,6.08,1998
bfa,5.991,1999
bfa,5.912,2000
bfa,6.898,2001
bfa,6.758,2002
bfa,6.631,2003
bfa,6.516,2004
bfa,6.411,2005
bfa,6.704,2006
bfa,6.585,2007
bfa,6.471,2008
bfa,6.361,2009
bfa,6.255,2010
bfa,6.214,2011
bdi,2.806,1960
bdi,3.45,1961
bdi,3.395,1962
bdi,3.369,1963
bdi,3.382,1964
bdi,3.411,1965
bdi,3.465,1966
bdi,3.507,1967
bdi,3.421,1968
bdi,3.171,1969
bdi,2.831,1970
bdi,7.814,1971
bdi,7.12,1972
bdi,6.67,1973
bdi,6.523,1974
bdi,6.597,1975
bdi,8.407,1976
bdi,8.338,1977
bdi,8.29,1978
bdi,8.229,1979
bdi,8.149,1980
bdi,7.021,1981
bdi,7.028,1982
bdi,6.978,1983
bdi,6.864,1984
bdi,6.696,1985
bdi,7.141,1986
bdi,6.904,1987
bdi,6.606,1988
bdi,6.239,1989
bdi,5.833,1990
bdi,5.114,1991
bdi,4.79,1992
bdi,4.458,1993
bdi,4.116,1994
bdi,3.792,1995
bdi,3.705,1996
bdi,3.422,1997
bdi,3.356,1998
bdi,3.57,1999
bdi,3.975,2000
bdi,4.648,2001
bdi,5.008,2002
bdi,5.271,2003
bdi,5.392,2004
bdi,5.404,2005
bdi,5.695,2006
bdi,5.673,2007
bdi,5.543,2008
bdi,5.293,2009
bdi,4.971,2010
bdi,4.92,2011
khm,-2.596,1960
khm,3.435,1961
khm,3.412,1962
khm,3.435,1963
khm,3.517,1964
khm,3.615,1965
khm,11.78,1966
khm,11.06,1967
khm,10.29,1968
khm,9.418,1969
khm,8.491,1970
khm,-14.19,1971
khm,-17.43,1972
khm,-22.17,1973
khm,-29.63,1974
khm,-42.99,1975
khm,17.02,1976
khm,13.26,1977
khm,11.01,1978
khm,10.3,1979
khm,10.72,1980
khm,12.48,1981
khm,13.14,1982
khm,13.33,1983
khm,12.82,1984
khm,11.9,1985
khm,6.383,1986
khm,6.054,1987
khm,5.796,1988
khm,5.663,1989
khm,5.602,1990
khm,5.713,1991
khm,5.559,1992
khm,5.364,1993
khm,5.121,1994
khm,4.849,1995
khm,4.022,1996
khm,3.79,1997
khm,3.571,1998
khm,3.369,1999
khm,3.186,2000
khm,2.278,2001
khm,2.129,2002
khm,2.006,2003
khm,1.914,2004
khm,1.848,2005
khm,1.844,2006
khm,1.794,2007
khm,1.768,2008
khm,1.769,2009
khm,1.789,2010
khm,2.123,2011
cmr,5.731,1960
cmr,6.266,1961
cmr,6.16,1962
cmr,6.062,1963
cmr,5.968,1964
cmr,5.878,1965
cmr,6.343,1966
cmr,6.237,1967
cmr,6.142,1968
cmr,6.06,1969
cmr,5.988,1970
cmr,9.264,1971
cmr,8.89,1972
cmr,8.58,1973
cmr,8.332,1974
cmr,8.125,1975
cmr,6.29,1976
cmr,6.251,1977
cmr,6.178,1978
cmr,6.063,1979
cmr,5.922,1980
cmr,5.579,1981
cmr,5.459,1982
cmr,5.373,1983
cmr,5.329,1984
cmr,5.31,1985
cmr,4.815,1986
cmr,4.801,1987
cmr,4.765,1988
cmr,4.702,1989
cmr,4.62,1990
cmr,4.285,1991
cmr,4.214,1992
cmr,4.13,1993
cmr,4.031,1994
cmr,3.927,1995
cmr,3.845,1996
cmr,3.748,1997
cmr,3.674,1998
cmr,3.626,1999
cmr,3.598,2000
cmr,3.588,2001
cmr,3.562,2002
cmr,3.536,2003
cmr,3.509,2004
cmr,3.48,2005
cmr,3.441,2006
cmr,3.415,2007
cmr,3.391,2008
cmr,3.369,2009
cmr,3.347,2010
cmr,3.284,2011
can,3.288,1960
can,3.104,1961
can,2.951,1962
can,2.942,1963
can,2.954,1964
can,2.867,1965
can,2.618,1966
can,2.549,1967
can,2.357,1968
can,2.098,1969
can,2.131,1970
can,1.485,1971
can,1.584,1972
can,1.683,1973
can,1.782,1974
can,1.88,1975
can,1.336,1976
can,1.189,1977
can,1.017,1978
can,1.011,1979
can,1.307,1980
can,1.423,1981
can,1.388,1982
can,1.185,1983
can,1.143,1984
can,1.111,1985
can,1.065,1986
can,1.371,1987
can,1.351,1988
can,1.843,1989
can,1.553,1990
can,1.646,1991
can,1.512,1992
can,1.378,1993
can,1.244,1994
can,1.11,1995
can,1.54,1996
can,1.518,1997
can,1.325,1998
can,1.284,1999
can,1.338,2000
can,1.171,2001
can,1.059,2002
can,1.158,2003
can,1.163,2004
can,1.147,2005
can,0.9217,2006
can,1.187,2007
can,1.283,2008
can,1.332,2009
can,1.276,2010
can,1.173,2011
cpv,4.597,1960
cpv,3.935,1961
cpv,4.171,1962
cpv,4.317,1963
cpv,4.345,1964
cpv,4.293,1965
cpv,4.269,1966
cpv,4.151,1967
cpv,4.124,1968
cpv,4.221,1969
cpv,4.363,1970
cpv,4.974,1971
cpv,5.071,1972
cpv,4.774,1973
cpv,3.997,1974
cpv,2.945,1975
cpv,1.958,1976
cpv,0.9425,1977
cpv,0.4493,1978
cpv,0.726,1979
cpv,1.575,1980
cpv,7.46,1981
cpv,7.961,1982
cpv,8.108,1983
cpv,7.728,1984
cpv,7.02,1985
cpv,9.007,1986
cpv,8.11,1987
cpv,7.535,1988
cpv,7.372,1989
cpv,7.489,1990
cpv,4.214,1991
cpv,4.561,1992
cpv,4.731,1993
cpv,4.668,1994
cpv,4.449,1995
cpv,4.204,1996
cpv,3.997,1997
cpv,3.819,1998
cpv,3.693,1999
cpv,3.6,2000
cpv,3.361,2001
cpv,3.258,2002
cpv,3.129,2003
cpv,2.965,2004
cpv,2.784,2005
cpv,2.559,2006
cpv,2.396,2007
cpv,2.283,2008
cpv,2.236,2009
cpv,2.236,2010
cpv,2.119,2011
cym,2.26,1961
cym,1.689,1962
cym,1.251,1963
cym,1.027,1964
cym,1.028,1965
cym,0.9835,1966
cym,0.9965,1967
cym,1.421,1968
cym,2.349,1969
cym,3.508,1970
cym,4.697,1971
cym,5.607,1972
cym,6.157,1973
cym,6.344,1974
cym,6.256,1975
cym,6.182,1976
cym,6.1,1977
cym,5.775,1978
cym,5.224,1979
cym,4.556,1980
cym,3.857,1981
cym,3.322,1982
cym,3.183,1983
cym,3.489,1984
cym,4.078,1985
cym,4.692,1986
cym,5.126,1987
cym,5.346,1988
cym,5.297,1989
cym,5.103,1990
cym,4.925,1991
cym,4.805,1992
cym,4.642,1993
cym,4.432,1994
cym,4.22,1995
cym,3.9,1996
cym,3.643,1997
cym,3.728,1998
cym,4.215,1999
cym,4.871,2000
cym,5.578,2001
cym,5.973,2002
cym,5.808,2003
cym,5.013,2004
cym,3.892,2005
cym,2.725,2006
cym,1.784,2007
cym,1.12,2008
cym,0.8428,2009
cym,0.834,2010
cym,0.8835,2011
caf,4.639,1960
caf,5.042,1961
caf,5.015,1962
caf,4.988,1963
caf,4.961,1964
caf,4.93,1965
caf,5.231,1966
caf,5.187,1967
caf,5.11,1968
caf,4.989,1969
caf,4.847,1970
caf,5.283,1971
caf,5.134,1972
caf,5.035,1973
caf,5.0,1974
caf,5.012,1975
caf,3.356,1976
caf,3.422,1977
caf,3.524,1978
caf,3.666,1979
caf,3.82,1980
caf,3.841,1981
caf,3.971,1982
caf,3.976,1983
caf,3.829,1984
caf,3.593,1985
caf,3.118,1986
caf,2.906,1987
caf,2.805,1988
caf,2.85,1989
caf,2.988,1990
caf,2.663,1991
caf,2.768,1992
caf,2.808,1993
caf,2.763,1994
caf,2.66,1995
caf,2.558,1996
caf,2.47,1997
caf,2.364,1998
caf,2.239,1999
caf,2.107,2000
caf,1.98,2001
caf,1.864,2002
caf,1.802,2003
caf,1.812,2004
caf,1.871,2005
caf,2.129,2006
caf,2.188,2007
caf,2.241,2008
caf,2.279,2009
caf,2.306,2010
caf,2.576,2011
tcd,5.757,1960
tcd,7.104,1961
tcd,6.902,1962
tcd,6.7,1963
tcd,6.492,1964
tcd,6.286,1965
tcd,9.343,1966
tcd,8.824,1967
tcd,8.407,1968
tcd,8.094,1969
tcd,7.852,1970
tcd,9.027,1971
tcd,8.693,1972
tcd,8.337,1973
tcd,7.93,1974
tcd,7.505,1975
tcd,6.147,1976
tcd,5.892,1977
tcd,5.711,1978
tcd,5.62,1979
tcd,5.598,1980
tcd,3.266,1981
tcd,3.355,1982
tcd,3.47,1983
tcd,3.613,1984
tcd,3.765,1985
tcd,3.968,1986
tcd,4.104,1987
tcd,4.175,1988
tcd,4.167,1989
tcd,4.11,1990
tcd,3.66,1991
tcd,3.621,1992
tcd,3.607,1993
tcd,3.626,1994
tcd,3.67,1995
tcd,3.195,1996
tcd,3.216,1997
tcd,3.274,1998
tcd,3.376,1999
tcd,3.493,2000
tcd,3.619,2001
tcd,3.698,2002
tcd,3.675,2003
tcd,3.532,2004
tcd,3.317,2005
tcd,3.105,2006
tcd,2.917,2007
tcd,2.785,2008
tcd,2.728,2009
tcd,2.721,2010
tcd,3.037,2011
chanisl,0.1676,1960
chanisl,0.2145,1961
chanisl,0.2754,1962
chanisl,0.321,1963
chanisl,0.3492,1964
chanisl,0.3561,1965
chanisl,0.3644,1966
chanisl,0.3578,1967
chanisl,0.3434,1968
chanisl,0.3233,1969
chanisl,0.2928,1970
chanisl,-0.06573,1971
chanisl,-0.09988,1972
chanisl,-0.1858,1973
chanisl,-0.337,1974
chanisl,-0.5241,1975
chanisl,-0.7777,1976
chanisl,-0.9548,1977
chanisl,-1.034,1978
chanisl,-0.9792,1979
chanisl,-0.8272,1980
chanisl,0.344,1981
chanisl,0.499,1982
chanisl,0.63,1983
chanisl,0.7151,1984
chanisl,0.7618,1985
chanisl,0.7784,1986
chanisl,0.8253,1987
chanisl,0.7878,1988
chanisl,0.6451,1989
chanisl,0.4369,1990
chanisl,-0.08099,1991
chanisl,-0.293,1992
chanisl,-0.417,1993
chanisl,-0.4168,1994
chanisl,-0.3286,1995
chanisl,0.3241,1996
chanisl,0.4207,1997
chanisl,0.4819,1998
chanisl,0.4895,1999
chanisl,0.4613,2000
chanisl,0.5759,2001
chanisl,0.5505,2002
chanisl,0.5519,2003
chanisl,0.5939,2004
chanisl,0.6581,2005
chanisl,0.8987,2006
chanisl,0.9525,2007
chanisl,0.9532,2008
chanisl,0.8805,2009
chanisl,0.7594,2010
chanisl,0.7861,2011
chl,3.849,1960
chl,3.671,1961
chl,3.658,1962
chl,3.61,1963
chl,3.521,1964
chl,3.405,1965
chl,3.189,1966
chl,3.073,1967
chl,2.97,1968
chl,2.884,1969
chl,2.812,1970
chl,2.651,1971
chl,2.588,1972
chl,2.516,1973
chl,2.433,1974
chl,2.346,1975
chl,2.181,1976
chl,2.113,1977
chl,2.082,1978
chl,2.098,1979
chl,2.147,1980
chl,1.845,1981
chl,1.902,1982
chl,1.948,1983
chl,1.976,1984
chl,1.992,1985
chl,1.823,1986
chl,1.834,1987
chl,1.855,1988
chl,1.889,1989
chl,1.928,1990
chl,2.079,1991
chl,2.101,1992
chl,2.081,1993
chl,2.009,1994
chl,1.902,1995
chl,1.897,1996
chl,1.791,1997
chl,1.703,1998
chl,1.639,1999
chl,1.595,2000
chl,1.578,2001
chl,1.534,2002
chl,1.494,2003
chl,1.46,2004
chl,1.429,2005
chl,1.32,2006
chl,1.294,2007
chl,1.27,2008
chl,1.247,2009
chl,1.224,2010
chl,1.135,2011
chn,4.109,1960
chn,1.282,1961
chn,3.067,1962
chn,4.654,1963
chn,4.47,1964
chn,4.486,1965
chn,2.026,1966
chn,1.803,1967
chn,1.838,1968
chn,1.961,1969
chn,1.976,1970
chn,2.747,1971
chn,2.457,1972
chn,2.283,1973
chn,2.066,1974
chn,1.766,1975
chn,3.773,1976
chn,3.54,1977
chn,3.469,1978
chn,3.42,1979
chn,3.298,1980
chn,4.849,1981
chn,4.918,1982
chn,4.775,1983
chn,4.535,1984
chn,4.484,1985
chn,4.559,1986
chn,4.584,1987
chn,4.504,1988
chn,4.346,1989
chn,4.203,1990
chn,4.725,1991
chn,4.477,1992
chn,4.299,1993
chn,4.183,1994
chn,4.049,1995
chn,4.174,1996
chn,4.055,1997
chn,3.902,1998
chn,3.724,1999
chn,3.567,2000
chn,4.364,2001
chn,4.18,2002
chn,4.014,2003
chn,3.873,2004
chn,3.763,2005
chn,3.663,2006
chn,3.533,2007
chn,3.435,2008
chn,3.346,2009
chn,3.244,2010
chn,3.027,2011
col,5.804,1960
col,5.596,1961
col,5.529,1962
col,5.459,1963
col,5.385,1964
col,5.306,1965
col,4.39,1966
col,4.34,1967
col,4.257,1968
col,4.135,1969
col,3.99,1970
col,3.811,1971
col,3.681,1972
col,3.593,1973
col,3.556,1974
col,3.554,1975
col,3.513,1976
col,3.509,1977
col,3.496,1978
col,3.468,1979
col,3.431,1980
col,3.353,1981
col,3.319,1982
col,3.282,1983
col,3.24,1984
col,3.195,1985
col,2.923,1986
col,2.882,1987
col,2.841,1988
col,2.8,1989
col,2.759,1990
col,2.583,1991
col,2.544,1992
col,2.509,1993
col,2.479,1994
col,2.452,1995
col,2.234,1996
col,2.208,1997
col,2.18,1998
col,2.147,1999
col,2.111,2000
col,2.059,2001
col,2.024,2002
col,1.993,2003
col,1.966,2004
col,1.943,2005
col,1.903,2006
col,1.878,2007
col,1.85,2008
col,1.816,2009
col,1.778,2010
col,1.72,2011
com,8.64,1961
com,8.193,1962
com,7.838,1963
com,7.573,1964
com,7.376,1965
com,4.962,1966
com,5.018,1967
com,5.024,1968
com,4.958,1969
com,4.858,1970
com,4.153,1971
com,4.096,1972
com,4.2,1973
com,4.509,1974
com,4.926,1975
com,5.473,1976
com,5.778,1977
com,5.892,1978
com,5.779,1979
com,5.522,1980
com,5.483,1981
com,5.245,1982
com,5.02,1983
com,4.822,1984
com,4.649,1985
com,4.591,1986
com,4.424,1987
com,4.295,1988
com,4.211,1989
com,4.161,1990
com,2.724,1991
com,2.718,1992
com,2.726,1993
com,2.748,1994
com,2.78,1995
com,2.355,1996
com,2.392,1997
com,2.425,1998
com,2.452,1999
com,2.474,2000
com,2.503,2001
com,2.519,2002
com,2.532,2003
com,2.542,2004
com,2.548,2005
com,2.766,2006
com,2.763,2007
com,2.748,2008
com,2.721,2009
com,2.685,2010
com,2.931,2011
cod,3.965,1960
cod,5.922,1961
cod,5.835,1962
cod,5.772,1963
cod,5.737,1964
cod,5.718,1965
cod,6.004,1966
cod,5.967,1967
cod,5.901,1968
cod,5.798,1969
cod,5.676,1970
cod,2.285,1971
cod,2.243,1972
cod,2.234,1973
cod,2.267,1974
cod,2.323,1975
cod,2.403,1976
cod,2.455,1977
cod,2.46,1978
cod,2.405,1979
cod,2.32,1980
cod,2.262,1981
cod,2.212,1982
cod,2.204,1983
cod,2.249,1984
cod,2.333,1985
cod,2.754,1986
cod,2.804,1987
cod,2.938,1988
cod,3.17,1989
cod,3.437,1990
cod,4.22,1991
cod,4.422,1992
cod,4.381,1993
cod,4.058,1994
cod,3.579,1995
cod,3.542,1996
cod,3.132,1997
cod,2.924,1998
cod,2.981,1999
cod,3.21,2000
cod,3.969,2001
cod,4.146,2002
cod,4.243,2003
cod,4.229,2004
cod,4.142,2005
cod,4.498,2006
cod,4.418,2007
cod,4.346,2008
cod,4.289,2009
cod,4.241,2010
cod,4.303,2011
cog,4.736,1960
cog,4.867,1961
cog,4.868,1962
cog,4.866,1963
cog,4.858,1964
cog,4.846,1965
cog,4.931,1966
cog,4.911,1967
cog,4.907,1968
cog,4.921,1969
cog,4.943,1970
cog,5.109,1971
cog,5.114,1972
cog,5.089,1973
cog,5.026,1974
cog,4.941,1975
cog,5.055,1976
cog,4.966,1977
cog,4.901,1978
cog,4.866,1979
cog,4.85,1980
cog,4.745,1981
cog,4.725,1982
cog,4.687,1983
cog,4.627,1984
cog,4.552,1985
cog,3.623,1986
cog,3.579,1987
cog,3.54,1988
cog,3.51,1989
cog,3.487,1990
cog,3.452,1991
cog,3.425,1992
cog,3.42,1993
cog,3.443,1994
cog,3.48,1995
cog,3.599,1996
cog,3.631,1997
cog,3.606,1998
cog,3.511,1999
cog,3.376,2000
cog,3.221,2001
cog,3.098,2002
cog,3.058,2003
cog,3.127,2004
cog,3.26,2005
cog,3.394,2006
cog,3.499,2007
cog,3.514,2008
cog,3.418,2009
cog,3.251,2010
cog,3.039,2011
cri,3.67,1960
cri,4.386,1961
cri,4.404,1962
cri,4.359,1963
cri,4.242,1964
cri,4.079,1965
cri,4.746,1966
cri,4.585,1967
cri,4.425,1968
cri,4.268,1969
cri,4.122,1970
cri,3.714,1971
cri,3.599,1972
cri,3.551,1973
cri,3.583,1974
cri,3.667,1975
cri,3.394,1976
cri,3.48,1977
cri,3.543,1978
cri,3.576,1979
cri,3.584,1980
cri,3.916,1981
cri,3.914,1982
cri,3.898,1983
cri,3.867,1984
cri,3.826,1985
cri,4.93,1986
cri,4.85,1987
cri,4.765,1988
cri,4.675,1989
cri,4.584,1990
cri,4.479,1991
cri,4.385,1992
cri,4.325,1993
cri,4.307,1994
cri,4.311,1995
cri,3.668,1996
cri,3.675,1997
cri,3.631,1998
cri,3.521,1999
cri,3.369,2000
cri,3.015,2001
cri,2.877,2002
cri,2.758,2003
cri,2.667,2004
cri,2.596,2005
cri,2.467,2006
cri,2.397,2007
cri,2.337,2008
cri,2.289,2009
cri,2.248,2010
cri,2.153,2011
civ,9.028,1960
civ,11.19,1961
civ,10.8,1962
civ,10.43,1963
civ,10.06,1964
civ,9.704,1965
civ,6.905,1966
civ,6.827,1967
civ,6.791,1968
civ,6.806,1969
civ,6.85,1970
civ,7.165,1971
civ,7.168,1972
civ,7.163,1973
civ,7.149,1974
civ,7.123,1975
civ,7.405,1976
civ,7.333,1977
civ,7.244,1978
civ,7.138,1979
civ,7.016,1980
civ,5.014,1981
civ,4.939,1982
civ,4.828,1983
civ,4.677,1984
civ,4.506,1985
civ,4.508,1986
civ,4.341,1987
civ,4.219,1988
civ,4.154,1989
civ,4.12,1990
civ,4.307,1991
civ,4.247,1992
civ,4.15,1993
civ,4.008,1994
civ,3.835,1995
civ,3.898,1996
civ,3.743,1997
civ,3.564,1998
civ,3.357,1999
civ,3.141,2000
civ,3.362,2001
civ,3.169,2002
civ,3.045,2003
civ,3.008,2004
civ,3.034,2005
civ,3.255,2006
civ,3.287,2007
civ,3.337,2008
civ,3.399,2009
civ,3.467,2010
civ,3.501,2011
hrv,3.444,1960
hrv,3.911,1961
hrv,3.78,1962
hrv,3.657,1963
hrv,3.543,1964
hrv,3.436,1965
hrv,3.545,1966
hrv,3.458,1967
hrv,3.352,1968
hrv,3.228,1969
hrv,3.177,1970
hrv,2.966,1971
hrv,2.861,1972
hrv,2.781,1973
hrv,2.683,1974
hrv,2.587,1975
hrv,2.517,1976
hrv,2.162,1977
hrv,2.602,1978
hrv,2.36,1979
hrv,2.363,1980
hrv,1.322,1981
hrv,1.463,1982
hrv,1.388,1983
hrv,1.314,1984
hrv,1.304,1985
hrv,1.112,1986
hrv,1.042,1987
hrv,1.016,1988
hrv,0.8633,1989
hrv,0.9214,1990
hrv,-5.499,1991
hrv,-0.5767,1992
hrv,4.046,1993
hrv,0.5275,1994
hrv,0.719,1995
hrv,-3.567,1996
hrv,1.973,1997
hrv,-1.313,1998
hrv,1.422,1999
hrv,-2.601,2000
hrv,0.6101,2001
hrv,0.2934,2002
hrv,0.2925,2003
hrv,0.2691,2004
hrv,0.3584,2005
hrv,0.3552,2006
hrv,0.3085,2007
hrv,0.3519,2008
hrv,0.2826,2009
hrv,0.1452,2010
hrv,0.2486,2011
cub,2.226,1960
cub,2.377,1961
cub,2.494,1962
cub,2.543,1963
cub,2.504,1964
cub,2.406,1965
cub,2.282,1966
cub,2.177,1967
cub,2.102,1968
cub,2.07,1969
cub,2.062,1970
cub,3.06,1971
cub,3.019,1972
cub,2.922,1973
cub,2.755,1974
cub,2.543,1975
cub,2.304,1976
cub,2.116,1977
cub,1.953,1978
cub,1.829,1979
cub,1.738,1980
cub,1.336,1981
cub,1.258,1982
cub,1.251,1983
cub,1.334,1984
cub,1.474,1985
cub,1.533,1986
cub,1.674,1987
cub,1.739,1988
cub,1.698,1989
cub,1.583,1990
cub,1.038,1991
cub,0.9305,1992
cub,0.8385,1993
cub,0.775,1994
cub,0.7331,1995
cub,0.7987,1996
cub,0.7471,1997
cub,0.7085,1998
cub,0.6863,1999
cub,0.6747,2000
cub,0.3224,2001
cub,0.3161,2002
cub,0.2912,2003
cub,0.2401,2004
cub,0.1714,2005
cub,-0.005258,2006
cub,-0.07038,2007
cub,-0.1179,2008
cub,-0.1402,2009
cub,-0.1436,2010
cub,-0.06758,2011
cyp,2.946,1960
cyp,2.031,1961
cyp,1.632,1962
cyp,1.426,1963
cyp,1.492,1964
cyp,1.754,1965
cyp,2.083,1966
cyp,2.34,1967
cyp,2.513,1968
cyp,2.554,1969
cyp,2.502,1970
cyp,4.322,1971
cyp,4.196,1972
cyp,4.088,1973
cyp,4.008,1974
cyp,3.944,1975
cyp,5.873,1976
cyp,5.683,1977
cyp,5.435,1978
cyp,5.104,1979
cyp,4.733,1980
cyp,2.594,1981
cyp,2.373,1982
cyp,2.307,1983
cyp,2.452,1984
cyp,2.745,1985
cyp,1.867,1986
cyp,2.18,1987
cyp,2.433,1988
cyp,2.593,1989
cyp,2.681,1990
cyp,2.51,1991
cyp,2.588,1992
cyp,2.616,1993
cyp,2.589,1994
cyp,2.524,1995
cyp,2.245,1996
cyp,2.161,1997
cyp,2.102,1998
cyp,2.081,1999
cyp,2.082,2000
cyp,2.141,2001
cyp,2.126,2002
cyp,2.077,2003
cyp,1.985,2004
cyp,1.866,2005
cyp,1.759,2006
cyp,1.647,2007
cyp,1.554,2008
cyp,1.491,2009
cyp,1.448,2010
cyp,1.444,2011
cze,1.395,1960
cze,0.6655,1961
cze,1.214,1962
cze,1.289,1963
cze,1.394,1964
cze,1.328,1965
cze,1.192,1966
cze,1.085,1967
cze,0.9926,1968
cze,0.954,1969
cze,0.3539,1970
cze,1.381,1971
cze,2.084,1972
cze,2.195,1973
cze,2.281,1974
cze,2.29,1975
cze,2.158,1976
cze,2.068,1977
cze,1.989,1978
cze,1.916,1979
cze,1.522,1980
cze,0.01771,1981
cze,0.1907,1982
cze,0.1401,1983
cze,0.1141,1984
cze,0.1194,1985
cze,0.01092,1986
cze,0.01071,1987
cze,0.03836,1988
cze,0.01739,1989
cze,-0.3064,1990
cze,-0.3936,1991
cze,-0.05153,1992
cze,-0.05006,1993
cze,-0.1181,1994
cze,-0.2158,1995
cze,-0.292,1996
cze,-0.2837,1997
cze,-0.271,1998
cze,-0.2788,1999
cze,-0.2892,2000
cze,-0.4278,2001
cze,-0.388,2002
cze,-0.05396,2003
cze,0.006139,2004
cze,0.1151,2005
cze,0.2613,2006
cze,0.5677,2007
cze,0.8052,2008
cze,0.5374,2009
cze,0.2468,2010
cze,0.2194,2011
dnk,1.749,1960
dnk,1.606,1961
dnk,1.678,1962
dnk,1.68,1963
dnk,1.683,1964
dnk,1.656,1965
dnk,1.499,1966
dnk,1.479,1967
dnk,1.295,1968
dnk,1.234,1969
dnk,1.428,1970
dnk,1.297,1971
dnk,1.171,1972
dnk,1.2,1973
dnk,1.057,1974
dnk,0.8765,1975
dnk,0.6346,1976
dnk,0.6932,1977
dnk,0.6909,1978
dnk,0.6245,1979
dnk,0.499,1980
dnk,0.1215,1981
dnk,0.0762,1982
dnk,0.08079,1983
dnk,0.09686,1984
dnk,0.1895,1985
dnk,0.2503,1986
dnk,0.2431,1987
dnk,0.1649,1988
dnk,0.1762,1989
dnk,0.2785,1990
