geo,inequality_index_gini,time
pan,56.31,2003
pan,55.0,2004
pan,54.0,2005
pan,55.06,2006
pan,52.03,2009
pan,51.92,2010
png,50.88,1996
pry,40.84,1990
pry,58.17,1995
pry,56.68,1998
pry,56.95,1999
pry,56.15,2001
pry,56.67,2002
pry,56.88,2003
pry,54.0,2004
pry,52.45,2005
pry,54.85,2006
pry,53.31,2007
pry,52.05,2008
pry,51.04,2009
pry,52.42,2010
per,45.72,1986
per,44.87,1994
per,34.78,1997
per,56.17,1998
per,56.66,1999
per,50.75,2000
per,54.06,2001
per,55.64,2002
per,55.22,2003
per,50.34,2004
per,51.11,2005
per,50.87,2006
per,51.65,2007
per,48.95,2008
per,49.05,2009
per,48.14,2010
phl,41.04,1985
phl,40.63,1988
phl,43.82,1991
phl,42.89,1994
phl,46.16,1997
phl,46.09,2000
phl,44.48,2003
phl,44.04,2006
phl,42.98,2009
pol,25.16,1985
pol,25.53,1987
pol,26.89,1989
pol,26.7,1992
pol,32.32,1993
pol,32.66,1996
pol,32.85,1998
pol,33.08,1999
pol,32.93,2000
pol,32.84,2001
pol,34.05,2002
pol,35.88,2004
pol,34.92,2005
pol,34.13,2006
pol,34.02,2007
pol,34.21,2008
pol,34.07,2009
prt,38.45,1997
qat,41.1,2007
rou,23.31,1989
rou,25.46,1992
rou,28.2,1994
rou,29.44,1998
rou,30.25,2000
rou,30.57,2001
rou,31.46,2002
rou,31.06,2003
rou,31.66,2004
rou,31.57,2005
rou,32.11,2006
rou,32.1,2007
rou,31.15,2008
rou,30.0,2009
rus,23.8,1988
rus,48.38,1993
rus,46.11,1996
rus,37.48,1999
rus,39.6,2001
rus,35.7,2002
rus,37.26,2003
rus,37.14,2004
rus,37.51,2005
rus,42.13,2006
rus,43.71,2007
rus,42.27,2008
rus,40.11,2009
rwa,28.9,1985
rwa,51.51,2000
rwa,53.09,2006
lca,42.58,1995
stp,50.82,2001
sen,54.14,1991
sen,41.44,1994
sen,41.25,2001
sen,39.19,2005
srb,32.74,2002
srb,32.81,2003
srb,32.94,2004
srb,33.4,2005
srb,29.63,2006
srb,29.4,2007
srb,28.16,2008
srb,27.8,2009
syc,42.73,2000
syc,65.77,2007
sle,42.52,2003
sgp,42.48,1998
svk,19.54,1988
svk,19.49,1992
svk,25.81,1996
svk,29.08,2004
svk,29.84,2005
svk,27.66,2006
svk,28.13,2007
svk,26.86,2008
svk,26.0,2009
svn,23.6,1987
svn,29.18,1993
svn,28.41,1998
svn,29.15,2002
svn,30.82,2003
svn,31.15,2004
zaf,59.33,1993
zaf,56.59,1995
zaf,57.77,2000
zaf,67.4,2006
zaf,63.14,2009
esp,34.66,2000
lka,32.47,1985
lka,32.48,1991
lka,35.41,1996
lka,41.06,2002
lka,40.26,2007
sdn,35.29,2009
sur,52.88,1999
swz,60.65,1995
swz,50.68,2001
swz,51.49,2010
swe,25.0,2000
che,33.68,2000
syr,35.78,2004
tjk,29.01,1999
tjk,32.62,2003
tjk,33.61,2004
tjk,32.55,2007
tjk,30.83,2009
tza,33.83,1992
tza,34.62,2000
tza,37.58,2007
tha,45.22,1981
tha,43.84,1988
tha,45.27,1990
tha,47.86,1992
tha,43.47,1994
tha,42.9,1996
tha,41.46,1998
tha,43.09,1999
tha,42.84,2000
tha,41.98,2002
tha,42.35,2006
tha,40.51,2008
tha,40.02,2009
tls,39.52,2001
tls,31.93,2007
tgo,34.41,2006
tto,42.6,1988
tto,40.27,1992
tun,43.43,1985
tun,40.24,1990
tun,41.66,1995
tun,40.81,2000
tun,41.42,2005
tur,43.57,1987
tur,41.53,1994
tur,42.71,2002
tur,43.42,2003
tur,42.67,2004
tur,42.56,2005
tur,40.34,2006
tur,39.26,2007
tur,38.95,2008
tkm,26.39,1988
tkm,35.38,1993
tkm,40.77,1998
uga,44.36,1989
uga,42.62,1992
uga,37.13,1996
uga,43.07,1999
uga,45.77,2002
uga,42.62,2006
uga,44.3,2009
ukr,23.31,1988
ukr,25.71,1992
ukr,39.29,1995
ukr,35.12,1996
ukr,28.96,1999
ukr,28.28,2002
ukr,28.05,2003
ukr,28.11,2004
ukr,28.21,2005
ukr,29.65,2006
ukr,29.56,2007
ukr,27.51,2008
ukr,26.44,2009
gbr,35.97,1999
usa,40.81,2000
ury,43.65,1981
ury,42.37,1989
ury,40.08,1992
ury,42.11,1995
ury,42.66,1996
ury,42.73,1997
ury,43.81,1998
ury,44.39,2000
ury,46.17,2001
ury,46.66,2002
ury,46.22,2003
ury,47.13,2004
ury,45.87,2005
ury,47.2,2006
ury,47.63,2007
ury,46.27,2008
ury,46.28,2009
ury,45.32,2010
uzb,24.95,1988
uzb,45.28,1998
uzb,34.55,2002
uzb,36.72,2003
ven,55.61,1981
ven,53.45,1987
ven,43.84,1989
ven,42.1,1992
ven,47.21,1995
ven,48.06,1998
ven,47.76,1999
ven,47.23,2001
ven,49.01,2002
ven,48.1,2003
ven,47.5,2004
ven,49.46,2005
ven,44.77,2006
pse,38.65,2007
pse,35.5,2009
vnm,35.68,1993
vnm,35.52,1998
vnm,37.55,2002
vnm,36.81,2004
vnm,35.75,2006
vnm,35.57,2008
yem,33.44,1998
yem,37.69,2005
zmb,52.61,1993
zmb,49.79,1996
zmb,53.44,1998
zmb,42.08,2003
zmb,50.74,2004
zmb,54.63,2006
zwe,50.1,1995
ssd,45.53,2009
