exports_percent_of_gdp,geo,time
31.54,chl,2002
33.92,chl,2003
37.86,chl,2004
38.38,chl,2005
42.5,chl,2006
43.88,chl,2007
41.51,chl,2008
37.03,chl,2009
38.06,chl,2010
38.07,chl,2011
2.61,chn,1970
2.761,chn,1971
3.185,chn,1972
4.331,chn,1973
4.976,chn,1974
4.591,chn,1975
4.814,chn,1976
4.694,chn,1977
6.604,chn,1978
8.518,chn,1979
10.65,chn,1980
12.58,chn,1981
11.67,chn,1982
10.19,chn,1983
10.41,chn,1984
9.213,chn,1985
10.0,chn,1986
14.49,chn,1987
14.83,chn,1988
13.9,chn,1989
16.07,chn,1990
17.37,chn,1991
18.65,chn,1992
19.65,chn,1993
21.27,chn,1994
20.23,chn,1995
20.05,chn,1996
21.75,chn,1997
20.35,chn,1998
20.17,chn,1999
23.33,chn,2000
22.6,chn,2001
25.13,chn,2002
29.56,chn,2003
33.95,chn,2004
37.08,chn,2005
39.13,chn,2006
38.41,chn,2007
34.98,chn,2008
26.71,chn,2009
30.61,chn,2010
31.37,chn,2011
12.96,col,1961
12.19,col,1962
11.98,col,1963
11.92,col,1964
11.42,col,1965
12.11,col,1966
11.98,col,1967
12.98,col,1968
13.23,col,1969
14.31,col,1970
12.83,col,1971
14.24,col,1972
15.22,col,1973
14.58,col,1974
15.8,col,1975
17.1,col,1976
16.9,col,1977
16.6,col,1978
15.23,col,1979
16.21,col,1980
11.85,col,1981
10.93,col,1982
10.44,col,1983
11.88,col,1984
13.81,col,1985
18.84,col,1986
16.95,col,1987
16.29,col,1988
18.0,col,1989
20.57,col,1990
21.34,col,1991
17.71,col,1992
16.43,col,1993
15.0,col,1994
14.53,col,1995
15.2,col,1996
14.84,col,1997
15.01,col,1998
18.35,col,1999
15.92,col,2000
15.39,col,2001
14.82,col,2002
16.58,col,2003
16.77,col,2004
16.85,col,2005
17.64,col,2006
16.54,col,2007
17.79,col,2008
16.03,col,2009
15.92,col,2010
18.95,col,2011
8.699,com,1980
11.76,com,1981
15.69,com,1982
19.83,com,1983
9.019,com,1984
17.0,com,1985
16.44,com,1986
15.25,com,1987
17.98,com,1988
14.88,com,1989
14.25,com,1990
20.01,com,1991
18.04,com,1992
19.97,com,1993
20.07,com,1994
19.76,com,1995
18.32,com,1996
18.14,com,1997
11.35,com,1998
12.71,com,1999
16.74,com,2000
15.52,com,2001
15.73,com,2002
17.52,com,2003
15.11,com,2004
14.14,com,2005
14.2,com,2006
14.73,com,2007
13.91,com,2008
14.67,com,2009
15.63,com,2010
15.32,com,2011
9.858,cod,1961
7.749,cod,1962
31.8,cod,1963
33.5,cod,1964
25.92,cod,1965
31.12,cod,1966
15.55,cod,1967
14.52,cod,1968
13.18,cod,1969
15.46,cod,1970
12.14,cod,1971
11.25,cod,1972
13.44,cod,1973
16.18,cod,1974
9.963,cod,1975
12.15,cod,1976
10.33,cod,1977
12.35,cod,1978
12.65,cod,1979
16.48,cod,1980
14.14,cod,1981
12.15,cod,1982
16.24,cod,1983
26.01,cod,1984
27.51,cod,1985
24.71,cod,1986
25.98,cod,1987
25.5,cod,1988
25.49,cod,1989
29.5,cod,1990
20.38,cod,1991
16.68,cod,1992
11.33,cod,1993
22.63,cod,1994
28.48,cod,1995
30.0,cod,1996
18.75,cod,1997
29.79,cod,1998
23.64,cod,1999
22.39,cod,2000
18.63,cod,2001
21.1,cod,2002
26.64,cod,2003
30.68,cod,2004
33.62,cod,2005
34.21,cod,2006
65.16,cod,2007
61.3,cod,2008
45.21,cod,2009
68.34,cod,2010
68.28,cod,2011
19.46,cog,1961
30.49,cog,1962
36.47,cog,1963
38.15,cog,1964
36.01,cog,1965
29.89,cog,1966
30.48,cog,1967
30.39,cog,1968
32.08,cog,1969
34.74,cog,1970
32.58,cog,1971
28.31,cog,1972
31.62,cog,1973
53.23,cog,1974
35.89,cog,1975
40.38,cog,1976
45.58,cog,1977
43.72,cog,1978
47.41,cog,1979
60.02,cog,1980
58.02,cog,1981
55.27,cog,1982
57.95,cog,1983
61.63,cog,1984
56.79,cog,1985
39.83,cog,1986
41.73,cog,1987
40.62,cog,1988
48.52,cog,1989
53.68,cog,1990
45.07,cog,1991
42.87,cog,1992
44.22,cog,1993
63.0,cog,1994
64.7,cog,1995
68.46,cog,1996
75.6,cog,1997
76.28,cog,1998
72.29,cog,1999
80.3,cog,2000
77.42,cog,2001
81.52,cog,2002
80.81,cog,2003
80.53,cog,2004
84.16,cog,2005
84.16,cog,2006
78.53,cog,2007
75.15,cog,2008
70.42,cog,2009
85.12,cog,2010
87.28,cog,2011
21.78,cri,1961
23.59,cri,1962
22.88,cri,1963
25.26,cri,1964
23.47,cri,1965
25.13,cri,1966
25.45,cri,1967
28.4,cri,1968
27.14,cri,1969
28.22,cri,1970
27.25,cri,1971
30.67,cri,1972
31.12,cri,1973
33.53,cri,1974
30.06,cri,1975
28.91,cri,1976
30.87,cri,1977
28.18,cri,1978
26.92,cri,1979
26.48,cri,1980
43.27,cri,1981
45.08,cri,1982
29.92,cri,1983
29.0,cri,1984
27.12,cri,1985
27.03,cri,1986
26.68,cri,1987
29.35,cri,1988
30.27,cri,1989
30.22,cri,1990
33.56,cri,1991
35.22,cri,1992
35.77,cri,1993
35.56,cri,1994
37.56,cri,1995
39.31,cri,1996
40.75,cri,1997
47.46,cri,1998
51.74,cri,1999
48.62,cri,2000
41.48,cri,2001
42.39,cri,2002
46.67,cri,2003
46.26,cri,2004
48.5,cri,2005
49.13,cri,2006
48.71,cri,2007
45.44,cri,2008
42.28,cri,2009
38.06,cri,2010
37.38,cri,2011
35.29,civ,1961
34.39,civ,1962
33.94,civ,1963
35.89,civ,1964
36.82,civ,1965
36.41,civ,1966
36.22,civ,1967
40.7,civ,1968
36.76,civ,1969
35.77,civ,1970
32.21,civ,1971
33.51,civ,1972
35.75,civ,1973
45.7,civ,1974
36.73,civ,1975
41.74,civ,1976
42.63,civ,1977
36.52,civ,1978
34.6,civ,1979
35.0,civ,1980
35.18,civ,1981
36.42,civ,1982
36.96,civ,1983
45.31,civ,1984
46.77,civ,1985
39.5,civ,1986
33.43,civ,1987
30.49,civ,1988
32.03,civ,1989
31.69,civ,1990
30.01,civ,1991
31.91,civ,1992
29.44,civ,1993
40.53,civ,1994
41.76,civ,1995
41.1,civ,1996
41.42,civ,1997
39.41,civ,1998
40.35,civ,1999
40.43,civ,2000
41.84,civ,2001
50.03,civ,2002
45.84,civ,2003
48.56,civ,2004
51.05,civ,2005
52.65,civ,2006
47.82,civ,2007
46.51,civ,2008
42.2,civ,2009
40.64,civ,2010
43.74,civ,2011
77.65,hrv,1991
59.63,hrv,1992
52.39,hrv,1993
45.84,hrv,1994
33.13,hrv,1995
35.89,hrv,1996
35.68,hrv,1997
35.3,hrv,1998
36.53,hrv,1999
41.69,hrv,2000
43.43,hrv,2001
40.93,hrv,2002
42.57,hrv,2003
42.93,hrv,2004
42.35,hrv,2005
42.84,hrv,2006
42.28,hrv,2007
42.06,hrv,2008
36.6,hrv,2009
39.36,hrv,2010
41.78,hrv,2011
32.63,cub,1970
32.63,cub,1971
32.63,cub,1972
32.62,cub,1973
32.61,cub,1974
32.64,cub,1975
32.63,cub,1976
32.63,cub,1977
32.61,cub,1978
32.56,cub,1979
32.75,cub,1980
32.58,cub,1981
32.64,cub,1982
32.53,cub,1983
32.31,cub,1984
33.71,cub,1985
31.73,cub,1986
32.9,cub,1987
32.03,cub,1988
31.16,cub,1989
30.24,cub,1990
21.93,cub,1991
16.92,cub,1992
13.19,cub,1993
13.24,cub,1994
13.4,cub,1995
15.31,cub,1996
14.92,cub,1997
14.25,cub,1998
14.54,cub,1999
14.13,cub,2000
13.24,cub,2001
11.53,cub,2002
12.95,cub,2003
16.02,cub,2004
21.02,cub,2005
18.71,cub,2006
20.34,cub,2007
20.57,cub,2008
17.94,cub,2009
19.61,cub,2010
35.49,cyp,1975
49.75,cyp,1976
47.81,cyp,1977
42.33,cyp,1978
44.68,cyp,1979
45.26,cyp,1980
50.25,cyp,1981
50.92,cyp,1982
50.41,cyp,1983
54.66,cyp,1984
48.74,cyp,1985
45.04,cyp,1986
47.29,cyp,1987
48.08,cyp,1988
51.46,cyp,1989
51.5,cyp,1990
47.09,cyp,1991
49.46,cyp,1992
47.49,cyp,1993
47.69,cyp,1994
50.01,cyp,1995
50.77,cyp,1996
51.83,cyp,1997
49.79,cyp,1998
51.75,cyp,1999
55.36,cyp,2000
55.99,cyp,2001
50.75,cyp,2002
46.97,cyp,2003
47.78,cyp,2004
48.32,cyp,2005
48.0,cyp,2006
47.94,cyp,2007
45.44,cyp,2008
40.27,cyp,2009
40.11,cyp,2010
39.37,cze,1990
45.95,cze,1991
47.66,cze,1992
47.76,cze,1993
44.36,cze,1994
48.08,cze,1995
46.51,cze,1996
49.77,cze,1997
52.25,cze,1998
53.33,cze,1999
60.93,cze,2000
62.62,cze,2001
57.64,cze,2002
59.09,cze,2003
62.98,cze,2004
64.43,cze,2005
66.97,cze,2006
68.22,cze,2007
64.45,cze,2008
58.95,cze,2009
66.46,cze,2010
72.55,cze,2011
30.0,dnk,1961
28.62,dnk,1962
30.4,dnk,1963
29.85,dnk,1964
29.3,dnk,1965
28.55,dnk,1966
27.34,dnk,1967
27.66,dnk,1968
27.55,dnk,1969
28.04,dnk,1970
27.79,dnk,1971
27.37,dnk,1972
28.74,dnk,1973
31.9,dnk,1974
30.2,dnk,1975
29.01,dnk,1976
29.05,dnk,1977
28.06,dnk,1978
29.74,dnk,1979
33.21,dnk,1980
37.08,dnk,1981
36.88,dnk,1982
36.89,dnk,1983
37.33,dnk,1984
37.45,dnk,1985
33.05,dnk,1986
32.4,dnk,1987
34.31,dnk,1988
36.18,dnk,1989
37.15,dnk,1990
38.54,dnk,1991
37.85,dnk,1992
37.37,dnk,1993
37.69,dnk,1994
37.53,dnk,1995
37.83,dnk,1996
38.73,dnk,1997
38.17,dnk,1998
40.66,dnk,1999
46.51,dnk,2000
47.19,dnk,2001
47.19,dnk,2002
45.3,dnk,2003
45.32,dnk,2004
48.99,dnk,2005
52.07,dnk,2006
52.22,dnk,2007
54.73,dnk,2008
47.64,dnk,2009
50.37,dnk,2010
53.41,dnk,2011
53.84,dji,1990
53.84,dji,1991
44.55,dji,1992
43.98,dji,1993
41.93,dji,1994
39.14,dji,1995
38.52,dji,1996
38.83,dji,1997
40.45,dji,1998
37.32,dji,1999
35.06,dji,2000
37.3,dji,2001
38.57,dji,2002
39.91,dji,2003
36.97,dji,2004
40.61,dji,2005
39.89,dji,2006
57.09,dji,2007
41.24,dma,1977
42.72,dma,1978
28.01,dma,1979
22.0,dma,1980
34.57,dma,1981
41.23,dma,1982
41.15,dma,1983
35.62,dma,1984
36.54,dma,1985
53.33,dma,1986
53.23,dma,1987
54.64,dma,1988
47.14,dma,1989
54.54,dma,1990
51.16,dma,1991
51.98,dma,1992
48.56,dma,1993
49.06,dma,1994
49.81,dma,1995
51.34,dma,1996
55.8,dma,1997
58.66,dma,1998
58.57,dma,1999
44.54,dma,2000
36.64,dma,2001
37.67,dma,2002
34.74,dma,2003
35.55,dma,2004
35.77,dma,2005
37.25,dma,2006
35.31,dma,2007
35.12,dma,2008
32.54,dma,2009
35.98,dma,2010
34.36,dma,2011
23.25,dom,1961
23.87,dom,1962
20.73,dom,1963
19.7,dom,1964
16.3,dom,1965
16.34,dom,1966
18.08,dom,1967
18.49,dom,1968
18.48,dom,1969
17.23,dom,1970
16.47,dom,1971
20.67,dom,1972
21.88,dom,1973
24.94,dom,1974
27.72,dom,1975
20.89,dom,1976
20.01,dom,1977
17.34,dom,1978
20.64,dom,1979
19.17,dom,1980
20.82,dom,1981
14.34,dom,1982
14.41,dom,1983
28.21,dom,1984
28.15,dom,1985
24.36,dom,1986
25.56,dom,1987
33.02,dom,1988
33.47,dom,1989
33.83,dom,1990
40.12,dom,1991
37.07,dom,1992
36.74,dom,1993
36.71,dom,1994
35.77,dom,1995
35.2,dom,1996
36.22,dom,1997
35.83,dom,1998
36.57,dom,1999
37.05,dom,2000
33.73,dom,2001
32.48,dom,2002
43.08,dom,2003
42.33,dom,2004
30.03,dom,2005
29.99,dom,2006
28.78,dom,2007
25.49,dom,2008
22.25,dom,2009
23.03,dom,2010
24.92,dom,2011
16.49,ecu,1961
17.89,ecu,1962
16.25,ecu,1963
15.65,ecu,1964
16.25,ecu,1965
17.7,ecu,1966
16.79,ecu,1967
16.94,ecu,1968
14.04,ecu,1969
15.23,ecu,1970
16.31,ecu,1971
20.04,ecu,1972
25.95,ecu,1973
36.58,ecu,1974
25.96,ecu,1975
25.28,ecu,1976
25.79,ecu,1977
21.62,ecu,1978
25.87,ecu,1979
24.95,ecu,1980
21.98,ecu,1981
21.59,ecu,1982
23.8,ecu,1983
25.75,ecu,1984
28.49,ecu,1985
23.22,ecu,1986
23.42,ecu,1987
27.04,ecu,1988
29.05,ecu,1989
32.98,ecu,1990
35.41,ecu,1991
36.03,ecu,1992
25.09,ecu,1993
24.64,ecu,1994
25.73,ecu,1995
26.39,ecu,1996
25.63,ecu,1997
21.49,ecu,1998
31.53,ecu,1999
37.07,ecu,2000
26.75,ecu,2001
24.7,ecu,2002
25.69,ecu,2003
27.41,ecu,2004
30.9,ecu,2005
33.85,ecu,2006
35.08,ecu,2007
37.86,ecu,2008
29.54,ecu,2009
32.95,ecu,2010
32.95,ecu,2011
17.21,egy,1961
17.16,egy,1962
18.66,egy,1963
18.52,egy,1964
17.54,egy,1965
16.95,egy,1966
14.65,egy,1967
13.19,egy,1968
14.21,egy,1969
14.18,egy,1970
13.79,egy,1971
13.35,egy,1972
13.98,egy,1973
20.51,egy,1974
20.18,egy,1975
22.27,egy,1976
22.48,egy,1977
21.75,egy,1978
29.73,egy,1979
30.51,egy,1980
33.37,egy,1981
27.03,egy,1982
25.48,egy,1983
22.35,egy,1984
19.91,egy,1985
15.73,egy,1986
12.56,egy,1987
17.32,egy,1988
17.89,egy,1989
20.05,egy,1990
27.82,egy,1991
28.4,egy,1992
25.84,egy,1993
22.57,egy,1994
22.55,egy,1995
20.75,egy,1996
18.84,egy,1997
16.21,egy,1998
15.05,egy,1999
16.2,egy,2000
17.48,egy,2001
18.32,egy,2002
21.8,egy,2003
28.23,egy,2004
30.34,egy,2005
29.95,egy,2006
30.25,egy,2007
33.04,egy,2008
24.96,egy,2009
21.35,egy,2010
23.31,egy,2011
22.29,slv,1961
23.23,slv,1962
24.04,slv,1963
25.38,slv,1964
26.39,slv,1965
24.66,slv,1966
25.64,slv,1967
25.35,slv,1968
23.19,slv,1969
24.83,slv,1970
24.63,slv,1971
29.1,slv,1972
29.96,slv,1973
32.42,slv,1974
33.05,slv,1975
35.54,slv,1976
38.17,slv,1977
30.27,slv,1978
36.97,slv,1979
34.16,slv,1980
26.68,slv,1981
22.78,slv,1982
24.49,slv,1983
21.75,slv,1984
22.32,slv,1985
24.67,slv,1986
18.99,slv,1987
15.81,slv,1988
13.24,slv,1989
18.56,slv,1990
17.21,slv,1991
16.09,slv,1992
19.36,slv,1993
19.97,slv,1994
21.64,slv,1995
21.08,slv,1996
25.89,slv,1997
24.79,slv,1998
24.94,slv,1999
27.4,slv,2000
25.83,slv,2001
26.37,slv,2002
27.07,slv,2003
27.83,slv,2004
25.64,slv,2005
25.68,slv,2006
25.88,slv,2007
26.88,slv,2008
23.2,slv,2009
25.91,slv,2010
28.09,slv,2011
68.14,gnq,1962
62.8,gnq,1963
62.6,gnq,1964
42.11,gnq,1965
43.82,gnq,1966
42.43,gnq,1967
29.62,gnq,1968
36.1,gnq,1969
35.7,gnq,1970
46.47,gnq,1971
34.79,gnq,1972
38.34,gnq,1973
42.34,gnq,1974
42.98,gnq,1975
47.0,gnq,1976
47.01,gnq,1977
30.09,gnq,1985
35.46,gnq,1986
37.24,gnq,1987
40.17,gnq,1988
36.67,gnq,1989
32.15,gnq,1990
48.23,gnq,1991
1.946,gnq,1992
1.972,gnq,1993
56.02,gnq,1994
55.2,gnq,1995
77.58,gnq,1996
100.8,gnq,1997
101.7,gnq,1998
99.46,gnq,2000
101.4,gnq,2001
99.62,gnq,2002
96.85,gnq,2003
90.13,gnq,2004
87.42,gnq,2005
86.76,gnq,2006
81.89,gnq,2007
78.81,gnq,2008
69.8,gnq,2009
69.9,gnq,2010
71.39,gnq,2011
11.42,eri,1992
30.56,eri,1993
28.02,eri,1994
22.39,eri,1995
29.23,eri,1996
29.61,eri,1997
14.83,eri,1998
9.534,eri,1999
15.12,eri,2000
11.83,eri,2001
12.72,eri,2002
6.442,eri,2003
5.775,eri,2004
6.166,eri,2005
6.899,eri,2006
6.53,eri,2007
4.434,eri,2008
4.529,eri,2009
68.07,est,1995
61.88,est,1996
71.74,est,1997
74.56,est,1998
70.44,est,1999
84.59,est,2000
79.83,est,2001
70.93,est,2002
69.19,est,2003
73.07,est,2004
77.72,est,2005
72.7,est,2006
67.07,est,2007
71.05,est,2008
65.05,est,2009
79.43,est,2010
91.51,est,2011
7.632,eth,1981
6.798,eth,1982
6.49,eth,1983
7.615,eth,1984
5.836,eth,1985
6.87,eth,1986
5.967,eth,1987
5.877,eth,1988
6.602,eth,1989
5.56,eth,1990
4.064,eth,1991
3.212,eth,1992
5.782,eth,1993
7.122,eth,1994
9.689,eth,1995
9.264,eth,1996
11.37,eth,1997
12.87,eth,1998
11.73,eth,1999
12.03,eth,2000
12.0,eth,2001
12.6,eth,2002
13.32,eth,2003
14.9,eth,2004
15.1,eth,2005
13.88,eth,2006
12.73,eth,2007
11.4,eth,2008
10.58,eth,2009
13.62,eth,2010
16.84,eth,2011
30.68,fji,1961
35.66,fji,1962
51.07,fji,1963
55.94,fji,1964
46.32,fji,1965
43.44,fji,1966
44.57,fji,1967
47.39,fji,1968
49.53,fji,1969
48.38,fji,1970
49.79,fji,1971
45.89,fji,1972
45.29,fji,1973
49.13,fji,1974
42.99,fji,1975
37.71,fji,1976
43.92,fji,1977
42.65,fji,1978
45.27,fji,1979
47.78,fji,1980
43.02,fji,1981
43.23,fji,1982
43.61,fji,1983
42.83,fji,1984
44.36,fji,1985
41.66,fji,1986
45.32,fji,1987
54.3,fji,1988
62.67,fji,1989
62.34,fji,1990
57.31,fji,1991
51.92,fji,1992
52.38,fji,1993
56.42,fji,1994
59.29,fji,1995
62.85,fji,1996
61.04,fji,1997
60.8,fji,1998
61.02,fji,1999
65.16,fji,2000
60.67,fji,2001
61.48,fji,2002
59.87,fji,2003
53.81,fji,2004
52.91,fji,2005
49.83,fji,2006
48.28,fji,2007
51.22,fji,2008
45.56,fji,2009
53.87,fji,2010
47.52,fji,2011
20.01,fin,1961
19.92,fin,1962
19.07,fin,1963
18.97,fin,1964
19.01,fin,1965
18.7,fin,1966
18.52,fin,1967
21.3,fin,1968
22.7,fin,1969
24.16,fin,1970
22.84,fin,1971
23.94,fin,1972
23.89,fin,1973
25.99,fin,1974
22.4,fin,1975
23.83,fin,1976
27.17,fin,1977
28.2,fin,1978
29.93,fin,1979
31.19,fin,1980
31.68,fin,1981
29.22,fin,1982
29.1,fin,1983
29.92,fin,1984
28.44,fin,1985
25.84,fin,1986
25.16,fin,1987
23.99,fin,1988
23.38,fin,1989
22.53,fin,1990
21.66,fin,1991
25.97,fin,1992
31.82,fin,1993
34.8,fin,1994
36.47,fin,1995
37.23,fin,1996
38.76,fin,1997
38.58,fin,1998
38.83,fin,1999
43.58,fin,2000
41.51,fin,2001
40.53,fin,2002
38.7,fin,2003
39.86,fin,2004
41.76,fin,2005
45.49,fin,2006
45.81,fin,2007
46.83,fin,2008
37.34,fin,2009
40.27,fin,2010
40.7,fin,2011
13.92,fra,1961
12.83,fra,1962
12.6,fra,1963
12.64,fra,1964
13.23,fra,1965
13.29,fra,1966
13.14,fra,1967
13.17,fra,1968
14.01,fra,1969
15.97,fra,1970
16.49,fra,1971
16.67,fra,1972
17.58,fra,1973
20.73,fra,1974
18.96,fra,1975
19.46,fra,1976
20.33,fra,1977
20.58,fra,1978
21.11,fra,1979
21.4,fra,1980
22.42,fra,1981
21.86,fra,1982
22.89,fra,1983
24.33,fra,1984
23.81,fra,1985
20.8,fra,1986
20.02,fra,1987
20.81,fra,1988
22.15,fra,1989
21.48,fra,1990
21.81,fra,1991
21.81,fra,1992
21.2,fra,1993
22.03,fra,1994
22.96,fra,1995
23.39,fra,1996
25.93,fra,1997
26.47,fra,1998
26.35,fra,1999
28.81,fra,2000
28.36,fra,2001
27.5,fra,2002
25.91,fra,2003
26.14,fra,2004
26.36,fra,2005
27.02,fra,2006
26.86,fra,2007
26.95,fra,2008
23.37,fra,2009
25.57,fra,2010
26.96,fra,2011
1.32,pyf,1991
1.423,pyf,1992
2.453,pyf,1993
3.665,pyf,1994
2.933,pyf,1995
4.202,pyf,1996
4.354,pyf,1997
4.089,pyf,1998
5.016,pyf,1999
4.897,pyf,2000
31.21,gab,1961
31.71,gab,1962
47.1,gab,1963
41.89,gab,1964
43.24,gab,1965
39.74,gab,1966
48.05,gab,1967
48.42,gab,1968
54.66,gab,1969
49.72,gab,1970
66.32,gab,1971
73.09,gab,1972
58.85,gab,1973
57.55,gab,1974
49.52,gab,1975
45.58,gab,1976
51.59,gab,1977
61.76,gab,1978
58.49,gab,1979
64.72,gab,1980
63.36,gab,1981
61.59,gab,1982
61.32,gab,1983
59.09,gab,1984
62.57,gab,1985
35.19,gab,1986
42.69,gab,1987
36.73,gab,1988
45.8,gab,1989
46.04,gab,1990
47.26,gab,1991
46.08,gab,1992
48.79,gab,1993
61.68,gab,1994
59.39,gab,1995
62.66,gab,1996
61.3,gab,1997
47.41,gab,1998
59.61,gab,1999
69.03,gab,2000
59.03,gab,2001
53.56,gab,2002
55.34,gab,2003
62.2,gab,2004
64.74,gab,2005
61.93,gab,2006
62.25,gab,2007
66.57,gab,2008
56.14,gab,2009
60.29,gab,2010
64.56,gab,2011
36.17,gmb,1966
40.52,gmb,1967
39.99,gmb,1968
40.39,gmb,1969
37.79,gmb,1970
32.37,gmb,1971
33.77,gmb,1972
35.1,gmb,1973
38.97,gmb,1974
44.71,gmb,1975
41.06,gmb,1976
36.74,gmb,1977
33.68,gmb,1978
34.96,gmb,1979
42.74,gmb,1980
43.96,gmb,1981
44.33,gmb,1982
50.49,gmb,1983
51.12,gmb,1984
43.86,gmb,1985
46.62,gmb,1986
49.42,gmb,1987
50.37,gmb,1988
55.06,gmb,1989
59.9,gmb,1990
29.44,gmb,1991
30.59,gmb,1992
28.19,gmb,1993
21.24,gmb,1994
23.78,gmb,1995
21.8,gmb,1996
22.93,gmb,1997
25.31,gmb,1998
24.4,gmb,1999
25.8,gmb,2000
21.82,gmb,2001
27.16,gmb,2002
31.09,gmb,2003
34.22,gmb,2004
32.76,gmb,2005
33.85,gmb,2006
28.89,gmb,2007
23.45,gmb,2008
25.35,gmb,2009
23.49,gmb,2010
28.86,gmb,2011
41.56,geo,1987
42.54,geo,1988
42.37,geo,1989
39.95,geo,1990
27.78,geo,1991
35.67,geo,1992
46.89,geo,1993
57.77,geo,1994
25.5,geo,1995
13.33,geo,1996
15.61,geo,1997
16.46,geo,1998
19.06,geo,1999
22.99,geo,2000
24.46,geo,2001
29.23,geo,2002
31.84,geo,2003
31.56,geo,2004
33.75,geo,2005
32.87,geo,2006
31.21,geo,2007
28.62,geo,2008
29.74,geo,2009
34.95,geo,2010
36.45,geo,2011
16.43,deu,1970
15.81,deu,1971
15.8,deu,1972
16.68,deu,1973
19.81,deu,1974
18.58,deu,1975
19.63,deu,1976
19.53,deu,1977
19.15,deu,1978
19.36,deu,1979
20.22,deu,1980
21.87,deu,1981
22.67,deu,1982
22.04,deu,1983
23.59,deu,1984
24.91,deu,1985
23.12,deu,1986
22.46,deu,1987
22.9,deu,1988
24.22,deu,1989
24.8,deu,1990
25.7,deu,1991
24.01,deu,1992
21.99,deu,1993
22.83,deu,1994
23.74,deu,1995
24.8,deu,1996
27.4,deu,1997
28.58,deu,1998
29.4,deu,1999
33.38,deu,2000
34.79,deu,2001
35.67,deu,2002
35.72,deu,2003
38.55,deu,2004
41.32,deu,2005
45.51,deu,2006
47.17,deu,2007
48.15,deu,2008
42.39,deu,2009
47.01,deu,2010
50.17,deu,2011
26.13,gha,1961
24.21,gha,1962
21.18,gha,1963
19.9,gha,1964
17.12,gha,1965
14.62,gha,1966
17.4,gha,1967
20.32,gha,1968
19.72,gha,1969
21.33,gha,1970
15.76,gha,1971
20.7,gha,1972
21.45,gha,1973
18.33,gha,1974
19.36,gha,1975
15.71,gha,1976
10.49,gha,1977
8.359,gha,1978
11.23,gha,1979
8.466,gha,1980
4.756,gha,1981
3.338,gha,1982
5.556,gha,1983
8.044,gha,1984
10.65,gha,1985
16.58,gha,1986
19.66,gha,1987
18.18,gha,1988
16.74,gha,1989
16.88,gha,1990
16.96,gha,1991
17.23,gha,1992
20.25,gha,1993
25.26,gha,1994
24.5,gha,1995
32.11,gha,1996
32.41,gha,1997
33.87,gha,1998
32.08,gha,1999
48.8,gha,2000
45.23,gha,2001
42.62,gha,2002
40.68,gha,2003
39.3,gha,2004
36.45,gha,2005
25.19,gha,2006
24.53,gha,2007
25.03,gha,2008
29.29,gha,2009
29.4,gha,2010
38.02,gha,2011
8.654,grc,1961
9.062,grc,1962
9.35,grc,1963
8.542,grc,1964
8.364,grc,1965
10.5,grc,1966
9.936,grc,1967
8.945,grc,1968
9.064,grc,1969
9.678,grc,1970
10.01,grc,1971
11.21,grc,1972
14.29,grc,1973
17.45,grc,1974
17.36,grc,1975
17.25,grc,1976
17.16,grc,1977
16.76,grc,1978
18.63,grc,1979
23.73,grc,1980
26.26,grc,1981
21.13,grc,1982
20.23,grc,1983
20.63,grc,1984
19.81,grc,1985
21.72,grc,1986
22.25,grc,1987
20.03,grc,1988
19.58,grc,1989
18.14,grc,1990
17.43,grc,1991
18.27,grc,1992
17.25,grc,1993
17.74,grc,1994
17.71,grc,1995
17.62,grc,1996
19.8,grc,1997
19.96,grc,1998
22.54,grc,1999
25.73,grc,2000
24.87,grc,2001
21.81,grc,2002
20.71,grc,2003
23.13,grc,2004
23.21,grc,2005
23.15,grc,2006
23.79,grc,2007
24.13,grc,2008
19.26,grc,2009
22.24,grc,2010
25.05,grc,2011
50.64,grd,1977
50.33,grd,1978
51.45,grd,1979
47.35,grd,1980
44.71,grd,1981
40.21,grd,1982
38.53,grd,1983
37.95,grd,1984
43.04,grd,1985
53.01,grd,1986
47.99,grd,1987
47.05,grd,1988
40.28,grd,1989
42.43,grd,1990
40.71,grd,1991
39.59,grd,1992
49.03,grd,1993
48.06,grd,1994
44.81,grd,1995
44.66,grd,1996
43.97,grd,1997
46.19,grd,1998
57.43,grd,1999
45.05,grd,2000
37.67,grd,2001
31.71,grd,2002
30.11,grd,2003
32.96,grd,2004
21.25,grd,2005
23.03,grd,2006
24.74,grd,2007
22.8,grd,2008
22.46,grd,2009
21.45,grd,2010
22.57,grd,2011
11.95,gtm,1961
11.79,gtm,1962
14.29,gtm,1963
15.39,gtm,1964
16.79,gtm,1965
18.94,gtm,1966
16.21,gtm,1967
16.73,gtm,1968
17.8,gtm,1969
18.57,gtm,1970
17.29,gtm,1971
18.91,gtm,1972
20.88,gtm,1973
22.41,gtm,1974
21.72,gtm,1975
21.57,gtm,1976
24.46,gtm,1977
21.48,gtm,1978
21.35,gtm,1979
22.19,gtm,1980
17.09,gtm,1981
14.79,gtm,1982
12.99,gtm,1983
13.0,gtm,1984
11.95,gtm,1985
16.05,gtm,1986
15.85,gtm,1987
16.1,gtm,1988
17.31,gtm,1989
21.03,gtm,1990
17.95,gtm,1991
18.07,gtm,1992
17.7,gtm,1993
17.52,gtm,1994
19.26,gtm,1995
17.81,gtm,1996
17.96,gtm,1997
18.17,gtm,1998
19.0,gtm,1999
