children_out_of_school_primary_female,geo,time
149500,col,2009
187600,col,2010
215500,col,2011
13950,com,1987
19210,com,1994
16210,com,1999
13400,com,2000
12710,com,2007
764700,cod,1971
802500,cod,1972
803900,cod,1975
869000,cod,1979
909300,cod,1983
914200,cod,1984
1293000,cod,1988
1531000,cod,1991
1638000,cod,1992
1746000,cod,1993
1833000,cod,1994
1811000,cod,1995
2826000,cod,1999
24520,cog,1972
18530,cog,1974
13710,cog,1976
17220,cog,1980
19010,cog,1981
18300,cog,1982
17350,cog,1983
16500,cog,1984
112600,cog,2005
126300,cog,2006
32490,cog,2010
30020,cog,2011
23980,cri,1970
21640,cri,1972
19570,cri,1973
15020,cri,1975
10640,cri,1976
12740,cri,1978
15180,cri,1979
15280,cri,1980
14980,cri,1981
17990,cri,1982
24110,cri,1985
22630,cri,1986
23080,cri,1987
24260,cri,1989
24860,cri,1990
24360,cri,1991
356100,civ,1977
658000,civ,1996
656900,civ,1997
650300,civ,1999
676600,civ,2000
624400,civ,2001
641200,civ,2002
652900,civ,2003
663800,civ,2009
17660,hrv,1998
8568,hrv,1999
8382,hrv,2000
7827,hrv,2001
7161,hrv,2002
6890,hrv,2003
77,hrv,2005
159,hrv,2006
107,hrv,2007
164,hrv,2008
5939,hrv,2009
2660,hrv,2010
41750,cub,1972
34830,cub,1973
29650,cub,1974
12180,cub,1979
19460,cub,1980
31430,cub,1981
37570,cub,1982
37010,cub,1983
40730,cub,1984
49610,cub,1985
44600,cub,1986
34540,cub,1987
34700,cub,1988
32850,cub,1989
32530,cub,1990
34680,cub,1991
24780,cub,1992
22110,cub,1993
12170,cub,1994
12670,cub,1995
5597,cub,1996
7344,cub,1997
8200,cub,1998
7834,cub,1999
11190,cub,2000
14220,cub,2001
16660,cub,2002
26360,cub,2003
26900,cub,2004
23390,cub,2005
16750,cub,2006
7613,cub,2007
3673,cub,2008
1360,cub,2010
6678,cub,2011
715,cyp,1993
1003,cyp,1994
1217,cyp,1995
1296,cyp,1996
1138,cyp,1997
655,cyp,1999
511,cyp,2000
697,cyp,2001
386,cyp,2002
369,cyp,2003
403,cyp,2004
75,cyp,2005
138,cyp,2006
209,cyp,2007
358,cyp,2008
298,cyp,2009
279,cyp,2010
15950,cze,1994
19660,cze,1995
33940,cze,1996
35420,cze,1997
10240,dnk,1981
8228,dnk,1982
4221,dnk,1983
2489,dnk,1984
2269,dnk,1985
3103,dnk,1986
2461,dnk,1987
2165,dnk,1988
4273,dnk,1989
4243,dnk,1990
3161,dnk,1991
4525,dnk,1992
5131,dnk,1993
2276,dnk,1994
2564,dnk,1995
3349,dnk,1996
113,dnk,1998
3755,dnk,1999
2815,dnk,2000
2522,dnk,2004
6691,dnk,2005
5806,dnk,2006
4944,dnk,2007
5497,dnk,2008
5761,dnk,2009
6081,dnk,2010
24490,dji,1985
24940,dji,1986
26490,dji,1987
28510,dji,1988
30760,dji,1989
32730,dji,1990
35910,dji,1992
37570,dji,1993
37860,dji,1994
37920,dji,1995
38840,dji,1996
40470,dji,1997
44100,dji,1999
45280,dji,2000
45200,dji,2001
45340,dji,2002
44680,dji,2003
43630,dji,2004
42230,dji,2005
39960,dji,2006
37260,dji,2007
28830,dji,2008
29170,dji,2009
26070,dji,2011
502,dma,1976
424,dma,1977
743,dma,1979
951,dma,1980
778,dma,1981
780,dma,1982
113,dma,2005
141,dma,2006
228,dma,2007
107,dma,2008
90,dma,2010
124400,dom,1998
90530,dom,1999
86200,dom,2000
67770,dom,2002
79060,dom,2003
97880,dom,2004
87310,dom,2005
91230,dom,2006
58280,dom,2007
79020,dom,2008
51660,dom,2009
57010,dom,2010
53980,dom,2011
93240,ecu,1971
99440,ecu,1973
96530,ecu,1974
100900,ecu,1975
101200,ecu,1976
87580,ecu,1977
80170,ecu,1978
65960,ecu,1979
77220,ecu,1980
76470,ecu,1994
66240,ecu,1995
48090,ecu,1996
20730,ecu,1997
7721,ecu,1998
1086,ecu,1999
1584000,egy,1971
1607000,egy,1972
1642000,egy,1973
1698000,egy,1978
775200,egy,1994
582500,egy,1997
470200,egy,1999
418600,egy,2000
352100,egy,2001
281100,egy,2002
223600,egy,2003
155300,egy,2004
257300,egy,2005
339300,egy,2006
215400,egy,2007
177900,egy,2009
119600,slv,1970
77820,slv,1998
60140,slv,2001
50280,slv,2002
42160,slv,2003
26940,slv,2004
18940,slv,2005
19790,slv,2006
20630,slv,2007
20800,slv,2008
20840,slv,2009
18240,slv,2010
15820,slv,2011
5088,gnq,1994
10180,gnq,2001
11350,gnq,2002
11360,gnq,2003
21180,gnq,2008
21460,gnq,2009
21510,gnq,2010
20490,gnq,2011
183600,eri,1992
174200,eri,1994
174100,eri,1995
175300,eri,1996
177900,eri,1997
174800,eri,1999
167200,eri,2000
167600,eri,2001
160600,eri,2002
153900,eri,2003
152200,eri,2004
152000,eri,2005
156100,eri,2006
171700,eri,2007
185900,eri,2008
200500,eri,2009
214600,eri,2010
218200,eri,2011
8946,est,1995
6936,est,1996
1303,est,1998
1097,est,1999
499,est,2000
113,est,2001
965,est,2003
939,est,2004
899,est,2005
1049,est,2006
1337,est,2007
1247,est,2008
1427,est,2009
1079,est,2010
2479000,eth,1987
2543000,eth,1988
2644000,eth,1989
3552000,eth,1994
3615000,eth,1995
3610000,eth,1996
3594000,eth,1998
3590000,eth,1999
3492000,eth,2000
3363000,eth,2001
3344000,eth,2002
3374000,eth,2003
3214000,eth,2004
2530000,eth,2005
2164000,eth,2006
1775000,eth,2007
1335000,eth,2008
1267000,eth,2009
1367000,eth,2010
1049000,eth,2011
2820,fji,1998
2943,fji,1999
2892,fji,2000
1227,fji,2001
347,fji,2003
327,fji,2004
213,fji,2006
223,fji,2007
331,fji,2009
2235,fin,1993
2239,fin,1994
2880,fin,1995
2265,fin,1996
2012,fin,1997
959,fin,1998
419,fin,2001
770,fin,2002
2304,fin,2003
4138,fin,2004
4557,fin,2005
5229,fin,2006
4231,fin,2007
3994,fin,2008
3929,fin,2009
3663,fin,2010
45600,fra,1971
39760,fra,1972
95730,fra,1977
6595,fra,1979
4607,fra,1980
59970,fra,1982
99590,fra,1983
108200,fra,1985
60250,fra,1986
17990,fra,1992
42180,fra,1993
43590,fra,1994
23180,fra,1995
3553,fra,1996
5842,fra,1997
3640,fra,1999
3492,fra,2000
3586,fra,2001
3407,fra,2002
3180,fra,2003
3701,fra,2004
8923,fra,2005
11900,fra,2006
12060,fra,2007
13380,fra,2008
13180,fra,2010
606,pyf,1983
604,pyf,1984
817,pyf,1985
345,pyf,1995
493,pyf,1996
7413,gab,1997
25910,gmb,1971
27390,gmb,1972
28560,gmb,1973
29960,gmb,1974
31410,gmb,1975
33040,gmb,1976
32110,gmb,1977
31220,gmb,1978
32360,gmb,1979
32460,gmb,1980
30650,gmb,1981
30970,gmb,1982
30880,gmb,1983
30730,gmb,1984
31010,gmb,1985
32490,gmb,1986
53910,gmb,1992
53460,gmb,1993
48350,gmb,1996
35300,gmb,1999
36830,gmb,2000
35210,gmb,2001
38010,gmb,2002
32750,gmb,2003
31800,gmb,2004
34830,gmb,2005
30300,gmb,2006
30750,gmb,2007
35850,gmb,2008
32780,gmb,2009
40760,gmb,2010
40540,gmb,2011
28820,geo,1995
26610,geo,1996
25680,geo,1997
22340,geo,2004
18460,geo,2005
7514,geo,2006
8256,geo,2007
271700,deu,1993
298400,deu,1994
305400,deu,1995
305500,deu,1996
299200,deu,1997
272600,deu,1998
570000,gha,1999
524900,gha,2000
605300,gha,2001
574700,gha,2002
539900,gha,2003
614700,gha,2004
518500,gha,2005
518000,gha,2006
437100,gha,2007
347200,gha,2008
378900,gha,2009
269600,gha,2011
11590,grc,1971
10670,grc,1972
9168,grc,1973
7357,grc,1974
11000,grc,1975
13790,grc,1976
18280,grc,1977
21480,grc,1978
24150,grc,1979
27930,grc,1980
14050,grc,1981
9454,grc,1982
2606,grc,1983
1038,grc,1984
209,grc,1985
2603,grc,1986
15060,grc,1987
14310,grc,1988
19630,grc,1989
23150,grc,1990
22840,grc,1991
26740,grc,1992
33700,grc,1993
36560,grc,1994
29540,grc,1995
36420,grc,1996
35840,grc,1997
13070,grc,1998
11390,grc,1999
6677,grc,2000
9179,grc,2001
5169,grc,2002
1412,grc,2003
2599,grc,2005
3606,grc,2006
3931,grc,2007
2290,grc,2010
1839,grd,1972
189,grd,1977
470,grd,1980
756,grd,1981
999,grd,1982
984,grd,1983
754,grd,1984
1781,grd,2000
1143,grd,2001
3,grd,2003
100,grd,2004
418,grd,2007
235,grd,2008
49,grd,2009
43,grd,2010
236500,gtm,1970
240500,gtm,1971
245500,gtm,1972
252600,gtm,1974
253700,gtm,1975
260400,gtm,1978
252000,gtm,1981
272500,gtm,1982
260700,gtm,1983
256200,gtm,1997
177400,gtm,1999
152100,gtm,2000
162500,gtm,2001
130300,gtm,2002
109300,gtm,2003
87640,gtm,2004
72710,gtm,2005
58450,gtm,2006
48070,gtm,2007
51300,gtm,2008
27140,gtm,2009
28550,gtm,2010
285600,gin,1984
288300,gin,1985
300100,gin,1986
315100,gin,1987
321200,gin,1988
331600,gin,1989
347000,gin,1990
355300,gin,1991
426000,gin,1998
414000,gin,1999
391800,gin,2000
369300,gin,2001
324300,gin,2002
299700,gin,2003
277300,gin,2004
259200,gin,2005
237500,gin,2006
221300,gin,2007
229700,gin,2008
219800,gin,2009
223600,gin,2010
170200,gin,2011
43310,gnb,1981
48620,gnb,1982
57040,gnb,1984
56480,gnb,1985
53780,gnb,1987
52310,gnb,1988
54290,gnb,1999
54680,gnb,2000
30200,gnb,2010
10870,guy,1971
10930,guy,1972
8899,guy,1974
8439,guy,1976
4058,guy,1977
4340,guy,1979
3642,guy,1982
1882,guy,1995
2277,guy,1996
846,guy,2003
5432,guy,2008
9483,guy,2009
7914,guy,2010
8416,guy,2011
271600,hti,1981
256100,hti,1982
239500,hti,1983
260300,hti,1984
246900,hti,1985
240600,hti,1986
286700,hti,1987
283900,hti,1997
69400,hnd,1979
68710,hnd,1980
37070,hnd,1982
