debt_to_foreigners_by_public_and_private_percent_of_gni,geo,time
40.95,gab,1971
57.17,gab,1972
59.5,gab,1973
37.21,gab,1974
44.03,gab,1975
43.61,gab,1976
55.54,gab,1977
69.95,gab,1978
64.55,gab,1979
39.27,gab,1980
32.13,gab,1981
30.28,gab,1982
29.55,gab,1983
27.55,gab,1984
38.95,gab,1985
61.56,gab,1986
86.18,gab,1987
79.99,gab,1988
84.78,gab,1989
74.64,gab,1990
87.09,gab,1991
79.15,gab,1992
103.1,gab,1993
113.0,gab,1994
101.6,gab,1995
87.43,gab,1996
92.84,gab,1997
111.6,gab,1998
97.33,gab,1999
90.97,gab,2000
83.73,gab,2001
78.82,gab,2002
70.18,gab,2003
67.83,gab,2004
50.3,gab,2005
51.15,gab,2006
28.22,gab,2007
17.13,gab,2008
21.58,gab,2009
20.33,gab,2010
9.706,gmb,1970
10.06,gmb,1971
12.79,gmb,1972
11.99,gmb,1973
12.91,gmb,1974
11.69,gmb,1975
13.62,gmb,1976
27.21,gmb,1977
29.1,gmb,1978
39.72,gmb,1979
57.73,gmb,1980
81.85,gmb,1981
98.82,gmb,1982
106.1,gmb,1983
129.1,gmb,1984
112.5,gmb,1985
172.3,gmb,1986
144.2,gmb,1987
119.6,gmb,1988
126.4,gmb,1989
126.7,gmb,1990
126.4,gmb,1991
117.9,gmb,1992
117.7,gmb,1993
118.2,gmb,1994
113.0,gmb,1995
117.2,gmb,1996
105.8,gmb,1997
115.9,gmb,1998
113.1,gmb,1999
120.7,gmb,2000
123.6,gmb,2001
166.0,gmb,2002
189.3,gmb,2003
183.9,gmb,2004
157.9,gmb,2005
154.5,gmb,2006
116.0,gmb,2007
47.05,gmb,2008
66.57,gmb,2009
63.29,gmb,2010
2.163,geo,1992
21.05,geo,1993
58.72,geo,1994
48.18,geo,1995
45.02,geo,1996
40.29,geo,1997
43.31,geo,1998
56.14,geo,1999
51.59,geo,2000
53.15,geo,2001
53.96,geo,2002
48.31,geo,2003
39.66,geo,2004
29.49,geo,2005
29.04,geo,2006
25.56,geo,2007
58.15,geo,2008
77.44,geo,2009
80.44,geo,2010
26.34,gha,1970
22.9,gha,1971
28.82,gha,1972
30.87,gha,1973
26.38,gha,1974
26.36,gha,1975
25.96,gha,1976
33.56,gha,1977
34.99,gha,1978
32.01,gha,1979
31.67,gha,1980
36.56,gha,1981
36.87,gha,1982
41.43,gha,1983
44.89,gha,1984
50.7,gha,1985
49.04,gha,1986
66.53,gha,1987
60.36,gha,1988
64.2,gha,1989
64.68,gha,1990
64.16,gha,1991
67.21,gha,1992
78.16,gha,1993
95.71,gha,1994
86.88,gha,1995
85.34,gha,1996
84.62,gha,1997
86.19,gha,1998
85.08,gha,1999
126.6,gha,2000
121.9,gha,2001
115.4,gha,2002
101.5,gha,2003
81.43,gha,2004
64.02,gha,2005
16.39,gha,2006
19.82,gha,2007
19.04,gha,2008
24.47,gha,2009
27.19,gha,2010
23.48,grd,1977
25.49,grd,1978
26.03,grd,1979
44.9,grd,1986
47.94,grd,1987
49.4,grd,1988
43.66,grd,1989
53.02,grd,1990
52.35,grd,1991
47.35,grd,1992
61.42,grd,1993
50.99,grd,1994
48.32,grd,1995
49.95,grd,1996
40.17,grd,1997
53.93,grd,1998
38.43,grd,1999
50.89,grd,2000
62.9,grd,2001
93.94,grd,2002
87.6,grd,2003
106.9,grd,2004
77.23,grd,2005
93.19,grd,2006
94.69,grd,2007
87.55,grd,2008
96.64,grd,2009
98.74,grd,2010
8.537,gtm,1970
9.172,gtm,1971
9.035,gtm,1972
8.715,gtm,1973
8.289,gtm,1974
9.004,gtm,1975
8.85,gtm,1976
12.05,gtm,1977
13.56,gtm,1978
15.21,gtm,1979
15.06,gtm,1980
15.0,gtm,1981
18.08,gtm,1982
20.41,gtm,1983
25.66,gtm,1984
28.02,gtm,1985
40.03,gtm,1986
40.42,gtm,1987
34.02,gtm,1988
31.61,gtm,1989
37.97,gtm,1990
30.16,gtm,1991
26.75,gtm,1992
25.56,gtm,1993
24.19,gtm,1994
22.64,gtm,1995
21.51,gtm,1996
19.63,gtm,1997
18.91,gtm,1998
20.87,gtm,1999
20.21,gtm,2000
23.08,gtm,2001
21.67,gtm,2002
23.54,gtm,2003
41.25,gtm,2004
41.09,gtm,2005
41.65,gtm,2006
43.79,gtm,2007
38.67,gtm,2008
37.64,gtm,2009
35.86,gtm,2010
99.61,gin,1986
108.1,gin,1987
100.5,gin,1988
96.27,gin,1989
98.43,gin,1990
92.12,gin,1991
84.33,gin,1992
89.23,gin,1993
94.02,gin,1994
90.0,gin,1995
85.92,gin,1996
96.12,gin,1997
102.6,gin,1998
94.39,gin,1999
101.0,gin,2000
104.6,gin,2001
102.7,gin,2002
99.33,gin,2003
92.49,gin,2004
109.0,gin,2005
122.1,gin,2006
82.29,gin,2007
93.17,gin,2008
78.96,gin,2009
69.09,gin,2010
0.0,gnb,1970
0.0,gnb,1971
0.0,gnb,1972
0.0,gnb,1973
0.0,gnb,1974
7.093,gnb,1975
15.4,gnb,1976
23.67,gnb,1977
44.3,gnb,1978
59.49,gnb,1979
131.1,gnb,1980
97.63,gnb,1981
104.3,gnb,1982
121.8,gnb,1983
183.5,gnb,1984
200.2,gnb,1985
288.2,gnb,1986
291.4,gnb,1987
366.5,gnb,1988
296.5,gnb,1989
297.7,gnb,1990
311.3,gnb,1991
357.9,gnb,1992
355.1,gnb,1993
383.6,gnb,1994
379.4,gnb,1995
371.6,gnb,1996
362.8,gnb,1997
504.5,gnb,1998
446.7,gnb,1999
466.5,gnb,2000
492.6,gnb,2001
499.6,gnb,2002
229.3,gnb,2003
215.6,gnb,2004
180.6,gnb,2005
182.0,gnb,2006
158.8,gnb,2007
130.3,gnb,2008
135.6,gnb,2009
124.8,gnb,2010
33.54,guy,1970
59.28,guy,1971
57.59,guy,1972
61.09,guy,1973
53.66,guy,1974
67.01,guy,1975
97.54,guy,1976
122.8,guy,1977
125.5,guy,1978
135.8,guy,1979
148.7,guy,1980
179.2,guy,1981
237.6,guy,1982
296.9,guy,1983
358.8,guy,1984
395.1,guy,1985
397.9,guy,1986
671.2,guy,1987
592.3,guy,1988
646.5,guy,1989
712.5,guy,1990
824.5,guy,1991
678.9,guy,1992
525.6,guy,1993
425.7,guy,1994
373.1,guy,1995
246.8,guy,1996
236.0,guy,1997
228.3,guy,1998
221.4,guy,1999
206.6,guy,2000
205.6,guy,2001
205.6,guy,2002
207.2,guy,2003
201.7,guy,2004
151.2,guy,2005
75.96,guy,2006
36.28,guy,2007
36.81,guy,2008
44.59,guy,2009
52.85,guy,2010
35.08,hti,2004
31.39,hti,2005
35.52,hti,2006
25.79,hti,2007
30.34,hti,2008
20.41,hti,2009
7.306,hti,2010
15.79,hnd,1970
19.79,hnd,1971
21.31,hnd,1972
22.43,hnd,1973
27.66,hnd,1974
34.78,hnd,1975
28.28,hnd,1976
47.09,hnd,1977
50.45,hnd,1978
55.16,hnd,1979
60.64,hnd,1980
63.5,hnd,1981
68.01,hnd,1982
72.47,hnd,1983
72.22,hnd,1984
78.52,hnd,1985
82.13,hnd,1986
84.23,hnd,1987
87.75,hnd,1988
99.66,hnd,1989
132.9,hnd,1990
121.1,hnd,1991
125.8,hnd,1992
132.8,hnd,1993
145.5,hnd,1994
132.9,hnd,1995
125.8,hnd,1996
109.7,hnd,1997
100.9,hnd,1998
103.0,hnd,1999
77.73,hnd,2000
68.77,hnd,2001
71.47,hnd,2002
69.68,hnd,2003
72.04,hnd,2004
56.19,hnd,2005
40.51,hnd,2006
27.56,hnd,2007
25.88,hnd,2008
26.57,hnd,2009
28.16,hnd,2010
13.85,ind,1970
14.16,ind,1971
14.18,ind,1972
12.93,ind,1973
12.9,ind,1974
14.35,ind,1975
14.48,ind,1976
12.96,ind,1977
12.36,ind,1978
12.22,ind,1979
11.45,ind,1980
12.17,ind,1981
14.12,ind,1982
14.89,ind,1983
16.3,ind,1984
17.76,ind,1985
19.22,ind,1986
20.51,ind,1987
21.26,ind,1988
26.23,ind,1989
27.35,ind,1990
32.98,ind,1991
37.09,ind,1992
34.19,ind,1993
31.19,ind,1994
27.02,ind,1995
24.67,ind,1996
23.25,ind,1997
23.93,ind,1998
22.18,ind,1999
22.02,ind,2000
20.83,ind,2001
20.81,ind,2002
19.79,ind,2003
17.11,ind,2004
14.52,ind,2005
16.79,ind,2006
16.4,ind,2007
18.73,ind,2008
18.21,ind,2009
16.9,ind,2010
46.69,idn,1970
50.55,idn,1971
51.16,idn,1972
43.09,idn,1973
34.38,idn,1974
36.69,idn,1975
36.06,idn,1976
34.61,idn,1977
33.89,idn,1978
35.31,idn,1979
27.99,idn,1980
25.45,idn,1981
27.89,idn,1982
36.92,idn,1983
38.82,idn,1984
44.35,idn,1985
56.46,idn,1986
73.05,idn,1987
63.83,idn,1988
61.28,idn,1989
63.96,idn,1990
71.62,idn,1991
72.18,idn,1992
58.65,idn,1993
62.63,idn,1994
63.4,idn,1995
58.29,idn,1996
65.09,idn,1997
168.2,idn,1998
117.1,idn,1999
95.36,idn,2000
92.08,idn,2001
74.13,idn,2002
59.1,idn,2003
55.95,idn,2004
49.4,idn,2005
35.91,idn,2006
32.3,idn,2007
30.0,idn,2008
31.29,idn,2009
26.08,idn,2010
0.0,irn,1971
0.0,irn,1972
0.0,irn,1973
0.0,irn,1974
0.0,irn,1975
0.0,irn,1976
0.0,irn,1977
0.0,irn,1978
0.0,irn,1979
4.978,irn,1980
3.956,irn,1981
6.777,irn,1982
4.83,irn,1983
3.373,irn,1984
3.559,irn,1985
2.937,irn,1986
4.818,irn,1987
5.02,irn,1988
5.719,irn,1989
7.782,irn,1990
39.66,irn,1993
33.72,irn,1994
23.92,irn,1995
14.99,irn,1996
11.07,irn,1997
11.88,irn,1998
8.941,irn,1999
7.615,irn,2000
6.329,irn,2001
7.603,irn,2002
12.19,irn,2003
13.06,irn,2004
11.61,irn,2005
8.841,irn,2006
7.447,irn,2007
4.162,irn,2008
4.097,irn,2009
73.08,jam,1970
69.84,jam,1971
56.51,jam,1972
64.3,jam,1973
59.02,jam,1974
56.01,jam,1975
50.16,jam,1976
53.42,jam,1977
56.09,jam,1978
76.74,jam,1979
78.05,jam,1980
82.66,jam,1981
92.17,jam,1982
104.5,jam,1983
172.8,jam,1984
225.4,jam,1985
171.3,jam,1986
161.8,jam,1987
132.4,jam,1988
114.5,jam,1989
114.5,jam,1990
124.4,jam,1991
142.2,jam,1992
93.29,jam,1993
98.13,jam,1994
82.25,jam,1995
63.48,jam,1996
51.41,jam,1997
46.2,jam,1998
46.17,jam,1999
54.54,jam,2000
62.09,jam,2001
60.75,jam,2002
63.54,jam,2003
67.53,jam,2004
62.34,jam,2005
70.85,jam,2006
86.58,jam,2007
76.19,jam,2008
91.42,jam,2009
104.2,jam,2010
18.09,jor,1970
22.13,jor,1971
22.56,jor,1972
22.29,jor,1973
22.08,jor,1974
24.39,jor,1975
25.21,jor,1976
37.55,jor,1977
43.11,jor,1978
42.93,jor,1979
46.56,jor,1980
48.23,jor,1981
53.85,jor,1982
59.45,jor,1983
64.53,jor,1984
78.4,jor,1985
80.1,jor,1986
99.32,jor,1987
103.1,jor,1988
186.0,jor,1989
219.0,jor,1990
253.2,jor,1991
160.5,jor,1992
144.4,jor,1993
127.5,jor,1994
118.8,jor,1995
111.5,jor,1996
103.9,jor,1997
97.23,jor,1998
101.1,jor,1999
85.91,jor,2000
82.46,jor,2001
83.94,jor,2002
80.75,jor,2003
69.03,jor,2004
59.54,jor,2005
50.04,jor,2006
45.37,jor,2007
28.13,jor,2008
25.74,jor,2009
27.85,jor,2010
7.395,kaz,1993
13.19,kaz,1994
18.54,kaz,1995
14.04,kaz,1996
18.66,kaz,1997
27.87,kaz,1998
37.6,kaz,1999
72.97,kaz,2000
71.18,kaz,2001
76.48,kaz,2002
78.27,kaz,2003
81.45,kaz,2004
84.54,kaz,2005
101.3,kaz,2006
104.1,kaz,2007
94.16,kaz,2008
108.4,kaz,2009
94.29,kaz,2010
30.21,ken,1970
28.39,ken,1971
28.03,ken,1972
35.2,ken,1973
40.18,ken,1974
40.75,ken,1975
44.81,ken,1976
38.26,ken,1977
42.49,ken,1978
45.28,ken,1979
48.08,ken,1980
48.62,ken,1981
54.52,ken,1982
62.68,ken,1983
58.65,ken,1984
70.55,ken,1985
65.76,ken,1986
75.19,ken,1987
72.33,ken,1988
73.35,ken,1989
85.79,ken,1990
95.82,ken,1991
87.7,ken,1992
131.9,ken,1993
105.0,ken,1994
83.76,ken,1995
57.65,ken,1996
49.95,ken,1997
48.87,ken,1998
50.89,ken,1999
48.88,ken,2000
42.96,ken,2001
47.0,ken,2002
46.57,ken,2003
43.35,ken,2004
34.31,ken,2005
29.38,ken,2006
27.42,ken,2007
25.05,ken,2008
27.91,ken,2009
26.87,ken,2010
6.44,kos,2009
5.957,kos,2010
0.2386,kgz,1992
14.44,kgz,1993
26.93,kgz,1994
37.49,kgz,1995
63.58,kgz,1996
78.73,kgz,1997
96.06,kgz,1998
147.7,kgz,1999
141.9,kgz,2000
117.1,kgz,2001
119.6,kgz,2002
109.0,kgz,2003
115.2,kgz,2004
90.04,kgz,2005
88.69,kgz,2006
73.25,kgz,2007
70.83,kgz,2008
88.58,kgz,2009
89.2,kgz,2010
29.49,lao,1984
26.14,lao,1985
48.87,lao,1986
106.8,lao,1987
221.3,lao,1988
206.1,lao,1989
204.0,lao,1990
182.0,lao,1991
169.8,lao,1992
149.5,lao,1993
134.2,lao,1994
122.6,lao,1995
120.7,lao,1996
136.1,lao,1997
197.1,lao,1998
176.9,lao,1999
150.3,lao,2000
146.7,lao,2001
172.6,lao,2002
114.1,lao,2003
108.5,lao,2004
109.0,lao,2005
104.0,lao,2006
108.4,lao,2007
96.28,lao,2008
92.26,lao,2009
78.96,lao,2010
1.33,lva,1992
5.26,lva,1993
7.368,lva,1994
8.797,lva,1995
21.89,lva,1996
44.59,lva,1997
46.69,lva,1998
56.25,lva,1999
62.13,lva,2000
63.52,lva,2001
72.88,lva,2002
78.95,lva,2003
92.1,lva,2004
89.9,lva,2005
116.3,lva,2006
140.2,lva,2007
125.5,lva,2008
150.2,lva,2009
164.3,lva,2010
30.26,lbn,1989
51.64,lbn,1990
32.38,lbn,1991
31.34,lbn,1992
17.43,lbn,1993
21.51,lbn,1994
24.36,lbn,1995
28.52,lbn,1996
31.69,lbn,1997
40.08,lbn,1998
48.21,lbn,1999
58.27,lbn,2000
73.36,lbn,2001
96.42,lbn,2002
117.2,lbn,2003
110.2,lbn,2004
107.7,lbn,2005
111.0,lbn,2006
99.37,lbn,2007
79.7,lbn,2008
71.65,lbn,2009
60.68,lbn,2010
9.177,lso,1970
8.789,lso,1971
8.801,lso,1972
5.037,lso,1973
4.24,lso,1974
5.617,lso,1975
5.663,lso,1976
6.855,lso,1977
7.656,lso,1978
10.55,lso,1979
10.36,lso,1980
11.66,lso,1981
16.38,lso,1982
16.13,lso,1983
19.84,lso,1984
33.67,lso,1985
34.16,lso,1986
36.93,lso,1987
37.61,lso,1988
42.71,lso,1989
43.87,lso,1990
45.92,lso,1991
45.4,lso,1992
52.26,lso,1993
58.32,lso,1994
59.43,lso,1995
62.8,lso,1996
57.99,lso,1997
64.7,lso,1998
66.34,lso,1999
69.01,lso,2000
69.12,lso,2001
81.55,lso,2002
58.48,lso,2003
42.68,lso,2004
35.67,lso,2005
34.97,lso,2006
33.73,lso,2007
32.32,lso,2008
31.08,lso,2009
28.44,lso,2010
47.36,lbr,1970
44.84,lbr,1971
40.48,lbr,1972
38.27,lbr,1973
30.96,lbr,1974
29.06,lbr,1975
32.29,lbr,1976
39.55,lbr,1977
55.73,lbr,1978
66.43,lbr,1979
73.76,lbr,1980
89.01,lbr,1981
101.9,lbr,1982
133.0,lbr,1983
133.8,lbr,1984
154.8,lbr,1985
208.0,lbr,1986
233.9,lbr,1987
218.2,lbr,1988
319.2,lbr,1989
911.7,lbr,1997
794.2,lbr,1998
761.2,lbr,1999
718.7,lbr,2000
743.0,lbr,2001
717.1,lbr,2002
1023.0,lbr,2003
1021.0,lbr,2004
934.2,lbr,2005
926.8,lbr,2006
664.7,lbr,2007
464.9,lbr,2008
225.4,lbr,2009
28.34,lbr,2010
0.6475,ltu,1992
4.478,ltu,1993
7.216,ltu,1994
9.75,ltu,1995
17.12,ltu,1996
30.57,ltu,1997
31.58,ltu,1998
41.21,ltu,1999
42.02,ltu,2000
44.18,ltu,2001
44.13,ltu,2002
41.26,ltu,2003
47.83,ltu,2004
45.12,ltu,2005
63.45,ltu,2006
78.53,ltu,2007
69.61,ltu,2008
84.76,ltu,2009
82.95,ltu,2010
41.78,mkd,1993
33.1,mkd,1994
28.96,mkd,1995
41.6,mkd,1996
33.53,mkd,1997
42.27,mkd,1998
39.31,mkd,1999
41.49,mkd,2000
43.81,mkd,2001
44.79,mkd,2002
40.84,mkd,2003
52.82,mkd,2004
51.59,mkd,2005
51.65,mkd,2006
53.52,mkd,2007
48.16,mkd,2008
60.83,mkd,2009
65.07,mkd,2010
43.75,mdg,1970
40.95,mdg,1971
38.16,mdg,1972
30.64,mdg,1973
39.45,mdg,1974
34.84,mdg,1975
8.755,mdg,1976
33.15,mdg,1977
13.34,mdg,1978
22.4,mdg,1979
30.78,mdg,1980
45.34,mdg,1981
55.64,mdg,1982
59.36,mdg,1983
76.19,mdg,1984
91.77,mdg,1985
95.99,mdg,1986
151.8,mdg,1987
161.1,mdg,1988
147.6,mdg,1989
124.7,mdg,1990
156.6,mdg,1991
134.8,mdg,1992
117.0,mdg,1993
144.0,mdg,1994
143.3,mdg,1995
107.6,mdg,1996
118.7,mdg,1997
119.6,mdg,1998
129.1,mdg,1999
123.2,mdg,2000
92.91,mdg,2001
104.3,mdg,2002
91.66,mdg,2003
88.42,mdg,2004
70.43,mdg,2005
27.44,mdg,2006
23.43,mdg,2007
22.21,mdg,2008
26.24,mdg,2009
26.6,mdg,2010
47.72,mwi,1970
42.11,mwi,1971
43.75,mwi,1972
48.25,mwi,1973
43.01,mwi,1974
43.36,mwi,1975
47.51,mwi,1976
58.78,mwi,1977
65.13,mwi,1978
67.6,mwi,1979
72.94,mwi,1980
71.13,mwi,1981
77.9,mwi,1982
77.44,mwi,1983
76.36,mwi,1984
94.65,mwi,1985
103.0,mwi,1986
121.4,mwi,1987
102.4,mwi,1988
91.45,mwi,1989
84.73,mwi,1990
77.12,mwi,1991
97.0,mwi,1992
89.96,mwi,1993
177.4,mwi,1994
165.8,mwi,1995
103.1,mwi,1996
84.84,mwi,1997
142.7,mwi,1998
158.1,mwi,1999
158.4,mwi,2000
153.5,mwi,2001
110.1,mwi,2002
129.9,mwi,2003
132.7,mwi,2004
117.3,mwi,2005
27.55,mwi,2006
23.0,mwi,2007
22.06,mwi,2008
22.19,mwi,2009
18.51,mwi,2010
12.04,mys,1970
15.92,mys,1971
17.94,mys,1972
12.92,mys,1973
13.19,mys,1974
21.92,mys,1975
23.94,mys,1976
25.43,mys,1977
26.17,mys,1978
23.99,mys,1979
27.48,mys,1980
37.33,mys,1981
51.27,mys,1982
61.0,mys,1983
58.07,mys,1984
68.63,mys,1985
82.95,mys,1986
75.61,mys,1987
55.71,mys,1988
44.39,mys,1989
36.36,mys,1990
36.6,mys,1991
35.74,mys,1992
41.06,mys,1993
42.79,mys,1994
40.55,mys,1995
41.26,mys,1996
49.82,mys,1997
62.12,mys,1998
56.82,mys,1999
48.46,mys,2000
52.28,mys,2001
51.09,mys,2002
46.44,mys,2003
43.96,mys,2004
39.42,mys,2005
36.15,mys,2006
33.64,mys,2007
30.77,mys,2008
35.08,mys,2009
35.44,mys,2010
72.84,mdv,1985
57.15,mdv,1986
61.37,mdv,1987
45.09,mdv,1988
38.85,mdv,1989
40.21,mdv,1990
38.15,mdv,1991
38.13,mdv,1992
40.58,mdv,1993
39.4,mdv,1994
40.86,mdv,1995
39.25,mdv,1996
35.64,mdv,1997
37.82,mdv,1998
39.21,mdv,1999
34.66,mdv,2000
43.68,mdv,2001
49.7,mdv,2002
45.71,mdv,2003
51.43,mdv,2004
63.57,mdv,2005
77.84,mdv,2006
102.7,mdv,2007
94.33,mdv,2008
92.07,mdv,2009
86.57,mdv,2010
70.31,mli,1970
63.22,mli,1971
55.36,mli,1972
53.65,mli,1973
65.37,mli,1974
43.44,mli,1975
40.13,mli,1976
44.93,mli,1977
45.73,mli,1978
35.87,mli,1979
41.12,mli,1980
56.95,mli,1981
67.28,mli,1982
78.18,mli,1983
95.94,mli,1984
113.1,mli,1985
105.4,mli,1986
107.2,mli,1987
105.1,mli,1988
102.6,mli,1990
107.3,mli,1991
102.1,mli,1992
108.3,mli,1993
154.9,mli,1994
122.3,mli,1995
117.0,mli,1996
130.2,mli,1997
125.9,mli,1998
126.5,mli,1999
123.7,mli,2000
116.0,mli,2001
89.29,mli,2002
72.63,mli,2003
69.77,mli,2004
62.78,mli,2005
28.81,mli,2006
25.55,mli,2007
24.11,mli,2008
24.07,mli,2009
26.11,mli,2010
13.44,mrt,1970
18.74,mrt,1971
22.32,mrt,1972
33.67,mrt,1973
42.48,mrt,1974
41.78,mrt,1975
82.96,mrt,1976
104.1,mrt,1977
135.1,mrt,1978
119.7,mrt,1979
125.0,mrt,1980
133.4,mrt,1981
161.9,mrt,1982
171.0,mrt,1983
193.1,mrt,1984
230.5,mrt,1985
209.0,mrt,1986
216.0,mrt,1987
205.7,mrt,1988
192.4,mrt,1989
196.4,mrt,1990
206.3,mrt,1991
150.1,mrt,1992
183.4,mrt,1993
178.8,mrt,1994
175.3,mrt,1995
168.3,mrt,1996
176.3,mrt,1997
192.6,mrt,1998
208.2,mrt,1999
217.8,mrt,2000
209.8,mrt,2001
177.6,mrt,2002
174.6,mrt,2003
144.0,mrt,2004
120.1,mrt,2005
69.33,mrt,2006
60.25,mrt,2007
54.86,mrt,2008
66.5,mrt,2009
67.02,mrt,2010
9.108,mus,1976
12.31,mus,1977
18.78,mus,1978
25.53,mus,1979
37.74,mus,1980
45.82,mus,1981
53.03,mus,1982
48.61,mus,1983
51.03,mus,1984
55.81,mus,1985
44.82,mus,1986
42.51,mus,1987
39.25,mus,1988
37.44,mus,1989
35.44,mus,1990
34.65,mus,1991
29.17,mus,1992
27.58,mus,1993
31.09,mus,1994
35.2,mus,1995
31.95,mus,1996
32.13,mus,1997
30.92,mus,1998
29.79,mus,1999
20.78,mus,2000
18.63,mus,2001
19.03,mus,2002
17.56,mus,2003
14.5,mus,2004
12.47,mus,2005
9.591,mus,2006
8.329,mus,2007
6.441,mus,2008
9.288,mus,2009
10.98,mus,2010
19.96,mex,1970
19.47,mex,1971
18.5,mex,1972
19.31,mex,1973
19.73,mex,1974
21.17,mex,1975
27.62,mex,1976
39.18,mex,1977
35.86,mex,1978
32.79,mex,1979
30.53,mex,1980
32.59,mex,1981
53.31,mex,1982
66.53,mex,1983
57.28,mex,1984
55.2,mex,1985
82.75,mex,1986
82.02,mex,1987
56.41,mex,1988
43.71,mex,1989
41.11,mex,1990
37.3,mex,1991
31.72,mex,1992
33.32,mex,1993
33.9,mex,1994
60.49,mex,1995
48.99,mex,1996
38.0,mex,1997
39.02,mex,1998
35.6,mex,1999
26.64,mex,2000
26.94,mex,2001
24.73,mex,2002
23.49,mex,2003
21.66,mex,2004
19.88,mex,2005
17.27,mex,2006
17.56,mex,2007
17.34,mex,2008
19.76,mex,2009
19.52,mex,2010
1.66,mda,1992
11.71,mda,1993
29.8,mda,1994
40.32,mda,1995
48.04,mda,1996
54.31,mda,1997
63.41,mda,1998
85.15,mda,1999
129.0,mda,2000
103.9,mda,2001
101.7,mda,2002
87.52,mda,2003
66.21,mda,2004
61.28,mda,2005
63.98,mda,2006
65.85,mda,2007
52.02,mda,2008
61.94,mda,2009
73.49,mda,2010
27.49,mng,1992
52.27,mng,1993
51.24,mng,1994
37.23,mng,1995
40.12,mng,1996
51.86,mng,1997
64.61,mng,1998
86.44,mng,1999
79.21,mng,2000
69.9,mng,2001
74.41,mng,2002
92.96,mng,2003
76.62,mng,2004
53.68,mng,2005
42.95,mng,2006
40.65,mng,2007
33.63,mng,2008
48.83,mng,2009
44.26,mng,2010
30.75,mne,2006
34.23,mne,2007
31.97,mne,2008
55.8,mne,2009
39.1,mne,2010
24.97,mar,1970
26.06,mar,1971
23.55,mar,1972
20.82,mar,1973
19.84,mar,1974
29.78,mar,1975
35.39,mar,1976
51.3,mar,1977
53.12,mar,1978
52.54,mar,1979
52.83,mar,1980
71.37,mar,1981
81.93,mar,1982
96.52,mar,1983
113.4,mar,1984
131.7,mar,1985
110.3,mar,1986
117.4,mar,1987
99.48,mar,1988
103.5,mar,1989
100.7,mar,1990
84.14,mar,1991
82.76,mar,1992
86.35,mar,1993
78.73,mar,1994
75.06,mar,1995
68.56,mar,1996
72.87,mar,1997
60.62,mar,1998
59.2,mar,1999
57.34,mar,2000
51.14,mar,2001
45.59,mar,2002
37.31,mar,2003
30.17,mar,2004
27.53,mar,2005
27.53,mar,2006
27.67,mar,2007
23.82,mar,2008
26.54,mar,2009
28.15,mar,2010
39.67,moz,1984
64.79,moz,1985
67.99,moz,1986
186.7,moz,1987
208.1,moz,1988
202.5,moz,1989
198.3,moz,1990
183.6,moz,1991
283.0,moz,1992
277.7,moz,1993
366.8,moz,1994
358.2,moz,1995
249.7,moz,1996
212.2,moz,1997
206.3,moz,1998
169.1,moz,1999
179.3,moz,2000
128.3,moz,2001
124.1,moz,2002
86.3,moz,2003
82.82,moz,2004
66.78,moz,2005
40.93,moz,2006
39.05,moz,2007
36.62,moz,2008
41.73,moz,2009
43.77,moz,2010
0.3231,npl,1970
0.94,npl,1971
1.132,npl,1972
2.009,npl,1973
2.227,npl,1974
2.141,npl,1975
3.392,npl,1976
7.24,npl,1977
6.987,npl,1978
7.87,npl,1979
10.44,npl,1980
12.18,npl,1981
14.66,npl,1982
18.39,npl,1983
17.94,npl,1984
22.51,npl,1985
26.09,npl,1986
33.35,npl,1987
33.45,npl,1988
38.39,npl,1989
44.69,npl,1990
44.87,npl,1991
52.67,npl,1992
54.62,npl,1993
56.89,npl,1994
54.69,npl,1995
52.95,npl,1996
48.99,npl,1997
54.92,npl,1998
59.85,npl,1999
52.0,npl,2000
48.82,npl,2001
49.49,npl,2002
50.03,npl,2003
46.29,npl,2004
39.0,npl,2005
37.1,npl,2006
34.7,npl,2007
29.03,npl,2008
28.22,npl,2009
23.4,npl,2010
28.28,nic,1970
32.63,nic,1971
38.07,nic,1972
44.65,nic,1973
43.71,nic,1974
54.7,nic,1975
52.19,nic,1976
61.34,nic,1977
74.66,nic,1978
107.6,nic,1979
108.6,nic,1980
107.7,nic,1981
127.9,nic,1982
159.1,nic,1983
163.8,nic,1984
229.5,nic,1985
240.3,nic,1986
207.1,nic,1987
383.9,nic,1988
1210.0,nic,1989
1088.0,nic,1990
946.3,nic,1991
869.0,nic,1992
853.7,nic,1993
479.5,nic,1994
368.6,nic,1995
199.2,nic,1996
195.6,nic,1997
186.6,nic,1998
191.4,nic,1999
180.5,nic,2000
163.3,nic,2001
166.2,nic,2002
173.6,nic,2003
117.3,nic,2004
104.4,nic,2005
80.62,nic,2006
66.51,nic,2007
68.8,nic,2008
78.39,nic,2009
76.92,nic,2010
4.908,ner,1970
6.045,ner,1971
7.413,ner,1972
6.881,ner,1973
9.217,ner,1974
11.02,ner,1975
12.57,ner,1976
13.42,ner,1977
34.94,ner,1978
30.79,ner,1979
34.97,ner,1980
48.76,ner,1981
49.36,ner,1982
55.17,ner,1983
69.55,ner,1984
87.5,ner,1985
76.51,ner,1986
76.07,ner,1987
76.09,ner,1988
69.53,ner,1989
72.53,ner,1990
66.7,ner,1991
66.91,ner,1992
99.49,ner,1993
100.6,ner,1994
87.65,ner,1995
