geo,infectious_tb_detection_rate_percent_dots_only,time
com,42,2006
cog,72,1995
cog,55,1998
cog,90,2000
cog,83,2001
cog,88,2002
cog,57,2003
cog,65,2004
cog,57,2005
cog,52,2006
cog,56,2007
cok,90,1995
cok,90,1996
cok,90,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,90,2001
cok,90,2002
cok,0,2003
cok,90,2004
cok,90,2005
cok,0,2006
cri,31,1999
cri,120,2000
cri,88,2001
cri,76,2002
cri,118,2003
cri,150,2004
cri,120,2005
cri,105,2006
cri,120,2007
hrv,0,2003
hrv,46,2007
cub,82,1995
cub,88,1996
cub,88,1997
cub,92,1998
cub,96,1999
cub,97,2000
cub,87,2001
cub,91,2002
cub,93,2003
cub,90,2004
cub,100,2005
cub,100,2006
cub,109,2007
cyp,91,1998
cyp,43,1999
cyp,40,2002
cyp,72,2003
cyp,52,2004
cyp,47,2005
cyp,42,2006
cyp,42,2007
cze,52,1995
cze,64,1996
cze,53,1997
cze,64,1998
cze,57,1999
cze,60,2000
cze,62,2001
cze,57,2002
cze,63,2003
cze,60,2004
cze,64,2005
cze,58,2006
cze,67,2007
civ,53,1995
civ,53,1996
civ,49,1997
civ,48,1998
civ,44,1999
civ,34,2000
civ,9,2001
civ,34,2002
civ,34,2003
civ,34,2004
civ,34,2005
civ,38,2006
civ,42,2007
prk,1,1999
prk,13,2000
prk,27,2001
prk,40,2002
prk,45,2003
prk,51,2004
prk,49,2005
prk,50,2006
prk,64,2007
cod,40,1995
cod,47,1996
cod,43,1997
cod,53,1998
cod,50,1999
cod,47,2000
cod,49,2001
cod,47,2002
cod,53,2003
cod,59,2004
cod,60,2005
cod,59,2006
cod,61,2007
dnk,69,2003
dnk,72,2004
dnk,64,2005
dnk,62,2006
dnk,69,2007
dji,96,1996
dji,100,1997
dji,84,1998
dji,75,1999
dji,63,2000
dji,57,2001
dji,53,2002
dji,49,2003
dji,42,2004
dji,42,2005
dji,42,2006
dji,42,2007
dma,94,1997
dma,57,1998
dma,39,2002
dma,160,2006
dma,61,2007
dom,9,1999
dom,6,2000
dom,9,2001
dom,40,2002
dom,63,2003
dom,67,2004
dom,73,2005
dom,69,2006
dom,66,2007
ecu,5,2001
ecu,31,2002
ecu,38,2003
ecu,42,2004
ecu,28,2005
ecu,35,2006
ecu,46,2007
egy,50,1995
egy,1,1996
egy,13,1997
egy,20,1998
egy,38,1999
egy,54,2000
egy,59,2001
egy,65,2002
egy,70,2003
egy,76,2004
egy,75,2005
egy,69,2006
egy,72,2007
slv,46,1997
slv,52,1998
slv,56,1999
slv,56,2000
slv,58,2001
slv,58,2002
slv,53,2003
slv,58,2004
slv,69,2005
slv,61,2006
slv,65,2007
gnq,86,1995
gnq,76,1996
gnq,75,1997
gnq,86,1998
gnq,75,2004
est,64,2000
est,57,2001
est,62,2002
est,67,2003
est,75,2004
est,65,2005
est,63,2006
est,76,2007
eth,15,1995
eth,20,1996
eth,22,1997
eth,24,1998
eth,25,1999
eth,31,2000
eth,30,2001
eth,30,2002
eth,31,2003
eth,31,2004
eth,28,2005
eth,27,2006
eth,28,2007
fji,51,1995
fji,54,1996
fji,54,1997
fji,63,1998
fji,58,1999
fji,58,2000
fji,71,2001
fji,75,2002
fji,83,2003
fji,69,2004
fji,74,2005
fji,90,2006
fji,67,2007
fin,0,2003
fin,0,2007
fra,0,2003
fra,0,2007
pyf,90,1996
pyf,90,1997
pyf,90,1998
pyf,90,1999
pyf,90,2000
pyf,90,2002
pyf,90,2003
pyf,90,2004
pyf,90,2005
pyf,90,2006
pyf,90,2007
gab,85,2001
gab,72,2002
gab,85,2003
gab,86,2004
gab,61,2005
gab,58,2006
gab,66,2007
gmb,74,1995
gmb,67,1996
gmb,70,1997
gmb,73,1998
gmb,68,2002
gmb,65,2003
gmb,60,2004
gmb,64,2005
