geo,government_health_spending_per_person_us,time
idn,16.42,2006
idn,23.15,2007
idn,24.8,2008
idn,25.98,2009
idn,37.74,2010
irn,30.5,1995
irn,40.82,1996
irn,53.35,1997
irn,65.08,1998
irn,75.35,1999
irn,96.19,2000
irn,128.2,2001
irn,44.83,2002
irn,44.28,2003
irn,50.75,2004
irn,69.01,2005
irn,80.85,2006
irn,98.1,2007
irn,128.1,2008
irn,118.1,2009
irn,127.2,2010
irq,0.03,1996
irq,0.04,1997
irq,0.3,1998
irq,0.48,1999
irq,0.39,2000
irq,0.43,2001
irq,0.27,2002
irq,8.323,2003
irq,45.05,2004
irq,41.72,2005
irq,42.15,2006
irq,75.01,2007
irq,120.0,2008
irq,156.5,2009
irq,200.3,2010
irl,897.4,1995
irl,950.2,1996
irl,1051.0,1997
irl,1090.0,1998
irl,1173.0,1999
irl,1172.0,2000
irl,1387.0,2001
irl,1683.0,2002
irl,2224.0,2003
irl,2668.0,2004
irl,2842.0,2005
irl,3014.0,2006
irl,3500.0,2007
irl,4020.0,2008
irl,3531.0,2009
irl,2933.0,2010
isr,886.7,1995
isr,980.8,1996
isr,1001.0,1997
isr,917.2,1998
isr,873.3,1999
isr,932.2,2000
isr,949.8,2001
isr,864.5,2002
isr,860.4,2003
isr,880.5,2004
isr,898.4,2005
isr,929.7,2006
isr,1032.0,2007
isr,1251.0,2008
isr,1209.0,2009
isr,1317.0,2010
ita,1018.0,1995
ita,1154.0,1996
ita,1137.0,1997
ita,1163.0,1998
ita,1163.0,1999
ita,1127.0,2000
ita,1202.0,2001
ita,1325.0,2002
ita,1627.0,2003
ita,1952.0,2004
ita,2066.0,2005
ita,2183.0,2006
ita,2369.0,2007
ita,2691.0,2008
ita,2588.0,2009
ita,2521.0,2010
jam,50.81,1995
jam,73.87,1996
jam,99.92,1997
jam,102.6,1998
jam,81.28,1999
jam,99.72,2000
jam,77.35,2001
jam,103.2,2002
jam,82.11,2003
jam,104.0,2004
jam,83.23,2005
jam,102.2,2006
jam,119.7,2007
jam,145.8,2008
jam,126.0,2009
jam,132.3,2010
jpn,2379.0,1995
jpn,2140.0,1996
jpn,1919.0,1997
jpn,1786.0,1998
jpn,2102.0,1999
jpn,2290.0,2000
jpn,2076.0,2001
jpn,1994.0,2002
jpn,2165.0,2003
jpn,2352.0,2004
jpn,2388.0,2005
jpn,2221.0,2006
