geo,urban_population,time
bwa,1194000,2009
bwa,1224000,2010
bwa,1251000,2011
bra,32660000,1960
bra,35330000,1961
bra,37170000,1962
bra,39090000,1963
bra,41060000,1964
bra,43070000,1965
bra,45110000,1966
bra,47190000,1967
bra,49320000,1968
bra,51490000,1969
bra,53720000,1970
bra,56000000,1971
bra,58340000,1972
bra,60740000,1973
bra,63220000,1974
bra,65790000,1975
bra,68390000,1976
bra,71080000,1977
bra,73860000,1978
bra,76730000,1979
bra,79680000,1980
bra,82660000,1981
bra,85720000,1982
bra,88850000,1983
bra,92010000,1984
bra,95180000,1985
bra,98270000,1986
bra,101400000,1987
bra,104400000,1988
bra,107500000,1989
bra,110600000,1990
bra,113600000,1991
bra,116600000,1992
bra,119500000,1993
bra,122500000,1994
bra,125600000,1995
bra,128700000,1996
bra,131900000,1997
bra,135100000,1998
bra,138400000,1999
bra,141600000,2000
bra,144200000,2001
bra,146700000,2002
bra,149300000,2003
bra,151700000,2004
bra,154100000,2005
bra,156300000,2006
bra,158400000,2007
bra,160400000,2008
bra,162400000,2009
bra,164400000,2010
bra,166400000,2011
brn,35500,1960
brn,37760,1961
brn,41060,1962
brn,44570,1963
brn,48340,1964
brn,52380,1965
brn,56680,1966
brn,61290,1967
brn,66220,1968
brn,71500,1969
brn,77150,1970
brn,80880,1971
brn,84780,1972
brn,88810,1973
brn,92920,1974
brn,97080,1975
brn,100500,1976
brn,103900,1977
brn,107200,1978
brn,110400,1979
brn,113400,1980
brn,117900,1981
brn,122500,1982
brn,127000,1983
brn,131600,1984
brn,136400,1985
brn,141900,1986
brn,147600,1987
brn,153500,1988
brn,159600,1989
brn,166000,1990
brn,172200,1991
brn,178600,1992
brn,185300,1993
brn,192000,1994
brn,198800,1995
brn,205500,1996
brn,212200,1997
brn,219000,1998
brn,225900,1999
brn,232700,2000
brn,239500,2001
