geo,suicide_men_per_100000_people,time
geo,6.714,1986
geo,6.366,1987
geo,6.671,1988
geo,6.792,1989
geo,5.492,1990
geo,5.382,1991
geo,6.691,1992
geo,4.89,1994
geo,6.33,1995
geo,7.207,1996
geo,7.287,1997
geo,5.44,1998
geo,6.904,1999
geo,4.303,2000
geo,2.974,2001
geo,2.614,2004
deu,20.81,1990
deu,20.9,1991
deu,19.98,1992
deu,19.04,1993
deu,19.34,1994
deu,19.36,1995
deu,18.24,1996
deu,18.35,1997
deu,17.74,1998
deu,16.65,1999
deu,16.5,2000
deu,16.54,2001
deu,16.14,2002
deu,16.07,2003
deu,15.42,2004
gha,7.063,2004
grc,5.927,1961
grc,4.428,1962
grc,5.019,1963
grc,4.709,1964
grc,4.482,1965
grc,4.096,1966
grc,4.684,1967
grc,5.259,1968
grc,4.824,1969
grc,4.284,1970
grc,4.534,1971
grc,3.665,1972
grc,3.756,1973
grc,4.305,1974
grc,3.294,1975
grc,3.506,1976
grc,4.309,1977
grc,3.957,1978
grc,3.584,1979
grc,4.301,1980
grc,4.241,1981
grc,4.544,1982
grc,5.078,1983
grc,5.21,1984
grc,5.072,1985
grc,5.245,1986
grc,5.286,1987
grc,5.156,1988
grc,5.027,1989
grc,4.735,1990
grc,4.98,1991
grc,4.567,1992
grc,5.124,1993
grc,4.604,1994
grc,4.981,1995
grc,4.708,1996
grc,5.209,1997
grc,4.838,1998
grc,4.629,1999
grc,4.644,2000
grc,4.373,2001
grc,3.753,2002
grc,4.567,2003
grc,4.163,2004
grd,7.362,2004
gtm,7.147,1963
gtm,6.165,1964
gtm,6.44,1965
gtm,5.179,1966
gtm,8.521,1967
gtm,7.324,1968
gtm,5.572,1969
gtm,7.061,1970
gtm,7.087,1971
gtm,0.0,1974
gtm,0.0,1977
gtm,3.081,1979
gtm,2.64,1980
gtm,1.347,1981
gtm,1.537,1984
gtm,5.347,1986
gtm,5.905,1987
gtm,4.596,1988
gtm,3.982,1989
gtm,3.932,1990
gtm,3.785,1991
gtm,4.112,1992
gtm,4.049,1993
gtm,3.247,1994
gtm,4.4,1995
gtm,3.673,1996
gtm,3.54,1997
gtm,3.994,1998
gtm,4.876,1999
gtm,3.327,2000
gtm,3.707,2001
gtm,4.649,2002
gtm,4.535,2003
gtm,3.874,2004
gin,9.628,2004
gnb,10.65,2004
guy,50.07,2004
hti,2.085,2004
hnd,9.466,2004
hun,29.81,1955
hun,28.83,1956
hun,31.87,1957
hun,33.82,1958
hun,37.93,1959
hun,35.65,1960
hun,36.41,1961
hun,35.45,1962
hun,37.49,1963
hun,40.13,1964
hun,41.37,1965
hun,40.38,1966
hun,43.32,1967
hun,46.69,1968
hun,45.46,1969
hun,47.39,1970
hun,48.45,1971
hun,49.4,1972
hun,49.39,1973
hun,53.98,1974
hun,51.1,1975
hun,52.82,1976
hun,50.72,1977
hun,55.57,1978
hun,58.49,1979
hun,59.33,1980
hun,58.31,1981
hun,56.75,1982
hun,61.2,1983
hun,61.7,1984
hun,61.05,1985
hun,59.78,1986
hun,59.7,1987
hun,52.35,1988
hun,55.2,1989
hun,53.54,1990
hun,51.62,1991
hun,52.83,1992
hun,48.69,1993
hun,48.54,1994
hun,43.74,1995
hun,44.25,1996
hun,41.93,1997
hun,43.28,1998
hun,45.66,1999
hun,43.98,2000
hun,39.57,2001
hun,38.09,2002
hun,36.94,2003
hun,35.98,2004
isl,16.97,2004
ind,22.68,2004
idn,13.74,2004
irn,6.884,2004
irq,25.54,2004
irl,4.258,1950
irl,4.003,1951
irl,3.379,1952
irl,3.312,1953
irl,3.295,1954
irl,3.693,1955
irl,4.447,1956
irl,3.893,1957
irl,4.124,1958
irl,3.957,1959
irl,4.069,1960
irl,5.203,1961
irl,2.988,1962
irl,3.79,1963
irl,3.54,1964
irl,3.148,1965
irl,3.493,1966
irl,3.728,1967
irl,4.147,1968
