geo,infant_mortality_rate_per_1000_births,time
arg,12.3,2012
arg,11.9,2013
arg,11.5,2014
arg,11.1,2015
arm,70.8,1976
arm,68.3,1977
arm,65.9,1978
arm,63.5,1979
arm,61.3,1980
arm,59.2,1981
arm,57.1,1982
arm,55.2,1983
arm,53.3,1984
arm,51.4,1985
arm,49.6,1986
arm,47.8,1987
arm,49.9,1988
arm,44.3,1989
arm,42.5,1990
arm,40.6,1991
arm,38.8,1992
arm,37.0,1993
arm,35.3,1994
arm,33.7,1995
arm,32.1,1996
arm,30.6,1997
arm,29.2,1998
arm,27.9,1999
arm,26.6,2000
arm,25.3,2001
arm,24.2,2002
arm,23.0,2003
arm,21.9,2004
arm,20.8,2005
arm,19.8,2006
arm,18.8,2007
arm,17.9,2008
arm,17.0,2009
arm,16.1,2010
arm,15.3,2011
arm,14.6,2012
arm,13.8,2013
arm,13.2,2014
arm,12.6,2015
aus,111.0,1870
aus,104.0,1871
aus,118.0,1872
aus,114.0,1873
aus,125.0,1874
aus,139.0,1875
aus,119.0,1876
aus,127.0,1877
aus,131.0,1878
aus,115.0,1879
aus,117.0,1880
aus,116.0,1881
aus,135.0,1882
aus,121.0,1883
aus,125.0,1884
aus,128.0,1885
aus,126.0,1886
aus,116.0,1887
aus,116.0,1888
aus,132.0,1889
aus,107.0,1890
aus,115.0,1891
aus,106.0,1892
aus,116.0,1893
aus,104.0,1894
aus,101.0,1895
aus,114.0,1896
aus,105.0,1897
aus,128.0,1898
aus,116.0,1899
aus,100.0,1900
aus,104.0,1901
aus,107.0,1902
aus,111.0,1903
aus,82.0,1904
aus,82.0,1905
aus,83.0,1906
aus,81.0,1907
aus,78.0,1908
aus,72.0,1909
aus,75.0,1910
aus,68.0,1911
aus,72.0,1912
aus,72.0,1913
aus,71.0,1914
aus,68.0,1915
aus,70.0,1916
aus,56.0,1917
aus,59.0,1918
aus,69.0,1919
aus,69.0,1920
aus,66.0,1921
aus,53.0,1922
aus,61.0,1923
aus,57.0,1924
aus,53.0,1925
aus,54.0,1926
aus,55.0,1927
aus,53.0,1928
aus,51.0,1929
aus,47.0,1930
aus,42.0,1931
aus,41.0,1932
aus,39.0,1933
aus,44.0,1934
aus,40.0,1935
aus,41.0,1936
aus,38.0,1937
aus,38.0,1938
aus,38.0,1939
aus,40.0,1940
aus,39.0,1941
aus,36.0,1942
aus,31.0,1943
aus,29.0,1944
aus,29.0,1945
aus,29.0,1946
aus,28.0,1947
aus,28.0,1948
aus,25.0,1949
aus,25.0,1950
aus,24.6,1951
aus,24.1,1952
aus,23.6,1953
aus,23.0,1954
aus,22.6,1955
aus,22.1,1956
aus,21.6,1957
aus,21.2,1958
aus,20.8,1959
aus,20.3,1960
aus,20.0,1961
aus,19.5,1962
aus,19.2,1963
aus,18.8,1964
aus,18.6,1965
aus,18.3,1966
aus,18.3,1967
aus,18.2,1968
aus,18.1,1969
aus,17.8,1970
aus,17.4,1971
aus,16.8,1972
aus,16.2,1973
aus,15.3,1974
aus,14.4,1975
aus,13.5,1976
aus,12.7,1977
aus,12.0,1978
aus,11.3,1979
aus,10.8,1980
aus,10.4,1981
aus,10.1,1982
aus,9.8,1983
aus,9.6,1984
aus,9.3,1985
aus,9.1,1986
aus,8.7,1987
aus,8.4,1988
aus,8.0,1989
aus,7.6,1990
aus,7.1,1991
aus,6.7,1992
aus,6.3,1993
aus,6.0,1994
aus,5.7,1995
aus,5.6,1996
aus,5.4,1997
aus,5.3,1998
aus,5.3,1999
aus,5.1,2000
aus,5.0,2001
aus,5.0,2002
aus,4.9,2003
aus,4.9,2004
aus,4.8,2005
aus,4.7,2006
aus,4.5,2007
aus,4.4,2008
aus,4.2,2009
aus,4.1,2010
aus,3.8,2011
aus,3.6,2012
aus,3.4,2013
aus,3.2,2014
aus,3.0,2015
aut,190.0,1806
aut,200.0,1807
aut,194.0,1808
aut,184.0,1809
aut,186.0,1810
aut,189.0,1811
aut,182.0,1812
aut,186.0,1813
aut,201.0,1814
aut,188.0,1815
aut,178.0,1816
aut,180.0,1817
aut,181.0,1818
aut,189.0,1819
aut,184.0,1820
aut,185.0,1821
aut,198.0,1822
aut,183.0,1823
aut,192.0,1824
aut,197.0,1825
aut,195.0,1826
aut,181.0,1827
aut,188.0,1828
aut,175.0,1829
aut,237.0,1830
aut,269.0,1831
aut,243.0,1832
aut,260.0,1833
aut,271.0,1834
aut,248.0,1835
aut,236.0,1836
aut,253.0,1837
aut,240.0,1838
aut,255.0,1839
aut,244.0,1840
aut,251.0,1841
aut,245.0,1842
aut,259.0,1843
aut,230.0,1844
aut,247.0,1845
aut,251.0,1846
aut,243.0,1849
aut,251.0,1850
aut,242.0,1851
aut,242.0,1852
aut,227.0,1853
aut,273.0,1854
aut,278.0,1855
aut,241.0,1856
aut,239.0,1857
aut,250.0,1858
aut,254.0,1859
aut,237.0,1860
aut,264.0,1861
aut,250.0,1862
aut,259.0,1863
aut,250.0,1864
aut,270.0,1865
aut,278.0,1866
aut,253.0,1867
aut,248.0,1868
aut,242.0,1869
aut,253.0,1870
aut,255.0,1871
aut,270.0,1872
aut,290.0,1873
aut,260.0,1874
aut,243.0,1875
aut,247.0,1876
aut,258.0,1877
aut,252.0,1878
aut,240.0,1879
aut,250.0,1880
aut,250.0,1881
aut,256.0,1882
aut,253.0,1883
aut,247.0,1884
aut,255.0,1885
aut,250.0,1886
aut,244.0,1887
aut,249.0,1888
aut,236.0,1889
aut,259.0,1890
aut,243.0,1891
aut,259.0,1892
aut,232.0,1893
aut,251.0,1894
aut,241.0,1895
aut,230.0,1896
aut,228.0,1897
aut,224.0,1898
aut,219.0,1899
aut,231.0,1900
aut,209.0,1901
aut,216.0,1902
aut,215.0,1903
aut,210.0,1904
aut,231.0,1905
aut,202.0,1906
aut,209.0,1907
aut,199.0,1908
aut,209.0,1909
aut,189.0,1910
aut,207.0,1911
aut,181.0,1912
aut,190.0,1913
aut,172.0,1914
aut,218.0,1915
aut,192.0,1916
aut,186.0,1917
aut,193.0,1918
aut,156.0,1919
aut,156.0,1922
aut,142.0,1923
aut,128.0,1924
aut,119.0,1925
aut,123.0,1926
aut,125.0,1927
aut,120.0,1928
aut,113.0,1929
aut,104.0,1930
aut,103.0,1931
aut,106.0,1932
aut,94.0,1933
aut,92.0,1934
aut,99.0,1935
aut,93.0,1936
aut,92.0,1937
aut,80.0,1938
aut,73.0,1939
aut,74.0,1940
aut,70.0,1941
aut,74.0,1942
aut,79.0,1943
aut,88.0,1944
aut,162.0,1945
aut,81.0,1946
aut,78.0,1947
aut,76.0,1948
aut,75.0,1949
aut,66.0,1950
aut,61.0,1951
aut,52.0,1952
aut,50.0,1953
aut,48.1,1954
aut,46.6,1955
aut,45.2,1956
aut,43.6,1957
aut,41.7,1958
aut,39.6,1959
aut,37.3,1960
aut,35.0,1961
aut,32.9,1962
aut,31.2,1963
aut,29.7,1964
aut,28.3,1965
aut,27.3,1966
aut,26.4,1967
aut,25.7,1968
aut,25.3,1969
aut,25.0,1970
aut,24.7,1971
aut,24.1,1972
aut,23.0,1973
aut,21.6,1974
aut,19.8,1975
aut,18.1,1976
aut,16.6,1977
aut,15.5,1978
